% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,re:Trc3_S21,im:Trc3_S21,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.163166522979736E-001,8.327843546867371E-001,-5.163166522979736E-001,8.327843546867371E-001,1.191557291895151E-002,-4.567338619381189E-003,1.191557291895151E-002,-4.567338619381189E-003,
7.015500000000000E+008,-4.851680994033814E-001,8.518109321594238E-001,-4.851680994033814E-001,8.518109321594238E-001,1.184703223407269E-002,-5.436675157397986E-003,1.184703223407269E-002,-5.436675157397986E-003,
7.131000000000000E+008,-4.899187982082367E-001,8.504095077514648E-001,-4.899187982082367E-001,8.504095077514648E-001,1.135054789483547E-002,-5.502721294760704E-003,1.135054789483547E-002,-5.502721294760704E-003,
7.246500000000000E+008,-4.711251556873322E-001,8.671950697898865E-001,-4.711251556873322E-001,8.671950697898865E-001,1.152836997061968E-002,-6.269934587180615E-003,1.152836997061968E-002,-6.269934587180615E-003,
7.362000000000000E+008,-4.690381884574890E-001,8.654905557632446E-001,-4.690381884574890E-001,8.654905557632446E-001,1.170680951327086E-002,-6.519892252981663E-003,1.170680951327086E-002,-6.519892252981663E-003,
7.477500000000000E+008,-4.408715367317200E-001,8.971307277679443E-001,-4.408715367317200E-001,8.971307277679443E-001,1.129821408540011E-002,-6.858195178210735E-003,1.129821408540011E-002,-6.858195178210735E-003,
7.593000000000000E+008,-4.304475486278534E-001,8.809383511543274E-001,-4.304475486278534E-001,8.809383511543274E-001,1.174418069422245E-002,-7.435956504195929E-003,1.174418069422245E-002,-7.435956504195929E-003,
7.708500000000000E+008,-4.100695848464966E-001,8.921771645545960E-001,-4.100695848464966E-001,8.921771645545960E-001,1.187073066830635E-002,-7.874424569308758E-003,1.187073066830635E-002,-7.874424569308758E-003,
7.824000000000000E+008,-3.915294408798218E-001,8.971782326698303E-001,-3.915294408798218E-001,8.971782326698303E-001,1.138100400567055E-002,-9.093607775866985E-003,1.138100400567055E-002,-9.093607775866985E-003,
7.939500000000000E+008,-3.780465424060822E-001,9.077450633049011E-001,-3.780465424060822E-001,9.077450633049011E-001,1.099985279142857E-002,-9.727503173053265E-003,1.099985279142857E-002,-9.727503173053265E-003,
