% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,re:Trc3_S21,im:Trc3_S21,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,8.730909824371338E-001,2.724306285381317E-001,8.730909824371338E-001,2.724306285381317E-001,1.158710196614265E-002,-4.446373786777258E-003,1.158710196614265E-002,-4.446373786777258E-003,
7.015500000000000E+008,8.712927103042603E-001,2.291270047426224E-001,8.712927103042603E-001,2.291270047426224E-001,1.168278511613607E-002,-5.082946736365557E-003,1.168278511613607E-002,-5.082946736365557E-003,
7.131000000000000E+008,9.000803232192993E-001,2.008621841669083E-001,9.000803232192993E-001,2.008621841669083E-001,1.181090250611305E-002,-5.639929324388504E-003,1.181090250611305E-002,-5.639929324388504E-003,
7.246500000000000E+008,9.034877419471741E-001,1.489780992269516E-001,9.034877419471741E-001,1.489780992269516E-001,1.151963509619236E-002,-6.488827057182789E-003,1.151963509619236E-002,-6.488827057182789E-003,
7.362000000000000E+008,9.047422409057617E-001,1.130697578191757E-001,9.047422409057617E-001,1.130697578191757E-001,1.152263209223747E-002,-6.840133573859930E-003,1.152263209223747E-002,-6.840133573859930E-003,
7.477500000000000E+008,9.035608172416687E-001,4.580483958125114E-002,9.035608172416687E-001,4.580483958125114E-002,1.094727497547865E-002,-7.265585940331221E-003,1.094727497547865E-002,-7.265585940331221E-003,
7.593000000000000E+008,9.004691243171692E-001,2.014048956334591E-002,9.004691243171692E-001,2.014048956334591E-002,1.119386870414019E-002,-7.590584456920624E-003,1.119386870414019E-002,-7.590584456920624E-003,
7.708500000000000E+008,8.994568586349487E-001,-3.115948662161827E-002,8.994568586349487E-001,-3.115948662161827E-002,1.115500647574663E-002,-7.803519256412983E-003,1.115500647574663E-002,-7.803519256412983E-003,
7.824000000000000E+008,8.869287967681885E-001,-8.327821642160416E-002,8.869287967681885E-001,-8.327821642160416E-002,1.128132920712233E-002,-8.631748147308826E-003,1.128132920712233E-002,-8.631748147308826E-003,
7.939500000000000E+008,9.041213393211365E-001,-1.247859671711922E-001,9.041213393211365E-001,-1.247859671711922E-001,1.148813311010599E-002,-9.087744168937206E-003,1.148813311010599E-002,-9.087744168937206E-003,
8.055000000000000E+008,8.987490534782410E-001,-1.768164932727814E-001,8.987490534782410E-001,-1.768164932727814E-001,1.098976098001003E-002,-9.831847622990608E-003,1.098976098001003E-002,-9.831847622990608E-003,
8.170500000000000E+008,8.873305916786194E-001,-2.209687829017639E-001,8.873305916786194E-001,-2.209687829017639E-001,1.094724610447884E-002,-1.070282980799675E-002,1.094724610447884E-002,-1.070282980799675E-002,
8.286000000000000E+008,8.647348284721375E-001,-2.582879066467285E-001,8.647348284721375E-001,-2.582879066467285E-001,1.052311807870865E-002,-1.105895545333624E-002,1.052311807870865E-002,-1.105895545333624E-002,
8.401500000000000E+008,8.608153462409973E-001,-3.113468289375305E-001,8.608153462409973E-001,-3.113468289375305E-001,9.944756515324116E-003,-1.143183652311564E-002,9.944756515324116E-003,-1.143183652311564E-002,
8.517000000000000E+008,8.380672931671143E-001,-3.401830196380615E-001,8.380672931671143E-001,-3.401830196380615E-001,9.908517822623253E-003,-1.179322786629200E-002,9.908517822623253E-003,-1.179322786629200E-002,
