% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,re:Trc3_S21,im:Trc3_S21,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,1.648265868425369E-003,3.851970657706261E-002,1.648265868425369E-003,3.851970657706261E-002,-4.357720911502838E-001,-8.865138292312622E-001,-4.357720911502838E-001,-8.865138292312622E-001,
7.015500000000000E+008,2.077222056686878E-002,3.005321323871613E-002,2.077222056686878E-002,3.005321323871613E-002,-4.715355634689331E-001,-8.716472387313843E-001,-4.715355634689331E-001,-8.716472387313843E-001,
7.131000000000000E+008,2.750609815120697E-002,1.344124600291252E-002,2.750609815120697E-002,1.344124600291252E-002,-4.828869998455048E-001,-8.576377630233765E-001,-4.828869998455048E-001,-8.576377630233765E-001,
7.246500000000000E+008,2.325645461678505E-002,-3.653720719739795E-003,2.325645461678505E-002,-3.653720719739795E-003,-5.313775539398193E-001,-8.426299691200256E-001,-5.313775539398193E-001,-8.426299691200256E-001,
7.362000000000000E+008,7.602342870086432E-003,-1.266967691481113E-002,7.602342870086432E-003,-1.266967691481113E-002,-5.429718494415283E-001,-8.311368823051453E-001,-5.429718494415283E-001,-8.311368823051453E-001,
7.477500000000000E+008,-8.079490624368191E-003,-7.087669800966978E-003,-8.079490624368191E-003,-7.087669800966978E-003,-5.782462954521179E-001,-7.907370328903198E-001,-5.782462954521179E-001,-7.907370328903198E-001,
7.593000000000000E+008,-1.430092193186283E-002,9.536808356642723E-003,-1.430092193186283E-002,9.536808356642723E-003,-6.107671856880188E-001,-7.803786396980286E-001,-6.107671856880188E-001,-7.803786396980286E-001,
7.708500000000000E+008,-7.626345381140709E-003,2.597400359809399E-002,-7.626345381140709E-003,2.597400359809399E-002,-6.222231984138489E-001,-7.588850855827332E-001,-6.222231984138489E-001,-7.588850855827332E-001,
7.824000000000000E+008,9.826031513512135E-003,3.083243779838085E-002,9.826031513512135E-003,3.083243779838085E-002,-6.738645434379578E-001,-7.347116470336914E-001,-6.738645434379578E-001,-7.347116470336914E-001,
7.939500000000000E+008,2.698615379631519E-002,2.567779831588268E-002,2.698615379631519E-002,2.567779831588268E-002,-6.857224106788635E-001,-7.136701941490173E-001,-6.857224106788635E-001,-7.136701941490173E-001,
8.055000000000000E+008,3.584723547101021E-002,8.679319173097611E-003,3.584723547101021E-002,8.679319173097611E-003,-7.043385505676270E-001,-6.835210323333740E-001,-7.043385505676270E-001,-6.835210323333740E-001,
8.170500000000000E+008,3.220462426543236E-002,-9.408917278051376E-003,3.220462426543236E-002,-9.408917278051376E-003,-7.358772754669190E-001,-6.697924733161926E-001,-7.358772754669190E-001,-6.697924733161926E-001,
8.286000000000000E+008,1.736106723546982E-002,-1.864409819245338E-002,1.736106723546982E-002,-1.864409819245338E-002,-7.501102685928345E-001,-6.420361995697022E-001,-7.501102685928345E-001,-6.420361995697022E-001,
8.401500000000000E+008,9.576535085216165E-004,-1.667170040309429E-002,9.576535085216165E-004,-1.667170040309429E-002,-7.685388922691345E-001,-6.152493357658386E-001,-7.685388922691345E-001,-6.152493357658386E-001,
8.517000000000000E+008,-9.013519622385502E-003,-3.619148395955563E-003,-9.013519622385502E-003,-3.619148395955563E-003,-7.898330688476563E-001,-6.061322093009949E-001,-7.898330688476563E-001,-6.061322093009949E-001,
8.632500000000000E+008,-8.698143996298313E-003,1.212983764708042E-002,-8.698143996298313E-003,1.212983764708042E-002,-8.095428943634033E-001,-5.614581108093262E-001,-8.095428943634033E-001,-5.614581108093262E-001,
8.748000000000000E+008,5.629101302474737E-003,2.278939262032509E-002,5.629101302474737E-003,2.278939262032509E-002,-8.458399176597595E-001,-5.377743244171143E-001,-8.458399176597595E-001,-5.377743244171143E-001,
8.863500000000000E+008,2.178578451275826E-002,2.341090328991413E-002,2.178578451275826E-002,2.341090328991413E-002,-8.429170846939087E-001,-5.108785033226013E-001,-8.429170846939087E-001,-5.108785033226013E-001,
8.979000000000000E+008,3.535292297601700E-002,1.148284785449505E-002,3.535292297601700E-002,1.148284785449505E-002,-8.717984557151794E-001,-4.769626855850220E-001,-8.717984557151794E-001,-4.769626855850220E-001,
9.094500000000000E+008,3.776814043521881E-002,-5.353416316211224E-003,3.776814043521881E-002,-5.353416316211224E-003,-8.713665008544922E-001,-4.540432095527649E-001,-8.713665008544922E-001,-4.540432095527649E-001,
9.210000000000000E+008,2.806273102760315E-002,-1.934500969946384E-002,2.806273102760315E-002,-1.934500969946384E-002,-8.932563066482544E-001,-4.099906384944916E-001,-8.932563066482544E-001,-4.099906384944916E-001,
9.325500000000000E+008,1.141602452844381E-002,-2.406877279281616E-002,1.141602452844381E-002,-2.406877279281616E-002,-9.058043360710144E-001,-3.863525688648224E-001,-9.058043360710144E-001,-3.863525688648224E-001,
9.441000000000000E+008,-2.291663549840450E-003,-1.574930734932423E-002,-2.291663549840450E-003,-1.574930734932423E-002,-9.194786548614502E-001,-3.564501404762268E-001,-9.194786548614502E-001,-3.564501404762268E-001,
9.556500000000000E+008,-3.566602710634470E-003,-1.903824973851442E-003,-3.566602710634470E-003,-1.903824973851442E-003,-9.521231651306152E-001,-3.364038765430450E-001,-9.521231651306152E-001,-3.364038765430450E-001,
