% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-6.342580169439316E-002,5.893563479185104E-002,-5.133725404739380E-001,-8.408100008964539E-001,
7.025500000000000E+008,-4.240936040878296E-002,6.449192762374878E-002,-5.467134118080139E-001,-8.177871108055115E-001,
7.151000000000000E+008,-2.566929347813129E-002,5.523601919412613E-002,-5.807516574859619E-001,-8.031754493713379E-001,
7.276500000000000E+008,-2.272918447852135E-002,3.851438686251640E-002,-6.096550226211548E-001,-7.777188420295715E-001,
7.402000000000000E+008,-3.470757231116295E-002,2.719969674944878E-002,-6.397330760955811E-001,-7.535691261291504E-001,
7.527500000000000E+008,-5.091972276568413E-002,3.068271651864052E-002,-6.701213717460632E-001,-7.245324850082398E-001,
7.653000000000000E+008,-6.036278605461121E-002,4.688800871372223E-002,-6.934317350387573E-001,-7.002720832824707E-001,
7.778500000000000E+008,-5.591564625501633E-002,6.701377779245377E-002,-7.206909656524658E-001,-6.722114682197571E-001,
7.904000000000000E+008,-3.856545686721802E-002,7.954701781272888E-002,-7.482602000236511E-001,-6.507833600044251E-001,
8.029500000000000E+008,-1.887337304651737E-002,7.679411023855209E-002,-7.700328826904297E-001,-6.160458326339722E-001,
8.155000000000000E+008,-7.494200021028519E-003,6.219185888767242E-002,-7.946249842643738E-001,-5.870999097824097E-001,
8.280500000000000E+008,-1.086364034563303E-002,4.542067646980286E-002,-8.172996044158936E-001,-5.511635541915894E-001,
8.406000000000000E+008,-2.519339323043823E-002,3.854218497872353E-002,-8.386272788047791E-001,-5.251851081848145E-001,
8.531500000000000E+008,-4.032167792320252E-002,4.645850881934166E-002,-8.554062843322754E-001,-4.887681007385254E-001,
8.657000000000000E+008,-4.605860263109207E-002,6.387912482023239E-002,-8.726273179054260E-001,-4.568780064582825E-001,
8.782500000000000E+008,-3.727586194872856E-002,8.256777375936508E-002,-8.905239105224609E-001,-4.218943715095520E-001,
8.908000000000000E+008,-1.918523944914341E-002,9.239262342453003E-002,-9.073334932327271E-001,-3.894133269786835E-001,
9.033500000000000E+008,-6.545334472320974E-004,8.718755096197128E-002,-9.257640242576599E-001,-3.562763035297394E-001,
9.159000000000000E+008,9.555279277265072E-003,7.306897640228272E-002,-9.354542493820190E-001,-3.197154402732849E-001,
9.284500000000000E+008,6.433003116399050E-003,5.819657072424889E-002,-9.452977180480957E-001,-2.823673188686371E-001,
9.410000000000000E+008,-6.727582775056362E-003,5.271575972437859E-002,-9.539973735809326E-001,-2.428749203681946E-001,
9.535500000000000E+008,-1.938445866107941E-002,5.981192365288734E-002,-9.666377902030945E-001,-2.054140567779541E-001,
9.661000000000000E+008,-2.155627124011517E-002,7.623007148504257E-002,-9.720829129219055E-001,-1.664140522480011E-001,
9.786500000000000E+008,-1.093028765171766E-002,9.145120531320572E-002,-9.773945808410645E-001,-1.313403844833374E-001,
9.912000000000000E+008,8.285196498036385E-003,9.687885642051697E-002,-9.826589226722717E-001,-9.430366754531860E-002,
1.003750000000000E+009,2.626650966703892E-002,8.868651092052460E-002,-9.807630181312561E-001,-5.706393718719482E-002,
1.016300000000000E+009,3.231547772884369E-002,7.171434909105301E-002,-9.905033111572266E-001,-1.467119902372360E-002,
1.028850000000000E+009,2.423897385597229E-002,5.717931687831879E-002,-9.877460002899170E-001,2.266792766749859E-002,
