% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-6.269183754920960E-002,5.960797891020775E-002,-5.144293904304504E-001,-8.415265679359436E-001,
7.025500000000000E+008,-4.088513180613518E-002,6.545172631740570E-002,-5.477672219276428E-001,-8.183405399322510E-001,
7.151000000000000E+008,-2.346324548125267E-002,5.573393777012825E-002,-5.820994377136231E-001,-8.034976124763489E-001,
7.276500000000000E+008,-2.028171531856060E-002,3.805512189865112E-002,-6.112977266311646E-001,-7.779651880264282E-001,
7.402000000000000E+008,-3.261481598019600E-002,2.581342123448849E-002,-6.414484381675720E-001,-7.538320422172546E-001,
7.527500000000000E+008,-4.958166927099228E-002,2.891605347394943E-002,-6.713997125625610E-001,-7.248873114585877E-001,
7.653000000000000E+008,-5.983321741223335E-002,4.550600051879883E-002,-6.952180266380310E-001,-7.001549005508423E-001,
7.778500000000000E+008,-5.561576038599014E-002,6.651674956083298E-002,-7.220464944839478E-001,-6.720459461212158E-001,
7.904000000000000E+008,-3.779340535402298E-002,7.988324016332626E-002,-7.497950792312622E-001,-6.512097120285034E-001,
8.029500000000000E+008,-1.722195744514465E-002,7.754652202129364E-002,-7.714570164680481E-001,-6.159558296203613E-001,
8.155000000000000E+008,-5.033393390476704E-003,6.258773803710938E-002,-7.963888049125671E-001,-5.874222517013550E-001,
8.280500000000000E+008,-8.106865920126438E-003,4.481713846325874E-002,-8.189827203750610E-001,-5.514363646507263E-001,
8.406000000000000E+008,-2.292793616652489E-002,3.694028407335281E-002,-8.405278921127319E-001,-5.257244706153870E-001,
8.531500000000000E+008,-3.903464227914810E-002,4.457466676831245E-002,-8.575903177261353E-001,-4.888256192207336E-001,
8.657000000000000E+008,-4.574362188577652E-002,6.253314763307571E-002,-8.750460147857666E-001,-4.564875960350037E-001,
8.782500000000000E+008,-3.730725497007370E-002,8.228437602519989E-002,-8.928669095039368E-001,-4.217059016227722E-001,
8.908000000000000E+008,-1.860971376299858E-002,9.315618872642517E-002,-9.095929861068726E-001,-3.887168169021606E-001,
9.033500000000000E+008,9.869912173599005E-004,8.795203268527985E-002,-9.278941154479981E-001,-3.550269603729248E-001,
9.159000000000000E+008,1.184591371566057E-002,7.299147546291351E-002,-9.374867081642151E-001,-3.188576400279999E-001,
9.284500000000000E+008,8.939951658248901E-003,5.706304684281349E-002,-9.470192193984985E-001,-2.811736464500427E-001,
9.410000000000000E+008,-4.654690623283386E-003,5.082563310861588E-002,-9.558387994766235E-001,-2.415047287940979E-001,
9.535500000000000E+008,-1.812154240906239E-002,5.791124701499939E-002,-9.685977697372437E-001,-2.039479613304138E-001,
9.661000000000000E+008,-2.080162055790424E-002,7.508528232574463E-002,-9.733978509902954E-001,-1.648067533969879E-001,
9.786500000000000E+008,-1.015359815210104E-002,9.138560295104981E-002,-9.789417982101440E-001,-1.300605833530426E-001,
9.912000000000000E+008,9.585633873939514E-003,9.763263165950775E-002,-9.840384721755981E-001,-9.246896207332611E-002,
1.003750000000000E+009,2.831054665148258E-002,8.947925269603729E-002,-9.817652702331543E-001,-5.567210540175438E-002,
1.016300000000000E+009,3.470601886510849E-002,7.146294414997101E-002,-9.917769432067871E-001,-1.363960932940245E-002,
1.028850000000000E+009,2.633023820817471E-002,5.562036484479904E-002,-9.895425438880920E-001,2.381668239831924E-002,
1.041400000000000E+009,9.413544088602066E-003,5.306429043412209E-002,-9.865285754203796E-001,5.746672302484512E-002,
