% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-5.531090125441551E-002,5.306318402290344E-002,-5.035182237625122E-001,-8.493044972419739E-001,
7.025500000000000E+008,-3.361395373940468E-002,5.905874446034432E-002,-5.402930974960327E-001,-8.259662985801697E-001,
7.151000000000000E+008,-1.592196896672249E-002,4.888983070850372E-002,-5.726571679115295E-001,-8.069241642951965E-001,
7.276500000000000E+008,-1.261246297508478E-002,3.073231875896454E-002,-6.049469709396362E-001,-7.829293012619019E-001,
7.402000000000000E+008,-2.489608898758888E-002,1.819027587771416E-002,-6.340668201446533E-001,-7.576798796653748E-001,
7.527500000000000E+008,-4.210963845252991E-002,2.004836499691010E-002,-6.637558937072754E-001,-7.308267354965210E-001,
7.653000000000000E+008,-5.300946161150932E-002,3.624844551086426E-002,-6.841202378273010E-001,-7.093007564544678E-001,
7.778500000000000E+008,-4.945340007543564E-002,5.699404701590538E-002,-7.132871150970459E-001,-6.786654591560364E-001,
7.904000000000000E+008,-3.160667046904564E-002,7.042829692363739E-002,-7.418144345283508E-001,-6.545222997665405E-001,
8.029500000000000E+008,-1.150502730160952E-002,6.818801909685135E-002,-7.680958509445190E-001,-6.220130324363709E-001,
8.155000000000000E+008,5.439832457341254E-004,5.246671289205551E-002,-7.877740263938904E-001,-5.938835740089417E-001,
8.280500000000000E+008,-2.542402362450957E-003,3.401638194918633E-002,-8.088760375976563E-001,-5.590441226959229E-001,
8.406000000000000E+008,-1.738107763230801E-002,2.566730789840221E-002,-8.320950269699097E-001,-5.345627069473267E-001,
8.531500000000000E+008,-3.389707952737808E-002,3.269395604729652E-002,-8.508094549179077E-001,-4.979768693447113E-001,
8.657000000000000E+008,-4.100722447037697E-002,5.004466325044632E-002,-8.640487194061279E-001,-4.680430591106415E-001,
8.782500000000000E+008,-3.378368914127350E-002,6.964691728353500E-002,-8.855631947517395E-001,-4.344236254692078E-001,
8.908000000000000E+008,-1.505737192928791E-002,8.028080314397812E-002,-9.022499918937683E-001,-3.987135291099548E-001,
9.033500000000000E+008,3.913694061338902E-003,7.546400278806686E-002,-9.229536056518555E-001,-3.651624619960785E-001,
9.159000000000000E+008,1.433262415230274E-002,6.025117635726929E-002,-9.334853887557983E-001,-3.289639651775360E-001,
9.284500000000000E+008,1.143598556518555E-002,4.370416328310967E-002,-9.396981000900269E-001,-2.921683192253113E-001,
9.410000000000000E+008,-2.898291684687138E-003,3.705491498112679E-002,-9.485063552856445E-001,-2.521634697914124E-001,
9.535500000000000E+008,-1.681556180119515E-002,4.315008223056793E-002,-9.623110890388489E-001,-2.158372700214386E-001,
9.661000000000000E+008,-2.053139917552471E-002,6.024075672030449E-002,-9.674356579780579E-001,-1.790078282356262E-001,
9.786500000000000E+008,-1.077986322343350E-002,7.618550211191177E-002,-9.765338897705078E-001,-1.430447250604630E-001,
9.912000000000000E+008,8.389793336391449E-003,8.228009194135666E-002,-9.803336858749390E-001,-1.064031198620796E-001,
1.003750000000000E+009,2.620805241167545E-002,7.515725493431091E-002,-9.798058867454529E-001,-7.491720467805862E-002,
1.016300000000000E+009,3.299563378095627E-002,5.702924728393555E-002,-9.905850291252136E-001,-3.338965028524399E-002,
