% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-5.549633130431175E-002,5.168129876255989E-002,-5.042907595634460E-001,-8.476607203483582E-001,
7.025500000000000E+008,-3.438044711947441E-002,5.802716314792633E-002,-5.376384854316711E-001,-8.249890208244324E-001,
7.151000000000000E+008,-1.667166128754616E-002,4.896755889058113E-002,-5.714344978332520E-001,-8.106887936592102E-001,
7.276500000000000E+008,-1.256180554628372E-002,3.136421367526054E-002,-6.003372073173523E-001,-7.856845855712891E-001,
7.402000000000000E+008,-2.423398382961750E-002,1.830995641648769E-002,-6.304801106452942E-001,-7.623373270034790E-001,
7.527500000000000E+008,-4.134280607104302E-002,2.007463574409485E-002,-6.611678600311279E-001,-7.339318990707398E-001,
7.653000000000000E+008,-5.245374515652657E-002,3.557085245847702E-002,-6.849238276481628E-001,-7.101268768310547E-001,
7.778500000000000E+008,-4.941248893737793E-002,5.605596676468849E-002,-7.125799059867859E-001,-6.825931668281555E-001,
7.904000000000000E+008,-3.255562484264374E-002,6.950949877500534E-002,-7.404879331588745E-001,-6.613234281539917E-001,
8.029500000000000E+008,-1.219870895147324E-002,6.742489337921143E-002,-7.624078392982483E-001,-6.268332600593567E-001,
8.155000000000000E+008,3.451972443144769E-004,5.255112424492836E-002,-7.873152494430542E-001,-5.982043147087097E-001,
8.280500000000000E+008,-2.431614324450493E-003,3.435639292001724E-002,-8.099884390830994E-001,-5.629541873931885E-001,
8.406000000000000E+008,-1.724233292043209E-002,2.563348785042763E-002,-8.316178917884827E-001,-5.375977158546448E-001,
8.531500000000000E+008,-3.392121940851212E-002,3.224796056747437E-002,-8.488484025001526E-001,-5.016995668411255E-001,
8.657000000000000E+008,-4.153844341635704E-002,4.955825582146645E-002,-8.666410446166992E-001,-4.702562093734741E-001,
8.782500000000000E+008,-3.405870869755745E-002,6.908509135246277E-002,-8.852447867393494E-001,-4.354776442050934E-001,
