% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-6.448078900575638E-002,6.237132102251053E-002,-5.166717767715454E-001,-8.416081666946411E-001,
7.025500000000000E+008,-4.239649698138237E-002,6.814770400524139E-002,-5.496467947959900E-001,-8.171202540397644E-001,
7.151000000000000E+008,-2.497471123933792E-002,5.842670798301697E-002,-5.847714543342590E-001,-8.031477332115173E-001,
7.276500000000000E+008,-2.185097895562649E-002,4.094080999493599E-002,-6.134707927703857E-001,-7.783436179161072E-001,
7.402000000000000E+008,-3.414104878902435E-002,2.893652021884918E-002,-6.444320678710938E-001,-7.532960772514343E-001,
7.527500000000000E+008,-5.101825296878815E-002,3.236460313200951E-002,-6.735550165176392E-001,-7.239837050437927E-001,
7.653000000000000E+008,-6.101990491151810E-002,4.917414858937264E-002,-6.962941288948059E-001,-6.991510391235352E-001,
7.778500000000000E+008,-5.640550330281258E-002,7.025618106126785E-002,-7.244935035705566E-001,-6.714709997177124E-001,
7.904000000000000E+008,-3.826698660850525E-002,8.350355923175812E-002,-7.522917985916138E-001,-6.494524478912354E-001,
8.029500000000000E+008,-1.761375740170479E-002,8.089216798543930E-002,-7.728362679481506E-001,-6.150758266448975E-001,
8.155000000000000E+008,-5.419137421995401E-003,6.578423827886581E-002,-7.987123727798462E-001,-5.854274630546570E-001,
8.280500000000000E+008,-8.570902980864048E-003,4.810231178998947E-002,-8.202754259109497E-001,-5.499112010002136E-001,
8.406000000000000E+008,-2.329436689615250E-002,4.054478183388710E-002,-8.427768945693970E-001,-5.235201716423035E-001,
8.531500000000000E+008,-3.913459926843643E-002,4.854532703757286E-002,-8.597803115844727E-001,-4.864814281463623E-001,
8.657000000000000E+008,-4.541448503732681E-002,6.656763702630997E-002,-8.775309324264526E-001,-4.549259245395660E-001,
8.782500000000000E+008,-3.660388663411140E-002,8.630063384771347E-002,-8.941981792449951E-001,-4.201804697513580E-001,
8.908000000000000E+008,-1.756720431149006E-002,9.687165915966034E-002,-9.115131497383118E-001,-3.867711722850800E-001,
9.033500000000000E+008,1.951670390553772E-003,9.154060482978821E-002,-9.300666451454163E-001,-3.532799184322357E-001,
9.159000000000000E+008,1.284440979361534E-002,7.653195410966873E-002,-9.380476474761963E-001,-3.153935670852661E-001,
9.284500000000000E+008,1.001246180385351E-002,6.089797243475914E-002,-9.483562707901001E-001,-2.780835926532745E-001,
9.410000000000000E+008,-3.377108601853252E-003,5.488968640565872E-002,-9.565571546554565E-001,-2.394052445888519E-001,
9.535500000000000E+008,-1.644422858953476E-002,6.211281567811966E-002,-9.699922204017639E-001,-2.009592503309250E-001,
