% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-6.477878242731094E-002,5.943791940808296E-002,-5.161640048027039E-001,-8.403689265251160E-001,
7.025500000000000E+008,-4.294283688068390E-002,6.493293493986130E-002,-5.499703288078308E-001,-8.189941048622131E-001,
7.151000000000000E+008,-2.573768049478531E-002,5.497896298766136E-002,-5.835167765617371E-001,-8.040307760238648E-001,
7.276500000000000E+008,-2.318221144378185E-002,3.757818415760994E-002,-6.106800436973572E-001,-7.777599096298218E-001,
7.402000000000000E+008,-3.559837862849236E-002,2.593828924000263E-002,-6.420183777809143E-001,-7.548051476478577E-001,
7.527500000000000E+008,-5.255522578954697E-002,2.954649738967419E-002,-6.734443902969360E-001,-7.229665517807007E-001,
7.653000000000000E+008,-6.241786852478981E-002,4.601572453975678E-002,-6.962538361549377E-001,-7.044301629066467E-001,
7.778500000000000E+008,-5.796458944678307E-002,6.724518537521362E-002,-7.235978245735169E-001,-6.709587574005127E-001,
7.904000000000000E+008,-3.978811576962471E-002,8.037021756172180E-002,-7.522415518760681E-001,-6.489843726158142E-001,
8.029500000000000E+008,-1.977740228176117E-002,7.734376192092896E-002,-7.699752449989319E-001,-6.155073642730713E-001,
8.155000000000000E+008,-8.053732104599476E-003,6.249338760972023E-002,-7.987589836120606E-001,-5.861542820930481E-001,
8.280500000000000E+008,-1.155502907931805E-002,4.476625472307205E-002,-8.174619078636169E-001,-5.495672821998596E-001,
8.406000000000000E+008,-2.660216763615608E-002,3.773108869791031E-002,-8.426883220672607E-001,-5.244542360305786E-001,
8.531500000000000E+008,-4.246388748288155E-002,4.580613970756531E-002,-8.591401576995850E-001,-4.871488809585571E-001,
8.657000000000000E+008,-4.884958639740944E-002,6.398919969797134E-002,-8.759378194808960E-001,-4.565775394439697E-001,
8.782500000000000E+008,-4.022759199142456E-002,8.349205553531647E-002,-8.916766047477722E-001,-4.204486012458801E-001,
8.908000000000000E+008,-2.146109938621521E-002,9.396877139806747E-002,-9.112651348114014E-001,-3.869740962982178E-001,
9.033500000000000E+008,-2.366243861615658E-003,8.830095082521439E-002,-9.273598790168762E-001,-3.538652360439301E-001,
9.159000000000000E+008,8.182117715477943E-003,7.361346483230591E-002,-9.391642808914185E-001,-3.166253268718720E-001,
9.284500000000000E+008,4.796240478754044E-003,5.834500864148140E-002,-9.481559991836548E-001,-2.788640260696411E-001,
9.410000000000000E+008,-8.594305254518986E-003,5.272950232028961E-002,-9.563226103782654E-001,-2.379398047924042E-001,
9.535500000000000E+008,-2.177299000322819E-002,6.028984859585762E-002,-9.673789739608765E-001,-2.015613615512848E-001,
9.661000000000000E+008,-2.433925867080689E-002,7.747001945972443E-002,-9.728751182556152E-001,-1.634861677885056E-001,
9.786500000000000E+008,-1.359736640006304E-002,9.351752698421478E-002,-9.783230423927307E-001,-1.289380937814713E-001,
9.912000000000000E+008,6.023252848535776E-003,9.882654249668121E-002,-9.837477207183838E-001,-8.971357345581055E-002,
1.003750000000000E+009,2.441463060677052E-002,9.063155949115753E-002,-9.817436933517456E-001,-5.410819873213768E-002,
1.016300000000000E+009,3.047600947320461E-002,7.336742430925369E-002,-9.934419393539429E-001,-9.721770882606506E-003,
1.028850000000000E+009,2.196760475635529E-002,5.824942141771317E-002,-9.901476502418518E-001,2.541094832122326E-002,
1.041400000000000E+009,5.195286590605974E-003,5.629027262330055E-002,-9.870101809501648E-001,5.913572013378143E-002,
1.053950000000000E+009,-5.743723828345537E-003,6.995734572410584E-002,-9.811708927154541E-001,1.057641506195068E-001,
1.066500000000000E+009,-3.035242669284344E-003,9.033101797103882E-002,-9.752556681632996E-001,1.449673324823380E-001,
1.079050000000000E+009,1.610249280929565E-002,1.057142689824104E-001,-9.733944535255432E-001,1.774343848228455E-001,
1.091600000000000E+009,4.239918291568756E-002,1.030918583273888E-001,-9.615179300308228E-001,2.154567241668701E-001,
1.104150000000000E+009,6.048419699072838E-002,8.452570438385010E-002,-9.499540328979492E-001,2.484885901212692E-001,
1.116700000000000E+009,5.918801575899124E-002,5.884714052081108E-002,-9.437943696975708E-001,2.871642112731934E-001,
1.129250000000000E+009,4.019861295819283E-002,4.425118491053581E-002,-9.359204173088074E-001,3.264871239662170E-001,
1.141800000000000E+009,1.582026295363903E-002,5.073362216353416E-002,-9.204214811325073E-001,3.609920144081116E-001,
1.154350000000000E+009,5.555678624659777E-003,7.479609549045563E-002,-8.989817500114441E-001,4.068117737770081E-001,
1.166900000000000E+009,1.919598504900932E-002,1.005880609154701E-001,-8.821232914924622E-001,4.328102171421051E-001,
1.179450000000000E+009,4.974379763007164E-002,1.109246388077736E-001,-8.684473037719727E-001,4.658297002315521E-001,
