% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-3.179817274212837E-002,5.450593307614327E-002,-4.947954416275024E-001,-8.630334734916687E-001,
7.025500000000000E+008,-9.189465083181858E-003,5.934417247772217E-002,-5.228785872459412E-001,-8.402598500251770E-001,
7.151000000000000E+008,9.438268840312958E-003,5.039883404970169E-002,-5.870862007141113E-001,-8.267915844917297E-001,
7.276500000000000E+008,1.456641312688589E-002,3.084963001310825E-002,-6.052514314651489E-001,-7.987906336784363E-001,
7.402000000000000E+008,3.766806097701192E-003,1.561418268829584E-002,-6.269385814666748E-001,-7.700324654579163E-001,
7.527500000000000E+008,-1.351131778210402E-002,1.742726750671864E-002,-6.749799251556397E-001,-7.327682971954346E-001,
7.653000000000000E+008,-2.508743852376938E-002,3.241672739386559E-002,-6.815577149391174E-001,-7.329473495483398E-001,
7.778500000000000E+008,-2.062308415770531E-002,5.133629217743874E-002,-6.951730251312256E-001,-6.943576931953430E-001,
7.904000000000000E+008,-1.959872897714376E-003,6.306125968694687E-002,-7.280664443969727E-001,-6.631760597229004E-001,
8.029500000000000E+008,1.827365905046463E-002,5.962855368852615E-002,-7.484005093574524E-001,-6.384792923927307E-001,
8.155000000000000E+008,3.173319250345230E-002,4.334734380245209E-002,-7.915661334991455E-001,-6.072307825088501E-001,
8.280500000000000E+008,3.142089024186134E-002,2.508405596017838E-002,-8.156908750534058E-001,-5.664649605751038E-001,
8.406000000000000E+008,1.651230826973915E-002,1.394169684499502E-002,-8.252577185630798E-001,-5.586715340614319E-001,
8.531500000000000E+008,-1.184233347885311E-003,2.066165022552013E-002,-8.572271466255188E-001,-5.182156562805176E-001,
8.657000000000000E+008,-8.967116475105286E-003,3.532974421977997E-002,-8.745093941688538E-001,-4.843664467334747E-001,
8.782500000000000E+008,-1.715240767225623E-003,5.378589034080505E-002,-8.854337930679321E-001,-4.491609036922455E-001,
8.908000000000000E+008,1.687346771359444E-002,6.141844764351845E-002,-9.060561060905457E-001,-4.018323123455048E-001,
9.033500000000000E+008,3.617360442876816E-002,5.573685094714165E-002,-9.064905047416687E-001,-3.844950795173645E-001,
9.159000000000000E+008,4.580509662628174E-002,3.908197954297066E-002,-9.335677027702332E-001,-3.430163264274597E-001,
9.284500000000000E+008,4.404127225279808E-002,2.236073836684227E-002,-9.481775760650635E-001,-3.221086859703064E-001,
9.410000000000000E+008,2.976474538445473E-002,1.190346665680409E-002,-9.648174047470093E-001,-2.853727340698242E-001,
9.535500000000000E+008,1.581365987658501E-002,1.776170544326305E-002,-9.756112694740295E-001,-2.392119467258453E-001,
9.661000000000000E+008,1.187299005687237E-002,3.154038637876511E-002,-9.778684973716736E-001,-1.843397915363312E-001,
9.786500000000000E+008,1.999577693641186E-002,4.653004929423332E-002,-9.805583953857422E-001,-1.544543504714966E-001,
9.912000000000000E+008,3.921985253691673E-002,5.131956189870834E-002,-9.889158606529236E-001,-1.230825483798981E-001,
1.003750000000000E+009,5.710083246231079E-002,4.064769670367241E-002,-9.956766366958618E-001,-6.820743530988693E-002,
1.016300000000000E+009,6.340645998716354E-002,2.121780067682266E-002,-9.892306327819824E-001,-4.258422553539276E-002,
1.028850000000000E+009,5.445578694343567E-002,3.500436665490270E-003,-9.974102377891541E-001,-3.297173650935292E-003,
1.041400000000000E+009,3.745103999972343E-002,-7.959296344779432E-004,-9.888680577278137E-001,3.606678545475006E-002,
1.053950000000000E+009,2.333454228937626E-002,8.567593991756439E-003,-9.876893162727356E-001,7.811494916677475E-002,
1.066500000000000E+009,2.152664400637150E-002,2.752598747611046E-002,-9.913873076438904E-001,1.019529476761818E-001,
1.079050000000000E+009,3.903337568044663E-002,4.051287844777107E-002,-9.828310012817383E-001,1.473812311887741E-001,
1.091600000000000E+009,6.280420720577240E-002,3.691092506051064E-002,-9.773126244544983E-001,1.925259679555893E-001,
1.104150000000000E+009,7.777421921491623E-002,1.983324065804482E-002,-9.698473811149597E-001,2.155346721410751E-001,
1.116700000000000E+009,7.904088497161865E-002,-6.428856402635574E-003,-9.567430019378662E-001,2.379497438669205E-001,
1.129250000000000E+009,5.864550173282623E-002,-2.574131265282631E-002,-9.497902989387512E-001,2.842467725276947E-001,
1.141800000000000E+009,3.326479345560074E-002,-2.527498267591000E-002,-9.370208382606506E-001,3.280721902847290E-001,
1.154350000000000E+009,1.694020442664623E-002,-3.662043251097202E-003,-9.283752441406250E-001,3.557164072990418E-001,
1.166900000000000E+009,2.263859659433365E-002,2.065091952681541E-002,-9.149438142776489E-001,3.977714180946350E-001,
1.179450000000000E+009,5.066132918000221E-002,3.134959936141968E-002,-8.898609280586243E-001,4.209388494491577E-001,
1.192000000000000E+009,8.149561285972595E-002,2.008467167615891E-002,-8.789710402488709E-001,4.723525643348694E-001,
1.204550000000000E+009,9.275715798139572E-002,-1.119612995535135E-002,-8.607236742973328E-001,5.036652684211731E-001,
1.217100000000000E+009,8.123973011970520E-002,-4.482391476631165E-002,-8.302337527275085E-001,5.331556797027588E-001,
1.229650000000000E+009,4.929973557591438E-002,-5.605336651206017E-002,-8.160881400108337E-001,5.701143145561218E-001,
1.242200000000000E+009,1.985394209623337E-002,-4.317571595311165E-002,-7.991898655891419E-001,5.914193391799927E-001,
1.254750000000000E+009,1.192907243967056E-002,-1.505836471915245E-002,-7.733117938041687E-001,6.243730187416077E-001,
1.267300000000000E+009,3.156588971614838E-002,6.874560844153166E-003,-7.468479275703430E-001,6.505168676376343E-001,
1.279850000000000E+009,6.047891452908516E-002,6.492001470178366E-003,-7.251552939414978E-001,6.696327328681946E-001,
1.292400000000000E+009,8.027407526969910E-002,-2.167375758290291E-002,-6.967929005622864E-001,6.982938051223755E-001,
1.304950000000000E+009,7.388088107109070E-002,-5.514951050281525E-002,-6.685141921043396E-001,7.184877991676331E-001,
1.317500000000000E+009,4.089457169175148E-002,-7.526846230030060E-002,-6.573460698127747E-001,7.428346872329712E-001,
1.330050000000000E+009,5.874965805560350E-003,-6.694749742746353E-002,-6.298945546150208E-001,7.755407691001892E-001,
1.342600000000000E+009,-1.204734295606613E-002,-3.220770508050919E-002,-5.839395523071289E-001,7.975419759750366E-001,
1.355150000000000E+009,3.716976149007678E-003,2.376354299485683E-003,-5.467743873596191E-001,8.179018497467041E-001,
1.367700000000000E+009,4.196545109152794E-002,1.362172234803438E-002,-5.145862102508545E-001,8.405524492263794E-001,
1.380250000000000E+009,7.511241734027863E-002,-7.219575345516205E-003,-4.838230609893799E-001,8.664898276329041E-001,
1.392800000000000E+009,8.589776605367661E-002,-4.995782300829887E-002,-4.591044783592224E-001,8.743804097175598E-001,
1.405350000000000E+009,5.961866676807404E-002,-8.686507493257523E-002,-4.312659800052643E-001,8.978672027587891E-001,
1.417900000000000E+009,1.680148020386696E-002,-9.515238553285599E-002,-3.855184018611908E-001,9.067034125328064E-001,
1.430450000000000E+009,-1.663899794220924E-002,-7.181845605373383E-002,-3.665369749069214E-001,9.166054725646973E-001,
1.443000000000000E+009,-2.104145847260952E-002,-3.455828502774239E-002,-3.249906301498413E-001,9.286855459213257E-001,
1.455550000000000E+009,2.543549053370953E-003,-6.536312866955996E-003,-2.856451869010925E-001,9.456702470779419E-001,
1.468100000000000E+009,3.655157983303070E-002,-1.097503677010536E-002,-2.554965019226074E-001,9.500245451927185E-001,
1.480650000000000E+009,5.649473890662193E-002,-3.887966275215149E-002,-2.016943991184235E-001,9.476417303085327E-001,
1.493200000000000E+009,4.626196995377541E-002,-7.281012088060379E-002,-1.720537692308426E-001,9.700769782066345E-001,
1.505750000000000E+009,1.443500630557537E-002,-8.866681158542633E-002,-1.397982537746429E-001,9.778431057929993E-001,
1.518300000000000E+009,-1.618415117263794E-002,-7.585148513317108E-002,-9.819737821817398E-002,9.821265935897827E-001,
1.530850000000000E+009,-2.695568837225437E-002,-4.741947352886200E-002,-6.459847092628479E-002,9.898018836975098E-001,
1.543400000000000E+009,-1.090713497251272E-002,-2.284977026283741E-002,-2.209079638123512E-002,9.855604767799377E-001,
1.555950000000000E+009,1.768313534557819E-002,-2.072320878505707E-002,2.086308598518372E-002,9.945672154426575E-001,
1.568500000000000E+009,3.807461634278297E-002,-4.358547180891037E-002,5.478294193744659E-002,9.828070998191834E-001,
1.581050000000000E+009,3.378369659185410E-002,-7.716377079486847E-002,8.740391582250595E-002,9.829736351966858E-001,
1.593600000000000E+009,4.437944851815701E-003,-9.755819290876389E-002,1.286071389913559E-001,9.799220561981201E-001,
1.606150000000000E+009,-3.137847036123276E-002,-9.176752716302872E-002,1.715959757566452E-001,9.720599651336670E-001,
1.618700000000000E+009,-5.130608379840851E-002,-6.422938406467438E-002,2.084910422563553E-001,9.761034846305847E-001,
1.631250000000000E+009,-4.750647768378258E-002,-3.463467210531235E-002,2.343456447124481E-001,9.575428366661072E-001,
1.643800000000000E+009,-2.370554953813553E-002,-1.835933886468411E-002,2.743344008922577E-001,9.607087373733521E-001,
1.656350000000000E+009,2.324875211343169E-003,-2.760559692978859E-002,3.108029961585999E-001,9.439308643341065E-001,
1.668900000000000E+009,1.168850436806679E-002,-5.435021221637726E-002,3.428714871406555E-001,9.301283955574036E-001,
1.681450000000000E+009,-4.128974396735430E-003,-7.705379277467728E-002,3.712934851646423E-001,9.138765335083008E-001,
1.694000000000000E+009,-3.328145295381546E-002,-8.313297480344772E-002,4.164089262485504E-001,8.988345265388489E-001,
1.706550000000000E+009,-5.874150991439819E-002,-6.822982430458069E-002,4.491685330867767E-001,8.792533278465271E-001,
1.719100000000000E+009,-6.681192666292191E-002,-3.908114880323410E-002,4.785434305667877E-001,8.762121200561523E-001,
1.731650000000000E+009,-5.474196374416351E-002,-1.797352358698845E-002,5.164276957511902E-001,8.458364009857178E-001,
1.744200000000000E+009,-3.460769727826119E-002,-1.273959223181009E-002,5.478156208992004E-001,8.287218809127808E-001,
1.756750000000000E+009,-1.660622470080853E-002,-2.468947693705559E-002,5.977928638458252E-001,8.060283064842224E-001,
1.769300000000000E+009,-1.462860964238644E-002,-4.478831961750984E-002,6.112618446350098E-001,7.850927114486694E-001,
1.781850000000000E+009,-2.893064357340336E-002,-5.972274020314217E-002,6.349950432777405E-001,7.562998533248901E-001,
1.794400000000000E+009,-4.988542199134827E-002,-5.989192426204681E-002,6.574153900146484E-001,7.271571755409241E-001,
1.806950000000000E+009,-6.766571849584580E-002,-4.542421922087669E-002,6.877793073654175E-001,6.999464631080627E-001,
1.819500000000000E+009,-7.066024094820023E-002,-2.361466735601425E-002,7.121315598487854E-001,6.823235154151917E-001,
1.832050000000000E+009,-5.778003856539726E-002,-9.866337291896343E-003,7.425907254219055E-001,6.552910804748535E-001,
1.844600000000000E+009,-4.335654899477959E-002,-6.454368121922016E-003,7.627869248390198E-001,6.306008696556091E-001,
1.857150000000000E+009,-3.096735663712025E-002,-2.108196727931500E-002,7.926785349845886E-001,6.017379760742188E-001,
1.869700000000000E+009,-3.541882708668709E-002,-3.641261532902718E-002,8.091800808906555E-001,5.530491471290588E-001,
1.882250000000000E+009,-5.076678842306137E-002,-4.574389010667801E-002,8.354021310806274E-001,5.419074892997742E-001,
1.894800000000000E+009,-7.447905838489533E-002,-3.857294097542763E-002,8.656819462776184E-001,4.958416521549225E-001,
1.907350000000000E+009,-8.575854450464249E-002,-2.003583498299122E-002,8.781151771545410E-001,4.679076671600342E-001,
1.919900000000000E+009,-8.384744822978973E-002,5.395607091486454E-003,8.883115649223328E-001,4.386066794395447E-001,
1.932450000000000E+009,-6.563173234462738E-002,2.225144207477570E-002,9.125782251358032E-001,3.927577137947083E-001,
1.945000000000000E+009,-4.460893198847771E-002,2.062257006764412E-002,9.173098802566528E-001,3.640336394309998E-001,
1.957550000000000E+009,-2.915367297828198E-002,2.452856395393610E-003,9.301238656044006E-001,3.259102702140808E-001,
1.970100000000000E+009,-3.358288481831551E-002,-2.000919356942177E-002,9.355173110961914E-001,2.920955717563629E-001,
1.982650000000000E+009,-5.627898871898651E-002,-3.353706002235413E-002,9.494633078575134E-001,2.614163458347321E-001,
1.995200000000000E+009,-8.416475355625153E-002,-2.637330256402493E-002,9.622229933738709E-001,2.241773456335068E-001,
2.007750000000000E+009,-9.877064079046249E-002,1.461244537495077E-003,9.765136241912842E-001,1.756779104471207E-001,
2.020300000000000E+009,-9.479804337024689E-002,3.602085635066032E-002,9.763668179512024E-001,1.486073285341263E-001,
2.032850000000000E+009,-6.785432249307632E-002,5.354779586195946E-002,9.876960515975952E-001,1.151109188795090E-001,
2.045400000000000E+009,-3.824043646454811E-002,4.913238063454628E-002,9.871901869773865E-001,8.651296049356461E-002,
2.057950000000000E+009,-2.251847460865974E-002,2.616767026484013E-002,9.937893152236939E-001,3.910940513014793E-002,
2.070500000000000E+009,-3.496661409735680E-002,-1.209488138556480E-003,9.913545846939087E-001,-1.008182950317860E-002,
2.083050000000000E+009,-6.300971657037735E-002,-8.050926961004734E-003,9.934763908386231E-001,-4.821287840604782E-002,
2.095600000000000E+009,-8.839296549558640E-002,9.395980276167393E-003,9.820068478584290E-001,-8.948672562837601E-002,
2.108150000000000E+009,-9.486105293035507E-002,4.350205883383751E-002,9.758892655372620E-001,-1.187481135129929E-001,
2.120700000000000E+009,-6.908039003610611E-002,7.130650430917740E-002,9.741515517234802E-001,-1.583825051784515E-001,
2.133250000000000E+009,-3.350672498345375E-002,7.525641471147537E-002,9.691360592842102E-001,-1.963890492916107E-001,
2.145800000000000E+009,-8.349929004907608E-003,5.192375928163528E-002,9.718407392501831E-001,-2.333936989307404E-001,
2.158350000000000E+009,-1.409802492707968E-002,1.775199361145496E-002,9.555208683013916E-001,-2.635364234447479E-001,
2.170900000000000E+009,-4.451391100883484E-002,-3.035583067685366E-003,9.447190761566162E-001,-3.038977682590485E-001,
2.183450000000000E+009,-8.104328066110611E-002,9.255001321434975E-003,9.326756000518799E-001,-3.385590314865112E-001,
2.196000000000000E+009,-9.752228111028671E-002,4.783863574266434E-002,9.083237648010254E-001,-3.707401156425476E-001,
2.208550000000000E+009,-8.094109594821930E-002,9.081347286701202E-002,8.987888097763062E-001,-3.996150791645050E-001,
2.221100000000000E+009,-3.774226456880570E-002,1.082908734679222E-001,8.894383311271668E-001,-4.442929029464722E-001,
2.233650000000000E+009,-7.155612693168223E-004,9.018472582101822E-002,8.747156262397766E-001,-4.635140299797058E-001,
2.246200000000000E+009,1.334541477262974E-002,5.223236232995987E-002,8.534723520278931E-001,-5.044084191322327E-001,
2.258750000000000E+009,-9.569595567882061E-003,1.918108575046063E-002,8.335075378417969E-001,-5.452322959899902E-001,
2.271300000000000E+009,-5.099676176905632E-002,1.819508709013462E-002,8.073760271072388E-001,-5.777551531791687E-001,
2.283850000000000E+009,-8.093985915184021E-002,5.138526856899262E-002,7.815912365913391E-001,-6.030228137969971E-001,
2.296400000000000E+009,-7.575125992298126E-002,9.891219437122345E-002,7.585964798927307E-001,-6.288644075393677E-001,
2.308950000000000E+009,-3.631743043661118E-002,1.274144947528839E-001,7.329765558242798E-001,-6.538858413696289E-001,
2.321500000000000E+009,1.334144547581673E-002,1.195061951875687E-001,7.179177403450012E-001,-6.780933141708374E-001,
2.334050000000000E+009,3.914064168930054E-002,8.106669783592224E-002,6.904078125953674E-001,-7.104626297950745E-001,
2.346600000000000E+009,2.692868188023567E-002,4.044788330793381E-002,6.647971272468567E-001,-7.307303547859192E-001,
2.359150000000000E+009,-1.243299245834351E-002,2.639203704893589E-002,6.410109996795654E-001,-7.671430110931397E-001,
2.371700000000000E+009,-4.781599715352058E-002,4.919671267271042E-002,5.978958606719971E-001,-7.901706099510193E-001,
2.384250000000000E+009,-5.376253649592400E-002,9.335001558065414E-002,5.667312145233154E-001,-8.029848337173462E-001,
2.396800000000000E+009,-2.238510176539421E-002,1.292850226163864E-001,5.231972336769104E-001,-8.230611085891724E-001,
2.409350000000000E+009,2.782830409705639E-002,1.330566406250000E-001,5.046339631080627E-001,-8.418637514114380E-001,
2.421900000000000E+009,6.160303950309753E-002,1.012945696711540E-001,4.846472442150116E-001,-8.570513129234314E-001,
2.434450000000000E+009,6.120856851339340E-002,5.518376827239990E-002,4.475280344486237E-001,-8.823481798171997E-001,
2.447000000000000E+009,2.877418696880341E-002,3.009741939604282E-002,4.160648882389069E-001,-8.981398940086365E-001,
2.459550000000000E+009,-1.284298952668905E-002,4.130927845835686E-002,3.714556097984314E-001,-9.156737923622131E-001,
2.472100000000000E+009,-2.679981477558613E-002,8.502992987632752E-002,3.372503817081451E-001,-9.208920001983643E-001,
2.484650000000000E+009,-4.128543194383383E-003,1.266227364540100E-001,2.951543331146240E-001,-9.355593919754028E-001,
2.497200000000000E+009,4.865622147917748E-002,1.381492614746094E-001,2.667296528816223E-001,-9.375686049461365E-001,
2.509750000000000E+009,9.274736791849136E-002,1.136892512440682E-001,2.353507727384567E-001,-9.521780610084534E-001,
2.522300000000000E+009,1.057876572012901E-001,6.529470533132553E-002,2.067743837833405E-001,-9.678840637207031E-001,
2.534850000000000E+009,8.032063394784927E-002,2.483353391289711E-002,1.738259196281433E-001,-9.798915386199951E-001,
2.547400000000000E+009,3.830955550074577E-002,1.937807537615299E-002,1.295955032110214E-001,-9.750910997390747E-001,
2.559950000000000E+009,9.311718866229057E-003,4.886629804968834E-002,8.856419473886490E-002,-9.851321578025818E-001,
2.572500000000000E+009,1.663908734917641E-002,9.152002632617950E-002,4.190390929579735E-002,-9.858680963516235E-001,
2.585050000000000E+009,5.499637126922607E-002,1.148034557700157E-001,6.132040172815323E-003,-9.840884804725647E-001,
2.597600000000000E+009,9.958671033382416E-002,1.023159101605415E-001,-2.593963779509068E-002,-9.814690351486206E-001,
2.610150000000000E+009,1.229526549577713E-001,6.329501420259476E-002,-5.433589965105057E-002,-9.710369110107422E-001,
2.622700000000000E+009,1.108457222580910E-001,2.046729065477848E-002,-9.586627036333084E-002,-9.786835908889771E-001,
2.635250000000000E+009,7.494168728590012E-002,6.284980569034815E-003,-1.322957724332809E-001,-9.783584475517273E-001,
2.647800000000000E+009,4.352679476141930E-002,2.519340813159943E-002,-1.725677251815796E-001,-9.687150120735169E-001,
2.660350000000000E+009,4.146520048379898E-002,6.191098317503929E-002,-2.130964398384094E-001,-9.660031199455261E-001,
2.672900000000000E+009,7.188797742128372E-002,8.885326236486435E-002,-2.502427399158478E-001,-9.539947509765625E-001,
2.685450000000000E+009,1.188154667615891E-001,8.160725980997086E-002,-2.775239646434784E-001,-9.388808608055115E-001,
2.698000000000000E+009,1.478362083435059E-001,4.433361068367958E-002,-3.167528808116913E-001,-9.251944422721863E-001,
2.710550000000000E+009,1.441797167062759E-001,-4.363512620329857E-003,-3.473237156867981E-001,-9.205355644226074E-001,
2.723100000000000E+009,1.074211820960045E-001,-3.229691460728645E-002,-3.883805572986603E-001,-9.024561643600464E-001,
2.735650000000000E+009,6.563221663236618E-002,-2.457282133400440E-002,-4.198158085346222E-001,-8.966618776321411E-001,
2.748200000000000E+009,4.601823911070824E-002,1.237312890589237E-002,-4.568775892257690E-001,-8.757041692733765E-001,
2.760750000000000E+009,6.536228209733963E-002,5.051173269748688E-002,-4.946318864822388E-001,-8.548830747604370E-001,
2.773300000000000E+009,1.093798801302910E-001,6.106441468000412E-002,-5.261238813400269E-001,-8.323359489440918E-001,
2.785850000000000E+009,1.537975370883942E-001,3.257186710834503E-002,-5.546305775642395E-001,-8.105472326278687E-001,
2.798400000000000E+009,1.648456454277039E-001,-1.860016025602818E-002,-5.721980929374695E-001,-7.885406613349915E-001,
2.810950000000000E+009,1.397863775491715E-001,-6.382612884044647E-002,-6.060686707496643E-001,-7.683214545249939E-001,
2.823500000000000E+009,9.034062176942825E-002,-7.611137628555298E-002,-6.353453397750855E-001,-7.463214397430420E-001,
2.836050000000000E+009,5.208523198962212E-002,-5.380368232727051E-002,-6.720187067985535E-001,-7.276409864425659E-001,
2.848600000000000E+009,4.633028432726860E-002,-9.158198721706867E-003,-7.010763883590698E-001,-7.006686925888062E-001,
2.861150000000000E+009,7.993268966674805E-002,2.130581252276897E-002,-7.203940153121948E-001,-6.676974296569824E-001,
2.873700000000000E+009,1.275042444467545E-001,1.541536021977663E-002,-7.479465007781982E-001,-6.381220817565918E-001,
2.886250000000000E+009,1.577595472335815E-001,-2.655977010726929E-002,-7.704824209213257E-001,-6.022210717201233E-001,
2.898800000000000E+009,1.503764688968658E-001,-7.799056172370911E-002,-7.883502840995789E-001,-5.714703798294067E-001,
2.911350000000000E+009,1.083293482661247E-001,-1.108506917953491E-001,-8.070999383926392E-001,-5.557899475097656E-001,
2.923900000000000E+009,5.941825360059738E-002,-1.033374965190888E-001,-8.337436914443970E-001,-5.288924574851990E-001,
2.936450000000000E+009,3.548418357968330E-002,-6.495444476604462E-002,-8.615010380744934E-001,-4.952187538146973E-001,
2.949000000000000E+009,5.274340137839317E-002,-2.480174787342548E-002,-8.779961466789246E-001,-4.551351070404053E-001,
2.961550000000000E+009,9.832875430583954E-002,-1.349561847746372E-002,-8.992092609405518E-001,-4.128040373325348E-001,
2.974100000000000E+009,1.385690569877625E-001,-4.552641138434410E-002,-9.028545022010803E-001,-3.808105587959290E-001,
2.986650000000000E+009,1.449803113937378E-001,-1.018991619348526E-001,-9.131054282188416E-001,-3.426103591918945E-001,
2.999200000000000E+009,1.076913550496101E-001,-1.499814242124558E-001,-9.231330752372742E-001,-3.177705407142639E-001,
3.011750000000000E+009,4.733076319098473E-002,-1.578877270221710E-001,-9.359998106956482E-001,-2.813639640808106E-001,
3.024300000000000E+009,1.215041498653591E-003,-1.230478137731552E-001,-9.495010972023010E-001,-2.538399994373322E-001,
3.036850000000000E+009,-3.441500710323453E-003,-6.818510591983795E-002,-9.681856632232666E-001,-2.138096690177918E-001,
3.049400000000000E+009,3.833655640482903E-002,-3.169365227222443E-002,-9.757774472236633E-001,-1.684977561235428E-001,
3.061950000000000E+009,9.384202212095261E-002,-4.378945380449295E-002,-9.776182174682617E-001,-1.295160353183746E-001,
3.074500000000000E+009,1.243893206119537E-001,-9.865260124206543E-002,-9.745584726333618E-001,-8.608149737119675E-002,
3.087050000000000E+009,1.009251251816750E-001,-1.628415286540985E-001,-9.727362990379334E-001,-5.794840678572655E-002,
3.099600000000000E+009,3.951944410800934E-002,-1.946951001882553E-001,-9.683232307434082E-001,-2.373707108199596E-002,
3.112150000000000E+009,-2.902351878583431E-002,-1.739023178815842E-001,-9.813166856765747E-001,1.166923809796572E-002,
3.124700000000000E+009,-6.038366258144379E-002,-1.146892905235291E-001,-9.833042621612549E-001,4.355565458536148E-002,
3.137250000000000E+009,-3.756683692336083E-002,-5.317244678735733E-002,-9.935814738273621E-001,8.462584763765335E-002,
3.149800000000000E+009,2.412685193121433E-002,-3.368110582232475E-002,-9.820533990859985E-001,1.263756453990936E-001,
3.162350000000000E+009,7.814533263444901E-002,-7.185661792755127E-002,-9.758852720260620E-001,1.657394021749497E-001,
3.174900000000000E+009,8.192520588636398E-002,-1.419754177331924E-001,-9.573509097099304E-001,2.110041826963425E-001,
3.187450000000000E+009,3.119520470499992E-002,-1.954082548618317E-001,-9.474774003028870E-001,2.356727123260498E-001,
3.200000000000000E+009,-4.086837172508240E-002,-2.014618664979935E-001,-9.344618320465088E-001,2.670066058635712E-001,
