% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-5.140265077352524E-002,5.117189139127731E-002,-5.060914754867554E-001,-8.541567325592041E-001,
7.025500000000000E+008,-2.911184355616570E-002,5.692609399557114E-002,-5.345588922500610E-001,-8.221563100814819E-001,
7.151000000000000E+008,-1.134031359106302E-002,4.769789427518845E-002,-5.672296881675720E-001,-8.147770762443543E-001,
7.276500000000000E+008,-7.821824401617050E-003,2.874208800494671E-002,-5.973565578460693E-001,-7.868223786354065E-001,
7.402000000000000E+008,-1.923881471157074E-002,1.603277027606964E-002,-6.259628534317017E-001,-7.666576504707336E-001,
7.527500000000000E+008,-3.728566318750382E-002,1.830710843205452E-002,-6.585646271705627E-001,-7.394674420356751E-001,
7.653000000000000E+008,-4.857581108808518E-002,3.450119122862816E-002,-6.898608803749085E-001,-7.196397781372070E-001,
7.778500000000000E+008,-4.539879411458969E-002,5.472454428672791E-002,-7.121925354003906E-001,-6.873293519020081E-001,
7.904000000000000E+008,-2.825058251619339E-002,6.750623881816864E-002,-7.355640530586243E-001,-6.591029167175293E-001,
8.029500000000000E+008,-7.393940351903439E-003,6.545668095350266E-002,-7.629383802413940E-001,-6.315609216690064E-001,
8.155000000000000E+008,5.073029547929764E-003,4.997956752777100E-002,-7.845542430877686E-001,-6.022955179214478E-001,
8.280500000000000E+008,2.451996086165309E-003,3.127843886613846E-002,-8.153033256530762E-001,-5.747834444046021E-001,
8.406000000000000E+008,-1.183484401553869E-002,2.267845533788204E-002,-8.309096097946167E-001,-5.405939817428589E-001,
8.531500000000000E+008,-2.902928739786148E-002,2.862332947552204E-002,-8.513810634613037E-001,-5.100787281990051E-001,
8.657000000000000E+008,-3.685889393091202E-002,4.612137004733086E-002,-8.680887818336487E-001,-4.735454022884369E-001,
8.782500000000000E+008,-2.962663397192955E-002,6.549747288227081E-002,-8.870792388916016E-001,-4.446308016777039E-001,
8.908000000000000E+008,-1.173849962651730E-002,7.564017176628113E-002,-9.038842916488648E-001,-4.069980680942535E-001,
9.033500000000000E+008,8.320277556777000E-003,7.164977490901947E-002,-9.144788384437561E-001,-3.755383789539337E-001,
9.159000000000000E+008,1.817629113793373E-002,5.632236599922180E-002,-9.343765974044800E-001,-3.361437916755676E-001,
9.284500000000000E+008,1.519755739718676E-002,3.957944735884666E-002,-9.391683340072632E-001,-3.064305484294891E-001,
9.410000000000000E+008,1.510654808953404E-003,3.270171955227852E-002,-9.590634107589722E-001,-2.667968273162842E-001,
9.535500000000000E+008,-1.263654977083206E-002,3.808046504855156E-002,-9.614073038101196E-001,-2.284561544656754E-001,
9.661000000000000E+008,-1.721094734966755E-002,5.477881431579590E-002,-9.718988537788391E-001,-1.904926896095276E-001,
9.786500000000000E+008,-8.109584450721741E-003,7.102136313915253E-002,-9.723224639892578E-001,-1.544372439384460E-001,
9.912000000000000E+008,1.151559315621853E-002,7.651060074567795E-002,-9.819586873054504E-001,-1.153460517525673E-001,
1.003750000000000E+009,2.898048609495163E-002,6.861918419599533E-002,-9.835280179977417E-001,-7.714551687240601E-002,
1.016300000000000E+009,3.616185113787651E-002,5.127827078104019E-002,-9.902384281158447E-001,-3.921252861618996E-002,
1.028850000000000E+009,2.871670760214329E-002,3.451067209243774E-002,-9.909726381301880E-001,-2.943162573501468E-003,
1.041400000000000E+009,1.146830804646015E-002,3.158739581704140E-002,-9.877395033836365E-001,3.528505191206932E-002,
1.053950000000000E+009,-2.498530317097902E-003,4.348973184823990E-002,-9.857480525970459E-001,7.376086711883545E-002,
1.066500000000000E+009,-1.714036334306002E-003,6.396196037530899E-002,-9.794233441352844E-001,1.129059344530106E-001,
1.079050000000000E+009,1.518090255558491E-002,8.021621406078339E-002,-9.832080602645874E-001,1.512624174356461E-001,
1.091600000000000E+009,3.984316438436508E-002,7.905575633049011E-002,-9.664446115493774E-001,1.879087984561920E-001,
1.104150000000000E+009,5.870102345943451E-002,6.067858636379242E-002,-9.663451910018921E-001,2.242721170186997E-001,
1.116700000000000E+009,5.863363295793533E-002,3.458845242857933E-002,-9.580096006393433E-001,2.611560523509979E-001,
1.129250000000000E+009,4.030766338109970E-002,1.782115921378136E-002,-9.443721175193787E-001,2.986990213394165E-001,
1.141800000000000E+009,1.495199277997017E-002,2.190431021153927E-002,-9.304419755935669E-001,3.353686928749085E-001,
1.154350000000000E+009,1.693145371973515E-003,4.422882571816444E-002,-9.194121956825256E-001,3.699925243854523E-001,
1.166900000000000E+009,1.151669956743717E-002,7.105022668838501E-002,-9.022649526596069E-001,4.071506261825562E-001,
1.179450000000000E+009,4.049756377935410E-002,8.406199514865875E-002,-8.866006731987000E-001,4.396246075630188E-001,
1.192000000000000E+009,7.201480120420456E-002,7.245545834302902E-002,-8.716452717781067E-001,4.672197401523590E-001,
1.204550000000000E+009,8.635973185300827E-002,4.236912354826927E-002,-8.487875461578369E-001,5.023518204689026E-001,
1.217100000000000E+009,7.423023134469986E-002,1.152640394866467E-002,-8.272452354431152E-001,5.357670187950134E-001,
1.229650000000000E+009,4.470554366707802E-002,3.880232397932559E-004,-8.091381192207336E-001,5.689580440521240E-001,
1.242200000000000E+009,1.869465410709381E-002,1.446896884590387E-002,-7.882571816444397E-001,5.990185141563416E-001,
1.254750000000000E+009,1.401531696319580E-002,4.395154118537903E-002,-7.626453042030335E-001,6.304734945297241E-001,
1.267300000000000E+009,3.489383682608604E-002,6.653728336095810E-002,-7.396046519279480E-001,6.587445735931397E-001,
1.279850000000000E+009,6.806724518537521E-002,6.585318595170975E-002,-7.129036188125610E-001,6.804860234260559E-001,
1.292400000000000E+009,9.042341262102127E-002,3.982422128319740E-002,-6.860487461090088E-001,7.069020271301270E-001,
1.304950000000000E+009,8.523695915937424E-002,4.768319427967072E-003,-6.637123227119446E-001,7.321143150329590E-001,
1.317500000000000E+009,5.641071498394013E-002,-1.373983453959227E-002,-6.356062889099121E-001,7.568193078041077E-001,
1.330050000000000E+009,2.213181555271149E-002,-2.419895026832819E-003,-6.052267551422119E-001,7.859309911727905E-001,
1.342600000000000E+009,8.765838108956814E-003,3.229725360870361E-002,-5.720966458320618E-001,8.085473775863648E-001,
1.355150000000000E+009,2.853179909288883E-002,6.747560948133469E-002,-5.352001190185547E-001,8.257101774215698E-001,
1.367700000000000E+009,6.881709396839142E-002,7.815513014793396E-002,-5.047333836555481E-001,8.495453596115112E-001,
1.380250000000000E+009,1.057274937629700E-001,5.501671135425568E-002,-4.735803008079529E-001,8.619313240051270E-001,
1.392800000000000E+009,1.163199990987778E-001,1.327816303819418E-002,-4.420346021652222E-001,8.756101131439209E-001,
1.405350000000000E+009,9.439126402139664E-002,-2.392492257058621E-002,-4.133098423480988E-001,8.917054533958435E-001,
1.417900000000000E+009,5.450187996029854E-002,-3.374151512980461E-002,-3.774796128273010E-001,9.128704071044922E-001,
1.430450000000000E+009,2.485075592994690E-002,-1.033903099596500E-002,-3.397818505764008E-001,9.271028041839600E-001,
