% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-5.140329152345657E-002,4.730137065052986E-002,-5.028079152107239E-001,-8.538053631782532E-001,
7.025500000000000E+008,-3.004940226674080E-002,5.288854241371155E-002,-5.283672213554382E-001,-8.246891498565674E-001,
7.151000000000000E+008,-1.233792025595903E-002,4.302338138222694E-002,-5.640332698822022E-001,-8.110631108283997E-001,
7.276500000000000E+008,-8.794477209448814E-003,2.488285303115845E-002,-5.965559482574463E-001,-7.840845584869385E-001,
7.402000000000000E+008,-2.007114142179489E-002,1.269234344363213E-002,-6.293242573738098E-001,-7.570446133613586E-001,
7.527500000000000E+008,-3.860317915678024E-002,1.389590743929148E-002,-6.572240591049194E-001,-7.346598505973816E-001,
7.653000000000000E+008,-4.982827603816986E-002,3.058036789298058E-002,-6.815878748893738E-001,-7.080889940261841E-001,
7.778500000000000E+008,-4.644203931093216E-002,5.075503885746002E-002,-7.081502079963684E-001,-6.844912171363831E-001,
7.904000000000000E+008,-2.939451672136784E-002,6.352950632572174E-002,-7.359976768493652E-001,-6.541208028793335E-001,
8.029500000000000E+008,-9.895263239741325E-003,6.173046678304672E-002,-7.596758604049683E-001,-6.352981925010681E-001,
8.155000000000000E+008,2.757483627647162E-003,4.594482108950615E-002,-7.832787632942200E-001,-5.988204479217529E-001,
8.280500000000000E+008,1.930014987010509E-004,2.764116041362286E-002,-8.099658489227295E-001,-5.670523047447205E-001,
8.406000000000000E+008,-1.429791096597910E-002,1.832588575780392E-002,-8.262624740600586E-001,-5.400941967964172E-001,
8.531500000000000E+008,-3.217439725995064E-002,2.447190508246422E-002,-8.484847545623779E-001,-5.072832703590393E-001,
8.657000000000000E+008,-3.990095108747482E-002,4.239065572619438E-002,-8.624824881553650E-001,-4.683639109134674E-001,
8.782500000000000E+008,-3.296104446053505E-002,6.062497198581696E-002,-8.835968375205994E-001,-4.373820722103119E-001,
8.908000000000000E+008,-1.507165469229221E-002,7.158324122428894E-002,-9.014896750450134E-001,-4.045371413230896E-001,
9.033500000000000E+008,4.277653526514769E-003,6.792897731065750E-002,-9.130217432975769E-001,-3.705764114856720E-001,
9.159000000000000E+008,1.396778412163258E-002,5.207378044724464E-002,-9.256413578987122E-001,-3.342164158821106E-001,
9.284500000000000E+008,1.131595950573683E-002,3.564527258276939E-002,-9.384540319442749E-001,-3.020484149456024E-001,
9.410000000000000E+008,-2.549117198213935E-003,2.900905162096024E-002,-9.522687792778015E-001,-2.642979919910431E-001,
9.535500000000000E+008,-1.695945858955383E-002,3.448560088872910E-002,-9.601473212242127E-001,-2.233234941959381E-001,
9.661000000000000E+008,-2.226251736283302E-002,5.073828250169754E-002,-9.683462381362915E-001,-1.864717453718185E-001,
9.786500000000000E+008,-1.361932139843702E-002,6.739836186170578E-002,-9.710499644279480E-001,-1.506900489330292E-001,
9.912000000000000E+008,6.017726846039295E-003,7.359445840120316E-002,-9.784677624702454E-001,-1.116729527711868E-001,
1.003750000000000E+009,2.326414920389652E-002,6.584566086530685E-002,-9.767335057258606E-001,-7.991177588701248E-002,
1.016300000000000E+009,3.027016669511795E-002,4.866053164005280E-002,-9.857014417648315E-001,-4.150906950235367E-002,
