% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-6.209463998675346E-002,5.838727205991745E-002,-5.173639059066773E-001,-8.464957475662231E-001,
7.025500000000000E+008,-4.011033847928047E-002,6.449326872825623E-002,-5.442079901695252E-001,-8.205780982971191E-001,
7.151000000000000E+008,-2.213042043149471E-002,5.482076853513718E-002,-5.779495239257813E-001,-8.058372735977173E-001,
7.276500000000000E+008,-1.907524280250073E-002,3.646481037139893E-002,-6.103104948997498E-001,-7.795369625091553E-001,
7.402000000000000E+008,-3.093015588819981E-002,2.496021240949631E-002,-6.370311379432678E-001,-7.555207610130310E-001,
7.527500000000000E+008,-4.876122251152992E-002,2.782902680337429E-002,-6.727399826049805E-001,-7.286933660507202E-001,
7.653000000000000E+008,-5.935370177030563E-002,4.524268582463265E-002,-6.997736692428589E-001,-7.044250369071960E-001,
7.778500000000000E+008,-5.527702718973160E-002,6.603939086198807E-002,-7.213352322578430E-001,-6.778998374938965E-001,
7.904000000000000E+008,-3.699238225817680E-002,7.873262465000153E-002,-7.478417158126831E-001,-6.467202305793762E-001,
8.029500000000000E+008,-1.637529209256172E-002,7.662132382392883E-002,-7.750681638717651E-001,-6.223312020301819E-001,
8.155000000000000E+008,-4.108116962015629E-003,6.127087399363518E-002,-7.959290742874146E-001,-5.902254581451416E-001,
8.280500000000000E+008,-6.809626240283251E-003,4.326906427741051E-002,-8.234819173812866E-001,-5.586847066879273E-001,
8.406000000000000E+008,-2.143165841698647E-002,3.522162511944771E-002,-8.417589664459229E-001,-5.310038924217224E-001,
8.531500000000000E+008,-3.812645375728607E-002,4.256655648350716E-002,-8.606006503105164E-001,-4.953640401363373E-001,
8.657000000000000E+008,-4.512443393468857E-002,6.103688478469849E-002,-8.765875101089478E-001,-4.582765996456146E-001,
8.782500000000000E+008,-3.706004470586777E-002,8.000601828098297E-002,-8.964674472808838E-001,-4.262532293796539E-001,
8.908000000000000E+008,-1.796908304095268E-002,9.050048887729645E-002,-9.125396013259888E-001,-3.912729918956757E-001,
9.033500000000000E+008,2.003225032240152E-003,8.634746819734573E-002,-9.224622249603272E-001,-3.593836724758148E-001,
9.159000000000000E+008,1.205333974212408E-002,7.084572315216065E-002,-9.385677576065064E-001,-3.199881315231323E-001,
9.284500000000000E+008,9.128273464739323E-003,5.494827404618263E-002,-9.473083615303040E-001,-2.890754044055939E-001,
9.410000000000000E+008,-4.166665021330118E-003,4.891651123762131E-002,-9.622668623924255E-001,-2.469533383846283E-001,
9.535500000000000E+008,-1.771262101829052E-002,5.569593608379364E-002,-9.681167602539063E-001,-2.072768509387970E-001,
9.661000000000000E+008,-2.126591280102730E-002,7.296191900968552E-002,-9.790236353874207E-001,-1.715157628059387E-001,
9.786500000000000E+008,-1.068238727748394E-002,8.912777155637741E-002,-9.790744781494141E-001,-1.340923905372620E-001,
9.912000000000000E+008,9.402683004736900E-003,9.427709877490997E-002,-9.843031167984009E-001,-9.422554075717926E-002,
1.003750000000000E+009,2.729310281574726E-002,8.618061244487763E-002,-9.861114621162415E-001,-5.618415400385857E-002,
1.016300000000000E+009,3.434839099645615E-002,6.864265352487564E-002,-9.904499650001526E-001,-1.924266293644905E-002,
1.028850000000000E+009,2.683453448116779E-002,5.279157310724258E-002,-9.905579686164856E-001,1.869648694992065E-002,
1.041400000000000E+009,1.011016685515642E-002,5.028024315834045E-002,-9.861739277839661E-001,5.813128128647804E-002,
1.053950000000000E+009,-3.065227298066020E-003,6.332922726869583E-002,-9.839874505996704E-001,9.810628741979599E-002,
1.066500000000000E+009,-4.418743192218244E-004,8.408768475055695E-002,-9.771059751510620E-001,1.351984441280365E-001,
1.079050000000000E+009,1.801218278706074E-002,9.958850592374802E-002,-9.769566059112549E-001,1.737401932477951E-001,
1.091600000000000E+009,4.357566311955452E-002,9.814938157796860E-002,-9.650948643684387E-001,2.098272144794464E-001,
1.104150000000000E+009,6.251506507396698E-002,7.919803261756897E-002,-9.585029482841492E-001,2.463670223951340E-001,
1.116700000000000E+009,6.211761012673378E-002,5.297090858221054E-002,-9.524567723274231E-001,2.835218310356140E-001,
1.129250000000000E+009,4.362367838621140E-002,3.715853393077850E-002,-9.381097555160523E-001,3.207181990146637E-001,
1.141800000000000E+009,1.916265301406384E-002,4.268708452582359E-002,-9.223663210868835E-001,3.591744899749756E-001,
1.154350000000000E+009,7.502626627683640E-003,6.569306552410126E-002,-9.114323854446411E-001,3.945208191871643E-001,
1.166900000000000E+009,2.003270387649536E-002,9.201073646545410E-002,-8.917247653007507E-001,4.296155869960785E-001,
1.179450000000000E+009,5.005361884832382E-002,1.034485474228859E-001,-8.720988035202026E-001,4.598612785339356E-001,
1.192000000000000E+009,8.212313055992127E-002,9.065477550029755E-002,-8.589572906494141E-001,4.879806637763977E-001,
1.204550000000000E+009,9.534830600023270E-002,5.985475331544876E-002,-8.366507291793823E-001,5.219123959541321E-001,
1.217100000000000E+009,8.332311362028122E-002,2.955080755054951E-002,-8.128125667572022E-001,5.556874275207520E-001,
1.229650000000000E+009,5.411997810006142E-002,1.932204328477383E-002,-7.970284819602966E-001,5.893176198005676E-001,
1.242200000000000E+009,2.940949052572250E-002,3.472773730754852E-002,-7.729677557945252E-001,6.193172931671143E-001,
1.254750000000000E+009,2.725122123956680E-002,6.409151107072830E-002,-7.472139596939087E-001,6.478303670883179E-001,
1.267300000000000E+009,5.008237808942795E-002,8.557920157909393E-002,-7.211944460868835E-001,6.768285632133484E-001,
1.279850000000000E+009,8.375640958547592E-002,8.270094543695450E-002,-6.956498622894287E-001,6.965103149414063E-001,
1.292400000000000E+009,1.057495102286339E-001,5.535731837153435E-002,-6.686768531799316E-001,7.255254387855530E-001,
1.304950000000000E+009,9.966674447059631E-002,2.051098830997944E-002,-6.450513601303101E-001,7.488983273506165E-001,
1.317500000000000E+009,7.064621150493622E-002,2.911642193794251E-003,-6.146925687789917E-001,7.745020985603333E-001,
1.330050000000000E+009,3.800816088914871E-002,1.564200781285763E-002,-5.843626856803894E-001,8.009674549102783E-001,
1.342600000000000E+009,2.801053784787655E-002,5.073502659797669E-002,-5.481665730476379E-001,8.250620365142822E-001,
1.355150000000000E+009,5.011118203401566E-002,8.394088596105576E-002,-5.115687251091003E-001,8.409233093261719E-001,
1.367700000000000E+009,9.180460870265961E-002,9.196689724922180E-002,-4.779720008373261E-001,8.624199032783508E-001,
1.380250000000000E+009,1.281480789184570E-001,6.686890870332718E-002,-4.489199221134186E-001,8.736283183097839E-001,
1.392800000000000E+009,1.371446549892426E-001,2.340191043913364E-002,-4.169728755950928E-001,8.863866925239563E-001,
1.405350000000000E+009,1.141104772686958E-001,-1.325769256800413E-002,-3.882088065147400E-001,9.022241234779358E-001,
1.417900000000000E+009,7.470851391553879E-002,-2.157375775277615E-002,-3.508270978927612E-001,9.236972928047180E-001,
1.430450000000000E+009,4.676949605345726E-002,2.892591292038560E-003,-3.132343292236328E-001,9.385238885879517E-001,
1.443000000000000E+009,4.876870661973953E-002,3.919280692934990E-002,-2.706149816513062E-001,9.502222537994385E-001,
1.455550000000000E+009,7.798378169536591E-002,6.157068163156509E-002,-2.354747354984283E-001,9.572546482086182E-001,
1.468100000000000E+009,1.166044846177101E-001,5.338174477219582E-002,-2.018457502126694E-001,9.644222855567932E-001,
1.480650000000000E+009,1.372975558042526E-001,2.256777323782444E-002,-1.638662666082382E-001,9.663810729980469E-001,
1.493200000000000E+009,1.300597190856934E-001,-1.273404527455568E-002,-1.349204927682877E-001,9.749723672866821E-001,
1.505750000000000E+009,1.023298501968384E-001,-2.906415238976479E-002,-9.647625684738159E-002,9.782423377037048E-001,
1.518300000000000E+009,7.414534687995911E-002,-1.810350641608238E-002,-5.591698735952377E-002,9.867886304855347E-001,
1.530850000000000E+009,6.945846974849701E-002,8.300518617033958E-003,-1.549196057021618E-002,9.881594777107239E-001,
1.543400000000000E+009,9.000757336616516E-002,2.798498608171940E-002,2.705917879939079E-002,9.859696626663208E-001,
1.555950000000000E+009,1.226050406694412E-001,2.395587787032127E-002,6.258467584848404E-002,9.810509085655212E-001,
1.568500000000000E+009,1.441327184438705E-001,-3.538670251145959E-003,9.520249068737030E-002,9.776220321655273E-001,
1.581050000000000E+009,1.392817199230194E-001,-3.944139555096626E-002,1.295998245477676E-001,9.755272865295410E-001,
1.593600000000000E+009,1.120807677507401E-001,-6.111980229616165E-002,1.664244383573532E-001,9.700977802276611E-001,
1.606150000000000E+009,8.110880106687546E-002,-5.777825042605400E-002,2.052819132804871E-001,9.646371006965637E-001,
1.618700000000000E+009,6.445054709911346E-002,-3.366461768746376E-002,2.433765679597855E-001,9.589606523513794E-001,
1.631250000000000E+009,7.371299713850021E-002,-8.586377836763859E-003,2.831945717334747E-001,9.465520977973938E-001,
1.643800000000000E+009,1.010641083121300E-001,-5.010200547985733E-004,3.222818374633789E-001,9.333064556121826E-001,
1.656350000000000E+009,1.275230497121811E-001,-1.716939918696880E-002,3.575362265110016E-001,9.183667302131653E-001,
1.668900000000000E+009,1.341740638017654E-001,-4.696157947182655E-002,3.844203948974609E-001,9.010950326919556E-001,
1.681450000000000E+009,1.203354075551033E-001,-7.433217763900757E-002,4.177069067955017E-001,8.857575058937073E-001,
1.694000000000000E+009,9.315793216228485E-002,-8.316972851753235E-002,4.507361650466919E-001,8.736271262168884E-001,
1.706550000000000E+009,7.052887231111527E-002,-7.095298171043396E-002,4.869120121002197E-001,8.564978241920471E-001,
1.719100000000000E+009,6.574689596891403E-002,-4.917895793914795E-002,5.182565450668335E-001,8.356440663337708E-001,
1.731650000000000E+009,8.011821657419205E-002,-3.494621813297272E-002,5.551383495330811E-001,8.161770105361939E-001,
1.744200000000000E+009,1.036043763160706E-001,-3.681731969118118E-002,5.865995287895203E-001,7.913616299629211E-001,
1.756750000000000E+009,1.186682283878326E-001,-5.569214001297951E-002,6.201804876327515E-001,7.674521803855896E-001,
1.769300000000000E+009,1.194739863276482E-001,-8.226606994867325E-002,6.429416537284851E-001,7.403850555419922E-001,
1.781850000000000E+009,1.034812554717064E-001,-1.003499180078507E-001,6.678225994110107E-001,7.178102731704712E-001,
1.794400000000000E+009,8.222339302301407E-002,-1.063713729381561E-001,6.949080824851990E-001,6.981751322746277E-001,
1.806950000000000E+009,6.661844998598099E-002,-9.645572304725647E-002,7.227451205253601E-001,6.705827713012695E-001,
1.819500000000000E+009,6.319073587656021E-002,-8.159294724464417E-002,7.483692169189453E-001,6.414132714271545E-001,
1.832050000000000E+009,7.447495311498642E-002,-7.432697713375092E-002,7.778615951538086E-001,6.128941774368286E-001,
1.844600000000000E+009,8.880906552076340E-002,-7.998942583799362E-002,7.967709302902222E-001,5.772301554679871E-001,
1.857150000000000E+009,9.509386122226715E-002,-9.926172345876694E-002,8.190565109252930E-001,5.437533259391785E-001,
1.869700000000000E+009,8.996287733316422E-002,-1.200498417019844E-001,8.367488980293274E-001,5.115239024162293E-001,
1.882250000000000E+009,7.088656723499298E-002,-1.345588117837906E-001,8.537557721138001E-001,4.798272848129273E-001,
1.894800000000000E+009,4.834579676389694E-002,-1.335121691226959E-001,8.681541085243225E-001,4.505565464496613E-001,
1.907350000000000E+009,3.364396840333939E-002,-1.196490675210953E-001,8.899106979370117E-001,4.181937873363495E-001,
1.919900000000000E+009,3.389159217476845E-002,-1.015901193022728E-001,9.083317518234253E-001,3.856467604637146E-001,
1.932450000000000E+009,4.806120321154594E-002,-9.246135503053665E-002,9.229446053504944E-001,3.476233780384064E-001,
1.945000000000000E+009,6.621430069208145E-002,-1.011629030108452E-001,9.348737597465515E-001,3.076687157154083E-001,
1.957550000000000E+009,7.505081593990326E-002,-1.251953244209290E-001,9.434831142425537E-001,2.693547606468201E-001,
1.970100000000000E+009,6.328912824392319E-002,-1.537060737609863E-001,9.531006813049316E-001,2.394609749317169E-001,
1.982650000000000E+009,3.625747188925743E-002,-1.697100996971130E-001,9.551318287849426E-001,2.005321234464645E-001,
1.995200000000000E+009,4.905395675450563E-003,-1.644743531942368E-001,9.624819755554199E-001,1.683345288038254E-001,
2.007750000000000E+009,-1.474194880574942E-002,-1.412503272294998E-001,9.722805023193359E-001,1.296069324016571E-001,
2.020300000000000E+009,-1.102266926318407E-002,-1.145408749580383E-001,9.821158051490784E-001,9.348627924919128E-002,
2.032850000000000E+009,1.044219639152288E-002,-1.020812019705772E-001,9.851424694061279E-001,5.363268405199051E-002,
2.045400000000000E+009,3.336837515234947E-002,-1.149461269378662E-001,9.858152270317078E-001,8.440350182354450E-003,
2.057950000000000E+009,3.851393610239029E-002,-1.447074711322784E-001,9.812893271446228E-001,-2.881238050758839E-002,
2.070500000000000E+009,1.928682066500187E-002,-1.732941120862961E-001,9.748800992965698E-001,-7.152415812015533E-002,
2.083050000000000E+009,-1.642519421875477E-002,-1.811096221208572E-001,9.733703732490540E-001,-1.052029207348824E-001,
2.095600000000000E+009,-4.757699370384216E-002,-1.642119139432907E-001,9.688156247138977E-001,-1.380088776350021E-001,
2.108150000000000E+009,-5.560170114040375E-002,-1.327635943889618E-001,9.674045443534851E-001,-1.754608899354935E-001,
2.120700000000000E+009,-3.778810799121857E-002,-1.101954504847527E-001,9.606546163558960E-001,-2.190614342689514E-001,
2.133250000000000E+009,-1.032692566514015E-002,-1.135613024234772E-001,9.501141309738159E-001,-2.603012025356293E-001,
