% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-5.892030522227287E-002,5.537994951009750E-002,-5.143845081329346E-001,-8.490970730781555E-001,
7.025500000000000E+008,-3.678936138749123E-002,6.125642731785774E-002,-5.426855087280273E-001,-8.233205080032349E-001,
7.151000000000000E+008,-1.890401914715767E-002,5.139280483126640E-002,-5.718016028404236E-001,-8.085248470306397E-001,
7.276500000000000E+008,-1.564688980579376E-002,3.270145133137703E-002,-6.059214472770691E-001,-7.819468975067139E-001,
7.402000000000000E+008,-2.749432250857353E-002,2.079599350690842E-002,-6.348816752433777E-001,-7.584389448165894E-001,
7.527500000000000E+008,-4.557909443974495E-002,2.360072918236256E-002,-6.658315658569336E-001,-7.316266298294067E-001,
7.653000000000000E+008,-5.625324323773384E-002,4.031475633382797E-002,-6.928096413612366E-001,-7.040227651596069E-001,
7.778500000000000E+008,-5.227895826101303E-002,6.105326488614082E-002,-7.167509794235230E-001,-6.784538030624390E-001,
7.904000000000000E+008,-3.432425856590271E-002,7.334446907043457E-002,-7.425022125244141E-001,-6.454481482505798E-001,
8.029500000000000E+008,-1.444710791110992E-002,7.116087526082993E-002,-7.666547894477844E-001,-6.230777502059937E-001,
8.155000000000000E+008,-1.945015392266214E-003,5.654013529419899E-002,-7.899094820022583E-001,-5.914224982261658E-001,
8.280500000000000E+008,-4.235337954014540E-003,3.831534460186958E-002,-8.178730607032776E-001,-5.588604807853699E-001,
8.406000000000000E+008,-1.923921331763268E-002,3.043556772172451E-002,-8.357532024383545E-001,-5.321468710899353E-001,
8.531500000000000E+008,-3.600116446614265E-002,3.726561740040779E-002,-8.552512526512146E-001,-4.977524876594544E-001,
8.657000000000000E+008,-4.331607744097710E-002,5.524932965636253E-002,-8.735848069190979E-001,-4.614506065845490E-001,
8.782500000000000E+008,-3.577164188027382E-002,7.400055974721909E-002,-8.904195427894592E-001,-4.301462173461914E-001,
