% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-6.550186872482300E-002,5.791306123137474E-002,-5.189880728721619E-001,-8.445950150489807E-001,
7.025500000000000E+008,-4.371055960655212E-002,6.446043401956558E-002,-5.460011959075928E-001,-8.182315826416016E-001,
7.151000000000000E+008,-2.559009566903114E-002,5.518774688243866E-002,-5.782170295715332E-001,-8.036264181137085E-001,
7.276500000000000E+008,-2.240436524152756E-002,3.744390234351158E-002,-6.114412546157837E-001,-7.771916985511780E-001,
7.402000000000000E+008,-3.387345746159554E-002,2.610027045011520E-002,-6.375194787979126E-001,-7.538028955459595E-001,
7.527500000000000E+008,-5.166784301400185E-002,2.880407311022282E-002,-6.721685528755188E-001,-7.259130477905273E-001,
7.653000000000000E+008,-6.252115219831467E-002,4.607108607888222E-002,-6.989296674728394E-001,-7.008222937583923E-001,
7.778500000000000E+008,-5.874244123697281E-002,6.683158129453659E-002,-7.216634750366211E-001,-6.748375892639160E-001,
7.904000000000000E+008,-4.111767187714577E-002,7.966621965169907E-002,-7.479591965675354E-001,-6.441637873649597E-001,
8.029500000000000E+008,-2.045696228742600E-002,7.755982875823975E-002,-7.739460468292236E-001,-6.191052198410034E-001,
8.155000000000000E+008,-8.185327984392643E-003,6.254620105028153E-002,-7.947712540626526E-001,-5.871799588203430E-001,
8.280500000000000E+008,-1.071798894554377E-002,4.487616196274757E-002,-8.228137493133545E-001,-5.556843876838684E-001,
8.406000000000000E+008,-2.519395947456360E-002,3.714875131845474E-002,-8.407055735588074E-001,-5.265342593193054E-001,
8.531500000000000E+008,-4.179082438349724E-002,4.464174434542656E-002,-8.593118190765381E-001,-4.925264120101929E-001,
8.657000000000000E+008,-4.871989414095879E-002,6.311315298080444E-002,-8.762413859367371E-001,-4.553595185279846E-001,
8.782500000000000E+008,-4.052218049764633E-002,8.244704455137253E-002,-8.936817646026611E-001,-4.237799346446991E-001,
8.908000000000000E+008,-2.143402397632599E-002,9.290666878223419E-002,-9.102598428726196E-001,-3.889191448688507E-001,
9.033500000000000E+008,-1.543857273645699E-003,8.867911994457245E-002,-9.199258685112000E-001,-3.574202358722687E-001,
9.159000000000000E+008,8.121465332806110E-003,7.342945784330368E-002,-9.369888901710510E-001,-3.178557455539703E-001,
9.284500000000000E+008,5.125026684254408E-003,5.792749300599098E-002,-9.449398517608643E-001,-2.866173684597015E-001,
