% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-6.355945765972138E-002,5.952492356300354E-002,-5.199438333511353E-001,-8.440130352973938E-001,
7.025500000000000E+008,-4.163501039147377E-002,6.545664370059967E-002,-5.473391413688660E-001,-8.177618384361267E-001,
7.151000000000000E+008,-2.390001341700554E-002,5.558670684695244E-002,-5.795798897743225E-001,-8.028867244720459E-001,
7.276500000000000E+008,-2.133596874773502E-002,3.767334297299385E-002,-6.127518415451050E-001,-7.764756083488464E-001,
7.402000000000000E+008,-3.317828476428986E-002,2.662950754165649E-002,-6.388308405876160E-001,-7.532245516777039E-001,
7.527500000000000E+008,-5.077379569411278E-002,2.985709719359875E-002,-6.734686493873596E-001,-7.252541184425354E-001,
7.653000000000000E+008,-6.096741557121277E-002,4.743514209985733E-002,-7.003723978996277E-001,-7.000251412391663E-001,
7.778500000000000E+008,-5.641146004199982E-002,6.805003434419632E-002,-7.230597734451294E-001,-6.738708019256592E-001,
7.904000000000000E+008,-3.827176615595818E-002,8.046249300241470E-002,-7.494699954986572E-001,-6.434485316276550E-001,
8.029500000000000E+008,-1.771787367761135E-002,7.793054729700089E-002,-7.756275534629822E-001,-6.180033087730408E-001,
8.155000000000000E+008,-5.937118548899889E-003,6.277993321418762E-002,-7.962461709976196E-001,-5.861157774925232E-001,
8.280500000000000E+008,-8.921634405851364E-003,4.538871347904205E-002,-8.243145346641541E-001,-5.547428727149963E-001,
8.406000000000000E+008,-2.351085841655731E-002,3.814958781003952E-002,-8.423780798912048E-001,-5.255478024482727E-001,
8.531500000000000E+008,-3.980153799057007E-002,4.597354680299759E-002,-8.610948920249939E-001,-4.913735389709473E-001,
8.657000000000000E+008,-4.623178392648697E-002,6.440386176109314E-002,-8.782535791397095E-001,-4.540326297283173E-001,
8.782500000000000E+008,-3.766710311174393E-002,8.331071585416794E-002,-8.954476714134216E-001,-4.223628938198090E-001,
8.908000000000000E+008,-1.848911307752132E-002,9.329701960086823E-002,-9.121887683868408E-001,-3.872346878051758E-001,
9.033500000000000E+008,1.228558365255594E-003,8.873544633388519E-002,-9.217571616172791E-001,-3.556307256221771E-001,
9.159000000000000E+008,1.070396043360233E-002,7.341895997524262E-002,-9.387418031692505E-001,-3.158615529537201E-001,
9.284500000000000E+008,7.685532793402672E-003,5.814068391919136E-002,-9.465038776397705E-001,-2.845312356948853E-001,
9.410000000000000E+008,-5.432920064777136E-003,5.277892574667931E-002,-9.616885781288147E-001,-2.428405880928040E-001,
9.535500000000000E+008,-1.836256124079227E-002,5.998958274722099E-002,-9.668294191360474E-001,-2.044645994901657E-001,
9.661000000000000E+008,-2.101096324622631E-002,7.712648808956146E-002,-9.764627218246460E-001,-1.669171303510666E-001,
9.786500000000000E+008,-9.923682548105717E-003,9.285234659910202E-002,-9.773020744323731E-001,-1.295007467269898E-001,
9.912000000000000E+008,9.964694269001484E-003,9.737829864025116E-002,-9.827223420143127E-001,-9.084312617778778E-002,
1.003750000000000E+009,2.733548916876316E-002,8.889419585466385E-002,-9.844233393669128E-001,-5.275850370526314E-002,
1.016300000000000E+009,3.413419052958489E-002,7.186508178710938E-002,-9.881902933120728E-001,-1.467747148126364E-002,
1.028850000000000E+009,2.639489434659481E-002,5.678978189826012E-002,-9.889626502990723E-001,2.225292101502419E-002,
1.041400000000000E+009,1.027667708694935E-002,5.526034906506538E-002,-9.845713973045349E-001,6.131549179553986E-002,
1.053950000000000E+009,-1.808708882890642E-003,6.852934509515762E-002,-9.810945987701416E-001,1.019268631935120E-001,
1.066500000000000E+009,1.491670846007764E-003,8.851765096187592E-002,-9.743163585662842E-001,1.387824863195419E-001,
1.079050000000000E+009,2.039949409663677E-002,1.033082902431488E-001,-9.747176170349121E-001,1.776092052459717E-001,
1.091600000000000E+009,4.556901007890701E-002,1.011473983526230E-001,-9.621270298957825E-001,2.132996171712875E-001,
1.104150000000000E+009,6.370522826910019E-002,8.189295977354050E-002,-9.556940197944641E-001,2.490772604942322E-001,
1.116700000000000E+009,6.296429783105850E-002,5.658102408051491E-002,-9.507164955139160E-001,2.865275144577026E-001,
1.129250000000000E+009,4.461141675710678E-002,4.158059507608414E-002,-9.343482851982117E-001,3.237973749637604E-001,
1.141800000000000E+009,2.110746130347252E-002,4.784667119383812E-002,-9.178553819656372E-001,3.617518544197083E-001,
1.154350000000000E+009,1.051319111138582E-002,7.081048935651779E-002,-9.071702957153320E-001,3.985255360603333E-001,
1.166900000000000E+009,2.378721535205841E-002,9.629529714584351E-002,-8.868890404701233E-001,4.326446354389191E-001,
1.179450000000000E+009,5.389414727687836E-002,1.067132279276848E-001,-8.684295415878296E-001,4.635841548442841E-001,
1.192000000000000E+009,8.504720032215118E-002,9.324111044406891E-002,-8.540463447570801E-001,4.892387986183167E-001,
