% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-2.321981824934483E-002,2.978963032364845E-002,-4.763035476207733E-001,-8.739228844642639E-001,
7.025500000000000E+008,-1.964084571227431E-003,3.593421727418900E-002,-5.055156350135803E-001,-8.491595387458801E-001,
7.151000000000000E+008,1.678984984755516E-002,2.557216212153435E-002,-5.373292565345764E-001,-8.351479172706604E-001,
7.276500000000000E+008,2.126334421336651E-002,5.791618023067713E-003,-5.700205564498901E-001,-8.105326890945435E-001,
7.402000000000000E+008,1.033429428935051E-002,-9.209397248923779E-003,-5.955719351768494E-001,-7.905960679054260E-001,
7.527500000000000E+008,-8.181656710803509E-003,-1.054045092314482E-002,-6.314002871513367E-001,-7.655709981918335E-001,
7.653000000000000E+008,-2.127487026154995E-002,3.328674938529730E-003,-6.599997282028198E-001,-7.436598539352417E-001,
7.778500000000000E+008,-2.018791064620018E-002,2.236616797745228E-002,-6.847385168075562E-001,-7.187832593917847E-001,
7.904000000000000E+008,-4.519774112850428E-003,3.489879146218300E-002,-7.123407125473023E-001,-6.899864077568054E-001,
8.029500000000000E+008,1.555350795388222E-002,3.284954279661179E-002,-7.396432757377625E-001,-6.654383540153503E-001,
8.155000000000000E+008,2.851923741400242E-002,1.688398234546185E-002,-7.606706619262695E-001,-6.349507570266724E-001,
8.280500000000000E+008,2.644432708621025E-002,-3.184424713253975E-003,-7.895867228507996E-001,-6.064941883087158E-001,
8.406000000000000E+008,1.174997445195913E-002,-1.498533319681883E-002,-8.081542253494263E-001,-5.803242921829224E-001,
8.531500000000000E+008,-7.093743886798620E-003,-1.194982230663300E-002,-8.292560577392578E-001,-5.494392514228821E-001,
8.657000000000000E+008,-1.768331415951252E-002,3.467858536168933E-003,-8.491175174713135E-001,-5.136363506317139E-001,
8.782500000000000E+008,-1.381471939384937E-002,2.142615988850594E-002,-8.698387145996094E-001,-4.841196835041046E-001,
8.908000000000000E+008,2.366204047575593E-003,3.223195299506187E-002,-8.887290954589844E-001,-4.501481652259827E-001,
