% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-6.360811740159988E-002,5.556092411279678E-002,-5.116154551506043E-001,-8.433679938316345E-001,
7.025500000000000E+008,-4.227055981755257E-002,6.196283921599388E-002,-5.447636842727661E-001,-8.204716444015503E-001,
7.151000000000000E+008,-2.458817511796951E-002,5.306397750973702E-002,-5.786089897155762E-001,-8.057935237884522E-001,
7.276500000000000E+008,-2.078747376799583E-002,3.570321947336197E-002,-6.076550483703613E-001,-7.801248431205750E-001,
7.402000000000000E+008,-3.272836655378342E-002,2.317841351032257E-002,-6.378117799758911E-001,-7.563424110412598E-001,
7.527500000000000E+008,-4.985400289297104E-002,2.559695020318031E-002,-6.682846546173096E-001,-7.272529602050781E-001,
7.653000000000000E+008,-6.071816012263298E-002,4.164455085992813E-002,-6.915720701217651E-001,-7.030370235443115E-001,
7.778500000000000E+008,-5.736222490668297E-002,6.250611692667007E-002,-7.190771698951721E-001,-6.751747727394104E-001,
7.904000000000000E+008,-4.023343697190285E-002,7.609184086322784E-002,-7.466800212860107E-001,-6.534361839294434E-001,
8.029500000000000E+008,-1.977780647575855E-002,7.399314641952515E-002,-7.682260274887085E-001,-6.190823912620544E-001,
8.155000000000000E+008,-7.376122754067183E-003,5.919785052537918E-002,-7.931404709815979E-001,-5.899984836578369E-001,
8.280500000000000E+008,-1.034572906792164E-002,4.137928038835526E-002,-8.154900074005127E-001,-5.541203022003174E-001,
8.406000000000000E+008,-2.523926272988319E-002,3.332947567105293E-002,-8.368678689002991E-001,-5.282425284385681E-001,
8.531500000000000E+008,-4.174351692199707E-002,4.071545228362083E-002,-8.536336421966553E-001,-4.919076263904572E-001,
8.657000000000000E+008,-4.884964600205421E-002,5.861632898449898E-002,-8.709500432014465E-001,-4.603604972362518E-001,
8.782500000000000E+008,-4.078216478228569E-002,7.848131656646729E-002,-8.890285491943359E-001,-4.252027869224548E-001,
8.908000000000000E+008,-2.237922139465809E-002,8.936449140310288E-002,-9.055476188659668E-001,-3.930937945842743E-001,
9.033500000000000E+008,-2.907523652538657E-003,8.425670862197876E-002,-9.241206645965576E-001,-3.600364625453949E-001,
9.159000000000000E+008,7.751123979687691E-003,6.968212127685547E-002,-9.338029026985169E-001,-3.231033384799957E-001,
9.284500000000000E+008,4.456851165741682E-003,5.414536595344544E-002,-9.437049031257629E-001,-2.859643101692200E-001,
9.410000000000000E+008,-9.466924704611301E-003,4.813664779067040E-002,-9.526077508926392E-001,-2.464406490325928E-001,
9.535500000000000E+008,-2.310280688107014E-002,5.514949560165405E-002,-9.652626514434815E-001,-2.090081423521042E-001,
9.661000000000000E+008,-2.598369121551514E-002,7.200203090906143E-002,-9.710222482681274E-001,-1.699957847595215E-001,
9.786500000000000E+008,-1.566297188401222E-002,8.784473687410355E-002,-9.758751392364502E-001,-1.347057074308395E-001,
9.912000000000000E+008,3.721255110576749E-003,9.371523559093475E-002,-9.814461469650269E-001,-9.799164533615112E-002,
1.003750000000000E+009,2.214176207780838E-002,8.564525097608566E-002,-9.797996282577515E-001,-6.037009134888649E-002,
1.016300000000000E+009,2.854743041098118E-002,6.854470074176788E-002,-9.891968965530396E-001,-1.818598993122578E-002,
1.028850000000000E+009,2.025170810520649E-002,5.373243615031242E-002,-9.863305091857910E-001,1.917911320924759E-002,
1.041400000000000E+009,3.435058752074838E-003,5.182505771517754E-002,-9.828988313674927E-001,5.231233686208725E-002,
1.053950000000000E+009,-8.430813439190388E-003,6.523168832063675E-002,-9.774294495582581E-001,9.665502607822418E-002,
1.066500000000000E+009,-6.664528977125883E-003,8.541205525398254E-002,-9.733576774597168E-001,1.356045305728912E-001,
1.079050000000000E+009,1.172392535954714E-002,1.004382744431496E-001,-9.691441059112549E-001,1.692460328340530E-001,
1.091600000000000E+009,3.731158748269081E-002,9.837396442890167E-002,-9.614846110343933E-001,2.043957859277725E-001,
1.104150000000000E+009,5.584017187356949E-002,7.981052249670029E-002,-9.486579895019531E-001,2.392406463623047E-001,
1.116700000000000E+009,5.530532449483872E-002,5.464633181691170E-002,-9.430795311927795E-001,2.773089706897736E-001,
1.129250000000000E+009,3.706374019384384E-002,3.989680111408234E-002,-9.349263310432434E-001,3.157688677310944E-001,
1.141800000000000E+009,1.275565009564161E-002,4.601542651653290E-002,-9.192309379577637E-001,3.522177934646606E-001,
1.154350000000000E+009,1.888757687993348E-003,6.943622231483460E-002,-9.000688791275024E-001,3.952718675136566E-001,
1.166900000000000E+009,1.388489641249180E-002,9.561093896627426E-002,-8.817214369773865E-001,4.231589734554291E-001,
1.179450000000000E+009,4.333852231502533E-002,1.061499938368797E-001,-8.697552084922791E-001,4.544710814952850E-001,
1.192000000000000E+009,7.369077205657959E-002,9.350975602865219E-002,-8.528669476509094E-001,4.891396760940552E-001,
1.204550000000000E+009,8.807170391082764E-002,6.325969099998474E-002,-8.326223492622376E-001,5.148890018463135E-001,
1.217100000000000E+009,7.621993124485016E-002,3.413382172584534E-002,-8.172049522399902E-001,5.460099577903748E-001,
1.229650000000000E+009,4.756245017051697E-002,2.466376312077045E-002,-7.888150811195374E-001,5.783579349517822E-001,
1.242200000000000E+009,2.304767630994320E-002,4.080766811966896E-002,-7.705032229423523E-001,6.105988025665283E-001,
1.254750000000000E+009,2.145214378833771E-002,7.014423608779907E-002,-7.429348230361939E-001,6.433048844337463E-001,
1.267300000000000E+009,4.441219568252564E-002,9.192132204771042E-002,-7.189144492149353E-001,6.665553450584412E-001,
1.279850000000000E+009,7.725632190704346E-002,8.844239264726639E-002,-6.921781301498413E-001,6.915957927703857E-001,
1.292400000000000E+009,9.824380278587341E-002,6.186316534876823E-002,-6.647911667823792E-001,7.137458920478821E-001,
1.304950000000000E+009,9.270870685577393E-002,2.852085977792740E-002,-6.427476406097412E-001,7.430711984634399E-001,
1.317500000000000E+009,6.450327485799789E-002,1.107310131192207E-002,-6.141633987426758E-001,7.657792568206787E-001,
1.330050000000000E+009,3.318016603589058E-002,2.407408505678177E-002,-5.801497101783752E-001,7.992278933525085E-001,
1.342600000000000E+009,2.319494448602200E-002,5.899879708886147E-002,-5.466681718826294E-001,8.166534304618835E-001,
