% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-6.119570508599281E-002,5.989197269082069E-002,-5.124789476394653E-001,-8.434177041053772E-001,
7.025500000000000E+008,-3.939493745565414E-002,6.555819511413574E-002,-5.458909273147583E-001,-8.202643990516663E-001,
7.151000000000000E+008,-2.200817316770554E-002,5.578639730811119E-002,-5.804172158241272E-001,-8.059634566307068E-001,
7.276500000000000E+008,-1.888629980385304E-002,3.810485452413559E-002,-6.092804670333862E-001,-7.804993987083435E-001,
7.402000000000000E+008,-3.120339848101139E-002,2.596999518573284E-002,-6.398473978042603E-001,-7.565042972564697E-001,
7.527500000000000E+008,-4.803874343633652E-002,2.911704406142235E-002,-6.701382398605347E-001,-7.274001836776733E-001,
7.653000000000000E+008,-5.799043551087380E-002,4.568048566579819E-002,-6.940516829490662E-001,-7.030684947967529E-001,
7.778500000000000E+008,-5.349861457943916E-002,6.653518229722977E-002,-7.211864590644836E-001,-6.750314831733704E-001,
7.904000000000000E+008,-3.555636480450630E-002,7.972832769155502E-002,-7.490341663360596E-001,-6.538866758346558E-001,
8.029500000000000E+008,-1.499497611075640E-002,7.710302621126175E-002,-7.705661654472351E-001,-6.187958717346191E-001,
8.155000000000000E+008,-2.937480807304382E-003,6.197154521942139E-002,-7.953317761421204E-001,-5.899713635444641E-001,
8.280500000000000E+008,-6.123986560851336E-003,4.421248659491539E-002,-8.181632161140442E-001,-5.543727874755859E-001,
8.406000000000000E+008,-2.090402692556381E-002,3.640052303671837E-002,-8.397511243820190E-001,-5.283091664314270E-001,
8.531500000000000E+008,-3.685099259018898E-002,4.401578754186630E-002,-8.570096492767334E-001,-4.918689429759979E-001,
8.657000000000000E+008,-4.332451522350311E-002,6.183545663952828E-002,-8.744359016418457E-001,-4.599368870258331E-001,
8.782500000000000E+008,-3.463302925229073E-002,8.135340362787247E-002,-8.925412893295288E-001,-4.246917665004730E-001,
8.908000000000000E+008,-1.590542681515217E-002,9.192239493131638E-002,-9.095322489738464E-001,-3.921279907226563E-001,
9.033500000000000E+008,3.618358401581645E-003,8.647255599498749E-002,-9.277490377426148E-001,-3.586178421974182E-001,
9.159000000000000E+008,1.435671932995319E-002,7.150160521268845E-002,-9.373078346252441E-001,-3.219330012798309E-001,
9.284500000000000E+008,1.128178369253874E-002,5.561188235878944E-002,-9.471932053565979E-001,-2.844010591506958E-001,
9.410000000000000E+008,-2.325787674635649E-003,4.944417998194695E-002,-9.561008810997009E-001,-2.451327741146088E-001,
9.535500000000000E+008,-1.553614437580109E-002,5.643893033266068E-002,-9.687150120735169E-001,-2.071637511253357E-001,
9.661000000000000E+008,-1.809266395866871E-002,7.329589873552322E-002,-9.739962220191956E-001,-1.682601869106293E-001,
9.786500000000000E+008,-7.377574220299721E-003,8.917991816997528E-002,-9.794252514839172E-001,-1.333042234182358E-001,
9.912000000000000E+008,1.239359937608242E-002,9.504866600036621E-002,-9.847856760025024E-001,-9.575301408767700E-002,
1.003750000000000E+009,3.097688406705856E-002,8.665110170841217E-002,-9.829936027526856E-001,-5.901147052645683E-002,
1.016300000000000E+009,3.725598752498627E-002,6.861441582441330E-002,-9.930466413497925E-001,-1.684291847050190E-002,
1.028850000000000E+009,2.881411090493202E-002,5.283937230706215E-002,-9.904906153678894E-001,2.054455317556858E-002,
1.041400000000000E+009,1.190372370183468E-002,5.030453577637672E-002,-9.876347780227661E-001,5.387555807828903E-002,
1.053950000000000E+009,3.035117115359753E-004,6.357301771640778E-002,-9.821096658706665E-001,9.915255755186081E-002,
1.066500000000000E+009,2.725484548136592E-003,8.381803333759308E-002,-9.780644774436951E-001,1.385710686445236E-001,
1.079050000000000E+009,2.200863137841225E-002,9.883344918489456E-002,-9.740117788314819E-001,1.731354743242264E-001,
1.091600000000000E+009,4.838249832391739E-002,9.661000221967697E-002,-9.653961658477783E-001,2.085770964622498E-001,
1.104150000000000E+009,6.695801764726639E-002,7.733131200075150E-002,-9.527691602706909E-001,2.432589977979660E-001,
1.116700000000000E+009,6.565590202808380E-002,5.110453814268112E-002,-9.466989040374756E-001,2.815621197223663E-001,
1.129250000000000E+009,4.647855088114739E-002,3.568615391850472E-002,-9.388650059700012E-001,3.197084665298462E-001,
1.141800000000000E+009,2.151474542915821E-002,4.165097698569298E-002,-9.231839179992676E-001,3.564289510250092E-001,
1.154350000000000E+009,1.081825979053974E-002,6.521515548229218E-002,-9.038474559783936E-001,3.996125757694244E-001,
1.166900000000000E+009,2.376912347972393E-002,9.145590662956238E-002,-8.856831192970276E-001,4.279220700263977E-001,
1.179450000000000E+009,5.447144061326981E-002,1.014581099152565E-001,-8.728827238082886E-001,4.598733484745026E-001,
1.192000000000000E+009,8.582323044538498E-002,8.802119642496109E-002,-8.559763431549072E-001,4.939671158790588E-001,
1.204550000000000E+009,9.980621188879013E-002,5.658090859651566E-002,-8.353701233863831E-001,5.201175808906555E-001,
1.217100000000000E+009,8.673325926065445E-002,2.646307647228241E-002,-8.199914097785950E-001,5.513497591018677E-001,
1.229650000000000E+009,5.694695562124252E-002,1.667554862797260E-002,-7.915648221969605E-001,5.837594270706177E-001,
1.242200000000000E+009,3.203646838665009E-002,3.302405774593353E-002,-7.732684016227722E-001,6.165633201599121E-001,
1.254750000000000E+009,3.097859025001526E-002,6.237785145640373E-002,-7.451492547988892E-001,6.492972970008850E-001,
1.267300000000000E+009,5.507071688771248E-002,8.355462551116943E-002,-7.208079099655151E-001,6.728075146675110E-001,
1.279850000000000E+009,8.879799395799637E-002,7.884873449802399E-002,-6.932173371315002E-001,6.977830529212952E-001,
