% Version 1.00
%
%time[s],re:Trc2_b2d1sam[V],im:Trc2_b2d1sam[V],
0.000000000000000E+000,1.591768945875484E-001,-5.870025441389444E-002,
5.000000000000000E-005,1.602058874836626E-001,-5.827038806202738E-002,
1.000000000000000E-004,1.603665388782751E-001,-5.801617540380807E-002,
1.500000000000000E-004,1.603184902819654E-001,-5.815787483089752E-002,
2.000000000000000E-004,1.603889553916114E-001,-5.829099561176413E-002,
2.500000000000000E-004,1.603446424946310E-001,-5.813530499365651E-002,
3.000000000000000E-004,1.605691183645180E-001,-5.779032408135026E-002,
3.500000000000000E-004,1.605297336665593E-001,-5.808017175818386E-002,
4.000000000000000E-004,1.605032953123042E-001,-5.816894110020941E-002,
4.500000000000000E-004,1.605741916723619E-001,-5.794887400950132E-002,
5.000000000000000E-004,1.605880734731641E-001,-5.813454912145815E-002,
5.500000000000000E-004,1.606545718261325E-001,-5.795990050198142E-002,
6.000000000000001E-004,1.606193189335960E-001,-5.803554259298381E-002,
6.500000000000001E-004,1.606368407674105E-001,-5.788658690032773E-002,
7.000000000000000E-004,1.604678465128716E-001,-5.812480650733570E-002,
7.500000000000000E-004,1.605571739646919E-001,-5.804555362693752E-002,
8.000000000000000E-004,1.606046397987714E-001,-5.787787505921110E-002,
8.500000000000001E-004,1.606066611789652E-001,-5.796080614219622E-002,
9.000000000000001E-004,1.605713007839354E-001,-5.801371521613772E-002,
9.500000000000000E-004,1.605037961398814E-001,-5.801170099309886E-002,
1.000000000000000E-003,-3.258114738132612E-005,-6.471854507053903E-006,
1.050000000000000E-003,-1.287094635368019E-005,-1.684394968045973E-005,
1.100000000000000E-003,2.329766298262082E-005,1.800418307938266E-005,
1.150000000000000E-003,-1.907290915408881E-006,-6.113805036779866E-006,
1.200000000000000E-003,1.427973820472713E-006,-2.810292582466012E-006,
1.250000000000000E-003,-9.544154366403046E-006,-3.879137147654973E-006,
1.300000000000000E-003,1.548956261319312E-005,1.454027157373868E-005,
1.350000000000000E-003,4.069276283801668E-006,-1.218546120343490E-005,
1.400000000000000E-003,2.389585288436892E-006,7.835571073326926E-006,
1.450000000000000E-003,2.577856202795395E-005,-1.386800932529210E-005,
1.500000000000000E-003,-2.926043324739393E-006,-1.871252861067361E-005,
1.550000000000000E-003,-1.058824255149784E-005,-5.826284557429044E-006,
1.600000000000000E-003,-1.539710923870413E-005,-2.972440080197022E-005,
1.650000000000000E-003,2.678864878236554E-005,-2.459596945837680E-005,
1.700000000000000E-003,6.366917420135145E-006,6.360287404764643E-006,
1.750000000000000E-003,6.614778005571664E-006,-1.348888603028132E-005,
1.800000000000000E-003,-1.619894967303003E-005,-9.891440882620773E-006,
1.850000000000000E-003,-7.286794648119187E-006,4.011759573915290E-006,
1.900000000000000E-003,2.994925973573322E-006,-1.511476648968078E-006,
1.950000000000000E-003,-6.279531228922880E-007,2.321034876639003E-005,
2.000000000000000E-003,6.033890200002384E-007,-2.869420076457036E-005,
2.050000000000000E-003,-2.236051350678424E-005,6.997891823299668E-006,
2.100000000000000E-003,-9.341101911870940E-006,-7.885117681542579E-006,
2.150000000000000E-003,-8.629115138026963E-006,1.479150695392788E-005,
2.200000000000000E-003,2.123647580249958E-005,-8.207963845828025E-006,
2.250000000000000E-003,3.449428471885798E-006,1.060889452251272E-005,
2.300000000000000E-003,1.311781323549215E-006,1.062608796301142E-005,
2.350000000000000E-003,-4.373640079677356E-006,-8.951785238939348E-006,
2.400000000000000E-003,-1.309122672794936E-005,1.091729446473056E-005,
2.450000000000000E-003,-1.236257426280810E-005,6.860206360051358E-006,
2.500000000000000E-003,-1.551901298363095E-005,-1.066380144942662E-005,
2.550000000000000E-003,8.625851640716112E-006,-1.443640843224194E-005,
2.600000000000000E-003,1.739631133508610E-005,-9.309966051908660E-006,
2.650000000000000E-003,2.112930400464762E-006,-2.016587417643773E-005,
2.700000000000000E-003,1.956328724789955E-006,1.754211269240593E-005,
2.750000000000000E-003,3.528793806835049E-006,-7.016110616993653E-006,
2.800000000000000E-003,1.710717207742300E-005,4.672989516431953E-006,
2.850000000000000E-003,7.449823320015178E-007,5.091940954066445E-006,
2.900000000000000E-003,-5.041888871348106E-006,-2.136568572805287E-005,
2.950000000000000E-003,1.175241219972317E-005,1.542616823030756E-005,
3.000000000000000E-003,1.265713943812824E-005,1.249637980714010E-005,
3.050000000000000E-003,1.783287095834666E-005,-8.206043169256488E-007,
3.100000000000000E-003,-2.000416312914232E-005,-6.802027235582580E-006,
3.150000000000000E-003,1.465866133301403E-007,-6.917499123699458E-007,
3.200000000000000E-003,-6.161856117587735E-006,-2.635695088567453E-006,
3.250000000000000E-003,4.226220470603184E-006,-4.302732097262965E-006,
3.300000000000000E-003,2.419905180198457E-005,-1.418864151873238E-005,
3.350000000000000E-003,1.248146889142525E-005,-4.371991021709424E-006,
3.400000000000000E-003,9.764044567962248E-006,-1.180592725283532E-005,
3.450000000000000E-003,-3.689337651649090E-006,-1.245170891646249E-005,
3.500000000000000E-003,2.628006446126276E-005,6.831590810717297E-006,
3.550000000000000E-003,1.869732190728212E-005,-2.187763858570817E-005,
3.600000000000000E-003,-4.154401655858967E-006,6.570500623911648E-007,
3.650000000000000E-003,7.454583863171411E-006,1.384535498245169E-005,
3.700000000000000E-003,-4.259732983914627E-006,-1.538706753499504E-005,
3.750000000000000E-003,-8.975949455886123E-006,-1.726829241383390E-005,
3.800000000000000E-003,7.712013319717211E-006,1.234997871769518E-005,
3.850000000000000E-003,-2.391431811369717E-005,-1.888858506103678E-005,
3.900000000000000E-003,-1.073597201004171E-006,2.196050142778094E-005,
3.950000000000000E-003,-5.231318945966619E-006,-1.934461874442351E-006,
4.000000000000000E-003,2.803555158569393E-006,5.071626904584434E-007,
4.050000000000000E-003,-1.257232266134944E-005,1.688044843022122E-005,
4.100000000000000E-003,1.697171723108330E-005,1.102612238663302E-005,
4.150000000000000E-003,2.131838586822707E-006,9.238142464314528E-006,
4.200000000000001E-003,1.739217870332243E-005,-1.722791426961535E-005,
4.250000000000000E-003,-1.087154841382312E-005,2.164242359855756E-005,
4.300000000000000E-003,-1.045415190184639E-005,-9.603060309070647E-006,
4.350000000000001E-003,9.531411508805561E-006,-7.880155397379710E-006,
4.400000000000000E-003,-2.026969698503400E-005,1.496218237604095E-005,
4.450000000000000E-003,1.072570198668013E-006,1.389562687635415E-005,
4.500000000000001E-003,2.581405050169187E-005,1.511286566568205E-005,
4.550000000000000E-003,9.852810549715352E-006,2.055193251207967E-005,
4.600000000000000E-003,-1.201241095827094E-005,1.447116989629406E-005,
4.650000000000001E-003,1.074504065140467E-005,-2.599110596331834E-005,
4.700000000000000E-003,-1.360902862808905E-005,-2.456587093112262E-005,
4.750000000000000E-003,2.004679477881247E-005,-2.166636286001962E-005,
4.800000000000000E-003,-1.216508310277421E-005,7.839502567146181E-006,
4.850000000000000E-003,-3.217914486659318E-006,1.011597697202262E-005,
4.900000000000000E-003,-1.005247923422228E-006,1.805061586127440E-005,
4.950000000000000E-003,-1.303896139946795E-005,-5.361288896205437E-006,
5.000000000000000E-003,-1.948352859797083E-005,-6.777582732134373E-007,
