% Version 1.00
%
%time[s],re:Trc2_b2d1sam[V],im:Trc2_b2d1sam[V],
0.000000000000000E+000,1.678088819271069E-002,1.686167976862779E-001,
5.000000000000000E-005,1.599766768109218E-002,1.695538787033579E-001,
1.000000000000000E-004,1.584805615316681E-002,1.696006768801178E-001,
1.500000000000000E-004,1.573697086022456E-002,1.696762868945965E-001,
2.000000000000000E-004,1.606185410945860E-002,1.695432871850183E-001,
2.500000000000000E-004,1.572037663051480E-002,1.696984780163583E-001,
3.000000000000000E-004,1.594492377559023E-002,1.698329854630203E-001,
3.500000000000000E-004,1.552626581480808E-002,1.698319914307906E-001,
4.000000000000000E-004,1.572644730397943E-002,1.698428572603770E-001,
4.500000000000000E-004,1.585067198422932E-002,1.696979732730956E-001,
5.000000000000000E-004,1.556969023046965E-002,1.699198965439135E-001,
5.500000000000000E-004,1.576236444749987E-002,1.698382863629172E-001,
6.000000000000001E-004,1.579922472452137E-002,1.697532930875559E-001,
6.500000000000001E-004,1.555604578038192E-002,1.696940884429718E-001,
7.000000000000000E-004,1.549257815779535E-002,1.698627629623469E-001,
7.500000000000000E-004,1.567853733043435E-002,1.697886283370910E-001,
8.000000000000000E-004,1.563257153093425E-002,1.698846091597261E-001,
8.500000000000001E-004,1.565232432196605E-002,1.698173766403677E-001,
9.000000000000001E-004,1.593291860763717E-002,1.697159923927079E-001,
9.500000000000000E-004,1.530913675717582E-002,1.698857866253815E-001,
1.000000000000000E-003,-3.105194249813950E-006,-1.781174634831761E-006,
1.050000000000000E-003,2.321089291103040E-006,-9.430219340803654E-006,
1.100000000000000E-003,-8.343477199898799E-006,-1.919023925924805E-006,
1.150000000000000E-003,1.742917524691859E-005,4.413468440290686E-006,
1.200000000000000E-003,-1.121030377132124E-005,1.790549779023328E-005,
1.250000000000000E-003,-1.222535377901755E-005,1.820748424241124E-005,
1.300000000000000E-003,-5.448224023204216E-008,9.504294099750994E-006,
1.350000000000000E-003,-3.043440393381469E-006,-2.541988219556010E-005,
1.400000000000000E-003,-8.184463082505098E-006,-2.911306544573924E-005,
1.450000000000000E-003,-1.703020229948047E-005,-1.984418627409473E-006,
1.500000000000000E-003,1.877967348526613E-006,7.127283239044774E-006,
1.550000000000000E-003,1.202422571165514E-005,2.258527726425710E-005,
1.600000000000000E-003,-2.654809126582217E-006,-4.078123828059438E-006,
1.650000000000000E-003,-1.354989597285040E-005,-5.023390057497754E-006,
1.700000000000000E-003,-1.034181805674073E-006,1.040946598115885E-006,
1.750000000000000E-003,-1.512386890841030E-005,-2.296054235914986E-005,
1.800000000000000E-003,-6.055842303193586E-007,-2.250543439871624E-006,
1.850000000000000E-003,-7.076891263462466E-006,1.094628961775390E-005,
1.900000000000000E-003,-2.325376713750280E-006,-1.306371390262215E-005,
1.950000000000000E-003,-1.194633783393619E-005,-1.842463918933158E-005,
2.000000000000000E-003,-1.985173596097323E-005,-2.046055582164914E-005,
2.050000000000000E-003,2.600940563541185E-005,-2.086594868889630E-006,
2.100000000000000E-003,-1.020535899030858E-005,-3.308117575375476E-006,
2.150000000000000E-003,-1.259529784038769E-005,9.759839944591506E-006,
2.200000000000000E-003,2.097529851592646E-005,4.047696238368518E-006,
2.250000000000000E-003,1.031166956076005E-006,-2.311350094250792E-005,
2.300000000000000E-003,-1.510531052877448E-005,2.062765095802134E-005,
2.350000000000000E-003,-2.021536997331093E-005,1.178513398514244E-005,
2.400000000000000E-003,-2.443826971491621E-005,4.710884140601244E-006,
2.450000000000000E-003,-1.519369978156905E-005,-1.270778749805159E-005,
