% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.270943790674210E-002,4.076102375984192E-002,-5.099372863769531E-001,-8.537172079086304E-001,-5.270943790674210E-002,4.076102375984192E-002,-5.099372863769531E-001,-8.537172079086304E-001,
7.025500000000000E+008,-4.064457491040230E-002,3.786342591047287E-002,-5.286901593208313E-001,-8.271411061286926E-001,-4.064457491040230E-002,3.786342591047287E-002,-5.286901593208313E-001,-8.271411061286926E-001,
7.151000000000000E+008,-3.799453750252724E-002,2.919034846127033E-002,-5.737570524215698E-001,-8.004685640335083E-001,-3.799453750252724E-002,2.919034846127033E-002,-5.737570524215698E-001,-8.004685640335083E-001,
7.276500000000000E+008,-4.492686316370964E-002,2.041208557784557E-002,-6.018497943878174E-001,-7.889723181724548E-001,-4.492686316370964E-002,2.041208557784557E-002,-6.018497943878174E-001,-7.889723181724548E-001,
7.402000000000000E+008,-5.228971317410469E-002,2.390083298087120E-002,-6.411731243133545E-001,-7.887742519378662E-001,-5.228971317410469E-002,2.390083298087120E-002,-6.411731243133545E-001,-7.887742519378662E-001,
7.527500000000000E+008,-6.018840149044991E-002,3.630264475941658E-002,-6.595234274864197E-001,-7.340155839920044E-001,-6.018840149044991E-002,3.630264475941658E-002,-6.595234274864197E-001,-7.340155839920044E-001,
7.653000000000000E+008,-5.757335945963860E-002,5.181453377008438E-002,-6.854514479637146E-001,-7.153184413909912E-001,-5.757335945963860E-002,5.181453377008438E-002,-6.854514479637146E-001,-7.153184413909912E-001,
7.778500000000000E+008,-4.569661989808083E-002,5.944197624921799E-002,-7.284554839134216E-001,-6.818255186080933E-001,-4.569661989808083E-002,5.944197624921799E-002,-7.284554839134216E-001,-6.818255186080933E-001,
7.904000000000000E+008,-3.304169699549675E-002,5.905837565660477E-002,-7.344959378242493E-001,-6.727079749107361E-001,-3.304169699549675E-002,5.905837565660477E-002,-7.344959378242493E-001,-6.727079749107361E-001,
8.029500000000000E+008,-2.706638723611832E-002,5.107846111059189E-002,-7.685287594795227E-001,-6.304097175598145E-001,-2.706638723611832E-002,5.107846111059189E-002,-7.685287594795227E-001,-6.304097175598145E-001,
8.155000000000000E+008,-3.032894060015678E-002,4.246001690626144E-002,-7.802235484123230E-001,-6.028971672058106E-001,-3.032894060015678E-002,4.246001690626144E-002,-7.802235484123230E-001,-6.028971672058106E-001,
8.280500000000000E+008,-3.852362558245659E-002,4.036737978458405E-002,-8.165904283523560E-001,-5.659588575363159E-001,-3.852362558245659E-002,4.036737978458405E-002,-8.165904283523560E-001,-5.659588575363159E-001,
8.406000000000000E+008,-4.708729684352875E-002,4.671460390090942E-002,-8.335712552070618E-001,-5.369583368301392E-001,-4.708729684352875E-002,4.671460390090942E-002,-8.335712552070618E-001,-5.369583368301392E-001,
8.531500000000000E+008,-4.801081866025925E-002,5.990551039576531E-002,-8.413640260696411E-001,-5.018814206123352E-001,-4.801081866025925E-002,5.990551039576531E-002,-8.413640260696411E-001,-5.018814206123352E-001,
8.657000000000000E+008,-3.945506736636162E-002,7.322566211223602E-002,-8.812949657440186E-001,-4.704160392284393E-001,-3.945506736636162E-002,7.322566211223602E-002,-8.812949657440186E-001,-4.704160392284393E-001,
8.782500000000000E+008,-2.617530338466167E-002,7.757028937339783E-002,-8.814693689346314E-001,-4.329949021339417E-001,-2.617530338466167E-002,7.757028937339783E-002,-8.814693689346314E-001,-4.329949021339417E-001,
8.908000000000000E+008,-1.433718297630549E-002,7.378636300563812E-002,-8.922345042228699E-001,-4.063711464405060E-001,-1.433718297630549E-002,7.378636300563812E-002,-8.922345042228699E-001,-4.063711464405060E-001,
9.033500000000000E+008,-8.940296247601509E-003,6.420195847749710E-002,-9.249128699302673E-001,-3.738547265529633E-001,-8.940296247601509E-003,6.420195847749710E-002,-9.249128699302673E-001,-3.738547265529633E-001,
9.159000000000000E+008,-1.512410212308168E-002,5.708128958940506E-002,-9.335459470748901E-001,-3.364080190658569E-001,-1.512410212308168E-002,5.708128958940506E-002,-9.335459470748901E-001,-3.364080190658569E-001,
9.284500000000000E+008,-2.512083947658539E-002,5.494571477174759E-002,-9.696495532989502E-001,-2.906470894813538E-001,-2.512083947658539E-002,5.494571477174759E-002,-9.696495532989502E-001,-2.906470894813538E-001,
9.410000000000000E+008,-3.039542399346829E-002,6.538307666778565E-002,-9.554777741432190E-001,-2.641791105270386E-001,-3.039542399346829E-002,6.538307666778565E-002,-9.554777741432190E-001,-2.641791105270386E-001,
9.535500000000000E+008,-2.878739312291145E-002,7.859729230403900E-002,-9.717518687248230E-001,-2.264185845851898E-001,-2.878739312291145E-002,7.859729230403900E-002,-9.717518687248230E-001,-2.264185845851898E-001,
9.661000000000000E+008,-1.595288515090942E-002,8.924897015094757E-002,-9.789195060729981E-001,-1.743490993976593E-001,-1.595288515090942E-002,8.924897015094757E-002,-9.789195060729981E-001,-1.743490993976593E-001,
9.786500000000000E+008,1.867052284069359E-003,9.173309057950974E-002,-9.802632331848145E-001,-1.504025608301163E-001,1.867052284069359E-003,9.173309057950974E-002,-9.802632331848145E-001,-1.504025608301163E-001,
9.912000000000000E+008,1.596993021667004E-002,8.524966239929199E-002,-1.002340078353882E+000,-1.118678152561188E-001,1.596993021667004E-002,8.524966239929199E-002,-1.002340078353882E+000,-1.118678152561188E-001,
1.003750000000000E+009,2.036620117723942E-002,7.064330577850342E-002,-9.949715733528137E-001,-6.969700008630753E-002,2.036620117723942E-002,7.064330577850342E-002,-9.949715733528137E-001,-6.969700008630753E-002,
1.016300000000000E+009,1.453780662268400E-002,6.073146313428879E-002,-9.994021654129028E-001,-3.018131293356419E-002,1.453780662268400E-002,6.073146313428879E-002,-9.994021654129028E-001,-3.018131293356419E-002,
1.028850000000000E+009,4.043345339596272E-003,6.029485166072846E-002,-1.016009569168091E+000,7.337173447012901E-003,4.043345339596272E-003,6.029485166072846E-002,-1.016009569168091E+000,7.337173447012901E-003,
1.041400000000000E+009,-4.487712401896715E-003,6.998012214899063E-002,-9.822068214416504E-001,3.092085383832455E-002,-4.487712401896715E-003,6.998012214899063E-002,-9.822068214416504E-001,3.092085383832455E-002,
1.053950000000000E+009,-9.613334259483963E-005,8.268278837203980E-002,-9.893229603767395E-001,7.753531634807587E-002,-9.613334259483963E-005,8.268278837203980E-002,-9.893229603767395E-001,7.753531634807587E-002,
1.066500000000000E+009,1.538167055696249E-002,9.147842973470688E-002,-9.833579063415527E-001,1.171803250908852E-001,1.538167055696249E-002,9.147842973470688E-002,-9.833579063415527E-001,1.171803250908852E-001,
1.079050000000000E+009,3.769812360405922E-002,8.517044037580490E-002,-9.793556332588196E-001,1.510902345180512E-001,3.769812360405922E-002,8.517044037580490E-002,-9.793556332588196E-001,1.510902345180512E-001,
1.091600000000000E+009,4.776063188910484E-002,6.934491544961929E-002,-9.637715220451355E-001,1.845353394746780E-001,4.776063188910484E-002,6.934491544961929E-002,-9.637715220451355E-001,1.845353394746780E-001,
1.104150000000000E+009,4.194742813706398E-002,5.294252187013626E-002,-9.707232713699341E-001,2.353480607271195E-001,4.194742813706398E-002,5.294252187013626E-002,-9.707232713699341E-001,2.353480607271195E-001,
1.116700000000000E+009,2.705850452184677E-002,4.681093245744705E-002,-9.538085460662842E-001,2.680828571319580E-001,2.705850452184677E-002,4.681093245744705E-002,-9.538085460662842E-001,2.680828571319580E-001,
1.129250000000000E+009,8.792104199528694E-003,5.566747859120369E-002,-9.395253658294678E-001,3.017684221267700E-001,8.792104199528694E-003,5.566747859120369E-002,-9.395253658294678E-001,3.017684221267700E-001,
1.141800000000000E+009,7.520399987697601E-003,7.595063745975494E-002,-9.320251941680908E-001,3.450172543525696E-001,7.520399987697601E-003,7.595063745975494E-002,-9.320251941680908E-001,3.450172543525696E-001,
1.154350000000000E+009,2.474876120686531E-002,9.633707255125046E-002,-9.167521595954895E-001,3.779729306697846E-001,2.474876120686531E-002,9.633707255125046E-002,-9.167521595954895E-001,3.779729306697846E-001,
1.166900000000000E+009,5.279646068811417E-002,9.674887359142304E-002,-8.896477222442627E-001,4.127271771430969E-001,5.279646068811417E-002,9.674887359142304E-002,-8.896477222442627E-001,4.127271771430969E-001,
1.179450000000000E+009,7.747493684291840E-002,7.799088209867477E-002,-8.950402736663818E-001,4.232827723026276E-001,7.747493684291840E-002,7.799088209867477E-002,-8.950402736663818E-001,4.232827723026276E-001,
1.192000000000000E+009,8.291342109441757E-002,4.935005307197571E-002,-8.685283660888672E-001,4.752705395221710E-001,8.291342109441757E-002,4.935005307197571E-002,-8.685283660888672E-001,4.752705395221710E-001,
1.204550000000000E+009,6.746608763933182E-002,2.860608883202076E-002,-8.543141484260559E-001,5.029932260513306E-001,6.746608763933182E-002,2.860608883202076E-002,-8.543141484260559E-001,5.029932260513306E-001,
1.217100000000000E+009,4.288445040583611E-002,2.806331589818001E-002,-8.393722772598267E-001,5.434878468513489E-001,4.288445040583611E-002,2.806331589818001E-002,-8.393722772598267E-001,5.434878468513489E-001,
1.229650000000000E+009,2.725366689264774E-002,4.825139045715332E-002,-8.137783408164978E-001,5.823113918304443E-001,2.725366689264774E-002,4.825139045715332E-002,-8.137783408164978E-001,5.823113918304443E-001,
1.242200000000000E+009,3.055872954428196E-002,7.516165077686310E-002,-7.792382836341858E-001,6.056180000305176E-001,3.055872954428196E-002,7.516165077686310E-002,-7.792382836341858E-001,6.056180000305176E-001,
1.254750000000000E+009,5.814399570226669E-002,8.374814689159393E-002,-7.459878921508789E-001,6.357897520065308E-001,5.814399570226669E-002,8.374814689159393E-002,-7.459878921508789E-001,6.357897520065308E-001,
