% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.330617189407349E-002,3.018236346542835E-002,-5.355348587036133E-001,-8.580103516578674E-001,-4.330617189407349E-002,3.018236346542835E-002,-5.355348587036133E-001,-8.580103516578674E-001,
7.025500000000000E+008,-2.178962342441082E-002,3.459998965263367E-002,-5.528777241706848E-001,-8.087982535362244E-001,-2.178962342441082E-002,3.459998965263367E-002,-5.528777241706848E-001,-8.087982535362244E-001,
7.151000000000000E+008,-2.230984717607498E-002,3.500825166702271E-002,-5.863440632820129E-001,-7.846006155014038E-001,-2.230984717607498E-002,3.500825166702271E-002,-5.863440632820129E-001,-7.846006155014038E-001,
7.276500000000000E+008,-3.561946377158165E-002,3.756347298622131E-002,-6.209694147109985E-001,-7.648835182189941E-001,-3.561946377158165E-002,3.756347298622131E-002,-6.209694147109985E-001,-7.648835182189941E-001,
7.402000000000000E+008,-5.523213744163513E-002,4.050442576408386E-002,-6.404051780700684E-001,-7.650235295295715E-001,-5.523213744163513E-002,4.050442576408386E-002,-6.404051780700684E-001,-7.650235295295715E-001,
7.527500000000000E+008,-7.130049169063568E-002,4.698077961802483E-002,-6.606881618499756E-001,-7.146551609039307E-001,-7.130049169063568E-002,4.698077961802483E-002,-6.606881618499756E-001,-7.146551609039307E-001,
7.653000000000000E+008,-7.237287610769272E-002,4.916024953126907E-002,-6.909700632095337E-001,-7.073116302490234E-001,-7.237287610769272E-002,4.916024953126907E-002,-6.909700632095337E-001,-7.073116302490234E-001,
7.778500000000000E+008,-5.129542946815491E-002,4.574855417013168E-002,-7.307583093643189E-001,-6.606613397598267E-001,-5.129542946815491E-002,4.574855417013168E-002,-7.307583093643189E-001,-6.606613397598267E-001,
7.904000000000000E+008,-2.686196565628052E-002,4.086771607398987E-002,-7.253747582435608E-001,-6.553305983543396E-001,-2.686196565628052E-002,4.086771607398987E-002,-7.253747582435608E-001,-6.553305983543396E-001,
8.029500000000000E+008,-9.911940433084965E-003,3.972401097416878E-002,-7.564293742179871E-001,-6.127523779869080E-001,-9.911940433084965E-003,3.972401097416878E-002,-7.564293742179871E-001,-6.127523779869080E-001,
8.155000000000000E+008,-9.207621216773987E-003,4.504045099020004E-002,-7.773578763008118E-001,-5.808777213096619E-001,-9.207621216773987E-003,4.504045099020004E-002,-7.773578763008118E-001,-5.808777213096619E-001,
8.280500000000000E+008,-2.223792299628258E-002,5.530682951211929E-002,-8.220008611679077E-001,-5.403227210044861E-001,-2.223792299628258E-002,5.530682951211929E-002,-8.220008611679077E-001,-5.403227210044861E-001,
8.406000000000000E+008,-4.474481195211411E-002,6.587296724319458E-002,-8.284353613853455E-001,-5.220229625701904E-001,-4.474481195211411E-002,6.587296724319458E-002,-8.284353613853455E-001,-5.220229625701904E-001,
8.531500000000000E+008,-5.544376373291016E-002,7.539286464452744E-002,-8.361838459968567E-001,-4.868182539939880E-001,-5.544376373291016E-002,7.539286464452744E-002,-8.361838459968567E-001,-4.868182539939880E-001,
8.657000000000000E+008,-5.465532094240189E-002,7.364472746849060E-002,-8.845370411872864E-001,-4.538809359073639E-001,-5.465532094240189E-002,7.364472746849060E-002,-8.845370411872864E-001,-4.538809359073639E-001,
8.782500000000000E+008,-3.793295472860336E-002,6.589050590991974E-002,-8.789921998977661E-001,-4.180353879928589E-001,-3.793295472860336E-002,6.589050590991974E-002,-8.789921998977661E-001,-4.180353879928589E-001,
8.908000000000000E+008,-1.324454508721829E-002,5.407616496086121E-002,-8.902285695075989E-001,-3.732627034187317E-001,-1.324454508721829E-002,5.407616496086121E-002,-8.902285695075989E-001,-3.732627034187317E-001,
9.033500000000000E+008,8.314714767038822E-003,4.745142534375191E-002,-9.249545931816101E-001,-3.445665240287781E-001,8.314714767038822E-003,4.745142534375191E-002,-9.249545931816101E-001,-3.445665240287781E-001,
9.159000000000000E+008,1.074709650129080E-002,5.295989662408829E-002,-9.258794188499451E-001,-3.079723119735718E-001,1.074709650129080E-002,5.295989662408829E-002,-9.258794188499451E-001,-3.079723119735718E-001,
9.284500000000000E+008,-6.288709701038897E-004,6.649845838546753E-002,-9.585551023483276E-001,-2.524880766868591E-001,-6.288709701038897E-004,6.649845838546753E-002,-9.585551023483276E-001,-2.524880766868591E-001,
9.410000000000000E+008,-2.064535766839981E-002,8.575903624296188E-002,-9.445312023162842E-001,-2.526220679283142E-001,-2.064535766839981E-002,8.575903624296188E-002,-9.445312023162842E-001,-2.526220679283142E-001,
9.535500000000000E+008,-3.390277549624443E-002,9.717413038015366E-002,-9.577198624610901E-001,-2.054714113473892E-001,-3.390277549624443E-002,9.717413038015366E-002,-9.577198624610901E-001,-2.054714113473892E-001,
9.661000000000000E+008,-3.175520151853561E-002,9.643267095088959E-002,-9.722300171852112E-001,-1.592171788215637E-001,-3.175520151853561E-002,9.643267095088959E-002,-9.722300171852112E-001,-1.592171788215637E-001,
9.786500000000000E+008,-1.363602466881275E-002,8.125800639390945E-002,-9.603877663612366E-001,-1.237976253032684E-001,-1.363602466881275E-002,8.125800639390945E-002,-9.603877663612366E-001,-1.237976253032684E-001,
9.912000000000000E+008,1.087795104831457E-002,6.193140894174576E-002,-9.876882433891296E-001,-9.219581633806229E-002,1.087795104831457E-002,6.193140894174576E-002,-9.876882433891296E-001,-9.219581633806229E-002,
1.003750000000000E+009,3.399996086955071E-002,4.810544103384018E-002,-9.722047448158264E-001,-4.790530726313591E-002,3.399996086955071E-002,4.810544103384018E-002,-9.722047448158264E-001,-4.790530726313591E-002,
1.016300000000000E+009,4.191653802990913E-002,4.868431016802788E-002,-9.742310643196106E-001,-7.947192527353764E-003,4.191653802990913E-002,4.868431016802788E-002,-9.742310643196106E-001,-7.947192527353764E-003,
1.028850000000000E+009,3.291618078947067E-002,6.668370217084885E-002,-9.948562383651733E-001,2.407602779567242E-002,3.291618078947067E-002,6.668370217084885E-002,-9.948562383651733E-001,2.407602779567242E-002,
