% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-9.089065343141556E-002,7.025220245122910E-002,-5.487859845161438E-001,-8.240115046501160E-001,-9.089065343141556E-002,7.025220245122910E-002,-5.487859845161438E-001,-8.240115046501160E-001,
7.025500000000000E+008,-7.959260791540146E-002,6.665742397308350E-002,-5.659931302070618E-001,-7.977195382118225E-001,-7.959260791540146E-002,6.665742397308350E-002,-5.659931302070618E-001,-7.977195382118225E-001,
7.151000000000000E+008,-7.863473147153854E-002,5.888930335640907E-002,-6.113638281822205E-001,-7.688996791839600E-001,-7.863473147153854E-002,5.888930335640907E-002,-6.113638281822205E-001,-7.688996791839600E-001,
7.276500000000000E+008,-8.622606843709946E-002,5.290125682950020E-002,-6.389209628105164E-001,-7.555821537971497E-001,-8.622606843709946E-002,5.290125682950020E-002,-6.389209628105164E-001,-7.555821537971497E-001,
7.402000000000000E+008,-9.187408536672592E-002,6.020661443471909E-002,-6.793757081031799E-001,-7.509887814521790E-001,-9.187408536672592E-002,6.020661443471909E-002,-6.793757081031799E-001,-7.509887814521790E-001,
7.527500000000000E+008,-9.645433723926544E-002,7.698447257280350E-002,-6.943321824073792E-001,-6.941853761672974E-001,-9.645433723926544E-002,7.698447257280350E-002,-6.943321824073792E-001,-6.941853761672974E-001,
7.653000000000000E+008,-8.991701155900955E-002,9.493370354175568E-002,-7.191631197929382E-001,-6.726117730140686E-001,-8.991701155900955E-002,9.493370354175568E-002,-7.191631197929382E-001,-6.726117730140686E-001,
7.778500000000000E+008,-7.681158185005188E-002,1.038979664444923E-001,-7.607032656669617E-001,-6.371085047721863E-001,-7.681158185005188E-002,1.038979664444923E-001,-7.607032656669617E-001,-6.371085047721863E-001,
7.904000000000000E+008,-6.426104903221130E-002,1.039180681109428E-001,-7.668354511260986E-001,-6.279638409614563E-001,-6.426104903221130E-002,1.039180681109428E-001,-7.668354511260986E-001,-6.279638409614563E-001,
8.029500000000000E+008,-6.008889153599739E-002,9.644401073455811E-002,-7.990589141845703E-001,-5.840287804603577E-001,-6.008889153599739E-002,9.644401073455811E-002,-7.990589141845703E-001,-5.840287804603577E-001,
8.155000000000000E+008,-6.447786837816238E-002,8.946079015731812E-002,-8.103135228157044E-001,-5.565230846405029E-001,-6.447786837816238E-002,8.946079015731812E-002,-8.103135228157044E-001,-5.565230846405029E-001,
8.280500000000000E+008,-7.120350003242493E-002,9.007855504751205E-002,-8.451606631278992E-001,-5.165485143661499E-001,-7.120350003242493E-002,9.007855504751205E-002,-8.451606631278992E-001,-5.165485143661499E-001,
8.406000000000000E+008,-7.616277784109116E-002,9.964915364980698E-002,-8.608950376510620E-001,-4.846663475036621E-001,-7.616277784109116E-002,9.964915364980698E-002,-8.608950376510620E-001,-4.846663475036621E-001,
8.531500000000000E+008,-7.186324894428253E-002,1.155823245644569E-001,-8.656644821166992E-001,-4.480497241020203E-001,-7.186324894428253E-002,1.155823245644569E-001,-8.656644821166992E-001,-4.480497241020203E-001,
8.657000000000000E+008,-5.835799872875214E-002,1.306330710649490E-001,-9.036086797714233E-001,-4.125116467475891E-001,-5.835799872875214E-002,1.306330710649490E-001,-9.036086797714233E-001,-4.125116467475891E-001,
8.782500000000000E+008,-4.349558800458908E-002,1.359010189771652E-001,-9.006749987602234E-001,-3.758407533168793E-001,-4.349558800458908E-002,1.359010189771652E-001,-9.006749987602234E-001,-3.758407533168793E-001,
8.908000000000000E+008,-3.170043230056763E-002,1.327976733446121E-001,-9.105903506278992E-001,-3.481829762458801E-001,-3.170043230056763E-002,1.327976733446121E-001,-9.105903506278992E-001,-3.481829762458801E-001,
