% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-8.896898478269577E-002,7.261313498020172E-002,-5.508214235305786E-001,-8.241525888442993E-001,-8.896898478269577E-002,7.261313498020172E-002,-5.508214235305786E-001,-8.241525888442993E-001,
7.025500000000000E+008,-7.718899101018906E-002,6.955211609601975E-002,-5.672502517700195E-001,-7.979451417922974E-001,-7.718899101018906E-002,6.955211609601975E-002,-5.672502517700195E-001,-7.979451417922974E-001,
7.151000000000000E+008,-7.587208598852158E-002,6.215283274650574E-002,-6.128882765769959E-001,-7.679942250251770E-001,-7.587208598852158E-002,6.215283274650574E-002,-6.128882765769959E-001,-7.679942250251770E-001,
7.276500000000000E+008,-8.321602642536163E-002,5.634548515081406E-002,-6.399489045143127E-001,-7.542840242385864E-001,-8.321602642536163E-002,5.634548515081406E-002,-6.399489045143127E-001,-7.542840242385864E-001,
7.402000000000000E+008,-8.935204893350601E-002,6.326292455196381E-002,-6.806634664535523E-001,-7.496545910835266E-001,-8.935204893350601E-002,6.326292455196381E-002,-6.806634664535523E-001,-7.496545910835266E-001,
7.527500000000000E+008,-9.402078390121460E-002,7.958804070949554E-002,-6.959941387176514E-001,-6.938561797142029E-001,-9.402078390121460E-002,7.958804070949554E-002,-6.959941387176514E-001,-6.938561797142029E-001,
7.653000000000000E+008,-8.771956712007523E-002,9.680024534463882E-002,-7.186214923858643E-001,-6.738166213035584E-001,-8.771956712007523E-002,9.680024534463882E-002,-7.186214923858643E-001,-6.738166213035584E-001,
7.778500000000000E+008,-7.429889589548111E-002,1.057501882314682E-001,-7.619941830635071E-001,-6.365094184875488E-001,-7.429889589548111E-002,1.057501882314682E-001,-7.619941830635071E-001,-6.365094184875488E-001,
7.904000000000000E+008,-6.142906099557877E-002,1.058245524764061E-001,-7.671052217483521E-001,-6.283340454101563E-001,-6.142906099557877E-002,1.058245524764061E-001,-7.671052217483521E-001,-6.283340454101563E-001,
8.029500000000000E+008,-5.614280700683594E-002,9.919046610593796E-002,-8.009960651397705E-001,-5.846350789070129E-001,-5.614280700683594E-002,9.919046610593796E-002,-8.009960651397705E-001,-5.846350789070129E-001,
8.155000000000000E+008,-5.981313809752464E-002,9.213631600141525E-002,-8.117714524269104E-001,-5.546636581420898E-001,-5.981313809752464E-002,9.213631600141525E-002,-8.117714524269104E-001,-5.546636581420898E-001,
8.280500000000000E+008,-6.625705212354660E-002,9.276574105024338E-002,-8.461831212043762E-001,-5.157423615455627E-001,-6.625705212354660E-002,9.276574105024338E-002,-8.461831212043762E-001,-5.157423615455627E-001,
8.406000000000000E+008,-7.204981893301010E-002,1.018528118729591E-001,-8.621693849563599E-001,-4.846597909927368E-001,-7.204981893301010E-002,1.018528118729591E-001,-8.621693849563599E-001,-4.846597909927368E-001,
8.531500000000000E+008,-6.830942630767822E-002,1.170837059617043E-001,-8.663646578788757E-001,-4.467127621173859E-001,-6.830942630767822E-002,1.170837059617043E-001,-8.663646578788757E-001,-4.467127621173859E-001,
8.657000000000000E+008,-5.551811680197716E-002,1.313201934099197E-001,-9.044525623321533E-001,-4.109385907649994E-001,-5.551811680197716E-002,1.313201934099197E-001,-9.044525623321533E-001,-4.109385907649994E-001,
8.782500000000000E+008,-4.037786647677422E-002,1.367511600255966E-001,-9.013212323188782E-001,-3.740843534469605E-001,-4.037786647677422E-002,1.367511600255966E-001,-9.013212323188782E-001,-3.740843534469605E-001,
8.908000000000000E+008,-2.790783718228340E-002,1.335798799991608E-001,-9.113210439682007E-001,-3.480978906154633E-001,-2.790783718228340E-002,1.335798799991608E-001,-9.113210439682007E-001,-3.480978906154633E-001,
9.033500000000000E+008,-2.202340774238110E-002,1.255830675363541E-001,-9.436781406402588E-001,-3.128652572631836E-001,-2.202340774238110E-002,1.255830675363541E-001,-9.436781406402588E-001,-3.128652572631836E-001,
9.159000000000000E+008,-2.780664525926113E-002,1.201155707240105E-001,-9.514234066009522E-001,-2.742547988891602E-001,-2.780664525926113E-002,1.201155707240105E-001,-9.514234066009522E-001,-2.742547988891602E-001,
9.284500000000000E+008,-3.628089651465416E-002,1.195813268423080E-001,-9.843261241912842E-001,-2.236542701721191E-001,-3.628089651465416E-002,1.195813268423080E-001,-9.843261241912842E-001,-2.236542701721191E-001,
