% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-1.629920676350594E-002,1.695869490504265E-002,-4.725085198879242E-001,-8.766663670539856E-001,-1.629920676350594E-002,1.695869490504265E-002,-4.725085198879242E-001,-8.766663670539856E-001,
7.025500000000000E+008,-3.450269578024745E-003,1.353731006383896E-002,-4.957521259784699E-001,-8.507972955703735E-001,-3.450269578024745E-003,1.353731006383896E-002,-4.957521259784699E-001,-8.507972955703735E-001,
7.151000000000000E+008,1.416133163729683E-004,3.606272395700216E-003,-5.458626747131348E-001,-8.203979730606079E-001,1.416133163729683E-004,3.606272395700216E-003,-5.458626747131348E-001,-8.203979730606079E-001,
7.276500000000000E+008,-5.271196365356445E-003,-6.619664374738932E-003,-5.641173124313355E-001,-8.169554471969605E-001,-5.271196365356445E-003,-6.619664374738932E-003,-5.641173124313355E-001,-8.169554471969605E-001,
7.402000000000000E+008,-1.394296064972878E-002,-6.538439542055130E-003,-6.079936623573303E-001,-8.171234130859375E-001,-1.394296064972878E-002,-6.538439542055130E-003,-6.079936623573303E-001,-8.171234130859375E-001,
7.527500000000000E+008,-2.425647340714932E-002,2.746280049905181E-003,-6.232078075408936E-001,-7.718301415443420E-001,-2.425647340714932E-002,2.746280049905181E-003,-6.232078075408936E-001,-7.718301415443420E-001,
7.653000000000000E+008,-2.448139712214470E-002,1.652366667985916E-002,-6.563053131103516E-001,-7.520148158073425E-001,-2.448139712214470E-002,1.652366667985916E-002,-6.563053131103516E-001,-7.520148158073425E-001,
7.778500000000000E+008,-1.430676318705082E-002,2.334405295550823E-002,-6.897372007369995E-001,-7.152661085128784E-001,-1.430676318705082E-002,2.334405295550823E-002,-6.897372007369995E-001,-7.152661085128784E-001,
7.904000000000000E+008,-2.511814236640930E-003,2.126400917768478E-002,-7.006789445877075E-001,-7.064223885536194E-001,-2.511814236640930E-003,2.126400917768478E-002,-7.006789445877075E-001,-7.064223885536194E-001,
8.029500000000000E+008,5.018387455493212E-003,1.237943302839994E-002,-7.347979545593262E-001,-6.630134582519531E-001,5.018387455493212E-003,1.237943302839994E-002,-7.347979545593262E-001,-6.630134582519531E-001,
8.155000000000000E+008,3.337635425850749E-003,3.325044410303235E-003,-7.478421926498413E-001,-6.417580842971802E-001,3.337635425850749E-003,3.325044410303235E-003,-7.478421926498413E-001,-6.417580842971802E-001,
8.280500000000000E+008,-5.257366690784693E-003,-1.868150080554187E-003,-7.779969573020935E-001,-6.045120954513550E-001,-5.257366690784693E-003,-1.868150080554187E-003,-7.779969573020935E-001,-6.045120954513550E-001,
8.406000000000000E+008,-1.643444783985615E-002,2.445947378873825E-003,-8.082782626152039E-001,-5.832919478416443E-001,-1.643444783985615E-002,2.445947378873825E-003,-8.082782626152039E-001,-5.832919478416443E-001,
8.531500000000000E+008,-1.986143924295902E-002,1.259551849216223E-002,-8.177788257598877E-001,-5.500428080558777E-001,-1.986143924295902E-002,1.259551849216223E-002,-8.177788257598877E-001,-5.500428080558777E-001,
8.657000000000000E+008,-1.560065895318985E-002,2.476745657622814E-002,-8.504892587661743E-001,-5.295569896697998E-001,-1.560065895318985E-002,2.476745657622814E-002,-8.504892587661743E-001,-5.295569896697998E-001,
8.782500000000000E+008,-6.503345444798470E-003,2.790996991097927E-002,-8.562222719192505E-001,-4.851016998291016E-001,-6.503345444798470E-003,2.790996991097927E-002,-8.562222719192505E-001,-4.851016998291016E-001,
8.908000000000000E+008,6.470820400863886E-003,2.307466603815556E-002,-8.732706904411316E-001,-4.553593695163727E-001,6.470820400863886E-003,2.307466603815556E-002,-8.732706904411316E-001,-4.553593695163727E-001,
9.033500000000000E+008,1.240407302975655E-002,1.315741520375013E-002,-9.072614312171936E-001,-4.294860959053040E-001,1.240407302975655E-002,1.315741520375013E-002,-9.072614312171936E-001,-4.294860959053040E-001,
9.159000000000000E+008,6.997393444180489E-003,4.674416035413742E-003,-9.112648367881775E-001,-3.890638053417206E-001,6.997393444180489E-003,4.674416035413742E-003,-9.112648367881775E-001,-3.890638053417206E-001,
9.284500000000000E+008,-3.045235527679324E-003,3.729791205842048E-005,-9.537426233291626E-001,-3.442443311214447E-001,-3.045235527679324E-003,3.729791205842048E-005,-9.537426233291626E-001,-3.442443311214447E-001,
9.410000000000000E+008,-1.105763763189316E-002,7.251590024679899E-003,-9.314182996749878E-001,-3.255131244659424E-001,-1.105763763189316E-002,7.251590024679899E-003,-9.314182996749878E-001,-3.255131244659424E-001,
9.535500000000000E+008,-1.463333051651716E-002,1.917778141796589E-002,-9.598612189292908E-001,-2.816837728023529E-001,-1.463333051651716E-002,1.917778141796589E-002,-9.598612189292908E-001,-2.816837728023529E-001,
9.661000000000000E+008,-6.611577700823546E-003,2.935464866459370E-002,-9.652144908905029E-001,-2.266180813312531E-001,-6.611577700823546E-003,2.935464866459370E-002,-9.652144908905029E-001,-2.266180813312531E-001,
9.786500000000000E+008,7.938982918858528E-003,3.383638337254524E-002,-9.691969156265259E-001,-2.154387086629868E-001,7.938982918858528E-003,3.383638337254524E-002,-9.691969156265259E-001,-2.154387086629868E-001,
9.912000000000000E+008,2.017650753259659E-002,2.688431926071644E-002,-9.950978755950928E-001,-1.792970448732376E-001,2.017650753259659E-002,2.688431926071644E-002,-9.950978755950928E-001,-1.792970448732376E-001,
1.003750000000000E+009,2.618532627820969E-002,1.230940129607916E-002,-9.875854253768921E-001,-1.344759762287140E-001,2.618532627820969E-002,1.230940129607916E-002,-9.875854253768921E-001,-1.344759762287140E-001,
1.016300000000000E+009,2.195942960679531E-002,-9.344877908006311E-004,-9.947207570075989E-001,-9.657160937786102E-002,2.195942960679531E-002,-9.344877908006311E-004,-9.947207570075989E-001,-9.657160937786102E-002,
1.028850000000000E+009,1.063400227576494E-002,-3.643936244770885E-003,-1.008077025413513E+000,-6.009525805711746E-002,1.063400227576494E-002,-3.643936244770885E-003,-1.008077025413513E+000,-6.009525805711746E-002,
1.041400000000000E+009,-1.476434175856412E-003,4.513796884566546E-003,-9.883164167404175E-001,-3.800449520349503E-002,-1.476434175856412E-003,4.513796884566546E-003,-9.883164167404175E-001,-3.800449520349503E-002,
1.053950000000000E+009,-2.823956077918410E-003,1.695924252271652E-002,-9.928930401802063E-001,1.063645072281361E-002,-2.823956077918410E-003,1.695924252271652E-002,-9.928930401802063E-001,1.063645072281361E-002,
1.066500000000000E+009,7.297519594430924E-003,2.764614485204220E-002,-9.891075491905212E-001,5.171524360775948E-002,7.297519594430924E-003,2.764614485204220E-002,-9.891075491905212E-001,5.171524360775948E-002,
1.079050000000000E+009,2.546671591699123E-002,2.366098016500473E-002,-9.927892088890076E-001,8.540584146976471E-002,2.546671591699123E-002,2.366098016500473E-002,-9.927892088890076E-001,8.540584146976471E-002,
1.091600000000000E+009,3.530784696340561E-002,7.646553218364716E-003,-9.787780642509460E-001,1.207294762134552E-001,3.530784696340561E-002,7.646553218364716E-003,-9.787780642509460E-001,1.207294762134552E-001,
1.104150000000000E+009,3.101203218102455E-002,-1.096012536436319E-002,-9.809375405311585E-001,1.692581623792648E-001,3.101203218102455E-002,-1.096012536436319E-002,-9.809375405311585E-001,1.692581623792648E-001,
1.116700000000000E+009,1.588203571736813E-002,-2.028084360063076E-002,-9.670817852020264E-001,1.922343671321869E-001,1.588203571736813E-002,-2.028084360063076E-002,-9.670817852020264E-001,1.922343671321869E-001,
1.129250000000000E+009,-3.222292056307197E-003,-1.511697936803103E-002,-9.570304155349731E-001,2.315570116043091E-001,-3.222292056307197E-003,-1.511697936803103E-002,-9.570304155349731E-001,2.315570116043091E-001,
1.141800000000000E+009,-1.054282207041979E-002,4.754112102091312E-003,-9.531926512718201E-001,2.755623459815979E-001,-1.054282207041979E-002,4.754112102091312E-003,-9.531926512718201E-001,2.755623459815979E-001,
1.154350000000000E+009,-1.114921877160668E-003,2.739290893077850E-002,-9.409242272377014E-001,3.063622415065765E-001,-1.114921877160668E-003,2.739290893077850E-002,-9.409242272377014E-001,3.063622415065765E-001,
1.166900000000000E+009,2.206348627805710E-002,3.365397080779076E-002,-9.230140447616577E-001,3.480723798274994E-001,2.206348627805710E-002,3.365397080779076E-002,-9.230140447616577E-001,3.480723798274994E-001,
