% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.421772435307503E-002,3.814515843987465E-002,-5.033497810363770E-001,-8.577315211296082E-001,-4.421772435307503E-002,3.814515843987465E-002,-5.033497810363770E-001,-8.577315211296082E-001,
6.983666666666666E+008,-3.210340067744255E-002,3.687291592359543E-002,-5.238493084907532E-001,-8.429897427558899E-001,-3.210340067744255E-002,3.687291592359543E-002,-5.238493084907532E-001,-8.429897427558899E-001,
7.067333333333334E+008,-2.727128565311432E-002,3.163991868495941E-002,-5.638085603713989E-001,-7.982150912284851E-001,-2.727128565311432E-002,3.163991868495941E-002,-5.638085603713989E-001,-7.982150912284851E-001,
7.151000000000000E+008,-2.697198092937470E-002,2.465882524847984E-002,-5.586265325546265E-001,-8.107814788818359E-001,-2.697198092937470E-002,2.465882524847984E-002,-5.586265325546265E-001,-8.107814788818359E-001,
7.234666666666666E+008,-2.897974662482739E-002,1.848959363996983E-002,-5.903089642524719E-001,-8.044216632843018E-001,-2.897974662482739E-002,1.848959363996983E-002,-5.903089642524719E-001,-8.044216632843018E-001,
7.318333333333334E+008,-3.628611937165260E-002,1.717623881995678E-002,-6.059724688529968E-001,-7.878010272979736E-001,-3.628611937165260E-002,1.717623881995678E-002,-6.059724688529968E-001,-7.878010272979736E-001,
7.402000000000000E+008,-4.178768023848534E-002,1.977547816932201E-002,-6.160242557525635E-001,-7.806012034416199E-001,-4.178768023848534E-002,1.977547816932201E-002,-6.160242557525635E-001,-7.806012034416199E-001,
7.485666666666666E+008,-4.974535107612610E-002,2.611030824482441E-002,-6.463239192962647E-001,-7.535465359687805E-001,-4.974535107612610E-002,2.611030824482441E-002,-6.463239192962647E-001,-7.535465359687805E-001,
7.569333333333334E+008,-4.977482184767723E-002,3.569377958774567E-002,-6.610337495803833E-001,-7.495064139366150E-001,-4.977482184767723E-002,3.569377958774567E-002,-6.610337495803833E-001,-7.495064139366150E-001,
7.653000000000000E+008,-4.621380567550659E-002,4.358727112412453E-002,-6.787362694740295E-001,-7.208614349365234E-001,-4.621380567550659E-002,4.358727112412453E-002,-6.787362694740295E-001,-7.208614349365234E-001,
7.736666666666666E+008,-3.979961574077606E-002,5.112114176154137E-002,-7.031974792480469E-001,-7.057131528854370E-001,-3.979961574077606E-002,5.112114176154137E-002,-7.031974792480469E-001,-7.057131528854370E-001,
7.820333333333334E+008,-3.167486190795898E-002,5.312094092369080E-002,-7.571942806243897E-001,-6.942635178565979E-001,-3.167486190795898E-002,5.312094092369080E-002,-7.571942806243897E-001,-6.942635178565979E-001,
