% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-6.274159252643585E-002,5.529514700174332E-002,-5.247960686683655E-001,-8.424850702285767E-001,-6.274159252643585E-002,5.529514700174332E-002,-5.247960686683655E-001,-8.424850702285767E-001,
6.983666666666666E+008,-5.034587904810906E-002,5.445678159594536E-002,-5.437814593315125E-001,-8.279198408126831E-001,-5.034587904810906E-002,5.445678159594536E-002,-5.437814593315125E-001,-8.279198408126831E-001,
7.067333333333334E+008,-4.534759372472763E-002,4.958185553550720E-002,-5.838851928710938E-001,-7.811515927314758E-001,-4.534759372472763E-002,4.958185553550720E-002,-5.838851928710938E-001,-7.811515927314758E-001,
7.151000000000000E+008,-4.518723487854004E-002,4.338343068957329E-002,-5.805432796478272E-001,-7.945155501365662E-001,-4.518723487854004E-002,4.338343068957329E-002,-5.805432796478272E-001,-7.945155501365662E-001,
7.234666666666666E+008,-4.665206372737885E-002,3.815875574946404E-002,-6.113594174385071E-001,-7.855841517448425E-001,-4.665206372737885E-002,3.815875574946404E-002,-6.113594174385071E-001,-7.855841517448425E-001,
7.318333333333334E+008,-5.377764999866486E-002,3.787747398018837E-002,-6.270488500595093E-001,-7.672619223594666E-001,-5.377764999866486E-002,3.787747398018837E-002,-6.270488500595093E-001,-7.672619223594666E-001,
7.402000000000000E+008,-5.892567336559296E-002,4.159930348396301E-002,-6.370991468429565E-001,-7.606455087661743E-001,-5.892567336559296E-002,4.159930348396301E-002,-6.370991468429565E-001,-7.606455087661743E-001,
7.485666666666666E+008,-6.647510081529617E-002,4.899924248456955E-002,-6.681360006332398E-001,-7.323352694511414E-001,-6.647510081529617E-002,4.899924248456955E-002,-6.681360006332398E-001,-7.323352694511414E-001,
7.569333333333334E+008,-6.566115468740463E-002,5.949085950851440E-002,-6.815990805625916E-001,-7.267623543739319E-001,-6.566115468740463E-002,5.949085950851440E-002,-6.815990805625916E-001,-7.267623543739319E-001,
7.653000000000000E+008,-6.128005683422089E-002,6.761268526315689E-002,-6.984701752662659E-001,-6.975248456001282E-001,-6.128005683422089E-002,6.761268526315689E-002,-6.984701752662659E-001,-6.975248456001282E-001,
7.736666666666666E+008,-5.409635975956917E-002,7.572476565837860E-002,-7.224767208099365E-001,-6.823867559432983E-001,-5.409635975956917E-002,7.572476565837860E-002,-7.224767208099365E-001,-6.823867559432983E-001,
7.820333333333334E+008,-4.540407657623291E-002,7.833801954984665E-002,-7.755673527717590E-001,-6.694918274879456E-001,-4.540407657623291E-002,7.833801954984665E-002,-7.755673527717590E-001,-6.694918274879456E-001,
7.904000000000000E+008,-3.743149340152741E-002,7.746696472167969E-002,-7.638531923294067E-001,-6.532059907913208E-001,-3.743149340152741E-002,7.746696472167969E-002,-7.638531923294067E-001,-6.532059907913208E-001,
7.987666666666666E+008,-3.195473551750183E-002,7.155364751815796E-002,-7.713831663131714E-001,-6.214949488639832E-001,-3.195473551750183E-002,7.155364751815796E-002,-7.713831663131714E-001,-6.214949488639832E-001,
8.071333333333334E+008,-2.902444824576378E-002,6.513588875532150E-002,-7.869430780410767E-001,-5.968303680419922E-001,-2.902444824576378E-002,6.513588875532150E-002,-7.869430780410767E-001,-5.968303680419922E-001,
8.155000000000000E+008,-3.211277350783348E-002,6.281603127717972E-002,-8.139954805374146E-001,-5.767148137092590E-001,-3.211277350783348E-002,6.281603127717972E-002,-8.139954805374146E-001,-5.767148137092590E-001,
8.238666666666666E+008,-3.677295893430710E-002,5.971699953079224E-002,-8.238162398338318E-001,-5.530893206596375E-001,-3.677295893430710E-002,5.971699953079224E-002,-8.238162398338318E-001,-5.530893206596375E-001,
8.322333333333334E+008,-4.265790432691574E-002,6.227100640535355E-002,-8.316150307655335E-001,-5.329651236534119E-001,-4.265790432691574E-002,6.227100640535355E-002,-8.316150307655335E-001,-5.329651236534119E-001,
8.406000000000000E+008,-4.630000889301300E-002,6.838610023260117E-002,-8.398680686950684E-001,-5.113435983657837E-001,-4.630000889301300E-002,6.838610023260117E-002,-8.398680686950684E-001,-5.113435983657837E-001,
8.489666666666668E+008,-4.699135199189186E-002,7.774522155523300E-002,-8.590533733367920E-001,-4.752069711685181E-001,-4.699135199189186E-002,7.774522155523300E-002,-8.590533733367920E-001,-4.752069711685181E-001,
8.573333333333334E+008,-4.395237565040588E-002,8.602868020534515E-002,-8.623933792114258E-001,-4.808590412139893E-001,-4.395237565040588E-002,8.602868020534515E-002,-8.623933792114258E-001,-4.808590412139893E-001,
8.657000000000000E+008,-3.736000508069992E-002,9.441760927438736E-002,-8.811438679695129E-001,-4.425956606864929E-001,-3.736000508069992E-002,9.441760927438736E-002,-8.811438679695129E-001,-4.425956606864929E-001,
8.740666666666668E+008,-2.594312839210033E-002,9.923749417066574E-002,-8.894375562667847E-001,-4.300982952117920E-001,-2.594312839210033E-002,9.923749417066574E-002,-8.894375562667847E-001,-4.300982952117920E-001,
8.824333333333334E+008,-1.842331513762474E-002,9.833481907844544E-002,-9.010015726089478E-001,-4.147036373615265E-001,-1.842331513762474E-002,9.833481907844544E-002,-9.010015726089478E-001,-4.147036373615265E-001,
8.908000000000000E+008,-9.701042436063290E-003,9.377756714820862E-002,-9.058004617691040E-001,-3.723962903022766E-001,-9.701042436063290E-003,9.377756714820862E-002,-9.058004617691040E-001,-3.723962903022766E-001,
8.991666666666668E+008,-6.823982577770948E-003,8.889289200305939E-002,-9.220426678657532E-001,-3.491125404834747E-001,-6.823982577770948E-003,8.889289200305939E-002,-9.220426678657532E-001,-3.491125404834747E-001,
9.075333333333334E+008,-4.500102717429400E-003,8.318787068128586E-002,-9.288879036903381E-001,-3.251321017742157E-001,-4.500102717429400E-003,8.318787068128586E-002,-9.288879036903381E-001,-3.251321017742157E-001,
9.159000000000000E+008,-7.510382682085037E-003,8.020515739917755E-002,-9.325847625732422E-001,-3.083900213241577E-001,-7.510382682085037E-003,8.020515739917755E-002,-9.325847625732422E-001,-3.083900213241577E-001,
9.242666666666668E+008,-1.115155778825283E-002,7.785215228796005E-002,-9.404345154762268E-001,-2.871879339218140E-001,-1.115155778825283E-002,7.785215228796005E-002,-9.404345154762268E-001,-2.871879339218140E-001,
9.326333333333334E+008,-1.519318576902151E-002,8.128938823938370E-002,-9.399104714393616E-001,-2.542283236980438E-001,-1.519318576902151E-002,8.128938823938370E-002,-9.399104714393616E-001,-2.542283236980438E-001,
9.410000000000000E+008,-1.949312165379524E-002,8.785919100046158E-002,-9.544499516487122E-001,-2.414722144603729E-001,-1.949312165379524E-002,8.785919100046158E-002,-9.544499516487122E-001,-2.414722144603729E-001,
9.493666666666668E+008,-1.719695329666138E-002,9.655395895242691E-002,-9.751150012016296E-001,-2.034991383552551E-001,-1.719695329666138E-002,9.655395895242691E-002,-9.751150012016296E-001,-2.034991383552551E-001,
9.577333333333334E+008,-1.226727757602930E-002,1.044598743319511E-001,-9.536495804786682E-001,-1.751944571733475E-001,-1.226727757602930E-002,1.044598743319511E-001,-9.536495804786682E-001,-1.751944571733475E-001,
9.661000000000000E+008,-2.680502599105239E-003,1.108965873718262E-001,-9.621972441673279E-001,-1.611073464155197E-001,-2.680502599105239E-003,1.108965873718262E-001,-9.621972441673279E-001,-1.611073464155197E-001,
