% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.225443303585053E-002,3.326650336384773E-002,-5.000150799751282E-001,-8.599968552589417E-001,-4.225443303585053E-002,3.326650336384773E-002,-5.000150799751282E-001,-8.599968552589417E-001,
6.983666666666666E+008,-3.021910972893238E-002,3.191497921943665E-002,-5.198748111724854E-001,-8.458220958709717E-001,-3.021910972893238E-002,3.191497921943665E-002,-5.198748111724854E-001,-8.458220958709717E-001,
7.067333333333334E+008,-2.532183937728405E-002,2.669523470103741E-002,-5.600669980049133E-001,-8.013663291931152E-001,-2.532183937728405E-002,2.669523470103741E-002,-5.600669980049133E-001,-8.013663291931152E-001,
7.151000000000000E+008,-2.477773837745190E-002,1.942792907357216E-002,-5.546466708183289E-001,-8.134886026382446E-001,-2.477773837745190E-002,1.942792907357216E-002,-5.546466708183289E-001,-8.134886026382446E-001,
7.234666666666666E+008,-2.675976045429707E-002,1.309192925691605E-002,-5.865165591239929E-001,-8.077216744422913E-001,-2.675976045429707E-002,1.309192925691605E-002,-5.865165591239929E-001,-8.077216744422913E-001,
7.318333333333334E+008,-3.409498184919357E-002,1.157644763588905E-002,-6.023522019386292E-001,-7.907428145408630E-001,-3.409498184919357E-002,1.157644763588905E-002,-6.023522019386292E-001,-7.907428145408630E-001,
7.402000000000000E+008,-3.971878439188004E-002,1.396512053906918E-002,-6.125431656837463E-001,-7.837361097335815E-001,-3.971878439188004E-002,1.396512053906918E-002,-6.125431656837463E-001,-7.837361097335815E-001,
7.485666666666666E+008,-4.803257435560226E-002,2.004654146730900E-002,-6.432551741600037E-001,-7.570596933364868E-001,-4.803257435560226E-002,2.004654146730900E-002,-6.432551741600037E-001,-7.570596933364868E-001,
7.569333333333334E+008,-4.841643571853638E-002,2.957556582987309E-002,-6.574496030807495E-001,-7.522297501564026E-001,-4.841643571853638E-002,2.957556582987309E-002,-6.574496030807495E-001,-7.522297501564026E-001,
7.653000000000000E+008,-4.516116902232170E-002,3.764026984572411E-002,-6.751396656036377E-001,-7.236485481262207E-001,-4.516116902232170E-002,3.764026984572411E-002,-6.751396656036377E-001,-7.236485481262207E-001,
7.736666666666666E+008,-3.905747085809708E-002,4.510961472988129E-002,-6.999935507774353E-001,-7.102621197700501E-001,-3.905747085809708E-002,4.510961472988129E-002,-6.999935507774353E-001,-7.102621197700501E-001,
7.820333333333334E+008,-3.118180111050606E-002,4.717503115534782E-002,-7.542247772216797E-001,-6.985510587692261E-001,-3.118180111050606E-002,4.717503115534782E-002,-7.542247772216797E-001,-6.985510587692261E-001,
7.904000000000000E+008,-2.380198985338211E-002,4.572621360421181E-002,-7.420616149902344E-001,-6.811351776123047E-001,-2.380198985338211E-002,4.572621360421181E-002,-7.420616149902344E-001,-6.811351776123047E-001,
7.987666666666666E+008,-1.856147870421410E-002,3.933280333876610E-002,-7.508974671363831E-001,-6.498471498489380E-001,-1.856147870421410E-002,3.933280333876610E-002,-7.508974671363831E-001,-6.498471498489380E-001,
8.071333333333334E+008,-1.605485938489437E-002,3.257950767874718E-002,-7.677651047706604E-001,-6.272386908531189E-001,-1.605485938489437E-002,3.257950767874718E-002,-7.677651047706604E-001,-6.272386908531189E-001,
8.155000000000000E+008,-1.950571127235889E-002,2.869678474962711E-002,-7.945753931999207E-001,-6.081914305686951E-001,-1.950571127235889E-002,2.869678474962711E-002,-7.945753931999207E-001,-6.081914305686951E-001,
8.238666666666666E+008,-2.518335543572903E-002,2.477120049297810E-002,-8.054451346397400E-001,-5.843416452407837E-001,-2.518335543572903E-002,2.477120049297810E-002,-8.054451346397400E-001,-5.843416452407837E-001,
8.322333333333334E+008,-3.197765722870827E-002,2.604501508176327E-002,-8.120877146720886E-001,-5.661393404006958E-001,-3.197765722870827E-002,2.604501508176327E-002,-8.120877146720886E-001,-5.661393404006958E-001,
8.406000000000000E+008,-3.670533373951912E-002,3.110282495617867E-002,-8.213303685188294E-001,-5.438743829727173E-001,-3.670533373951912E-002,3.110282495617867E-002,-8.213303685188294E-001,-5.438743829727173E-001,
8.489666666666668E+008,-3.917232900857925E-002,4.011561721563339E-002,-8.431494235992432E-001,-5.098180174827576E-001,-3.917232900857925E-002,4.011561721563339E-002,-8.431494235992432E-001,-5.098180174827576E-001,
8.573333333333334E+008,-3.719033673405647E-002,4.800306633114815E-002,-8.458119630813599E-001,-5.157276391983032E-001,-3.719033673405647E-002,4.800306633114815E-002,-8.458119630813599E-001,-5.157276391983032E-001,
8.657000000000000E+008,-3.209945186972618E-002,5.549639463424683E-002,-8.668379187583923E-001,-4.775526225566864E-001,-3.209945186972618E-002,5.549639463424683E-002,-8.668379187583923E-001,-4.775526225566864E-001,
8.740666666666668E+008,-2.221062779426575E-002,6.082974374294281E-002,-8.754847049713135E-001,-4.678804278373718E-001,-2.221062779426575E-002,6.082974374294281E-002,-8.754847049713135E-001,-4.678804278373718E-001,
8.824333333333334E+008,-1.535316742956638E-002,5.953029543161392E-002,-8.864915966987610E-001,-4.514292180538178E-001,-1.535316742956638E-002,5.953029543161392E-002,-8.864915966987610E-001,-4.514292180538178E-001,
8.908000000000000E+008,-7.394140586256981E-003,5.465643480420113E-002,-8.923369646072388E-001,-4.082828164100647E-001,-7.394140586256981E-003,5.465643480420113E-002,-8.923369646072388E-001,-4.082828164100647E-001,
8.991666666666668E+008,-5.122979171574116E-003,4.905652999877930E-002,-9.083626270294190E-001,-3.868037462234497E-001,-5.122979171574116E-003,4.905652999877930E-002,-9.083626270294190E-001,-3.868037462234497E-001,
9.075333333333334E+008,-4.003368318080902E-003,4.275221750140190E-002,-9.168462753295898E-001,-3.648194372653961E-001,-4.003368318080902E-003,4.275221750140190E-002,-9.168462753295898E-001,-3.648194372653961E-001,
9.159000000000000E+008,-8.172192610800266E-003,3.917020186781883E-002,-9.219420552253723E-001,-3.474568426609039E-001,-8.172192610800266E-003,3.917020186781883E-002,-9.219420552253723E-001,-3.474568426609039E-001,
9.242666666666668E+008,-1.281200628727675E-002,3.596639260649681E-002,-9.300238490104675E-001,-3.264557123184204E-001,-1.281200628727675E-002,3.596639260649681E-002,-9.300238490104675E-001,-3.264557123184204E-001,
9.326333333333334E+008,-1.825298368930817E-002,3.873551264405251E-002,-9.309292435646057E-001,-2.946954369544983E-001,-1.825298368930817E-002,3.873551264405251E-002,-9.309292435646057E-001,-2.946954369544983E-001,
9.410000000000000E+008,-2.416381798684597E-002,4.527138918638229E-002,-9.470480680465698E-001,-2.826537489891052E-001,-2.416381798684597E-002,4.527138918638229E-002,-9.470480680465698E-001,-2.826537489891052E-001,
