% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-2.405555546283722E-002,1.643971912562847E-002,-4.830637276172638E-001,-8.684655427932739E-001,-2.405555546283722E-002,1.643971912562847E-002,-4.830637276172638E-001,-8.684655427932739E-001,
6.983666666666666E+008,-1.224314048886299E-002,1.582733727991581E-002,-5.011698007583618E-001,-8.603670597076416E-001,-1.224314048886299E-002,1.582733727991581E-002,-5.011698007583618E-001,-8.603670597076416E-001,
7.067333333333334E+008,-7.155268453061581E-003,1.034024450927973E-002,-5.432894825935364E-001,-8.122273087501526E-001,-7.155268453061581E-003,1.034024450927973E-002,-5.432894825935364E-001,-8.122273087501526E-001,
7.151000000000000E+008,-6.810422986745834E-003,1.784363063052297E-003,-5.355754494667053E-001,-8.273892402648926E-001,-6.810422986745834E-003,1.784363063052297E-003,-5.355754494667053E-001,-8.273892402648926E-001,
7.234666666666666E+008,-9.173804894089699E-003,-4.890447482466698E-003,-5.707168579101563E-001,-8.241013288497925E-001,-9.173804894089699E-003,-4.890447482466698E-003,-5.707168579101563E-001,-8.241013288497925E-001,
7.318333333333334E+008,-1.660830713808537E-002,-7.659653667360544E-003,-5.826680064201355E-001,-8.030964136123657E-001,-1.660830713808537E-002,-7.659653667360544E-003,-5.826680064201355E-001,-8.030964136123657E-001,
7.402000000000000E+008,-2.237855084240437E-002,-6.547844503074884E-003,-5.947209000587463E-001,-7.960751056671143E-001,-2.237855084240437E-002,-6.547844503074884E-003,-5.947209000587463E-001,-7.960751056671143E-001,
7.485666666666666E+008,-3.141023591160774E-002,-1.566857914440334E-003,-6.241598725318909E-001,-7.738409042358398E-001,-3.141023591160774E-002,-1.566857914440334E-003,-6.241598725318909E-001,-7.738409042358398E-001,
7.569333333333334E+008,-3.233191370964050E-002,7.543902378529310E-003,-6.397156119346619E-001,-7.696765661239624E-001,-3.233191370964050E-002,7.543902378529310E-003,-6.397156119346619E-001,-7.696765661239624E-001,
7.653000000000000E+008,-2.987563796341419E-002,1.530812773853540E-002,-6.561184525489807E-001,-7.421933412551880E-001,-2.987563796341419E-002,1.530812773853540E-002,-6.561184525489807E-001,-7.421933412551880E-001,
7.736666666666666E+008,-2.464083768427372E-002,2.342121861875057E-002,-6.780757904052734E-001,-7.260603308677673E-001,-2.464083768427372E-002,2.342121861875057E-002,-6.780757904052734E-001,-7.260603308677673E-001,
7.820333333333334E+008,-1.692111045122147E-002,2.536523155868053E-002,-7.388029694557190E-001,-7.170632481575012E-001,-1.692111045122147E-002,2.536523155868053E-002,-7.388029694557190E-001,-7.170632481575012E-001,
7.904000000000000E+008,-9.454492479562759E-003,2.437785454094410E-002,-7.217386960983276E-001,-6.999303698539734E-001,-9.454492479562759E-003,2.437785454094410E-002,-7.217386960983276E-001,-6.999303698539734E-001,
7.987666666666666E+008,-4.123131744563580E-003,1.809216663241386E-002,-7.350708246231079E-001,-6.739002466201782E-001,-4.123131744563580E-003,1.809216663241386E-002,-7.350708246231079E-001,-6.739002466201782E-001,
8.071333333333334E+008,-2.089000772684813E-003,1.151992566883564E-002,-7.480478286743164E-001,-6.470471620559692E-001,-2.089000772684813E-003,1.151992566883564E-002,-7.480478286743164E-001,-6.470471620559692E-001,
8.155000000000000E+008,-5.132254213094711E-003,6.830868776887655E-003,-7.780224680900574E-001,-6.281769871711731E-001,-5.132254213094711E-003,6.830868776887655E-003,-7.780224680900574E-001,-6.281769871711731E-001,
8.238666666666666E+008,-1.133484765887260E-002,2.224398544058204E-003,-7.910385131835938E-001,-6.057315468788147E-001,-1.133484765887260E-002,2.224398544058204E-003,-7.910385131835938E-001,-6.057315468788147E-001,
8.322333333333334E+008,-1.805884204804897E-002,2.150871325284243E-003,-7.931551933288574E-001,-5.883926749229431E-001,-1.805884204804897E-002,2.150871325284243E-003,-7.931551933288574E-001,-5.883926749229431E-001,
8.406000000000000E+008,-2.354790270328522E-002,6.480363197624683E-003,-8.069537878036499E-001,-5.641366839408875E-001,-2.354790270328522E-002,6.480363197624683E-003,-8.069537878036499E-001,-5.641366839408875E-001,
8.489666666666668E+008,-2.755915187299252E-002,1.448868680745363E-002,-8.271778821945190E-001,-5.340499281883240E-001,-2.755915187299252E-002,1.448868680745363E-002,-8.271778821945190E-001,-5.340499281883240E-001,
8.573333333333334E+008,-2.604838646948338E-002,2.213536389172077E-002,-8.300409317016602E-001,-5.371341109275818E-001,-2.604838646948338E-002,2.213536389172077E-002,-8.300409317016602E-001,-5.371341109275818E-001,
8.657000000000000E+008,-2.185443975031376E-002,2.882608026266098E-002,-8.511208891868591E-001,-4.978636503219605E-001,-2.185443975031376E-002,2.882608026266098E-002,-8.511208891868591E-001,-4.978636503219605E-001,
8.740666666666668E+008,-1.284070033580065E-002,3.501762077212334E-002,-8.599733114242554E-001,-4.957437217235565E-001,-1.284070033580065E-002,3.501762077212334E-002,-8.599733114242554E-001,-4.957437217235565E-001,
8.824333333333334E+008,-5.760991480201483E-003,3.443857654929161E-002,-8.718557357788086E-001,-4.754914641380310E-001,-5.760991480201483E-003,3.443857654929161E-002,-8.718557357788086E-001,-4.754914641380310E-001,
8.908000000000000E+008,2.069256734102964E-003,2.986313402652741E-002,-8.806378841400147E-001,-4.364092350006104E-001,2.069256734102964E-003,2.986313402652741E-002,-8.806378841400147E-001,-4.364092350006104E-001,
8.991666666666668E+008,5.067874677479267E-003,2.400214970111847E-002,-8.979987502098084E-001,-4.120489358901978E-001,5.067874677479267E-003,2.400214970111847E-002,-8.979987502098084E-001,-4.120489358901978E-001,
9.075333333333334E+008,6.343109533190727E-003,1.742176152765751E-002,-9.038132429122925E-001,-3.917650878429413E-001,6.343109533190727E-003,1.742176152765751E-002,-9.038132429122925E-001,-3.917650878429413E-001,
9.159000000000000E+008,2.219817601144314E-003,1.337118446826935E-002,-9.094364047050476E-001,-3.721112608909607E-001,2.219817601144314E-003,1.337118446826935E-002,-9.094364047050476E-001,-3.721112608909607E-001,
9.242666666666668E+008,-2.602745080366731E-003,9.188083931803703E-003,-9.207887053489685E-001,-3.557971417903900E-001,-2.602745080366731E-003,9.188083931803703E-003,-9.207887053489685E-001,-3.557971417903900E-001,
9.326333333333334E+008,-8.717340417206287E-003,1.026951987296343E-002,-9.198755621910095E-001,-3.216779828071594E-001,-8.717340417206287E-003,1.026951987296343E-002,-9.198755621910095E-001,-3.216779828071594E-001,
9.410000000000000E+008,-1.581528224050999E-002,1.643882505595684E-002,-9.362672567367554E-001,-3.110632002353668E-001,-1.581528224050999E-002,1.643882505595684E-002,-9.362672567367554E-001,-3.110632002353668E-001,
9.493666666666668E+008,-1.632211543619633E-002,2.397978492081165E-002,-9.608235955238342E-001,-2.752380073070526E-001,-1.632211543619633E-002,2.397978492081165E-002,-9.608235955238342E-001,-2.752380073070526E-001,
9.577333333333334E+008,-1.434869505465031E-002,3.177253529429436E-002,-9.420002698898315E-001,-2.459143549203873E-001,-1.434869505465031E-002,3.177253529429436E-002,-9.420002698898315E-001,-2.459143549203873E-001,
9.661000000000000E+008,-7.187644951045513E-003,3.822197020053864E-002,-9.523543715476990E-001,-2.384257912635803E-001,-7.187644951045513E-003,3.822197020053864E-002,-9.523543715476990E-001,-2.384257912635803E-001,
9.744666666666668E+008,1.645177602767944E-003,4.378985613584518E-002,-9.652778506278992E-001,-2.119546532630920E-001,1.645177602767944E-003,4.378985613584518E-002,-9.652778506278992E-001,-2.119546532630920E-001,
9.828333333333334E+008,1.394189707934856E-002,4.089035838842392E-002,-9.733999371528626E-001,-1.942479610443115E-001,1.394189707934856E-002,4.089035838842392E-002,-9.733999371528626E-001,-1.942479610443115E-001,
9.912000000000000E+008,2.120312117040157E-002,3.571727871894836E-002,-9.817524552345276E-001,-1.539235115051270E-001,2.120312117040157E-002,3.571727871894836E-002,-9.817524552345276E-001,-1.539235115051270E-001,
9.995666666666668E+008,2.355731837451458E-002,2.730887383222580E-002,-9.931865930557251E-001,-1.473013013601303E-001,2.355731837451458E-002,2.730887383222580E-002,-9.931865930557251E-001,-1.473013013601303E-001,
1.007933333333333E+009,2.423754148185253E-002,1.534390076994896E-002,-9.737255573272705E-001,-1.180758103728294E-001,2.423754148185253E-002,1.534390076994896E-002,-9.737255573272705E-001,-1.180758103728294E-001,
1.016300000000000E+009,2.014655806124210E-002,1.133690867573023E-002,-9.955823421478272E-001,-9.254353493452072E-002,2.014655806124210E-002,1.133690867573023E-002,-9.955823421478272E-001,-9.254353493452072E-002,
1.024666666666667E+009,1.547422166913748E-002,6.103979889303446E-003,-9.877694845199585E-001,-6.251998245716095E-002,1.547422166913748E-002,6.103979889303446E-003,-9.877694845199585E-001,-6.251998245716095E-002,
1.033033333333333E+009,5.664689000695944E-003,7.724281400442123E-003,-9.857666492462158E-001,-3.692515939474106E-002,5.664689000695944E-003,7.724281400442123E-003,-9.857666492462158E-001,-3.692515939474106E-002,
1.041400000000000E+009,-1.372199156321585E-003,1.386574376374483E-002,-9.833112359046936E-001,-2.088728919625282E-002,-1.372199156321585E-003,1.386574376374483E-002,-9.833112359046936E-001,-2.088728919625282E-002,
1.049766666666667E+009,-1.578947878442705E-003,2.309039980173111E-002,-1.004023671150208E+000,1.453341916203499E-002,-1.578947878442705E-003,2.309039980173111E-002,-1.004023671150208E+000,1.453341916203499E-002,
1.058133333333333E+009,2.006068592891097E-003,3.126631677150726E-002,-9.789836406707764E-001,3.564826771616936E-002,2.006068592891097E-003,3.126631677150726E-002,-9.789836406707764E-001,3.564826771616936E-002,
1.066500000000000E+009,1.191130653023720E-002,3.604922443628311E-002,-9.835333228111267E-001,6.483212858438492E-002,1.191130653023720E-002,3.604922443628311E-002,-9.835333228111267E-001,6.483212858438492E-002,
1.074866666666667E+009,2.501876279711723E-002,3.602152690291405E-002,-9.812875390052795E-001,8.877147734165192E-002,2.501876279711723E-002,3.602152690291405E-002,-9.812875390052795E-001,8.877147734165192E-002,
1.083233333333334E+009,3.519002348184586E-002,2.913948521018028E-002,-9.859200716018677E-001,1.147320941090584E-001,3.519002348184586E-002,2.913948521018028E-002,-9.859200716018677E-001,1.147320941090584E-001,
1.091600000000000E+009,4.108126461505890E-002,1.763505861163139E-002,-9.756843447685242E-001,1.327765733003616E-001,4.108126461505890E-002,1.763505861163139E-002,-9.756843447685242E-001,1.327765733003616E-001,
1.099966666666667E+009,3.948415815830231E-002,4.815630614757538E-003,-9.777987003326416E-001,1.707388609647751E-001,3.948415815830231E-002,4.815630614757538E-003,-9.777987003326416E-001,1.707388609647751E-001,
1.108333333333334E+009,3.165512159466744E-002,-5.538975354284048E-003,-9.749031066894531E-001,1.998455375432968E-001,3.165512159466744E-002,-5.538975354284048E-003,-9.749031066894531E-001,1.998455375432968E-001,
1.116700000000000E+009,2.171973139047623E-002,-1.177393551915884E-002,-9.587690234184265E-001,2.123666554689407E-001,2.171973139047623E-002,-1.177393551915884E-002,-9.587690234184265E-001,2.123666554689407E-001,
1.125066666666667E+009,6.560071837157011E-003,-8.364218287169933E-003,-9.740151762962341E-001,2.322839647531509E-001,6.560071837157011E-003,-8.364218287169933E-003,-9.740151762962341E-001,2.322839647531509E-001,
1.133433333333334E+009,-1.567499246448278E-003,8.463871199637651E-004,-9.669829010963440E-001,2.587539553642273E-001,-1.567499246448278E-003,8.463871199637651E-004,-9.669829010963440E-001,2.587539553642273E-001,
1.141800000000000E+009,-4.164502955973148E-003,1.462463755160570E-002,-9.351240396499634E-001,2.795621156692505E-001,-4.164502955973148E-003,1.462463755160570E-002,-9.351240396499634E-001,2.795621156692505E-001,
1.150166666666667E+009,1.946285367012024E-003,2.848509140312672E-002,-9.437326788902283E-001,3.025518357753754E-001,1.946285367012024E-003,2.848509140312672E-002,-9.437326788902283E-001,3.025518357753754E-001,
1.158533333333334E+009,1.522386260330677E-002,3.812839463353157E-002,-9.342168569564819E-001,3.281542360782623E-001,1.522386260330677E-002,3.812839463353157E-002,-9.342168569564819E-001,3.281542360782623E-001,
1.166900000000000E+009,3.343454003334045E-002,3.879590332508087E-002,-9.298116564750671E-001,3.441455364227295E-001,3.343454003334045E-002,3.879590332508087E-002,-9.298116564750671E-001,3.441455364227295E-001,
1.175266666666667E+009,4.950927197933197E-002,3.169359266757965E-002,-9.084091782569885E-001,3.554235398769379E-001,4.950927197933197E-002,3.169359266757965E-002,-9.084091782569885E-001,3.554235398769379E-001,
1.183633333333334E+009,6.123563647270203E-002,1.606283523142338E-002,-8.909854292869568E-001,4.004044532775879E-001,6.123563647270203E-002,1.606283523142338E-002,-8.909854292869568E-001,4.004044532775879E-001,
1.192000000000000E+009,6.273171305656433E-002,-2.806262345984578E-003,-8.978299498558044E-001,4.208660721778870E-001,6.273171305656433E-002,-2.806262345984578E-003,-8.978299498558044E-001,4.208660721778870E-001,
1.200366666666667E+009,5.477151274681091E-002,-2.229742147028446E-002,-8.874078392982483E-001,4.466200172901154E-001,5.477151274681091E-002,-2.229742147028446E-002,-8.874078392982483E-001,4.466200172901154E-001,
1.208733333333334E+009,3.903166204690933E-002,-3.289132192730904E-002,-8.767862915992737E-001,4.588653445243835E-001,3.903166204690933E-002,-3.289132192730904E-002,-8.767862915992737E-001,4.588653445243835E-001,
1.217100000000000E+009,2.054631523787975E-002,-3.192735835909843E-002,-8.616275191307068E-001,4.820431470870972E-001,2.054631523787975E-002,-3.192735835909843E-002,-8.616275191307068E-001,4.820431470870972E-001,
1.225466666666667E+009,5.689592100679874E-003,-2.348697371780872E-002,-8.542256951332092E-001,5.077192783355713E-001,5.689592100679874E-003,-2.348697371780872E-002,-8.542256951332092E-001,5.077192783355713E-001,
1.233833333333334E+009,-5.500846309587359E-004,-8.848000317811966E-003,-8.330110907554627E-001,5.370001792907715E-001,-5.500846309587359E-004,-8.848000317811966E-003,-8.330110907554627E-001,5.370001792907715E-001,
1.242200000000000E+009,2.726025413721800E-003,8.553868159651756E-003,-8.242808580398560E-001,5.487823486328125E-001,2.726025413721800E-003,8.553868159651756E-003,-8.242808580398560E-001,5.487823486328125E-001,
1.250566666666667E+009,1.549042761325836E-002,2.023018151521683E-002,-8.104674816131592E-001,5.796663761138916E-001,1.549042761325836E-002,2.023018151521683E-002,-8.104674816131592E-001,5.796663761138916E-001,
1.258933333333334E+009,3.487549349665642E-002,2.288803644478321E-002,-7.979025840759277E-001,5.883353948593140E-001,3.487549349665642E-002,2.288803644478321E-002,-7.979025840759277E-001,5.883353948593140E-001,
1.267300000000000E+009,5.361901596188545E-002,1.516387797892094E-002,-7.778474092483521E-001,6.073589920997620E-001,5.361901596188545E-002,1.516387797892094E-002,-7.778474092483521E-001,6.073589920997620E-001,
