% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.524970054626465E-002,3.830038756132126E-002,-5.029383897781372E-001,-8.580725193023682E-001,-4.524970054626465E-002,3.830038756132126E-002,-5.029383897781372E-001,-8.580725193023682E-001,
6.983666666666666E+008,-3.296857327222824E-002,3.742033615708351E-002,-5.229581594467163E-001,-8.435204625129700E-001,-3.296857327222824E-002,3.742033615708351E-002,-5.229581594467163E-001,-8.435204625129700E-001,
7.067333333333334E+008,-2.776231244206429E-002,3.251185268163681E-002,-5.629660487174988E-001,-7.989727258682251E-001,-2.776231244206429E-002,3.251185268163681E-002,-5.629660487174988E-001,-7.989727258682251E-001,
7.151000000000000E+008,-2.689487487077713E-002,2.546479739248753E-002,-5.577265620231628E-001,-8.107194304466248E-001,-2.689487487077713E-002,2.546479739248753E-002,-5.577265620231628E-001,-8.107194304466248E-001,
7.234666666666666E+008,-2.849641256034374E-002,1.906283758580685E-002,-5.901542305946350E-001,-8.046624660491943E-001,-2.849641256034374E-002,1.906283758580685E-002,-5.901542305946350E-001,-8.046624660491943E-001,
7.318333333333334E+008,-3.561146184802055E-002,1.733579859137535E-002,-6.050667166709900E-001,-7.878599166870117E-001,-3.561146184802055E-002,1.733579859137535E-002,-6.050667166709900E-001,-7.878599166870117E-001,
7.402000000000000E+008,-4.119778797030449E-002,1.955072768032551E-002,-6.155592799186707E-001,-7.808277010917664E-001,-4.119778797030449E-002,1.955072768032551E-002,-6.155592799186707E-001,-7.808277010917664E-001,
7.485666666666666E+008,-4.957976192235947E-002,2.553141489624977E-002,-6.462150812149048E-001,-7.537360787391663E-001,-4.957976192235947E-002,2.553141489624977E-002,-6.462150812149048E-001,-7.537360787391663E-001,
7.569333333333334E+008,-5.000092461705208E-002,3.505831584334374E-002,-6.606484651565552E-001,-7.489261031150818E-001,-5.000092461705208E-002,3.505831584334374E-002,-6.606484651565552E-001,-7.489261031150818E-001,
7.653000000000000E+008,-4.674172773957253E-002,4.320512339472771E-002,-6.772789955139160E-001,-7.203630208969116E-001,-4.674172773957253E-002,4.320512339472771E-002,-6.772789955139160E-001,-7.203630208969116E-001,
7.736666666666666E+008,-4.056755080819130E-002,5.107891932129860E-002,-7.024719119071960E-001,-7.066133618354797E-001,-4.056755080819130E-002,5.107891932129860E-002,-7.024719119071960E-001,-7.066133618354797E-001,
7.820333333333334E+008,-3.253562748432159E-002,5.350249633193016E-002,-7.566010355949402E-001,-6.945137977600098E-001,-3.253562748432159E-002,5.350249633193016E-002,-7.566010355949402E-001,-6.945137977600098E-001,
