% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-3.919645398855209E-002,3.171265870332718E-002,-4.953434169292450E-001,-8.637586236000061E-001,-3.919645398855209E-002,3.171265870332718E-002,-4.953434169292450E-001,-8.637586236000061E-001,
6.983666666666666E+008,-2.690245397388935E-002,3.066750243306160E-002,-5.157451629638672E-001,-8.488681912422180E-001,-2.690245397388935E-002,3.066750243306160E-002,-5.157451629638672E-001,-8.488681912422180E-001,
7.067333333333334E+008,-2.159828692674637E-002,2.561642043292522E-002,-5.561202168464661E-001,-8.050786256790161E-001,-2.159828692674637E-002,2.561642043292522E-002,-5.561202168464661E-001,-8.050786256790161E-001,
7.151000000000000E+008,-2.055369131267071E-002,1.820088922977448E-002,-5.503541231155396E-001,-8.168718218803406E-001,-2.055369131267071E-002,1.820088922977448E-002,-5.503541231155396E-001,-8.168718218803406E-001,
7.234666666666666E+008,-2.225312590599060E-002,1.150642428547144E-002,-5.827040076255798E-001,-8.111847043037415E-001,-2.225312590599060E-002,1.150642428547144E-002,-5.827040076255798E-001,-8.111847043037415E-001,
7.318333333333334E+008,-2.937377057969570E-002,9.349826723337174E-003,-5.977712869644165E-001,-7.947996854782105E-001,-2.937377057969570E-002,9.349826723337174E-003,-5.977712869644165E-001,-7.947996854782105E-001,
7.402000000000000E+008,-3.516992926597595E-002,1.116661541163921E-002,-6.081606149673462E-001,-7.877144813537598E-001,-3.516992926597595E-002,1.116661541163921E-002,-6.081606149673462E-001,-7.877144813537598E-001,
7.485666666666666E+008,-4.383365064859390E-002,1.676912046968937E-002,-6.390966773033142E-001,-7.613248229026794E-001,-4.383365064859390E-002,1.676912046968937E-002,-6.390966773033142E-001,-7.613248229026794E-001,
7.569333333333334E+008,-4.466184228658676E-002,2.602649666368961E-002,-6.533455252647400E-001,-7.565917372703552E-001,-4.466184228658676E-002,2.602649666368961E-002,-6.533455252647400E-001,-7.565917372703552E-001,
7.653000000000000E+008,-4.184743016958237E-002,3.421239927411079E-002,-6.709203124046326E-001,-7.284387350082398E-001,-4.184743016958237E-002,3.421239927411079E-002,-6.709203124046326E-001,-7.284387350082398E-001,
7.736666666666666E+008,-3.603189811110497E-002,4.193932563066483E-002,-6.958717107772827E-001,-7.148651480674744E-001,-3.603189811110497E-002,4.193932563066483E-002,-6.958717107772827E-001,-7.148651480674744E-001,
7.820333333333334E+008,-2.820443548262119E-002,4.422830045223236E-002,-7.502709627151489E-001,-7.033355832099915E-001,-2.820443548262119E-002,4.422830045223236E-002,-7.502709627151489E-001,-7.033355832099915E-001,
7.904000000000000E+008,-2.065401338040829E-002,4.303310066461563E-002,-7.380918264389038E-001,-6.855344772338867E-001,-2.065401338040829E-002,4.303310066461563E-002,-7.380918264389038E-001,-6.855344772338867E-001,
7.987666666666666E+008,-1.504894532263279E-002,3.670972958207130E-002,-7.468006610870361E-001,-6.548430919647217E-001,-1.504894532263279E-002,3.670972958207130E-002,-7.468006610870361E-001,-6.548430919647217E-001,
8.071333333333334E+008,-1.220187172293663E-002,2.979660592973232E-002,-7.637268900871277E-001,-6.322494745254517E-001,-1.220187172293663E-002,2.979660592973232E-002,-7.637268900871277E-001,-6.322494745254517E-001,
8.155000000000000E+008,-1.533010322600603E-002,2.545672282576561E-002,-7.907690405845642E-001,-6.132697463035584E-001,-1.533010322600603E-002,2.545672282576561E-002,-7.907690405845642E-001,-6.132697463035584E-001,
8.238666666666666E+008,-2.099327743053436E-002,2.102310210466385E-002,-8.016227483749390E-001,-5.895315408706665E-001,-2.099327743053436E-002,2.102310210466385E-002,-8.016227483749390E-001,-5.895315408706665E-001,
8.322333333333334E+008,-2.786875516176224E-002,2.178083546459675E-002,-8.083313107490540E-001,-5.712480545043945E-001,-2.786875516176224E-002,2.178083546459675E-002,-8.083313107490540E-001,-5.712480545043945E-001,
8.406000000000000E+008,-3.297665715217590E-002,2.648807689547539E-002,-8.176073431968689E-001,-5.499275922775269E-001,-3.297665715217590E-002,2.648807689547539E-002,-8.176073431968689E-001,-5.499275922775269E-001,
8.489666666666668E+008,-3.592650219798088E-002,3.524781391024590E-002,-8.396538496017456E-001,-5.154554843902588E-001,-3.592650219798088E-002,3.524781391024590E-002,-8.396538496017456E-001,-5.154554843902588E-001,
8.573333333333334E+008,-3.424187377095223E-002,4.313767328858376E-002,-8.421568274497986E-001,-5.212042331695557E-001,-3.424187377095223E-002,4.313767328858376E-002,-8.421568274497986E-001,-5.212042331695557E-001,
8.657000000000000E+008,-2.938181906938553E-002,5.065846443176270E-002,-8.635643720626831E-001,-4.833312630653381E-001,-2.938181906938553E-002,5.065846443176270E-002,-8.635643720626831E-001,-4.833312630653381E-001,
8.740666666666668E+008,-1.968201063573360E-002,5.627337470650673E-002,-8.721330165863037E-001,-4.736194312572479E-001,-1.968201063573360E-002,5.627337470650673E-002,-8.721330165863037E-001,-4.736194312572479E-001,
8.824333333333334E+008,-1.277598645538092E-002,5.516449734568596E-002,-8.831754922866821E-001,-4.572542011737824E-001,-1.277598645538092E-002,5.516449734568596E-002,-8.831754922866821E-001,-4.572542011737824E-001,
8.908000000000000E+008,-4.664164502173662E-003,5.035850033164024E-002,-8.891506791114807E-001,-4.145425260066986E-001,-4.664164502173662E-003,5.035850033164024E-002,-8.891506791114807E-001,-4.145425260066986E-001,
8.991666666666668E+008,-2.147052902728319E-003,4.468906298279762E-002,-9.055316448211670E-001,-3.931761085987091E-001,-2.147052902728319E-003,4.468906298279762E-002,-9.055316448211670E-001,-3.931761085987091E-001,
9.075333333333334E+008,-8.823660900816321E-004,3.812690079212189E-002,-9.139515757560730E-001,-3.714424073696137E-001,-8.823660900816321E-004,3.812690079212189E-002,-9.139515757560730E-001,-3.714424073696137E-001,
9.159000000000000E+008,-5.033486522734165E-003,3.418703004717827E-002,-9.190621376037598E-001,-3.541591167449951E-001,-5.033486522734165E-003,3.418703004717827E-002,-9.190621376037598E-001,-3.541591167449951E-001,
9.242666666666668E+008,-9.778636507689953E-003,3.056604787707329E-002,-9.273738861083984E-001,-3.335567116737366E-001,-9.778636507689953E-003,3.056604787707329E-002,-9.273738861083984E-001,-3.335567116737366E-001,
9.326333333333334E+008,-1.544981636106968E-002,3.296850621700287E-002,-9.285507798194885E-001,-3.015087842941284E-001,-1.544981636106968E-002,3.296850621700287E-002,-9.285507798194885E-001,-3.015087842941284E-001,
