% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-6.845925748348236E-002,4.792835563421249E-002,-5.241689682006836E-001,-8.425304293632507E-001,-6.845925748348236E-002,4.792835563421249E-002,-5.241689682006836E-001,-8.425304293632507E-001,
6.983666666666666E+008,-5.652517452836037E-002,4.689490795135498E-002,-5.444718599319458E-001,-8.268517851829529E-001,-5.652517452836037E-002,4.689490795135498E-002,-5.444718599319458E-001,-8.268517851829529E-001,
7.067333333333334E+008,-5.213104560971260E-002,4.203749075531960E-002,-5.835656523704529E-001,-7.807946801185608E-001,-5.213104560971260E-002,4.203749075531960E-002,-5.835656523704529E-001,-7.807946801185608E-001,
7.151000000000000E+008,-5.249416828155518E-002,3.595162555575371E-002,-5.798406004905701E-001,-7.938408851623535E-001,-5.249416828155518E-002,3.595162555575371E-002,-5.798406004905701E-001,-7.938408851623535E-001,
7.234666666666666E+008,-5.430497601628304E-002,3.086453303694725E-002,-6.117058992385864E-001,-7.861386537551880E-001,-5.430497601628304E-002,3.086453303694725E-002,-6.117058992385864E-001,-7.861386537551880E-001,
7.318333333333334E+008,-6.186922639608383E-002,3.074066154658794E-002,-6.267381906509399E-001,-7.682999968528748E-001,-6.186922639608383E-002,3.074066154658794E-002,-6.267381906509399E-001,-7.682999968528748E-001,
7.402000000000000E+008,-6.726523488759995E-002,3.449515253305435E-002,-6.368634700775147E-001,-7.604309320449829E-001,-6.726523488759995E-002,3.449515253305435E-002,-6.368634700775147E-001,-7.604309320449829E-001,
7.485666666666666E+008,-7.492003589868546E-002,4.186888784170151E-002,-6.668186783790588E-001,-7.322487831115723E-001,-7.492003589868546E-002,4.186888784170151E-002,-6.668186783790588E-001,-7.322487831115723E-001,
7.569333333333334E+008,-7.441803812980652E-002,5.242838338017464E-002,-6.802687644958496E-001,-7.265816330909729E-001,-7.441803812980652E-002,5.242838338017464E-002,-6.802687644958496E-001,-7.265816330909729E-001,
7.653000000000000E+008,-7.002616673707962E-002,6.040597334504128E-002,-6.973952651023865E-001,-6.974959969520569E-001,-7.002616673707962E-002,6.040597334504128E-002,-6.973952651023865E-001,-6.974959969520569E-001,
7.736666666666666E+008,-6.323181837797165E-002,6.840536743402481E-002,-7.211545109748840E-001,-6.829580068588257E-001,-6.323181837797165E-002,6.840536743402481E-002,-7.211545109748840E-001,-6.829580068588257E-001,
7.820333333333334E+008,-5.505206808447838E-002,7.076998800039291E-002,-7.752388715744019E-001,-6.697332262992859E-001,-5.505206808447838E-002,7.076998800039291E-002,-7.752388715744019E-001,-6.697332262992859E-001,
7.904000000000000E+008,-4.754102230072022E-002,6.985851377248764E-002,-7.624643445014954E-001,-6.528700590133667E-001,-4.754102230072022E-002,6.985851377248764E-002,-7.624643445014954E-001,-6.528700590133667E-001,
7.987666666666666E+008,-4.262986406683922E-002,6.403686106204987E-002,-7.707696557044983E-001,-6.215526461601257E-001,-4.262986406683922E-002,6.403686106204987E-002,-7.707696557044983E-001,-6.215526461601257E-001,
8.071333333333334E+008,-4.022073000669479E-002,5.809807032346726E-002,-7.870948314666748E-001,-5.980077981948853E-001,-4.022073000669479E-002,5.809807032346726E-002,-7.870948314666748E-001,-5.980077981948853E-001,
8.155000000000000E+008,-4.396714270114899E-002,5.574574321508408E-002,-8.136742115020752E-001,-5.773750543594360E-001,-4.396714270114899E-002,5.574574321508408E-002,-8.136742115020752E-001,-5.773750543594360E-001,
