% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.275969788432121E-002,3.324762359261513E-002,-4.987413287162781E-001,-8.605301380157471E-001,-4.275969788432121E-002,3.324762359261513E-002,-4.987413287162781E-001,-8.605301380157471E-001,
6.983666666666666E+008,-3.064786456525326E-002,3.213258460164070E-002,-5.188979506492615E-001,-8.458065986633301E-001,-3.064786456525326E-002,3.213258460164070E-002,-5.188979506492615E-001,-8.458065986633301E-001,
7.067333333333334E+008,-2.552402019500732E-002,2.708473615348339E-002,-5.595313310623169E-001,-8.015732765197754E-001,-2.552402019500732E-002,2.708473615348339E-002,-5.595313310623169E-001,-8.015732765197754E-001,
7.151000000000000E+008,-2.473936416208744E-002,1.990788429975510E-002,-5.543776154518127E-001,-8.135376572608948E-001,-2.473936416208744E-002,1.990788429975510E-002,-5.543776154518127E-001,-8.135376572608948E-001,
7.234666666666666E+008,-2.648213505744934E-002,1.348077692091465E-002,-5.864312052726746E-001,-8.080484271049500E-001,-2.648213505744934E-002,1.348077692091465E-002,-5.864312052726746E-001,-8.080484271049500E-001,
7.318333333333334E+008,-3.360943868756294E-002,1.172242220491171E-002,-6.013211011886597E-001,-7.914136648178101E-001,-3.360943868756294E-002,1.172242220491171E-002,-6.013211011886597E-001,-7.914136648178101E-001,
7.402000000000000E+008,-3.925795480608940E-002,1.390441972762346E-002,-6.119150519371033E-001,-7.840854525566101E-001,-3.925795480608940E-002,1.390441972762346E-002,-6.119150519371033E-001,-7.840854525566101E-001,
7.485666666666666E+008,-4.769155010581017E-002,1.973357796669006E-002,-6.427439451217651E-001,-7.575178742408752E-001,-4.769155010581017E-002,1.973357796669006E-002,-6.427439451217651E-001,-7.575178742408752E-001,
7.569333333333334E+008,-4.830218479037285E-002,2.913503348827362E-002,-6.571400761604309E-001,-7.524496912956238E-001,-4.830218479037285E-002,2.913503348827362E-002,-6.571400761604309E-001,-7.524496912956238E-001,
7.653000000000000E+008,-4.526976868510246E-002,3.722015023231506E-002,-6.744871139526367E-001,-7.240797281265259E-001,-4.526976868510246E-002,3.722015023231506E-002,-6.744871139526367E-001,-7.240797281265259E-001,
7.736666666666666E+008,-3.938463330268860E-002,4.485607147216797E-002,-6.994205713272095E-001,-7.102479934692383E-001,-3.938463330268860E-002,4.485607147216797E-002,-6.994205713272095E-001,-7.102479934692383E-001,
7.820333333333334E+008,-3.167361766099930E-002,4.709293320775032E-002,-7.535383701324463E-001,-6.988657712936401E-001,-3.167361766099930E-002,4.709293320775032E-002,-7.535383701324463E-001,-6.988657712936401E-001,
7.904000000000000E+008,-2.420403808355331E-002,4.592448100447655E-002,-7.410451769828796E-001,-6.814379096031189E-001,-2.420403808355331E-002,4.592448100447655E-002,-7.410451769828796E-001,-6.814379096031189E-001,
7.987666666666666E+008,-1.880400069057941E-002,3.974259644746780E-002,-7.502045631408691E-001,-6.503171324729919E-001,-1.880400069057941E-002,3.974259644746780E-002,-7.502045631408691E-001,-6.503171324729919E-001,
