% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-2.337878756225109E-002,1.697349548339844E-002,-4.803228974342346E-001,-8.718962669372559E-001,-2.337878756225109E-002,1.697349548339844E-002,-4.803228974342346E-001,-8.718962669372559E-001,
6.983666666666666E+008,-1.146454829722643E-002,1.569221913814545E-002,-5.014650225639343E-001,-8.592509031295776E-001,-1.146454829722643E-002,1.569221913814545E-002,-5.014650225639343E-001,-8.592509031295776E-001,
7.067333333333334E+008,-6.849307101219893E-003,1.029008068144321E-002,-5.396884083747864E-001,-8.142399787902832E-001,-6.849307101219893E-003,1.029008068144321E-002,-5.396884083747864E-001,-8.142399787902832E-001,
7.151000000000000E+008,-6.050702650099993E-003,2.193534979596734E-003,-5.360162258148193E-001,-8.255230188369751E-001,-6.050702650099993E-003,2.193534979596734E-003,-5.360162258148193E-001,-8.255230188369751E-001,
7.234666666666666E+008,-8.430550806224346E-003,-4.865338094532490E-003,-5.676875114440918E-001,-8.195331692695618E-001,-8.430550806224346E-003,-4.865338094532490E-003,-5.676875114440918E-001,-8.195331692695618E-001,
7.318333333333334E+008,-1.585062779486179E-002,-7.329027168452740E-003,-5.839159488677979E-001,-8.053935766220093E-001,-1.585062779486179E-002,-7.329027168452740E-003,-5.839159488677979E-001,-8.053935766220093E-001,
7.402000000000000E+008,-2.202007547020912E-002,-6.277052219957113E-003,-5.927194356918335E-001,-7.995792031288147E-001,-2.202007547020912E-002,-6.277052219957113E-003,-5.927194356918335E-001,-7.995792031288147E-001,
7.485666666666666E+008,-3.072072193026543E-002,-1.300114789046347E-003,-6.226415634155273E-001,-7.734733819961548E-001,-3.072072193026543E-002,-1.300114789046347E-003,-6.226415634155273E-001,-7.734733819961548E-001,
7.569333333333334E+008,-3.158525004982948E-002,7.413957267999649E-003,-6.372479796409607E-001,-7.700312733650208E-001,-3.158525004982948E-002,7.413957267999649E-003,-6.372479796409607E-001,-7.700312733650208E-001,
7.653000000000000E+008,-2.912328019738197E-002,1.558350026607513E-002,-6.539724469184876E-001,-7.410892844200134E-001,-2.912328019738197E-002,1.558350026607513E-002,-6.539724469184876E-001,-7.410892844200134E-001,
7.736666666666666E+008,-2.365670166909695E-002,2.314430661499500E-002,-6.804726123809815E-001,-7.277757525444031E-001,-2.365670166909695E-002,2.314430661499500E-002,-6.804726123809815E-001,-7.277757525444031E-001,
7.820333333333334E+008,-1.617825403809547E-002,2.508425340056419E-002,-7.352613210678101E-001,-7.185623049736023E-001,-1.617825403809547E-002,2.508425340056419E-002,-7.352613210678101E-001,-7.185623049736023E-001,
7.904000000000000E+008,-8.917829021811485E-003,2.399193309247494E-002,-7.222344875335693E-001,-6.992737650871277E-001,-8.917829021811485E-003,2.399193309247494E-002,-7.222344875335693E-001,-6.992737650871277E-001,
7.987666666666666E+008,-3.407085780054331E-003,1.781827025115490E-002,-7.318868637084961E-001,-6.689435839653015E-001,-3.407085780054331E-003,1.781827025115490E-002,-7.318868637084961E-001,-6.689435839653015E-001,
8.071333333333334E+008,-1.072293031029403E-003,1.104540936648846E-002,-7.498065829277039E-001,-6.473273038864136E-001,-1.072293031029403E-003,1.104540936648846E-002,-7.498065829277039E-001,-6.473273038864136E-001,
8.155000000000000E+008,-4.374885931611061E-003,6.474320776760578E-003,-7.768994569778442E-001,-6.301681399345398E-001,-4.374885931611061E-003,6.474320776760578E-003,-7.768994569778442E-001,-6.301681399345398E-001,
8.238666666666666E+008,-1.043961383402348E-002,1.910814316943288E-003,-7.888975143432617E-001,-6.068665385246277E-001,-1.043961383402348E-002,1.910814316943288E-003,-7.888975143432617E-001,-6.068665385246277E-001,
8.322333333333334E+008,-1.759965158998966E-002,1.774083939380944E-003,-7.947517633438110E-001,-5.885373353958130E-001,-1.759965158998966E-002,1.774083939380944E-003,-7.947517633438110E-001,-5.885373353958130E-001,
8.406000000000000E+008,-2.332187257707119E-002,5.775054451078177E-003,-8.051211237907410E-001,-5.674597024917603E-001,-2.332187257707119E-002,5.775054451078177E-003,-8.051211237907410E-001,-5.674597024917603E-001,
8.489666666666668E+008,-2.679783850908279E-002,1.408499293029308E-002,-8.284898996353149E-001,-5.346214771270752E-001,-2.679783850908279E-002,1.408499293029308E-002,-8.284898996353149E-001,-5.346214771270752E-001,
8.573333333333334E+008,-2.551063522696495E-002,2.147525548934937E-002,-8.323457241058350E-001,-5.406648516654968E-001,-2.551063522696495E-002,2.147525548934937E-002,-8.323457241058350E-001,-5.406648516654968E-001,
8.657000000000000E+008,-2.103378996253014E-002,2.838620170950890E-002,-8.531999588012695E-001,-5.044502019882202E-001,-2.103378996253014E-002,2.838620170950890E-002,-8.531999588012695E-001,-5.044502019882202E-001,
8.740666666666668E+008,-1.218196749687195E-002,3.429896384477615E-002,-8.620258569717407E-001,-4.944252371788025E-001,-1.218196749687195E-002,3.429896384477615E-002,-8.620258569717407E-001,-4.944252371788025E-001,
8.824333333333334E+008,-5.156124010682106E-003,3.339476510882378E-002,-8.728871941566467E-001,-4.771926403045654E-001,-5.156124010682106E-003,3.339476510882378E-002,-8.728871941566467E-001,-4.771926403045654E-001,
8.908000000000000E+008,2.954440424218774E-003,2.909209765493870E-002,-8.786901831626892E-001,-4.337567985057831E-001,2.954440424218774E-003,2.909209765493870E-002,-8.786901831626892E-001,-4.337567985057831E-001,
8.991666666666668E+008,5.831040907651186E-003,2.371994219720364E-002,-8.959012627601624E-001,-4.119241237640381E-001,5.831040907651186E-003,2.371994219720364E-002,-8.959012627601624E-001,-4.119241237640381E-001,
9.075333333333334E+008,7.141595706343651E-003,1.723269373178482E-002,-9.051288366317749E-001,-3.931953310966492E-001,7.141595706343651E-003,1.723269373178482E-002,-9.051288366317749E-001,-3.931953310966492E-001,
9.159000000000000E+008,2.663244726136327E-003,1.275280304253101E-002,-9.103733897209168E-001,-3.751347661018372E-001,2.663244726136327E-003,1.275280304253101E-002,-9.103733897209168E-001,-3.751347661018372E-001,
9.242666666666668E+008,-2.263514557853341E-003,8.187988772988319E-003,-9.178349971771240E-001,-3.546181619167328E-001,-2.263514557853341E-003,8.187988772988319E-003,-9.178349971771240E-001,-3.546181619167328E-001,
9.326333333333334E+008,-8.529979735612869E-003,9.862054139375687E-003,-9.185260534286499E-001,-3.239821791648865E-001,-8.529979735612869E-003,9.862054139375687E-003,-9.185260534286499E-001,-3.239821791648865E-001,
9.410000000000000E+008,-1.566817797720432E-002,1.558111608028412E-002,-9.375679492950440E-001,-3.131441175937653E-001,-1.566817797720432E-002,1.558111608028412E-002,-9.375679492950440E-001,-3.131441175937653E-001,
9.493666666666668E+008,-1.618298888206482E-002,2.358868904411793E-002,-9.639244675636292E-001,-2.763699293136597E-001,-1.618298888206482E-002,2.358868904411793E-002,-9.639244675636292E-001,-2.763699293136597E-001,
9.577333333333334E+008,-1.439745724201202E-002,3.080228529870510E-002,-9.432326555252075E-001,-2.466805428266525E-001,-1.439745724201202E-002,3.080228529870510E-002,-9.432326555252075E-001,-2.466805428266525E-001,
9.661000000000000E+008,-7.329276762902737E-003,3.720629587769508E-002,-9.521800875663757E-001,-2.358006387948990E-001,-7.329276762902737E-003,3.720629587769508E-002,-9.521800875663757E-001,-2.358006387948990E-001,
9.744666666666668E+008,1.660728477872908E-003,4.251723736524582E-002,-9.632405638694763E-001,-2.129189372062683E-001,1.660728477872908E-003,4.251723736524582E-002,-9.632405638694763E-001,-2.129189372062683E-001,
9.828333333333334E+008,1.354493573307991E-002,3.955903649330139E-002,-9.702622890472412E-001,-1.923247426748276E-001,1.354493573307991E-002,3.955903649330139E-002,-9.702622890472412E-001,-1.923247426748276E-001,
9.912000000000000E+008,2.106926031410694E-002,3.473063930869103E-002,-9.800252318382263E-001,-1.530931591987610E-001,2.106926031410694E-002,3.473063930869103E-002,-9.800252318382263E-001,-1.530931591987610E-001,
9.995666666666668E+008,2.368409559130669E-002,2.605810388922691E-002,-9.908493161201477E-001,-1.449583470821381E-001,2.368409559130669E-002,2.605810388922691E-002,-9.908493161201477E-001,-1.449583470821381E-001,
1.007933333333333E+009,2.446767129004002E-002,1.402929052710533E-002,-9.702585935592651E-001,-1.146911457180977E-001,2.446767129004002E-002,1.402929052710533E-002,-9.702585935592651E-001,-1.146911457180977E-001,
1.016300000000000E+009,1.979148201644421E-002,1.037704478949308E-002,-9.930344223976135E-001,-9.326814115047455E-002,1.979148201644421E-002,1.037704478949308E-002,-9.930344223976135E-001,-9.326814115047455E-002,
1.024666666666667E+009,1.541486661881208E-002,5.110899452120066E-003,-9.876685738563538E-001,-6.371434032917023E-002,1.541486661881208E-002,5.110899452120066E-003,-9.876685738563538E-001,-6.371434032917023E-002,
1.033033333333333E+009,5.572477355599403E-003,6.673330441117287E-003,-9.861162900924683E-001,-4.121676832437515E-002,5.572477355599403E-003,6.673330441117287E-003,-9.861162900924683E-001,-4.121676832437515E-002,
1.041400000000000E+009,-1.439489424228668E-003,1.310020312666893E-002,-9.861255288124085E-001,-2.050680480897427E-002,-1.439489424228668E-003,1.310020312666893E-002,-9.861255288124085E-001,-2.050680480897427E-002,
1.049766666666667E+009,-1.812433940358460E-003,2.232338301837444E-002,-1.001139044761658E+000,1.613841205835342E-002,-1.812433940358460E-003,2.232338301837444E-002,-1.001139044761658E+000,1.613841205835342E-002,
1.058133333333333E+009,1.782314968295395E-003,3.020942211151123E-002,-9.790492653846741E-001,3.610441833734512E-002,1.782314968295395E-003,3.020942211151123E-002,-9.790492653846741E-001,3.610441833734512E-002,
1.066500000000000E+009,1.132021471858025E-002,3.501001000404358E-002,-9.827485680580139E-001,6.200528144836426E-002,1.132021471858025E-002,3.501001000404358E-002,-9.827485680580139E-001,6.200528144836426E-002,
1.074866666666667E+009,2.444591373205185E-002,3.502656519412994E-002,-9.836347103118897E-001,8.898623287677765E-002,2.444591373205185E-002,3.502656519412994E-002,-9.836347103118897E-001,8.898623287677765E-002,
1.083233333333334E+009,3.453261405229569E-002,2.794230543076992E-002,-9.866703748703003E-001,1.169316694140434E-001,3.453261405229569E-002,2.794230543076992E-002,-9.866703748703003E-001,1.169316694140434E-001,
1.091600000000000E+009,4.072649776935577E-002,1.637105084955692E-002,-9.764950275421143E-001,1.317807585000992E-001,4.072649776935577E-002,1.637105084955692E-002,-9.764950275421143E-001,1.317807585000992E-001,
1.099966666666667E+009,3.895343095064163E-002,4.020743072032929E-003,-9.783361554145813E-001,1.684223264455795E-001,3.895343095064163E-002,4.020743072032929E-003,-9.783361554145813E-001,1.684223264455795E-001,
1.108333333333334E+009,3.103926219046116E-002,-6.435243878513575E-003,-9.746570587158203E-001,1.966741830110550E-001,3.103926219046116E-002,-6.435243878513575E-003,-9.746570587158203E-001,1.966741830110550E-001,
1.116700000000000E+009,2.099400386214256E-002,-1.275093294680119E-002,-9.595621824264526E-001,2.132436633110046E-001,2.099400386214256E-002,-1.275093294680119E-002,-9.595621824264526E-001,2.132436633110046E-001,
1.125066666666667E+009,5.954076070338488E-003,-9.379077702760696E-003,-9.739267826080322E-001,2.325993478298187E-001,5.954076070338488E-003,-9.379077702760696E-003,-9.739267826080322E-001,2.325993478298187E-001,
1.133433333333334E+009,-2.352839801460505E-003,2.803448296617717E-004,-9.672325253486633E-001,2.594422996044159E-001,-2.352839801460505E-003,2.803448296617717E-004,-9.672325253486633E-001,2.594422996044159E-001,
1.141800000000000E+009,-5.289878230541945E-003,1.403891015797854E-002,-9.359797239303589E-001,2.825654447078705E-001,-5.289878230541945E-003,1.403891015797854E-002,-9.359797239303589E-001,2.825654447078705E-001,
1.150166666666667E+009,7.049648556858301E-004,2.760387584567070E-002,-9.439939856529236E-001,3.023410737514496E-001,7.049648556858301E-004,2.760387584567070E-002,-9.439939856529236E-001,3.023410737514496E-001,
1.158533333333334E+009,1.428770367056131E-002,3.753862529993057E-002,-9.332389831542969E-001,3.284178376197815E-001,1.428770367056131E-002,3.753862529993057E-002,-9.332389831542969E-001,3.284178376197815E-001,
1.166900000000000E+009,3.206976875662804E-002,3.863699361681938E-002,-9.310878515243530E-001,3.418748378753662E-001,3.206976875662804E-002,3.863699361681938E-002,-9.310878515243530E-001,3.418748378753662E-001,
1.175266666666667E+009,4.816849529743195E-002,3.125311806797981E-002,-9.097922444343567E-001,3.536462783813477E-001,4.816849529743195E-002,3.125311806797981E-002,-9.097922444343567E-001,3.536462783813477E-001,
1.183633333333334E+009,6.022034585475922E-002,1.565811596810818E-002,-8.926174640655518E-001,3.979880809783936E-001,6.022034585475922E-002,1.565811596810818E-002,-8.926174640655518E-001,3.979880809783936E-001,
