% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-3.892569988965988E-002,3.298344463109970E-002,-4.971883594989777E-001,-8.619025945663452E-001,-3.892569988965988E-002,3.298344463109970E-002,-4.971883594989777E-001,-8.619025945663452E-001,
6.983666666666666E+008,-3.119658865034580E-002,3.161149844527245E-002,-5.170379281044006E-001,-8.368929624557495E-001,-3.119658865034580E-002,3.161149844527245E-002,-5.170379281044006E-001,-8.368929624557495E-001,
7.067333333333334E+008,-2.545176260173321E-002,2.766611427068710E-002,-5.109912753105164E-001,-8.210778832435608E-001,-2.545176260173321E-002,2.766611427068710E-002,-5.109912753105164E-001,-8.210778832435608E-001,
7.151000000000000E+008,-2.297346666455269E-002,2.132899686694145E-002,-5.544548034667969E-001,-8.097196817398071E-001,-2.297346666455269E-002,2.132899686694145E-002,-5.544548034667969E-001,-8.097196817398071E-001,
7.234666666666666E+008,-2.689401619136334E-002,1.553775463253260E-002,-5.713821649551392E-001,-7.892853617668152E-001,-2.689401619136334E-002,1.553775463253260E-002,-5.713821649551392E-001,-7.892853617668152E-001,
7.318333333333334E+008,-3.375086933374405E-002,1.182414218783379E-002,-5.971339344978333E-001,-7.963579893112183E-001,-3.375086933374405E-002,1.182414218783379E-002,-5.971339344978333E-001,-7.963579893112183E-001,
7.402000000000000E+008,-4.196972772479057E-002,1.449839677661657E-002,-6.274626851081848E-001,-7.710499167442322E-001,-4.196972772479057E-002,1.449839677661657E-002,-6.274626851081848E-001,-7.710499167442322E-001,
7.485666666666666E+008,-4.748582467436791E-002,2.028145454823971E-002,-6.364294886589050E-001,-7.552775144577026E-001,-4.748582467436791E-002,2.028145454823971E-002,-6.364294886589050E-001,-7.552775144577026E-001,
7.569333333333334E+008,-4.999549314379692E-002,2.923723123967648E-002,-6.563509702682495E-001,-7.469943165779114E-001,-4.999549314379692E-002,2.923723123967648E-002,-6.563509702682495E-001,-7.469943165779114E-001,
7.653000000000000E+008,-4.534883424639702E-002,3.731296584010124E-002,-6.814965009689331E-001,-7.241737842559815E-001,-4.534883424639702E-002,3.731296584010124E-002,-6.814965009689331E-001,-7.241737842559815E-001,
7.736666666666666E+008,-4.048376530408859E-002,4.615463316440582E-002,-6.988210082054138E-001,-6.973150968551636E-001,-4.048376530408859E-002,4.615463316440582E-002,-6.988210082054138E-001,-6.973150968551636E-001,
7.820333333333334E+008,-3.087350353598595E-002,4.772121459245682E-002,-7.136174440383911E-001,-6.989233493804932E-001,-3.087350353598595E-002,4.772121459245682E-002,-7.136174440383911E-001,-6.989233493804932E-001,
7.904000000000000E+008,-2.318210899829865E-002,4.475925490260124E-002,-7.360434532165527E-001,-6.785574555397034E-001,-2.318210899829865E-002,4.475925490260124E-002,-7.360434532165527E-001,-6.785574555397034E-001,
7.987666666666666E+008,-1.722405850887299E-002,4.091423004865646E-002,-7.464122772216797E-001,-6.492611169815064E-001,-1.722405850887299E-002,4.091423004865646E-002,-7.464122772216797E-001,-6.492611169815064E-001,
8.071333333333334E+008,-1.534749194979668E-002,3.511999920010567E-002,-7.703433632850647E-001,-6.407922506332398E-001,-1.534749194979668E-002,3.511999920010567E-002,-7.703433632850647E-001,-6.407922506332398E-001,
8.155000000000000E+008,-1.921033486723900E-002,2.986465953290463E-002,-7.776897549629211E-001,-6.173277497291565E-001,-1.921033486723900E-002,2.986465953290463E-002,-7.776897549629211E-001,-6.173277497291565E-001,
8.238666666666666E+008,-2.456887066364288E-002,2.648235298693180E-002,-7.927960753440857E-001,-6.016931533813477E-001,-2.456887066364288E-002,2.648235298693180E-002,-7.927960753440857E-001,-6.016931533813477E-001,
8.322333333333334E+008,-3.087705001235008E-002,2.781654894351959E-002,-8.019184470176697E-001,-5.708623528480530E-001,-3.087705001235008E-002,2.781654894351959E-002,-8.019184470176697E-001,-5.708623528480530E-001,
8.406000000000000E+008,-3.539820760488510E-002,3.112163022160530E-002,-8.318491578102112E-001,-5.469278097152710E-001,-3.539820760488510E-002,3.112163022160530E-002,-8.318491578102112E-001,-5.469278097152710E-001,
8.489666666666668E+008,-3.738552331924439E-002,4.083488881587982E-002,-8.345755338668823E-001,-5.377986431121826E-001,-3.738552331924439E-002,4.083488881587982E-002,-8.345755338668823E-001,-5.377986431121826E-001,
8.573333333333334E+008,-3.679115325212479E-002,4.975657165050507E-002,-8.485263586044312E-001,-4.908065795898438E-001,-3.679115325212479E-002,4.975657165050507E-002,-8.485263586044312E-001,-4.908065795898438E-001,
8.657000000000000E+008,-3.187130764126778E-002,5.550583824515343E-002,-8.618777394294739E-001,-4.788312315940857E-001,-3.187130764126778E-002,5.550583824515343E-002,-8.618777394294739E-001,-4.788312315940857E-001,
8.740666666666668E+008,-2.341448701918125E-002,5.943980067968369E-002,-8.721355199813843E-001,-4.679957926273346E-001,-2.341448701918125E-002,5.943980067968369E-002,-8.721355199813843E-001,-4.679957926273346E-001,
8.824333333333334E+008,-1.432951446622610E-002,6.048711016774178E-002,-8.784397244453430E-001,-4.436050653457642E-001,-1.432951446622610E-002,6.048711016774178E-002,-8.784397244453430E-001,-4.436050653457642E-001,
8.908000000000000E+008,-6.656905170530081E-003,5.685799941420555E-002,-8.954192996025085E-001,-4.286692738533020E-001,-6.656905170530081E-003,5.685799941420555E-002,-8.954192996025085E-001,-4.286692738533020E-001,
8.991666666666668E+008,-2.189861552324146E-004,5.066021159291267E-002,-8.966249823570252E-001,-3.942130804061890E-001,-2.189861552324146E-004,5.066021159291267E-002,-8.966249823570252E-001,-3.942130804061890E-001,
9.075333333333334E+008,-2.346041379496455E-003,4.539052024483681E-002,-9.195146560668945E-001,-3.808517158031464E-001,-2.346041379496455E-003,4.539052024483681E-002,-9.195146560668945E-001,-3.808517158031464E-001,
9.159000000000000E+008,-5.716334562748671E-003,3.940918296575546E-002,-9.235112667083740E-001,-3.528297245502472E-001,-5.716334562748671E-003,3.940918296575546E-002,-9.235112667083740E-001,-3.528297245502472E-001,
9.242666666666668E+008,-1.145532261580229E-002,3.923908993601799E-002,-9.305915832519531E-001,-3.383195996284485E-001,-1.145532261580229E-002,3.923908993601799E-002,-9.305915832519531E-001,-3.383195996284485E-001,
9.326333333333334E+008,-1.827740855515003E-002,4.019439220428467E-002,-9.444128870964050E-001,-3.084802627563477E-001,-1.827740855515003E-002,4.019439220428467E-002,-9.444128870964050E-001,-3.084802627563477E-001,
9.410000000000000E+008,-2.160766534507275E-002,4.591010138392448E-002,-9.504758715629578E-001,-2.828571200370789E-001,-2.160766534507275E-002,4.591010138392448E-002,-9.504758715629578E-001,-2.828571200370789E-001,
9.493666666666668E+008,-2.245389670133591E-002,5.408151820302010E-002,-9.531743526458740E-001,-2.538306117057800E-001,-2.245389670133591E-002,5.408151820302010E-002,-9.531743526458740E-001,-2.538306117057800E-001,
9.577333333333334E+008,-1.860125921666622E-002,6.045500189065933E-002,-9.614512920379639E-001,-2.190276235342026E-001,-1.860125921666622E-002,6.045500189065933E-002,-9.614512920379639E-001,-2.190276235342026E-001,
9.661000000000000E+008,-1.065582782030106E-002,6.845935434103012E-002,-9.644727706909180E-001,-1.973784267902374E-001,-1.065582782030106E-002,6.845935434103012E-002,-9.644727706909180E-001,-1.973784267902374E-001,
9.744666666666668E+008,-3.036785870790482E-003,7.223901897668839E-002,-9.743157029151917E-001,-1.856340169906616E-001,-3.036785870790482E-003,7.223901897668839E-002,-9.743157029151917E-001,-1.856340169906616E-001,
9.828333333333334E+008,9.395782835781574E-003,7.025608420372009E-002,-9.791285395622253E-001,-1.528712660074234E-001,9.395782835781574E-003,7.025608420372009E-002,-9.791285395622253E-001,-1.528712660074234E-001,
9.912000000000000E+008,1.868940703570843E-002,6.575641036033630E-002,-9.734566211700440E-001,-1.441265493631363E-001,1.868940703570843E-002,6.575641036033630E-002,-9.734566211700440E-001,-1.441265493631363E-001,
9.995666666666668E+008,2.228545956313610E-002,5.685360729694367E-002,-1.001620292663574E+000,-1.073769852519035E-001,2.228545956313610E-002,5.685360729694367E-002,-1.001620292663574E+000,-1.073769852519035E-001,
1.007933333333333E+009,2.202032692730427E-002,4.824627935886383E-002,-9.844267368316650E-001,-9.482413530349731E-002,2.202032692730427E-002,4.824627935886383E-002,-9.844267368316650E-001,-9.482413530349731E-002,
1.016300000000000E+009,1.965712942183018E-002,4.086803272366524E-002,-9.883125424385071E-001,-6.505312770605087E-002,1.965712942183018E-002,4.086803272366524E-002,-9.883125424385071E-001,-6.505312770605087E-002,
1.024666666666667E+009,1.182937063276768E-002,3.962773457169533E-002,-9.902255535125732E-001,-3.070095367729664E-002,1.182937063276768E-002,3.962773457169533E-002,-9.902255535125732E-001,-3.070095367729664E-002,
1.033033333333333E+009,4.430876579135656E-003,4.214734956622124E-002,-9.993122816085815E-001,-3.195160254836083E-002,4.430876579135656E-003,4.214734956622124E-002,-9.993122816085815E-001,-3.195160254836083E-002,
1.041400000000000E+009,-2.282423665747047E-003,4.733736068010330E-002,-9.824298620223999E-001,2.407838404178619E-002,-2.282423665747047E-003,4.733736068010330E-002,-9.824298620223999E-001,2.407838404178619E-002,
1.049766666666667E+009,-1.023071119561791E-003,5.644701421260834E-002,-9.901050925254822E-001,4.498686641454697E-002,-1.023071119561791E-003,5.644701421260834E-002,-9.901050925254822E-001,4.498686641454697E-002,
1.058133333333333E+009,5.222090985625982E-003,6.362632662057877E-002,-9.750316143035889E-001,7.356214523315430E-002,5.222090985625982E-003,6.362632662057877E-002,-9.750316143035889E-001,7.356214523315430E-002,
1.066500000000000E+009,1.392945460975170E-002,6.764315813779831E-002,-9.740229249000549E-001,8.362034708261490E-002,1.392945460975170E-002,6.764315813779831E-002,-9.740229249000549E-001,8.362034708261490E-002,
1.074866666666667E+009,2.851861342787743E-002,6.889167428016663E-002,-9.682002663612366E-001,1.407796442508698E-001,2.851861342787743E-002,6.889167428016663E-002,-9.682002663612366E-001,1.407796442508698E-001,
1.083233333333334E+009,3.905314952135086E-002,6.052153557538986E-002,-9.770551919937134E-001,1.458507776260376E-001,3.905314952135086E-002,6.052153557538986E-002,-9.770551919937134E-001,1.458507776260376E-001,
1.091600000000000E+009,4.529993608593941E-002,5.017263069748879E-002,-9.684721231460571E-001,1.663886159658432E-001,4.529993608593941E-002,5.017263069748879E-002,-9.684721231460571E-001,1.663886159658432E-001,
