% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.551117286086083E-002,4.287103936076164E-002,-5.145738124847412E-001,-8.515814542770386E-001,-5.551117286086083E-002,4.287103936076164E-002,-5.145738124847412E-001,-8.515814542770386E-001,
6.983666666666666E+008,-4.782590642571449E-002,4.212691634893417E-002,-5.352145433425903E-001,-8.268265128135681E-001,-4.782590642571449E-002,4.212691634893417E-002,-5.352145433425903E-001,-8.268265128135681E-001,
7.067333333333334E+008,-4.265229403972626E-002,3.845752403140068E-002,-5.275577902793884E-001,-8.098275065422058E-001,-4.265229403972626E-002,3.845752403140068E-002,-5.275577902793884E-001,-8.098275065422058E-001,
7.151000000000000E+008,-4.015076160430908E-002,3.260154649615288E-002,-5.695177912712097E-001,-7.983771562576294E-001,-4.015076160430908E-002,3.260154649615288E-002,-5.695177912712097E-001,-7.983771562576294E-001,
7.234666666666666E+008,-4.494748637080193E-002,2.758026309311390E-002,-5.868597030639648E-001,-7.757524251937866E-001,-4.494748637080193E-002,2.758026309311390E-002,-5.868597030639648E-001,-7.757524251937866E-001,
7.318333333333334E+008,-5.196210369467735E-002,2.465785294771195E-002,-6.137962341308594E-001,-7.827846407890320E-001,-5.196210369467735E-002,2.465785294771195E-002,-6.137962341308594E-001,-7.827846407890320E-001,
7.402000000000000E+008,-6.034366041421890E-002,2.835504151880741E-002,-6.428647637367249E-001,-7.564899921417236E-001,-6.034366041421890E-002,2.835504151880741E-002,-6.428647637367249E-001,-7.564899921417236E-001,
7.485666666666666E+008,-6.525544077157974E-002,3.455868363380432E-002,-6.508966684341431E-001,-7.401680946350098E-001,-6.525544077157974E-002,3.455868363380432E-002,-6.508966684341431E-001,-7.401680946350098E-001,
7.569333333333334E+008,-6.735435128211975E-002,4.430614039301872E-002,-6.715486645698547E-001,-7.303543686866760E-001,-6.735435128211975E-002,4.430614039301872E-002,-6.715486645698547E-001,-7.303543686866760E-001,
7.653000000000000E+008,-6.152480095624924E-002,5.274143815040588E-002,-6.952347755432129E-001,-7.068582773208618E-001,-6.152480095624924E-002,5.274143815040588E-002,-6.952347755432129E-001,-7.068582773208618E-001,
7.736666666666666E+008,-5.617246404290199E-002,6.195338070392609E-002,-7.128865122795105E-001,-6.812753677368164E-001,-5.617246404290199E-002,6.195338070392609E-002,-7.128865122795105E-001,-6.812753677368164E-001,
7.820333333333334E+008,-4.599119350314140E-002,6.353719532489777E-002,-7.281024456024170E-001,-6.814236640930176E-001,-4.599119350314140E-002,6.353719532489777E-002,-7.281024456024170E-001,-6.814236640930176E-001,
7.904000000000000E+008,-3.810083866119385E-002,6.084638833999634E-002,-7.494133710861206E-001,-6.613404750823975E-001,-3.810083866119385E-002,6.084638833999634E-002,-7.494133710861206E-001,-6.613404750823975E-001,
7.987666666666666E+008,-3.214600682258606E-002,5.751806497573853E-002,-7.593124508857727E-001,-6.335727572441101E-001,-3.214600682258606E-002,5.751806497573853E-002,-7.593124508857727E-001,-6.335727572441101E-001,
8.071333333333334E+008,-3.028237819671631E-002,5.254218727350235E-002,-7.840590476989746E-001,-6.225773692131043E-001,-3.028237819671631E-002,5.254218727350235E-002,-7.840590476989746E-001,-6.225773692131043E-001,
8.155000000000000E+008,-3.457447141408920E-002,4.814775660634041E-002,-7.903328537940979E-001,-5.985190868377686E-001,-3.457447141408920E-002,4.814775660634041E-002,-7.903328537940979E-001,-5.985190868377686E-001,
8.238666666666666E+008,-4.012969508767128E-002,4.591144248843193E-002,-8.067113757133484E-001,-5.826002359390259E-001,-4.012969508767128E-002,4.591144248843193E-002,-8.067113757133484E-001,-5.826002359390259E-001,
8.322333333333334E+008,-4.608762264251709E-002,4.798613488674164E-002,-8.141119480133057E-001,-5.513339042663574E-001,-4.608762264251709E-002,4.798613488674164E-002,-8.141119480133057E-001,-5.513339042663574E-001,
8.406000000000000E+008,-5.003184080123901E-002,5.208438634872437E-002,-8.435279726982117E-001,-5.257713794708252E-001,-5.003184080123901E-002,5.208438634872437E-002,-8.435279726982117E-001,-5.257713794708252E-001,
8.489666666666668E+008,-5.125280469655991E-002,6.215061619877815E-002,-8.468175530433655E-001,-5.151169896125794E-001,-5.125280469655991E-002,6.215061619877815E-002,-8.468175530433655E-001,-5.151169896125794E-001,
8.573333333333334E+008,-4.988659173250198E-002,7.156860083341599E-002,-8.600476384162903E-001,-4.677947163581848E-001,-4.988659173250198E-002,7.156860083341599E-002,-8.600476384162903E-001,-4.677947163581848E-001,
8.657000000000000E+008,-4.427518695592880E-002,7.752911746501923E-002,-8.734264969825745E-001,-4.552084803581238E-001,-4.427518695592880E-002,7.752911746501923E-002,-8.734264969825745E-001,-4.552084803581238E-001,
8.740666666666668E+008,-3.510186076164246E-002,8.095242828130722E-002,-8.815153241157532E-001,-4.444696009159088E-001,-3.510186076164246E-002,8.095242828130722E-002,-8.815153241157532E-001,-4.444696009159088E-001,
8.824333333333334E+008,-2.537649124860764E-002,8.229301124811173E-002,-8.878954052925110E-001,-4.201396703720093E-001,-2.537649124860764E-002,8.229301124811173E-002,-8.878954052925110E-001,-4.201396703720093E-001,
8.908000000000000E+008,-1.710107177495956E-002,7.907617092132568E-002,-9.047003388404846E-001,-4.050148129463196E-001,-1.710107177495956E-002,7.907617092132568E-002,-9.047003388404846E-001,-4.050148129463196E-001,
8.991666666666668E+008,-1.059013325721026E-002,7.310746610164642E-002,-9.030886292457581E-001,-3.716672360897064E-001,-1.059013325721026E-002,7.310746610164642E-002,-9.030886292457581E-001,-3.716672360897064E-001,
