% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.365699902176857E-002,4.927425459027290E-002,-5.141682028770447E-001,-8.471216559410095E-001,-5.365699902176857E-002,4.927425459027290E-002,-5.141682028770447E-001,-8.471216559410095E-001,
6.983666666666666E+008,-4.565037414431572E-002,4.867061600089073E-002,-5.345171093940735E-001,-8.221399188041687E-001,-4.565037414431572E-002,4.867061600089073E-002,-5.345171093940735E-001,-8.221399188041687E-001,
7.067333333333334E+008,-3.999864682555199E-002,4.519513621926308E-002,-5.263328552246094E-001,-8.058958053588867E-001,-3.999864682555199E-002,4.519513621926308E-002,-5.263328552246094E-001,-8.058958053588867E-001,
7.151000000000000E+008,-3.706967458128929E-002,3.927385434508324E-002,-5.682777166366577E-001,-7.936475276947022E-001,-3.706967458128929E-002,3.927385434508324E-002,-5.682777166366577E-001,-7.936475276947022E-001,
7.234666666666666E+008,-4.137819260358810E-002,3.418834879994392E-002,-5.846391916275024E-001,-7.727976441383362E-001,-4.137819260358810E-002,3.418834879994392E-002,-5.846391916275024E-001,-7.727976441383362E-001,
7.318333333333334E+008,-4.801592975854874E-002,3.112740814685822E-002,-6.125941276550293E-001,-7.772608399391174E-001,-4.801592975854874E-002,3.112740814685822E-002,-6.125941276550293E-001,-7.772608399391174E-001,
7.402000000000000E+008,-5.602668970823288E-002,3.456887602806091E-002,-6.411541700363159E-001,-7.523323297500610E-001,-5.602668970823288E-002,3.456887602806091E-002,-6.411541700363159E-001,-7.523323297500610E-001,
7.485666666666666E+008,-6.094219535589218E-002,4.059360176324844E-002,-6.492440104484558E-001,-7.356107831001282E-001,-6.094219535589218E-002,4.059360176324844E-002,-6.492440104484558E-001,-7.356107831001282E-001,
7.569333333333334E+008,-6.291057169437408E-002,5.020042508840561E-002,-6.688105463981628E-001,-7.259632349014282E-001,-6.291057169437408E-002,5.020042508840561E-002,-6.688105463981628E-001,-7.259632349014282E-001,
7.653000000000000E+008,-5.718340352177620E-002,5.831841006875038E-002,-6.938760876655579E-001,-7.029977440834045E-001,-5.718340352177620E-002,5.831841006875038E-002,-6.938760876655579E-001,-7.029977440834045E-001,
7.736666666666666E+008,-5.177101120352745E-002,6.773865967988968E-002,-7.104765176773071E-001,-6.766540408134460E-001,-5.177101120352745E-002,6.773865967988968E-002,-7.104765176773071E-001,-6.766540408134460E-001,
7.820333333333334E+008,-4.144205898046494E-002,6.939626485109329E-002,-7.258704304695129E-001,-6.774529814720154E-001,-4.144205898046494E-002,6.939626485109329E-002,-7.258704304695129E-001,-6.774529814720154E-001,
7.904000000000000E+008,-3.350716829299927E-002,6.652258336544037E-002,-7.462590932846069E-001,-6.570451259613037E-001,-3.350716829299927E-002,6.652258336544037E-002,-7.462590932846069E-001,-6.570451259613037E-001,
7.987666666666666E+008,-2.708625607192516E-002,6.308795511722565E-002,-7.568922638893127E-001,-6.276200413703919E-001,-2.708625607192516E-002,6.308795511722565E-002,-7.568922638893127E-001,-6.276200413703919E-001,
8.071333333333334E+008,-2.492058835923672E-002,5.776239559054375E-002,-7.806566953659058E-001,-6.177894473075867E-001,-2.492058835923672E-002,5.776239559054375E-002,-7.806566953659058E-001,-6.177894473075867E-001,
8.155000000000000E+008,-2.896842174232006E-002,5.341408774256706E-002,-7.874702215194702E-001,-5.941675901412964E-001,-2.896842174232006E-002,5.341408774256706E-002,-7.874702215194702E-001,-5.941675901412964E-001,
8.238666666666666E+008,-3.420102223753929E-002,5.098681896924973E-002,-8.030066490173340E-001,-5.775872468948364E-001,-3.420102223753929E-002,5.098681896924973E-002,-8.030066490173340E-001,-5.775872468948364E-001,
8.322333333333334E+008,-4.004258662462235E-002,5.296263471245766E-002,-8.112668395042419E-001,-5.472121834754944E-001,-4.004258662462235E-002,5.296263471245766E-002,-8.112668395042419E-001,-5.472121834754944E-001,
8.406000000000000E+008,-4.391672089695931E-002,5.677566304802895E-002,-8.394136428833008E-001,-5.209336280822754E-001,-4.391672089695931E-002,5.677566304802895E-002,-8.394136428833008E-001,-5.209336280822754E-001,
