% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.296069011092186E-002,4.763473942875862E-002,-5.132605433464050E-001,-8.478848934173584E-001,-5.296069011092186E-002,4.763473942875862E-002,-5.132605433464050E-001,-8.478848934173584E-001,
6.983666666666666E+008,-4.517739266157150E-002,4.658701270818710E-002,-5.338305234909058E-001,-8.225414752960205E-001,-4.517739266157150E-002,4.658701270818710E-002,-5.338305234909058E-001,-8.225414752960205E-001,
7.067333333333334E+008,-3.974612057209015E-002,4.284264892339706E-002,-5.258715748786926E-001,-8.059040904045105E-001,-3.974612057209015E-002,4.284264892339706E-002,-5.258715748786926E-001,-8.059040904045105E-001,
7.151000000000000E+008,-3.696767240762711E-002,3.696890175342560E-002,-5.679710507392883E-001,-7.941356301307678E-001,-3.696767240762711E-002,3.696890175342560E-002,-5.679710507392883E-001,-7.941356301307678E-001,
7.234666666666666E+008,-4.131151363253593E-002,3.212771192193031E-002,-5.844399929046631E-001,-7.726088166236877E-001,-4.131151363253593E-002,3.212771192193031E-002,-5.844399929046631E-001,-7.726088166236877E-001,
7.318333333333334E+008,-4.774060472846031E-002,2.941734902560711E-002,-6.115767359733582E-001,-7.776490449905396E-001,-4.774060472846031E-002,2.941734902560711E-002,-6.115767359733582E-001,-7.776490449905396E-001,
7.402000000000000E+008,-5.548647791147232E-002,3.338082134723663E-002,-6.407771706581116E-001,-7.525945305824280E-001,-5.548647791147232E-002,3.338082134723663E-002,-6.407771706581116E-001,-7.525945305824280E-001,
7.485666666666666E+008,-6.016426533460617E-002,3.976890444755554E-002,-6.487892270088196E-001,-7.360658645629883E-001,-6.016426533460617E-002,3.976890444755554E-002,-6.487892270088196E-001,-7.360658645629883E-001,
7.569333333333334E+008,-6.194330751895905E-002,4.961102828383446E-002,-6.680580973625183E-001,-7.264986634254456E-001,-6.194330751895905E-002,4.961102828383446E-002,-6.680580973625183E-001,-7.264986634254456E-001,
7.653000000000000E+008,-5.626122280955315E-002,5.772463977336884E-002,-6.929579377174377E-001,-7.034672498703003E-001,-5.626122280955315E-002,5.772463977336884E-002,-6.929579377174377E-001,-7.034672498703003E-001,
