% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-3.990045934915543E-002,3.439882025122643E-002,-5.011851191520691E-001,-8.603900074958801E-001,-3.990045934915543E-002,3.439882025122643E-002,-5.011851191520691E-001,-8.603900074958801E-001,
6.983666666666666E+008,-3.232933208346367E-002,3.321638703346252E-002,-5.214059948921204E-001,-8.358807563781738E-001,-3.232933208346367E-002,3.321638703346252E-002,-5.214059948921204E-001,-8.358807563781738E-001,
7.067333333333334E+008,-2.695019543170929E-002,2.939114160835743E-002,-5.136406421661377E-001,-8.191452622413635E-001,-2.695019543170929E-002,2.939114160835743E-002,-5.136406421661377E-001,-8.191452622413635E-001,
7.151000000000000E+008,-2.456844411790371E-002,2.323012426495552E-002,-5.560360550880432E-001,-8.080452680587769E-001,-2.456844411790371E-002,2.323012426495552E-002,-5.560360550880432E-001,-8.080452680587769E-001,
7.234666666666666E+008,-2.890731766819954E-002,1.775319315493107E-002,-5.720527172088623E-001,-7.869426608085632E-001,-2.890731766819954E-002,1.775319315493107E-002,-5.720527172088623E-001,-7.869426608085632E-001,
7.318333333333334E+008,-3.583419322967529E-002,1.430329494178295E-002,-6.006188392639160E-001,-7.932329773902893E-001,-3.583419322967529E-002,1.430329494178295E-002,-6.006188392639160E-001,-7.932329773902893E-001,
7.402000000000000E+008,-4.400322586297989E-002,1.719559915363789E-002,-6.295412778854370E-001,-7.688880562782288E-001,-4.400322586297989E-002,1.719559915363789E-002,-6.295412778854370E-001,-7.688880562782288E-001,
7.485666666666666E+008,-4.922939091920853E-002,2.297126501798630E-002,-6.383029222488403E-001,-7.523351311683655E-001,-4.922939091920853E-002,2.297126501798630E-002,-6.383029222488403E-001,-7.523351311683655E-001,
7.569333333333334E+008,-5.136886611580849E-002,3.194762021303177E-002,-6.582673788070679E-001,-7.432865500450134E-001,-5.136886611580849E-002,3.194762021303177E-002,-6.582673788070679E-001,-7.432865500450134E-001,
7.653000000000000E+008,-4.635988920927048E-002,3.973249346017838E-002,-6.834849715232849E-001,-7.204431891441345E-001,-4.635988920927048E-002,3.973249346017838E-002,-6.834849715232849E-001,-7.204431891441345E-001,
7.736666666666666E+008,-4.102271422743797E-002,4.857140406966209E-002,-7.006710767745972E-001,-6.942334771156311E-001,-4.102271422743797E-002,4.857140406966209E-002,-7.006710767745972E-001,-6.942334771156311E-001,
7.820333333333334E+008,-3.108297288417816E-002,4.992986842989922E-002,-7.159196138381958E-001,-6.957404613494873E-001,-3.108297288417816E-002,4.992986842989922E-002,-7.159196138381958E-001,-6.957404613494873E-001,
7.904000000000000E+008,-2.338933385908604E-002,4.693687707185745E-002,-7.369685769081116E-001,-6.757525205612183E-001,-2.338933385908604E-002,4.693687707185745E-002,-7.369685769081116E-001,-6.757525205612183E-001,
7.987666666666666E+008,-1.743216067552567E-002,4.329233616590500E-002,-7.487030625343323E-001,-6.465620994567871E-001,-1.743216067552567E-002,4.329233616590500E-002,-7.487030625343323E-001,-6.465620994567871E-001,
8.071333333333334E+008,-1.568294875323772E-002,3.773136436939240E-002,-7.721671462059021E-001,-6.372075676918030E-001,-1.568294875323772E-002,3.773136436939240E-002,-7.721671462059021E-001,-6.372075676918030E-001,
8.155000000000000E+008,-1.987492851912975E-002,3.292661905288696E-002,-7.789120674133301E-001,-6.141462922096252E-001,-1.987492851912975E-002,3.292661905288696E-002,-7.789120674133301E-001,-6.141462922096252E-001,
8.238666666666666E+008,-2.545162290334702E-002,2.998761087656021E-002,-7.950292825698853E-001,-5.984387993812561E-001,-2.545162290334702E-002,2.998761087656021E-002,-7.950292825698853E-001,-5.984387993812561E-001,
8.322333333333334E+008,-3.186397254467011E-002,3.163785859942436E-002,-8.039091229438782E-001,-5.686945915222168E-001,-3.186397254467011E-002,3.163785859942436E-002,-8.039091229438782E-001,-5.686945915222168E-001,
8.406000000000000E+008,-3.631064668297768E-002,3.502191230654717E-002,-8.328735828399658E-001,-5.427841544151306E-001,-3.631064668297768E-002,3.502191230654717E-002,-8.328735828399658E-001,-5.427841544151306E-001,
8.489666666666668E+008,-3.806548193097115E-002,4.489268735051155E-002,-8.369162082672119E-001,-5.332223773002625E-001,-3.806548193097115E-002,4.489268735051155E-002,-8.369162082672119E-001,-5.332223773002625E-001,
8.573333333333334E+008,-3.692688420414925E-002,5.346182361245155E-002,-8.498843312263489E-001,-4.867836534976959E-001,-3.692688420414925E-002,5.346182361245155E-002,-8.498843312263489E-001,-4.867836534976959E-001,
8.657000000000000E+008,-3.158120065927506E-002,5.896666273474693E-002,-8.640907406806946E-001,-4.747945666313171E-001,-3.158120065927506E-002,5.896666273474693E-002,-8.640907406806946E-001,-4.747945666313171E-001,
8.740666666666668E+008,-2.273327670991421E-002,6.250376999378204E-002,-8.728655576705933E-001,-4.635992646217346E-001,-2.273327670991421E-002,6.250376999378204E-002,-8.728655576705933E-001,-4.635992646217346E-001,
8.824333333333334E+008,-1.320629753172398E-002,6.322542577981949E-002,-8.792465925216675E-001,-4.394249916076660E-001,-1.320629753172398E-002,6.322542577981949E-002,-8.792465925216675E-001,-4.394249916076660E-001,
8.908000000000000E+008,-5.269932094961405E-003,5.959678813815117E-002,-8.967044949531555E-001,-4.242447018623352E-001,-5.269932094961405E-003,5.959678813815117E-002,-8.967044949531555E-001,-4.242447018623352E-001,
8.991666666666668E+008,9.368651662953198E-004,5.338292941451073E-002,-8.958675265312195E-001,-3.908979296684265E-001,9.368651662953198E-004,5.338292941451073E-002,-8.958675265312195E-001,-3.908979296684265E-001,
9.075333333333334E+008,-1.106887706555426E-003,4.849181696772575E-002,-9.195190072059631E-001,-3.757911920547485E-001,-1.106887706555426E-003,4.849181696772575E-002,-9.195190072059631E-001,-3.757911920547485E-001,
9.159000000000000E+008,-4.711319692432880E-003,4.303348064422607E-002,-9.237663745880127E-001,-3.490236699581146E-001,-4.711319692432880E-003,4.303348064422607E-002,-9.237663745880127E-001,-3.490236699581146E-001,
9.242666666666668E+008,-1.045828312635422E-002,4.331396892666817E-002,-9.309010505676270E-001,-3.337367475032806E-001,-1.045828312635422E-002,4.331396892666817E-002,-9.309010505676270E-001,-3.337367475032806E-001,
9.326333333333334E+008,-1.730042323470116E-002,4.476839303970337E-002,-9.451999664306641E-001,-3.037757277488709E-001,-1.730042323470116E-002,4.476839303970337E-002,-9.451999664306641E-001,-3.037757277488709E-001,
9.410000000000000E+008,-2.042782120406628E-002,5.066721886396408E-002,-9.503967761993408E-001,-2.787915170192719E-001,-2.042782120406628E-002,5.066721886396408E-002,-9.503967761993408E-001,-2.787915170192719E-001,
9.493666666666668E+008,-2.095209620893002E-002,5.863745138049126E-002,-9.538837671279907E-001,-2.496371269226074E-001,-2.095209620893002E-002,5.863745138049126E-002,-9.538837671279907E-001,-2.496371269226074E-001,
9.577333333333334E+008,-1.665486581623554E-002,6.455986946821213E-002,-9.617905020713806E-001,-2.142841666936874E-001,-1.665486581623554E-002,6.455986946821213E-002,-9.617905020713806E-001,-2.142841666936874E-001,
9.661000000000000E+008,-8.143152110278606E-003,7.205092906951904E-002,-9.645088911056519E-001,-1.930916607379913E-001,-8.143152110278606E-003,7.205092906951904E-002,-9.645088911056519E-001,-1.930916607379913E-001,
9.744666666666668E+008,-9.531443356536329E-005,7.517062872648239E-002,-9.736942648887634E-001,-1.812639981508255E-001,-9.531443356536329E-005,7.517062872648239E-002,-9.736942648887634E-001,-1.812639981508255E-001,
9.828333333333334E+008,1.243671495467424E-002,7.266492396593094E-002,-9.776446819305420E-001,-1.474362760782242E-001,1.243671495467424E-002,7.266492396593094E-002,-9.776446819305420E-001,-1.474362760782242E-001,
9.912000000000000E+008,2.183093130588532E-002,6.796144694089890E-002,-9.729587435722351E-001,-1.395369917154312E-001,2.183093130588532E-002,6.796144694089890E-002,-9.729587435722351E-001,-1.395369917154312E-001,
9.995666666666668E+008,2.522300928831101E-002,5.906204506754875E-002,-1.001500606536865E+000,-1.035309955477715E-001,2.522300928831101E-002,5.906204506754875E-002,-1.001500606536865E+000,-1.035309955477715E-001,
1.007933333333333E+009,2.491660043597221E-002,5.073466151952744E-002,-9.838627576828003E-001,-8.842632919549942E-002,2.491660043597221E-002,5.073466151952744E-002,-9.838627576828003E-001,-8.842632919549942E-002,
1.016300000000000E+009,2.231855876743794E-002,4.385377466678619E-002,-9.868869185447693E-001,-6.019494310021401E-002,2.231855876743794E-002,4.385377466678619E-002,-9.868869185447693E-001,-6.019494310021401E-002,
1.024666666666667E+009,1.451283600181341E-002,4.345000162720680E-002,-9.890543222427368E-001,-2.516126446425915E-002,1.451283600181341E-002,4.345000162720680E-002,-9.890543222427368E-001,-2.516126446425915E-002,
1.033033333333333E+009,7.338849827647209E-003,4.649745672941208E-002,-9.972150325775147E-001,-2.678626775741577E-002,7.338849827647209E-003,4.649745672941208E-002,-9.972150325775147E-001,-2.678626775741577E-002,
1.041400000000000E+009,7.805288187228143E-004,5.200624093413353E-002,-9.799481034278870E-001,2.974803000688553E-002,7.805288187228143E-004,5.200624093413353E-002,-9.799481034278870E-001,2.974803000688553E-002,
1.049766666666667E+009,2.428357955068350E-003,6.073093041777611E-002,-9.882107377052307E-001,5.024525150656700E-002,2.428357955068350E-003,6.073093041777611E-002,-9.882107377052307E-001,5.024525150656700E-002,
