% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.014161229133606E-002,3.404896333813667E-002,-5.018801093101502E-001,-8.619903922080994E-001,-4.014161229133606E-002,3.404896333813667E-002,-5.018801093101502E-001,-8.619903922080994E-001,
6.983666666666666E+008,-3.239651024341583E-002,3.273271769285202E-002,-5.224954485893250E-001,-8.369424939155579E-001,-3.239651024341583E-002,3.273271769285202E-002,-5.224954485893250E-001,-8.369424939155579E-001,
7.067333333333334E+008,-2.702231705188751E-002,2.856577374041081E-002,-5.141781568527222E-001,-8.199407458305359E-001,-2.702231705188751E-002,2.856577374041081E-002,-5.141781568527222E-001,-8.199407458305359E-001,
7.151000000000000E+008,-2.488834410905838E-002,2.224630862474442E-002,-5.561066269874573E-001,-8.091828227043152E-001,-2.488834410905838E-002,2.224630862474442E-002,-5.561066269874573E-001,-8.091828227043152E-001,
7.234666666666666E+008,-2.929140068590641E-002,1.658636704087257E-002,-5.726895928382874E-001,-7.886704206466675E-001,-2.929140068590641E-002,1.658636704087257E-002,-5.726895928382874E-001,-7.886704206466675E-001,
7.318333333333334E+008,-3.631029278039932E-002,1.292535848915577E-002,-6.000685691833496E-001,-7.941753268241882E-001,-3.631029278039932E-002,1.292535848915577E-002,-6.000685691833496E-001,-7.941753268241882E-001,
7.402000000000000E+008,-4.471645504236221E-002,1.572982594370842E-002,-6.294529438018799E-001,-7.699354290962219E-001,-4.471645504236221E-002,1.572982594370842E-002,-6.294529438018799E-001,-7.699354290962219E-001,
7.485666666666666E+008,-5.006670206785202E-002,2.151494659483433E-002,-6.387314796447754E-001,-7.531996965408325E-001,-5.006670206785202E-002,2.151494659483433E-002,-6.387314796447754E-001,-7.531996965408325E-001,
7.569333333333334E+008,-5.226659402251244E-002,3.046108596026897E-002,-6.578395962715149E-001,-7.450053691864014E-001,-5.226659402251244E-002,3.046108596026897E-002,-6.578395962715149E-001,-7.450053691864014E-001,
7.653000000000000E+008,-4.745449870824814E-002,3.830370306968689E-002,-6.849902868270874E-001,-7.216789722442627E-001,-4.745449870824814E-002,3.830370306968689E-002,-6.849902868270874E-001,-7.216789722442627E-001,
7.736666666666666E+008,-4.215592145919800E-002,4.707159474492073E-002,-7.014547586441040E-001,-6.955937743186951E-001,-4.215592145919800E-002,4.707159474492073E-002,-7.014547586441040E-001,-6.955937743186951E-001,
7.820333333333334E+008,-3.228438273072243E-002,4.859006777405739E-002,-7.168352603912354E-001,-6.968157291412354E-001,-3.228438273072243E-002,4.859006777405739E-002,-7.168352603912354E-001,-6.968157291412354E-001,
7.904000000000000E+008,-2.462125755846500E-002,4.560304433107376E-002,-7.377179265022278E-001,-6.766976118087769E-001,-2.462125755846500E-002,4.560304433107376E-002,-7.377179265022278E-001,-6.766976118087769E-001,
7.987666666666666E+008,-1.876368373632431E-002,4.180428385734558E-002,-7.490200400352478E-001,-6.473037600517273E-001,-1.876368373632431E-002,4.180428385734558E-002,-7.490200400352478E-001,-6.473037600517273E-001,
8.071333333333334E+008,-1.708146929740906E-002,3.621474280953407E-002,-7.726321220397949E-001,-6.386229395866394E-001,-1.708146929740906E-002,3.621474280953407E-002,-7.726321220397949E-001,-6.386229395866394E-001,
8.155000000000000E+008,-2.135903388261795E-002,3.126181289553642E-002,-7.795757651329041E-001,-6.151928305625916E-001,-2.135903388261795E-002,3.126181289553642E-002,-7.795757651329041E-001,-6.151928305625916E-001,
8.238666666666666E+008,-2.705320902168751E-002,2.816115133464336E-002,-7.956609725952148E-001,-5.989606380462647E-001,-2.705320902168751E-002,2.816115133464336E-002,-7.956609725952148E-001,-5.989606380462647E-001,
8.322333333333334E+008,-3.354089334607124E-002,2.960638143122196E-002,-8.044713139533997E-001,-5.691714882850647E-001,-3.354089334607124E-002,2.960638143122196E-002,-8.044713139533997E-001,-5.691714882850647E-001,
8.406000000000000E+008,-3.817468881607056E-002,3.280521556735039E-002,-8.336732387542725E-001,-5.434656739234924E-001,-3.817468881607056E-002,3.280521556735039E-002,-8.336732387542725E-001,-5.434656739234924E-001,
8.489666666666668E+008,-4.012204706668854E-002,4.244289547204971E-002,-8.376689553260803E-001,-5.345274209976196E-001,-4.012204706668854E-002,4.244289547204971E-002,-8.376689553260803E-001,-5.345274209976196E-001,
8.573333333333334E+008,-3.928426280617714E-002,5.111278221011162E-002,-8.505464196205139E-001,-4.876371026039124E-001,-3.928426280617714E-002,5.111278221011162E-002,-8.505464196205139E-001,-4.876371026039124E-001,
8.657000000000000E+008,-3.412136435508728E-002,5.657005682587624E-002,-8.652095198631287E-001,-4.762813150882721E-001,-3.412136435508728E-002,5.657005682587624E-002,-8.652095198631287E-001,-4.762813150882721E-001,
8.740666666666668E+008,-2.549416571855545E-002,6.008089333772659E-002,-8.743132352828980E-001,-4.646287560462952E-001,-2.549416571855545E-002,6.008089333772659E-002,-8.743132352828980E-001,-4.646287560462952E-001,
8.824333333333334E+008,-1.617963984608650E-002,6.103892251849175E-002,-8.804621696472168E-001,-4.407095015048981E-001,-1.617963984608650E-002,6.103892251849175E-002,-8.804621696472168E-001,-4.407095015048981E-001,
8.908000000000000E+008,-8.453464135527611E-003,5.773474276065826E-002,-8.983650803565979E-001,-4.254965186119080E-001,-8.453464135527611E-003,5.773474276065826E-002,-8.983650803565979E-001,-4.254965186119080E-001,
8.991666666666668E+008,-2.353140152990818E-003,5.156486108899117E-002,-8.972457051277161E-001,-3.926528096199036E-001,-2.353140152990818E-003,5.156486108899117E-002,-8.972457051277161E-001,-3.926528096199036E-001,
9.075333333333334E+008,-4.451706074178219E-003,4.674365743994713E-002,-9.211434125900269E-001,-3.769108653068543E-001,-4.451706074178219E-003,4.674365743994713E-002,-9.211434125900269E-001,-3.769108653068543E-001,
