% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.328503087162972E-002,3.836645558476448E-002,-5.037839412689209E-001,-8.584282398223877E-001,-4.328503087162972E-002,3.836645558476448E-002,-5.037839412689209E-001,-8.584282398223877E-001,
6.983666666666666E+008,-3.548815101385117E-002,3.730636835098267E-002,-5.243046879768372E-001,-8.346056938171387E-001,-3.548815101385117E-002,3.730636835098267E-002,-5.243046879768372E-001,-8.346056938171387E-001,
7.067333333333334E+008,-2.992348745465279E-002,3.336462378501892E-002,-5.165336132049561E-001,-8.173174858093262E-001,-2.992348745465279E-002,3.336462378501892E-002,-5.165336132049561E-001,-8.173174858093262E-001,
7.151000000000000E+008,-2.711804024875164E-002,2.722962200641632E-002,-5.589867830276489E-001,-8.057006001472473E-001,-2.711804024875164E-002,2.722962200641632E-002,-5.589867830276489E-001,-8.057006001472473E-001,
7.234666666666666E+008,-3.122202306985855E-002,2.190976403653622E-002,-5.758505463600159E-001,-7.857652306556702E-001,-3.122202306985855E-002,2.190976403653622E-002,-5.758505463600159E-001,-7.857652306556702E-001,
7.318333333333334E+008,-3.787692263722420E-002,1.857026480138302E-002,-6.030445694923401E-001,-7.922096252441406E-001,-3.787692263722420E-002,1.857026480138302E-002,-6.030445694923401E-001,-7.922096252441406E-001,
7.402000000000000E+008,-4.593182727694511E-002,2.163502760231495E-002,-6.329202651977539E-001,-7.665475606918335E-001,-4.593182727694511E-002,2.163502760231495E-002,-6.329202651977539E-001,-7.665475606918335E-001,
7.485666666666666E+008,-5.110165476799011E-002,2.744834497570992E-002,-6.412762999534607E-001,-7.506113052368164E-001,-5.110165476799011E-002,2.744834497570992E-002,-6.412762999534607E-001,-7.506113052368164E-001,
7.569333333333334E+008,-5.329110473394394E-002,3.660606965422630E-002,-6.595969200134277E-001,-7.411332130432129E-001,-5.329110473394394E-002,3.660606965422630E-002,-6.595969200134277E-001,-7.411332130432129E-001,
7.653000000000000E+008,-4.839830473065376E-002,4.464051499962807E-002,-6.872914433479309E-001,-7.174402475357056E-001,-4.839830473065376E-002,4.464051499962807E-002,-6.872914433479309E-001,-7.174402475357056E-001,
7.736666666666666E+008,-4.341733828186989E-002,5.363158509135246E-002,-7.034135460853577E-001,-6.910961270332336E-001,-4.341733828186989E-002,5.363158509135246E-002,-7.034135460853577E-001,-6.910961270332336E-001,
7.820333333333334E+008,-3.367269039154053E-002,5.512109398841858E-002,-7.186996340751648E-001,-6.931102871894836E-001,-3.367269039154053E-002,5.512109398841858E-002,-7.186996340751648E-001,-6.931102871894836E-001,
7.904000000000000E+008,-2.589177154004574E-002,5.217351764440537E-002,-7.389990091323853E-001,-6.730458140373230E-001,-2.589177154004574E-002,5.217351764440537E-002,-7.389990091323853E-001,-6.730458140373230E-001,
7.987666666666666E+008,-1.984954066574574E-002,4.866875708103180E-002,-7.516410946846008E-001,-6.439602971076965E-001,-1.984954066574574E-002,4.866875708103180E-002,-7.516410946846008E-001,-6.439602971076965E-001,
