% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.553515836596489E-002,3.656516596674919E-002,-5.044303536415100E-001,-8.584379553794861E-001,-4.553515836596489E-002,3.656516596674919E-002,-5.044303536415100E-001,-8.584379553794861E-001,
6.983666666666666E+008,-3.789888322353363E-002,3.552583232522011E-002,-5.250903964042664E-001,-8.335626125335693E-001,-3.789888322353363E-002,3.552583232522011E-002,-5.250903964042664E-001,-8.335626125335693E-001,
7.067333333333334E+008,-3.249568492174149E-002,3.166839852929115E-002,-5.170729160308838E-001,-8.170956969261169E-001,-3.249568492174149E-002,3.166839852929115E-002,-5.170729160308838E-001,-8.170956969261169E-001,
7.151000000000000E+008,-3.007666766643524E-002,2.537440881133080E-002,-5.593818426132202E-001,-8.059531450271606E-001,-3.007666766643524E-002,2.537440881133080E-002,-5.593818426132202E-001,-8.059531450271606E-001,
7.234666666666666E+008,-3.445683792233467E-002,1.973952353000641E-002,-5.761551856994629E-001,-7.850646376609802E-001,-3.445683792233467E-002,1.973952353000641E-002,-5.761551856994629E-001,-7.850646376609802E-001,
7.318333333333334E+008,-4.132161289453507E-002,1.613163948059082E-002,-6.033298373222351E-001,-7.902579903602600E-001,-4.132161289453507E-002,1.613163948059082E-002,-6.033298373222351E-001,-7.902579903602600E-001,
7.402000000000000E+008,-4.957591369748116E-002,1.900230161845684E-002,-6.331071853637695E-001,-7.661184072494507E-001,-4.957591369748116E-002,1.900230161845684E-002,-6.331071853637695E-001,-7.661184072494507E-001,
7.485666666666666E+008,-5.482480674982071E-002,2.476640976965427E-002,-6.412943005561829E-001,-7.496021389961243E-001,-5.482480674982071E-002,2.476640976965427E-002,-6.412943005561829E-001,-7.496021389961243E-001,
7.569333333333334E+008,-5.713298171758652E-002,3.401212021708489E-002,-6.613466739654541E-001,-7.403021454811096E-001,-5.713298171758652E-002,3.401212021708489E-002,-6.613466739654541E-001,-7.403021454811096E-001,
7.653000000000000E+008,-5.210635066032410E-002,4.212172701954842E-002,-6.871832013130188E-001,-7.176227569580078E-001,-5.210635066032410E-002,4.212172701954842E-002,-6.871832013130188E-001,-7.176227569580078E-001,
7.736666666666666E+008,-4.698397964239121E-002,5.129088461399078E-002,-7.038784027099609E-001,-6.910633444786072E-001,-4.698397964239121E-002,5.129088461399078E-002,-7.038784027099609E-001,-6.910633444786072E-001,
7.820333333333334E+008,-3.710885345935822E-002,5.302410945296288E-002,-7.193193435668945E-001,-6.928442716598511E-001,-3.710885345935822E-002,5.302410945296288E-002,-7.193193435668945E-001,-6.928442716598511E-001,
7.904000000000000E+008,-2.953932806849480E-002,5.022106692194939E-002,-7.396833896636963E-001,-6.729543209075928E-001,-2.953932806849480E-002,5.022106692194939E-002,-7.396833896636963E-001,-6.729543209075928E-001,
7.987666666666666E+008,-2.361786365509033E-002,4.664374887943268E-002,-7.512234449386597E-001,-6.433884501457214E-001,-2.361786365509033E-002,4.664374887943268E-002,-7.512234449386597E-001,-6.433884501457214E-001,
8.071333333333334E+008,-2.191997133195400E-002,4.105274379253388E-002,-7.747662663459778E-001,-6.343328356742859E-001,-2.191997133195400E-002,4.105274379253388E-002,-7.747662663459778E-001,-6.343328356742859E-001,
