% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.156743362545967E-002,3.463880345225334E-002,-5.020629167556763E-001,-8.591637015342712E-001,-4.156743362545967E-002,3.463880345225334E-002,-5.020629167556763E-001,-8.591637015342712E-001,
6.983666666666666E+008,-3.406947106122971E-002,3.315997123718262E-002,-5.218800306320190E-001,-8.348298072814941E-001,-3.406947106122971E-002,3.315997123718262E-002,-5.218800306320190E-001,-8.348298072814941E-001,
7.067333333333334E+008,-2.831364795565605E-002,2.874932065606117E-002,-5.142635107040405E-001,-8.178951144218445E-001,-2.831364795565605E-002,2.874932065606117E-002,-5.142635107040405E-001,-8.178951144218445E-001,
7.151000000000000E+008,-2.541807852685452E-002,2.196679450571537E-002,-5.566256642341614E-001,-8.071047067642212E-001,-2.541807852685452E-002,2.196679450571537E-002,-5.566256642341614E-001,-8.071047067642212E-001,
7.234666666666666E+008,-2.904265932738781E-002,1.589529216289520E-002,-5.731931924819946E-001,-7.862180471420288E-001,-2.904265932738781E-002,1.589529216289520E-002,-5.731931924819946E-001,-7.862180471420288E-001,
7.318333333333334E+008,-3.532264381647110E-002,1.205122657120228E-002,-6.006779074668884E-001,-7.927519679069519E-001,-3.532264381647110E-002,1.205122657120228E-002,-6.006779074668884E-001,-7.927519679069519E-001,
7.402000000000000E+008,-4.312315955758095E-002,1.494174823164940E-002,-6.304773092269898E-001,-7.677953243255615E-001,-4.312315955758095E-002,1.494174823164940E-002,-6.304773092269898E-001,-7.677953243255615E-001,
7.485666666666666E+008,-4.831648245453835E-002,2.103934995830059E-002,-6.387112736701965E-001,-7.510548233985901E-001,-4.831648245453835E-002,2.103934995830059E-002,-6.387112736701965E-001,-7.510548233985901E-001,
7.569333333333334E+008,-5.078028142452240E-002,3.055381402373314E-002,-6.586295366287231E-001,-7.424249053001404E-001,-5.078028142452240E-002,3.055381402373314E-002,-6.586295366287231E-001,-7.424249053001404E-001,
7.653000000000000E+008,-4.646623879671097E-002,3.903904557228088E-002,-6.848992705345154E-001,-7.194249033927918E-001,-4.646623879671097E-002,3.903904557228088E-002,-6.848992705345154E-001,-7.194249033927918E-001,
