% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.182130098342896E-002,3.619946539402008E-002,-5.012681484222412E-001,-8.612747192382813E-001,-4.182130098342896E-002,3.619946539402008E-002,-5.012681484222412E-001,-8.612747192382813E-001,
6.983666666666666E+008,-3.385270014405251E-002,3.537320345640183E-002,-5.218116044998169E-001,-8.365495800971985E-001,-3.385270014405251E-002,3.537320345640183E-002,-5.218116044998169E-001,-8.365495800971985E-001,
7.067333333333334E+008,-2.782259136438370E-002,3.162763267755508E-002,-5.136544704437256E-001,-8.200778961181641E-001,-2.782259136438370E-002,3.162763267755508E-002,-5.136544704437256E-001,-8.200778961181641E-001,
7.151000000000000E+008,-2.471340447664261E-002,2.524325065314770E-002,-5.555837750434876E-001,-8.084923028945923E-001,-2.471340447664261E-002,2.524325065314770E-002,-5.555837750434876E-001,-8.084923028945923E-001,
7.234666666666666E+008,-2.849961631000042E-002,1.941008307039738E-002,-5.725859999656677E-001,-7.873857617378235E-001,-2.849961631000042E-002,1.941008307039738E-002,-5.725859999656677E-001,-7.873857617378235E-001,
7.318333333333334E+008,-3.508442640304565E-002,1.544524636119604E-002,-5.999419689178467E-001,-7.937211394309998E-001,-3.508442640304565E-002,1.544524636119604E-002,-5.999419689178467E-001,-7.937211394309998E-001,
7.402000000000000E+008,-4.336503893136978E-002,1.792294159531593E-002,-6.292966604232788E-001,-7.694047093391419E-001,-4.336503893136978E-002,1.792294159531593E-002,-6.292966604232788E-001,-7.694047093391419E-001,
7.485666666666666E+008,-4.904831573367119E-002,2.342773042619228E-002,-6.380909681320190E-001,-7.530136108398438E-001,-4.904831573367119E-002,2.342773042619228E-002,-6.380909681320190E-001,-7.530136108398438E-001,
7.569333333333334E+008,-5.179931968450546E-002,3.248912841081619E-002,-6.579522490501404E-001,-7.437270879745483E-001,-5.179931968450546E-002,3.248912841081619E-002,-6.579522490501404E-001,-7.437270879745483E-001,
7.653000000000000E+008,-4.737445712089539E-002,4.060364514589310E-002,-6.832598447799683E-001,-7.213929295539856E-001,-4.737445712089539E-002,4.060364514589310E-002,-6.832598447799683E-001,-7.213929295539856E-001,
