% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-3.691352531313896E-002,3.312717378139496E-002,-4.974657893180847E-001,-8.628382682800293E-001,-3.691352531313896E-002,3.312717378139496E-002,-4.974657893180847E-001,-8.628382682800293E-001,
6.983666666666666E+008,-2.929635904729366E-002,3.147516399621964E-002,-5.171659588813782E-001,-8.378256559371948E-001,-2.929635904729366E-002,3.147516399621964E-002,-5.171659588813782E-001,-8.378256559371948E-001,
7.067333333333334E+008,-2.345806919038296E-002,2.739168144762516E-002,-5.098059177398682E-001,-8.229909539222717E-001,-2.345806919038296E-002,2.739168144762516E-002,-5.098059177398682E-001,-8.229909539222717E-001,
7.151000000000000E+008,-2.056486532092094E-002,2.049415372312069E-002,-5.518824458122253E-001,-8.119851350784302E-001,-2.056486532092094E-002,2.049415372312069E-002,-5.518824458122253E-001,-8.119851350784302E-001,
7.234666666666666E+008,-2.440462447702885E-002,1.474729180335999E-002,-5.688567161560059E-001,-7.901878356933594E-001,-2.440462447702885E-002,1.474729180335999E-002,-5.688567161560059E-001,-7.901878356933594E-001,
7.318333333333334E+008,-3.073454089462757E-002,1.096916012465954E-002,-5.968368649482727E-001,-7.962784767150879E-001,-3.073454089462757E-002,1.096916012465954E-002,-5.968368649482727E-001,-7.962784767150879E-001,
7.402000000000000E+008,-3.848272189497948E-002,1.344312448054552E-002,-6.267782449722290E-001,-7.708485722541809E-001,-3.848272189497948E-002,1.344312448054552E-002,-6.267782449722290E-001,-7.708485722541809E-001,
7.485666666666666E+008,-4.411331936717033E-002,1.935025677084923E-002,-6.348146796226502E-001,-7.555623054504395E-001,-4.411331936717033E-002,1.935025677084923E-002,-6.348146796226502E-001,-7.555623054504395E-001,
7.569333333333334E+008,-4.639220982789993E-002,2.854522131383419E-002,-6.534167528152466E-001,-7.468929886817932E-001,-4.639220982789993E-002,2.854522131383419E-002,-6.534167528152466E-001,-7.468929886817932E-001,
7.653000000000000E+008,-4.211502894759178E-002,3.655893355607987E-002,-6.786975264549255E-001,-7.255508303642273E-001,-4.211502894759178E-002,3.655893355607987E-002,-6.786975264549255E-001,-7.255508303642273E-001,
7.736666666666666E+008,-3.763910755515099E-002,4.580953717231751E-002,-6.963950395584106E-001,-6.988608837127686E-001,-3.763910755515099E-002,4.580953717231751E-002,-6.963950395584106E-001,-6.988608837127686E-001,
7.820333333333334E+008,-2.831396088004112E-002,4.754795134067535E-002,-7.123330831527710E-001,-6.998561620712280E-001,-2.831396088004112E-002,4.754795134067535E-002,-7.123330831527710E-001,-6.998561620712280E-001,
7.904000000000000E+008,-2.111965231597424E-002,4.448683559894562E-002,-7.335031032562256E-001,-6.802793145179749E-001,-2.111965231597424E-002,4.448683559894562E-002,-7.335031032562256E-001,-6.802793145179749E-001,
7.987666666666666E+008,-1.519865728914738E-002,4.062966629862785E-002,-7.456855177879334E-001,-6.489208340644836E-001,-1.519865728914738E-002,4.062966629862785E-002,-7.456855177879334E-001,-6.489208340644836E-001,
8.071333333333334E+008,-1.295647583901882E-002,3.459491208195686E-002,-7.692547440528870E-001,-6.429457664489746E-001,-1.295647583901882E-002,3.459491208195686E-002,-7.692547440528870E-001,-6.429457664489746E-001,
8.155000000000000E+008,-1.661757007241249E-002,2.896614372730255E-002,-7.751542925834656E-001,-6.192069053649902E-001,-1.661757007241249E-002,2.896614372730255E-002,-7.751542925834656E-001,-6.192069053649902E-001,
8.238666666666666E+008,-2.173254638910294E-002,2.527505159378052E-002,-7.916077971458435E-001,-6.038440465927124E-001,-2.173254638910294E-002,2.527505159378052E-002,-7.916077971458435E-001,-6.038440465927124E-001,
