% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-3.915014863014221E-002,3.137951716780663E-002,-4.988665580749512E-001,-8.626312613487244E-001,-3.915014863014221E-002,3.137951716780663E-002,-4.988665580749512E-001,-8.626312613487244E-001,
6.983666666666666E+008,-3.173581510782242E-002,2.988092042505741E-002,-5.178195834159851E-001,-8.390486240386963E-001,-3.173581510782242E-002,2.988092042505741E-002,-5.178195834159851E-001,-8.390486240386963E-001,
7.067333333333334E+008,-2.607905492186546E-002,2.553083747625351E-002,-5.106607079505920E-001,-8.223608732223511E-001,-2.607905492186546E-002,2.553083747625351E-002,-5.106607079505920E-001,-8.223608732223511E-001,
7.151000000000000E+008,-2.333314716815949E-002,1.873904652893543E-002,-5.522689819335938E-001,-8.117086291313171E-001,-2.333314716815949E-002,1.873904652893543E-002,-5.522689819335938E-001,-8.117086291313171E-001,
7.234666666666666E+008,-2.739173732697964E-002,1.265260856598616E-002,-5.711148977279663E-001,-7.898939847946167E-001,-2.739173732697964E-002,1.265260856598616E-002,-5.711148977279663E-001,-7.898939847946167E-001,
7.318333333333334E+008,-3.367722779512405E-002,8.451086468994618E-003,-5.963940024375916E-001,-7.973524332046509E-001,-3.367722779512405E-002,8.451086468994618E-003,-5.963940024375916E-001,-7.973524332046509E-001,
7.402000000000000E+008,-4.178129136562347E-002,1.134330127388239E-002,-6.279432177543640E-001,-7.723310589790344E-001,-4.178129136562347E-002,1.134330127388239E-002,-6.279432177543640E-001,-7.723310589790344E-001,
7.485666666666666E+008,-4.706205427646637E-002,1.703632809221745E-002,-6.345430612564087E-001,-7.578163743019104E-001,-4.706205427646637E-002,1.703632809221745E-002,-6.345430612564087E-001,-7.578163743019104E-001,
7.569333333333334E+008,-4.968793317675591E-002,2.640473656356335E-002,-6.545508503913879E-001,-7.470152974128723E-001,-4.968793317675591E-002,2.640473656356335E-002,-6.545508503913879E-001,-7.470152974128723E-001,
7.653000000000000E+008,-4.554495960474014E-002,3.452306613326073E-002,-6.796931028366089E-001,-7.264341711997986E-001,-4.554495960474014E-002,3.452306613326073E-002,-6.796931028366089E-001,-7.264341711997986E-001,
7.736666666666666E+008,-4.087508469820023E-002,4.386057704687119E-002,-6.986682415008545E-001,-6.970434784889221E-001,-4.087508469820023E-002,4.386057704687119E-002,-6.986682415008545E-001,-6.970434784889221E-001,
