% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.291816055774689E-002,3.657359629869461E-002,-5.030796527862549E-001,-8.585851788520813E-001,-4.291816055774689E-002,3.657359629869461E-002,-5.030796527862549E-001,-8.585851788520813E-001,
6.983666666666666E+008,-3.527627512812614E-002,3.526782989501953E-002,-5.233995318412781E-001,-8.340471982955933E-001,-3.527627512812614E-002,3.526782989501953E-002,-5.233995318412781E-001,-8.340471982955933E-001,
7.067333333333334E+008,-2.991803176701069E-002,3.141530603170395E-002,-5.160643458366394E-001,-8.171928524971008E-001,-2.991803176701069E-002,3.141530603170395E-002,-5.160643458366394E-001,-8.171928524971008E-001,
7.151000000000000E+008,-2.744478359818459E-002,2.509737759828568E-002,-5.583990216255188E-001,-8.063181042671204E-001,-2.744478359818459E-002,2.509737759828568E-002,-5.583990216255188E-001,-8.063181042671204E-001,
7.234666666666666E+008,-3.192521259188652E-002,1.957728713750839E-002,-5.745573639869690E-001,-7.851421236991882E-001,-3.192521259188652E-002,1.957728713750839E-002,-5.745573639869690E-001,-7.851421236991882E-001,
7.318333333333334E+008,-3.888717293739319E-002,1.595281437039375E-002,-6.027018427848816E-001,-7.906340360641480E-001,-3.888717293739319E-002,1.595281437039375E-002,-6.027018427848816E-001,-7.906340360641480E-001,
7.402000000000000E+008,-4.725321754813194E-002,1.887127757072449E-002,-6.323378682136536E-001,-7.667750120162964E-001,-4.725321754813194E-002,1.887127757072449E-002,-6.323378682136536E-001,-7.667750120162964E-001,
7.485666666666666E+008,-5.255139619112015E-002,2.468291111290455E-002,-6.403730511665344E-001,-7.502441406250000E-001,-5.255139619112015E-002,2.468291111290455E-002,-6.403730511665344E-001,-7.502441406250000E-001,
7.569333333333334E+008,-5.465316027402878E-002,3.385179489850998E-002,-6.593698263168335E-001,-7.410638332366943E-001,-5.465316027402878E-002,3.385179489850998E-002,-6.593698263168335E-001,-7.410638332366943E-001,
7.653000000000000E+008,-4.964615404605866E-002,4.171060770750046E-002,-6.857795119285584E-001,-7.190737724304199E-001,-4.964615404605866E-002,4.171060770750046E-002,-6.857795119285584E-001,-7.190737724304199E-001,
7.736666666666666E+008,-4.432846233248711E-002,5.063926801085472E-002,-7.029065489768982E-001,-6.915270090103149E-001,-4.432846233248711E-002,5.063926801085472E-002,-7.029065489768982E-001,-6.915270090103149E-001,
7.820333333333334E+008,-3.442089259624481E-002,5.214326456189156E-002,-7.179625630378723E-001,-6.941418647766113E-001,-3.442089259624481E-002,5.214326456189156E-002,-7.179625630378723E-001,-6.941418647766113E-001,
7.904000000000000E+008,-2.674034237861633E-002,4.919097200036049E-002,-7.384672164916992E-001,-6.736232638359070E-001,-2.674034237861633E-002,4.919097200036049E-002,-7.384672164916992E-001,-6.736232638359070E-001,
7.987666666666666E+008,-2.073631249368191E-002,4.558636993169785E-002,-7.500255107879639E-001,-6.435113549232483E-001,-2.073631249368191E-002,4.558636993169785E-002,-7.500255107879639E-001,-6.435113549232483E-001,
8.071333333333334E+008,-1.903849281370640E-002,4.008646681904793E-002,-7.741333246231079E-001,-6.353009939193726E-001,-1.903849281370640E-002,4.008646681904793E-002,-7.741333246231079E-001,-6.353009939193726E-001,
8.155000000000000E+008,-2.333448827266693E-002,3.517830744385719E-002,-7.805419564247131E-001,-6.121503114700317E-001,-2.333448827266693E-002,3.517830744385719E-002,-7.805419564247131E-001,-6.121503114700317E-001,
8.238666666666666E+008,-2.889117784798145E-002,3.214773535728455E-002,-7.971289157867432E-001,-5.970656871795654E-001,-2.889117784798145E-002,3.214773535728455E-002,-7.971289157867432E-001,-5.970656871795654E-001,
8.322333333333334E+008,-3.523729741573334E-002,3.375801816582680E-002,-8.055671453475952E-001,-5.659577250480652E-001,-3.523729741573334E-002,3.375801816582680E-002,-8.055671453475952E-001,-5.659577250480652E-001,
8.406000000000000E+008,-3.971275314688683E-002,3.707186877727509E-002,-8.350106477737427E-001,-5.410856008529663E-001,-3.971275314688683E-002,3.707186877727509E-002,-8.350106477737427E-001,-5.410856008529663E-001,
8.489666666666668E+008,-4.165067896246910E-002,4.671941325068474E-002,-8.388941884040833E-001,-5.309094786643982E-001,-4.165067896246910E-002,4.671941325068474E-002,-8.388941884040833E-001,-5.309094786643982E-001,
8.573333333333334E+008,-4.061762243509293E-002,5.543635413050652E-002,-8.512386083602905E-001,-4.839317798614502E-001,-4.061762243509293E-002,5.543635413050652E-002,-8.512386083602905E-001,-4.839317798614502E-001,
8.657000000000000E+008,-3.555670380592346E-002,6.098035350441933E-002,-8.650544881820679E-001,-4.714660644531250E-001,-3.555670380592346E-002,6.098035350441933E-002,-8.650544881820679E-001,-4.714660644531250E-001,
8.740666666666668E+008,-2.673047780990601E-002,6.468252837657929E-002,-8.745331168174744E-001,-4.604847431182861E-001,-2.673047780990601E-002,6.468252837657929E-002,-8.745331168174744E-001,-4.604847431182861E-001,
8.824333333333334E+008,-1.739218086004257E-002,6.566531211137772E-002,-8.804872632026672E-001,-4.370783865451813E-001,-1.739218086004257E-002,6.566531211137772E-002,-8.804872632026672E-001,-4.370783865451813E-001,
8.908000000000000E+008,-9.413136169314385E-003,6.234300509095192E-002,-8.982028961181641E-001,-4.222113192081451E-001,-9.413136169314385E-003,6.234300509095192E-002,-8.982028961181641E-001,-4.222113192081451E-001,
8.991666666666668E+008,-3.280634526163340E-003,5.634202063083649E-002,-8.972510099411011E-001,-3.887297511100769E-001,-3.280634526163340E-003,5.634202063083649E-002,-8.972510099411011E-001,-3.887297511100769E-001,
9.075333333333334E+008,-5.185360554605722E-003,5.155131965875626E-002,-9.200452566146851E-001,-3.733529746532440E-001,-5.185360554605722E-003,5.155131965875626E-002,-9.200452566146851E-001,-3.733529746532440E-001,
9.159000000000000E+008,-8.811497129499912E-003,4.607929289340973E-002,-9.248998761177063E-001,-3.465445637702942E-001,-8.811497129499912E-003,4.607929289340973E-002,-9.248998761177063E-001,-3.465445637702942E-001,
9.242666666666668E+008,-1.458058226853609E-002,4.615645855665207E-002,-9.322029948234558E-001,-3.309611976146698E-001,-1.458058226853609E-002,4.615645855665207E-002,-9.322029948234558E-001,-3.309611976146698E-001,
9.326333333333334E+008,-2.153793722391129E-002,4.752739518880844E-002,-9.471487998962402E-001,-3.010454773902893E-001,-2.153793722391129E-002,4.752739518880844E-002,-9.471487998962402E-001,-3.010454773902893E-001,
9.410000000000000E+008,-2.464712783694267E-002,5.325212702155113E-002,-9.515362977981567E-001,-2.755312919616699E-001,-2.464712783694267E-002,5.325212702155113E-002,-9.515362977981567E-001,-2.755312919616699E-001,
9.493666666666668E+008,-2.542387321591377E-002,6.112543493509293E-002,-9.550368785858154E-001,-2.462103366851807E-001,-2.542387321591377E-002,6.112543493509293E-002,-9.550368785858154E-001,-2.462103366851807E-001,
9.577333333333334E+008,-2.129645459353924E-002,6.712874025106430E-002,-9.623865485191345E-001,-2.112138122320175E-001,-2.129645459353924E-002,6.712874025106430E-002,-9.623865485191345E-001,-2.112138122320175E-001,
9.661000000000000E+008,-1.312742661684752E-002,7.499583810567856E-002,-9.652550220489502E-001,-1.896082162857056E-001,-1.312742661684752E-002,7.499583810567856E-002,-9.652550220489502E-001,-1.896082162857056E-001,
9.744666666666668E+008,-5.050265695899725E-003,7.837101817131043E-002,-9.749720096588135E-001,-1.784901469945908E-001,-5.050265695899725E-003,7.837101817131043E-002,-9.749720096588135E-001,-1.784901469945908E-001,
9.828333333333334E+008,7.561137899756432E-003,7.626437395811081E-002,-9.784752726554871E-001,-1.453565061092377E-001,7.561137899756432E-003,7.626437395811081E-002,-9.784752726554871E-001,-1.453565061092377E-001,
9.912000000000000E+008,1.681210473179817E-002,7.198201119899750E-002,-9.740498065948486E-001,-1.370361596345902E-001,1.681210473179817E-002,7.198201119899750E-002,-9.740498065948486E-001,-1.370361596345902E-001,
9.995666666666668E+008,2.023683674633503E-002,6.330138444900513E-002,-1.002552270889282E+000,-1.010641381144524E-001,2.023683674633503E-002,6.330138444900513E-002,-1.002552270889282E+000,-1.010641381144524E-001,
1.007933333333333E+009,2.021447382867336E-002,5.497772619128227E-002,-9.842269420623779E-001,-8.571759611368179E-002,2.021447382867336E-002,5.497772619128227E-002,-9.842269420623779E-001,-8.571759611368179E-002,
1.016300000000000E+009,1.757774502038956E-002,4.798324406147003E-002,-9.878172874450684E-001,-5.711362138390541E-002,1.757774502038956E-002,4.798324406147003E-002,-9.878172874450684E-001,-5.711362138390541E-002,
