% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.270450770854950E-002,3.746196627616882E-002,-5.024925470352173E-001,-8.583225011825562E-001,-4.270450770854950E-002,3.746196627616882E-002,-5.024925470352173E-001,-8.583225011825562E-001,
6.983666666666666E+008,-3.490087389945984E-002,3.634096682071686E-002,-5.230049490928650E-001,-8.331945538520813E-001,-3.490087389945984E-002,3.634096682071686E-002,-5.230049490928650E-001,-8.331945538520813E-001,
7.067333333333334E+008,-2.941046096384525E-002,3.243862465023994E-002,-5.151550173759460E-001,-8.177734613418579E-001,-2.941046096384525E-002,3.243862465023994E-002,-5.151550173759460E-001,-8.177734613418579E-001,
7.151000000000000E+008,-2.661318331956863E-002,2.598835714161396E-002,-5.582833886146545E-001,-8.058590292930603E-001,-2.661318331956863E-002,2.598835714161396E-002,-5.582833886146545E-001,-8.058590292930603E-001,
7.234666666666666E+008,-3.079307079315186E-002,2.040887065231800E-002,-5.743073821067810E-001,-7.856550216674805E-001,-3.079307079315186E-002,2.040887065231800E-002,-5.743073821067810E-001,-7.856550216674805E-001,
7.318333333333334E+008,-3.764161095023155E-002,1.691830530762672E-002,-6.012490987777710E-001,-7.922797799110413E-001,-3.764161095023155E-002,1.691830530762672E-002,-6.012490987777710E-001,-7.922797799110413E-001,
7.402000000000000E+008,-4.590840637683868E-002,1.989913731813431E-002,-6.312670111656189E-001,-7.678486704826355E-001,-4.590840637683868E-002,1.989913731813431E-002,-6.312670111656189E-001,-7.678486704826355E-001,
7.485666666666666E+008,-5.101201683282852E-002,2.570687048137188E-002,-6.397629976272583E-001,-7.503175139427185E-001,-5.101201683282852E-002,2.570687048137188E-002,-6.397629976272583E-001,-7.503175139427185E-001,
7.569333333333334E+008,-5.336998403072357E-002,3.516087308526039E-002,-6.599280834197998E-001,-7.401413321495056E-001,-5.336998403072357E-002,3.516087308526039E-002,-6.599280834197998E-001,-7.401413321495056E-001,
7.653000000000000E+008,-4.843661561608315E-002,4.315513744950295E-002,-6.853637695312500E-001,-7.181984186172485E-001,-4.843661561608315E-002,4.315513744950295E-002,-6.853637695312500E-001,-7.181984186172485E-001,
7.736666666666666E+008,-4.345145076513290E-002,5.230064690113068E-002,-7.026984691619873E-001,-6.921061277389526E-001,-4.345145076513290E-002,5.230064690113068E-002,-7.026984691619873E-001,-6.921061277389526E-001,
7.820333333333334E+008,-3.359735757112503E-002,5.395818129181862E-002,-7.183240056037903E-001,-6.941373944282532E-001,-3.359735757112503E-002,5.395818129181862E-002,-7.183240056037903E-001,-6.941373944282532E-001,
7.904000000000000E+008,-2.611898072063923E-002,5.089327692985535E-002,-7.379223108291626E-001,-6.738524436950684E-001,-2.611898072063923E-002,5.089327692985535E-002,-7.379223108291626E-001,-6.738524436950684E-001,
7.987666666666666E+008,-1.982524432241917E-002,4.746019467711449E-002,-7.503623962402344E-001,-6.462496519088745E-001,-1.982524432241917E-002,4.746019467711449E-002,-7.503623962402344E-001,-6.462496519088745E-001,
8.071333333333334E+008,-1.787592470645905E-002,4.145677015185356E-002,-7.729560136795044E-001,-6.353591084480286E-001,-1.787592470645905E-002,4.145677015185356E-002,-7.729560136795044E-001,-6.353591084480286E-001,
8.155000000000000E+008,-2.193307131528854E-002,3.658618777990341E-002,-7.809885144233704E-001,-6.122552752494812E-001,-2.193307131528854E-002,3.658618777990341E-002,-7.809885144233704E-001,-6.122552752494812E-001,
8.238666666666666E+008,-2.714885398745537E-002,3.340444713830948E-002,-7.975467443466187E-001,-5.958964228630066E-001,-2.714885398745537E-002,3.340444713830948E-002,-7.975467443466187E-001,-5.958964228630066E-001,
8.322333333333334E+008,-3.322617337107658E-002,3.501895815134049E-002,-8.056615591049194E-001,-5.653816461563110E-001,-3.322617337107658E-002,3.501895815134049E-002,-8.056615591049194E-001,-5.653816461563110E-001,
8.406000000000000E+008,-3.753023967146874E-002,3.833935037255287E-002,-8.337939977645874E-001,-5.407844781875610E-001,-3.753023967146874E-002,3.833935037255287E-002,-8.337939977645874E-001,-5.407844781875610E-001,
8.489666666666668E+008,-3.938709944486618E-002,4.819810390472412E-002,-8.386106491088867E-001,-5.313742160797119E-001,-3.938709944486618E-002,4.819810390472412E-002,-8.386106491088867E-001,-5.313742160797119E-001,
8.573333333333334E+008,-3.808575868606567E-002,5.717868730425835E-002,-8.514733910560608E-001,-4.838040769100189E-001,-3.808575868606567E-002,5.717868730425835E-002,-8.514733910560608E-001,-4.838040769100189E-001,
8.657000000000000E+008,-3.291673585772514E-002,6.309437006711960E-002,-8.647664785385132E-001,-4.732027053833008E-001,-3.291673585772514E-002,6.309437006711960E-002,-8.647664785385132E-001,-4.732027053833008E-001,
8.740666666666668E+008,-2.425654605031014E-002,6.683650612831116E-002,-8.739877939224243E-001,-4.597355723381043E-001,-2.425654605031014E-002,6.683650612831116E-002,-8.739877939224243E-001,-4.597355723381043E-001,
8.824333333333334E+008,-1.474009919911623E-002,6.787993758916855E-002,-8.806678056716919E-001,-4.368713200092316E-001,-1.474009919911623E-002,6.787993758916855E-002,-8.806678056716919E-001,-4.368713200092316E-001,
8.908000000000000E+008,-6.966523826122284E-003,6.451638787984848E-002,-8.982431292533875E-001,-4.223367571830750E-001,-6.966523826122284E-003,6.451638787984848E-002,-8.982431292533875E-001,-4.223367571830750E-001,
8.991666666666668E+008,-5.552637740038335E-004,5.826603993773460E-002,-8.969874978065491E-001,-3.886279463768005E-001,-5.552637740038335E-004,5.826603993773460E-002,-8.969874978065491E-001,-3.886279463768005E-001,
9.075333333333334E+008,-2.672905800864101E-003,5.334491282701492E-002,-9.206392765045166E-001,-3.742807805538178E-001,-2.672905800864101E-003,5.334491282701492E-002,-9.206392765045166E-001,-3.742807805538178E-001,
9.159000000000000E+008,-5.984053015708923E-003,4.740737751126289E-002,-9.251707196235657E-001,-3.460582792758942E-001,-5.984053015708923E-003,4.740737751126289E-002,-9.251707196235657E-001,-3.460582792758942E-001,
9.242666666666668E+008,-1.145351491868496E-002,4.729749262332916E-002,-9.315066933631897E-001,-3.310846090316773E-001,-1.145351491868496E-002,4.729749262332916E-002,-9.315066933631897E-001,-3.310846090316773E-001,
9.326333333333334E+008,-1.814419031143189E-002,4.854273423552513E-002,-9.464679956436157E-001,-3.009135723114014E-001,-1.814419031143189E-002,4.854273423552513E-002,-9.464679956436157E-001,-3.009135723114014E-001,
9.410000000000000E+008,-2.111035399138928E-002,5.435956642031670E-002,-9.513102173805237E-001,-2.751646637916565E-001,-2.111035399138928E-002,5.435956642031670E-002,-9.513102173805237E-001,-2.751646637916565E-001,
9.493666666666668E+008,-2.153506688773632E-002,6.249460950493813E-002,-9.553158283233643E-001,-2.463899254798889E-001,-2.153506688773632E-002,6.249460950493813E-002,-9.553158283233643E-001,-2.463899254798889E-001,
9.577333333333334E+008,-1.752402260899544E-002,6.881099194288254E-002,-9.615504145622253E-001,-2.111230641603470E-001,-1.752402260899544E-002,6.881099194288254E-002,-9.615504145622253E-001,-2.111230641603470E-001,
9.661000000000000E+008,-8.934107609093189E-003,7.685749977827072E-002,-9.661343693733215E-001,-1.897670328617096E-001,-8.934107609093189E-003,7.685749977827072E-002,-9.661343693733215E-001,-1.897670328617096E-001,
9.744666666666668E+008,-7.045122911222279E-004,8.038527518510819E-002,-9.750311970710754E-001,-1.785417199134827E-001,-7.045122911222279E-004,8.038527518510819E-002,-9.750311970710754E-001,-1.785417199134827E-001,
9.828333333333334E+008,1.171934045851231E-002,7.831151038408279E-002,-9.781189560890198E-001,-1.451977044343948E-001,1.171934045851231E-002,7.831151038408279E-002,-9.781189560890198E-001,-1.451977044343948E-001,
9.912000000000000E+008,2.128367871046066E-002,7.394505292177200E-002,-9.739996194839478E-001,-1.368488967418671E-001,2.128367871046066E-002,7.394505292177200E-002,-9.739996194839478E-001,-1.368488967418671E-001,
9.995666666666668E+008,2.461079135537148E-002,6.496068090200424E-002,-1.002593517303467E+000,-1.013564169406891E-001,2.461079135537148E-002,6.496068090200424E-002,-1.002593517303467E+000,-1.013564169406891E-001,
1.007933333333333E+009,2.474079467356205E-002,5.637351796030998E-002,-9.851191043853760E-001,-8.451127260923386E-002,2.474079467356205E-002,5.637351796030998E-002,-9.851191043853760E-001,-8.451127260923386E-002,
1.016300000000000E+009,2.229545079171658E-002,4.886314272880554E-002,-9.874290227890015E-001,-5.759014189243317E-002,2.229545079171658E-002,4.886314272880554E-002,-9.874290227890015E-001,-5.759014189243317E-002,
1.024666666666667E+009,1.470515690743923E-002,4.786117002367973E-002,-9.904062747955322E-001,-2.245781756937504E-002,1.470515690743923E-002,4.786117002367973E-002,-9.904062747955322E-001,-2.245781756937504E-002,
1.033033333333333E+009,7.664761506021023E-003,5.053638666868210E-002,-9.992457032203674E-001,-2.372716367244721E-002,7.664761506021023E-003,5.053638666868210E-002,-9.992457032203674E-001,-2.372716367244721E-002,
1.041400000000000E+009,1.169166527688503E-003,5.575492233037949E-002,-9.801693558692932E-001,3.256557881832123E-002,1.169166527688503E-003,5.575492233037949E-002,-9.801693558692932E-001,3.256557881832123E-002,
1.049766666666667E+009,2.839167136698961E-003,6.475138664245606E-002,-9.894791841506958E-001,5.353683233261108E-002,2.839167136698961E-003,6.475138664245606E-002,-9.894791841506958E-001,5.353683233261108E-002,
