% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-1.500136405229569E-002,1.715016737580299E-002,-4.758880734443665E-001,-8.790520429611206E-001,-1.500136405229569E-002,1.715016737580299E-002,-4.758880734443665E-001,-8.790520429611206E-001,
6.983666666666666E+008,-7.553453557193279E-003,1.507681142538786E-002,-4.968533813953400E-001,-8.543892502784729E-001,-7.553453557193279E-003,1.507681142538786E-002,-4.968533813953400E-001,-8.543892502784729E-001,
7.067333333333334E+008,-2.026178175583482E-003,1.047869026660919E-002,-4.892112016677856E-001,-8.373809456825256E-001,-2.026178175583482E-003,1.047869026660919E-002,-4.892112016677856E-001,-8.373809456825256E-001,
7.151000000000000E+008,5.166467963135801E-005,3.337618662044406E-003,-5.308917760848999E-001,-8.276783227920532E-001,5.166467963135801E-005,3.337618662044406E-003,-5.308917760848999E-001,-8.276783227920532E-001,
7.234666666666666E+008,-3.849388333037496E-003,-3.262420650571585E-003,-5.480043292045593E-001,-8.075386285781860E-001,-3.849388333037496E-003,-3.262420650571585E-003,-5.480043292045593E-001,-8.075386285781860E-001,
7.318333333333334E+008,-1.074128597974777E-002,-8.128182962536812E-003,-5.749929547309876E-001,-8.153857588768005E-001,-1.074128597974777E-002,-8.128182962536812E-003,-5.749929547309876E-001,-8.153857588768005E-001,
7.402000000000000E+008,-1.905421353876591E-002,-6.679882295429707E-003,-6.055132150650024E-001,-7.921494841575623E-001,-1.905421353876591E-002,-6.679882295429707E-003,-6.055132150650024E-001,-7.921494841575623E-001,
7.485666666666666E+008,-2.493996731936932E-002,-1.908220117911696E-003,-6.149765849113464E-001,-7.764149904251099E-001,-2.493996731936932E-002,-1.908220117911696E-003,-6.149765849113464E-001,-7.764149904251099E-001,
7.569333333333334E+008,-2.763014473021030E-002,6.001941859722138E-003,-6.351175308227539E-001,-7.684909701347351E-001,-2.763014473021030E-002,6.001941859722138E-003,-6.351175308227539E-001,-7.684909701347351E-001,
7.653000000000000E+008,-2.410638146102428E-002,1.333204098045826E-002,-6.607850790023804E-001,-7.466548085212708E-001,-2.410638146102428E-002,1.333204098045826E-002,-6.607850790023804E-001,-7.466548085212708E-001,
7.736666666666666E+008,-1.905603148043156E-002,2.150600217282772E-002,-6.786860227584839E-001,-7.205896973609924E-001,-1.905603148043156E-002,2.150600217282772E-002,-6.786860227584839E-001,-7.205896973609924E-001,
7.820333333333334E+008,-9.916828013956547E-003,2.273692376911640E-002,-6.942944526672363E-001,-7.228761315345764E-001,-9.916828013956547E-003,2.273692376911640E-002,-6.942944526672363E-001,-7.228761315345764E-001,
