% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.112987756729126E-002,4.040626809000969E-002,-5.109407305717468E-001,-8.546889424324036E-001,-5.112987756729126E-002,4.040626809000969E-002,-5.109407305717468E-001,-8.546889424324036E-001,
6.983666666666666E+008,-4.347657784819603E-002,3.937914595007896E-002,-5.304116606712341E-001,-8.294123411178589E-001,-4.347657784819603E-002,3.937914595007896E-002,-5.304116606712341E-001,-8.294123411178589E-001,
7.067333333333334E+008,-3.810644522309303E-002,3.551920503377914E-002,-5.231479406356812E-001,-8.127076625823975E-001,-3.810644522309303E-002,3.551920503377914E-002,-5.231479406356812E-001,-8.127076625823975E-001,
7.151000000000000E+008,-3.567979112267494E-002,2.941171266138554E-002,-5.658591389656067E-001,-8.012007474899292E-001,-3.567979112267494E-002,2.941171266138554E-002,-5.658591389656067E-001,-8.012007474899292E-001,
7.234666666666666E+008,-4.021946713328362E-002,2.418141625821590E-002,-5.814498662948608E-001,-7.801698446273804E-001,-4.021946713328362E-002,2.418141625821590E-002,-5.814498662948608E-001,-7.801698446273804E-001,
7.318333333333334E+008,-4.721142724156380E-002,2.107093669474125E-002,-6.102638840675354E-001,-7.846629023551941E-001,-4.721142724156380E-002,2.107093669474125E-002,-6.102638840675354E-001,-7.846629023551941E-001,
7.402000000000000E+008,-5.557983741164208E-002,2.440304681658745E-002,-6.391183733940125E-001,-7.601801753044128E-001,-5.557983741164208E-002,2.440304681658745E-002,-6.391183733940125E-001,-7.601801753044128E-001,
7.485666666666666E+008,-6.067527830600739E-002,3.049298375844955E-002,-6.477519273757935E-001,-7.435274720191956E-001,-6.067527830600739E-002,3.049298375844955E-002,-6.477519273757935E-001,-7.435274720191956E-001,
7.569333333333334E+008,-6.277889013290405E-002,4.004394635558128E-002,-6.669668555259705E-001,-7.340420484542847E-001,-6.277889013290405E-002,4.004394635558128E-002,-6.669668555259705E-001,-7.340420484542847E-001,
7.653000000000000E+008,-5.738716945052147E-002,4.824854433536530E-002,-6.930223107337952E-001,-7.115007638931274E-001,-5.738716945052147E-002,4.824854433536530E-002,-6.930223107337952E-001,-7.115007638931274E-001,
7.736666666666666E+008,-5.220910161733627E-002,5.731669440865517E-002,-7.091306447982788E-001,-6.842943429946899E-001,-5.220910161733627E-002,5.731669440865517E-002,-7.091306447982788E-001,-6.842943429946899E-001,
7.820333333333334E+008,-4.221843555569649E-002,5.891157686710358E-002,-7.247784137725830E-001,-6.863826513290405E-001,-4.221843555569649E-002,5.891157686710358E-002,-7.247784137725830E-001,-6.863826513290405E-001,
7.904000000000000E+008,-3.456813842058182E-002,5.592770874500275E-002,-7.449547648429871E-001,-6.654179096221924E-001,-3.456813842058182E-002,5.592770874500275E-002,-7.449547648429871E-001,-6.654179096221924E-001,
7.987666666666666E+008,-2.856161631643772E-002,5.244090408086777E-002,-7.564659118652344E-001,-6.357942223548889E-001,-2.856161631643772E-002,5.244090408086777E-002,-7.564659118652344E-001,-6.357942223548889E-001,
8.071333333333334E+008,-2.675363421440125E-002,4.722063243389130E-002,-7.812906503677368E-001,-6.271842122077942E-001,-2.675363421440125E-002,4.722063243389130E-002,-7.812906503677368E-001,-6.271842122077942E-001,
8.155000000000000E+008,-3.102092444896698E-002,4.264522716403008E-002,-7.872378826141357E-001,-6.036413908004761E-001,-3.102092444896698E-002,4.264522716403008E-002,-7.872378826141357E-001,-6.036413908004761E-001,
8.238666666666666E+008,-3.657893091440201E-002,3.994061797857285E-002,-8.032771348953247E-001,-5.886273384094238E-001,-3.657893091440201E-002,3.994061797857285E-002,-8.032771348953247E-001,-5.886273384094238E-001,
8.322333333333334E+008,-4.280853644013405E-002,4.195050895214081E-002,-8.112789988517761E-001,-5.576180815696716E-001,-4.280853644013405E-002,4.195050895214081E-002,-8.112789988517761E-001,-5.576180815696716E-001,
8.406000000000000E+008,-4.691359400749207E-002,4.562898725271225E-002,-8.403889536857605E-001,-5.308734178543091E-001,-4.691359400749207E-002,4.562898725271225E-002,-8.403889536857605E-001,-5.308734178543091E-001,
8.489666666666668E+008,-4.837351664900780E-002,5.577930063009262E-002,-8.448163866996765E-001,-5.210602879524231E-001,-4.837351664900780E-002,5.577930063009262E-002,-8.448163866996765E-001,-5.210602879524231E-001,
8.573333333333334E+008,-4.722130671143532E-002,6.486681103706360E-002,-8.558714389801025E-001,-4.742369651794434E-001,-4.722130671143532E-002,6.486681103706360E-002,-8.558714389801025E-001,-4.742369651794434E-001,
8.657000000000000E+008,-4.184271022677422E-002,7.076817750930786E-002,-8.706848621368408E-001,-4.618504345417023E-001,-4.184271022677422E-002,7.076817750930786E-002,-8.706848621368408E-001,-4.618504345417023E-001,
8.740666666666668E+008,-3.290431946516037E-002,7.436197996139526E-002,-8.778715133666992E-001,-4.506734907627106E-001,-3.290431946516037E-002,7.436197996139526E-002,-8.778715133666992E-001,-4.506734907627106E-001,
8.824333333333334E+008,-2.327901124954224E-002,7.545384019613266E-002,-8.851694464683533E-001,-4.271937906742096E-001,-2.327901124954224E-002,7.545384019613266E-002,-8.851694464683533E-001,-4.271937906742096E-001,
8.908000000000000E+008,-1.525911130011082E-002,7.219672948122025E-002,-9.026287198066711E-001,-4.115777313709259E-001,-1.525911130011082E-002,7.219672948122025E-002,-9.026287198066711E-001,-4.115777313709259E-001,
8.991666666666668E+008,-8.977731689810753E-003,6.613077223300934E-002,-9.007525444030762E-001,-3.770534396171570E-001,-8.977731689810753E-003,6.613077223300934E-002,-9.007525444030762E-001,-3.770534396171570E-001,
9.075333333333334E+008,-1.100285165011883E-002,6.158353760838509E-002,-9.254934787750244E-001,-3.620793521404266E-001,-1.100285165011883E-002,6.158353760838509E-002,-9.254934787750244E-001,-3.620793521404266E-001,
9.159000000000000E+008,-1.469644811004400E-002,5.631665140390396E-002,-9.286397099494934E-001,-3.353019654750824E-001,-1.469644811004400E-002,5.631665140390396E-002,-9.286397099494934E-001,-3.353019654750824E-001,
9.242666666666668E+008,-2.005411498248577E-002,5.664637312293053E-002,-9.362365603446960E-001,-3.193978071212769E-001,-2.005411498248577E-002,5.664637312293053E-002,-9.362365603446960E-001,-3.193978071212769E-001,
9.326333333333334E+008,-2.675751969218254E-002,5.854565277695656E-002,-9.494583010673523E-001,-2.887841761112213E-001,-2.675751969218254E-002,5.854565277695656E-002,-9.494583010673523E-001,-2.887841761112213E-001,
