% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.463809147477150E-002,4.611091688275337E-002,-5.145527124404907E-001,-8.511369824409485E-001,-5.463809147477150E-002,4.611091688275337E-002,-5.145527124404907E-001,-8.511369824409485E-001,
6.983666666666666E+008,-4.682315140962601E-002,4.525813832879067E-002,-5.352959632873535E-001,-8.263807892799377E-001,-4.682315140962601E-002,4.525813832879067E-002,-5.352959632873535E-001,-8.263807892799377E-001,
7.067333333333334E+008,-4.122871905565262E-002,4.152899608016014E-002,-5.272477865219116E-001,-8.099108338356018E-001,-4.122871905565262E-002,4.152899608016014E-002,-5.272477865219116E-001,-8.099108338356018E-001,
7.151000000000000E+008,-3.822413086891174E-002,3.552516177296639E-002,-5.693964362144470E-001,-7.979129552841187E-001,-3.822413086891174E-002,3.552516177296639E-002,-5.693964362144470E-001,-7.979129552841187E-001,
7.234666666666666E+008,-4.226705431938171E-002,3.037664107978344E-002,-5.856983661651611E-001,-7.768570780754089E-001,-4.226705431938171E-002,3.037664107978344E-002,-5.856983661651611E-001,-7.768570780754089E-001,
7.318333333333334E+008,-4.871873557567596E-002,2.747160568833351E-002,-6.142954230308533E-001,-7.817456722259522E-001,-4.871873557567596E-002,2.747160568833351E-002,-6.142954230308533E-001,-7.817456722259522E-001,
7.402000000000000E+008,-5.654167011380196E-002,3.122084215283394E-002,-6.432525515556335E-001,-7.569649815559387E-001,-5.654167011380196E-002,3.122084215283394E-002,-6.432525515556335E-001,-7.569649815559387E-001,
7.485666666666666E+008,-6.138683110475540E-002,3.758220374584198E-002,-6.512498259544373E-001,-7.402130961418152E-001,-6.138683110475540E-002,3.758220374584198E-002,-6.512498259544373E-001,-7.402130961418152E-001,
7.569333333333334E+008,-6.344886124134064E-002,4.749242216348648E-002,-6.709421873092651E-001,-7.305134534835815E-001,-6.344886124134064E-002,4.749242216348648E-002,-6.709421873092651E-001,-7.305134534835815E-001,
7.653000000000000E+008,-5.807747691869736E-002,5.591133981943131E-002,-6.962247490882874E-001,-7.075400948524475E-001,-5.807747691869736E-002,5.591133981943131E-002,-6.962247490882874E-001,-7.075400948524475E-001,
7.736666666666666E+008,-5.318147689104080E-002,6.541919708251953E-002,-7.128161191940308E-001,-6.806081533432007E-001,-5.318147689104080E-002,6.541919708251953E-002,-7.128161191940308E-001,-6.806081533432007E-001,
7.820333333333334E+008,-4.338366910815239E-002,6.710176914930344E-002,-7.279794812202454E-001,-6.820468306541443E-001,-4.338366910815239E-002,6.710176914930344E-002,-7.279794812202454E-001,-6.820468306541443E-001,
7.904000000000000E+008,-3.588313236832619E-002,6.418389081954956E-002,-7.486173510551453E-001,-6.618785262107849E-001,-3.588313236832619E-002,6.418389081954956E-002,-7.486173510551453E-001,-6.618785262107849E-001,
7.987666666666666E+008,-2.970982715487480E-002,6.063704937696457E-002,-7.597936391830444E-001,-6.321461200714111E-001,-2.970982715487480E-002,6.063704937696457E-002,-7.597936391830444E-001,-6.321461200714111E-001,
8.071333333333334E+008,-2.758843638002873E-002,5.512198805809021E-002,-7.837994098663330E-001,-6.223261356353760E-001,-2.758843638002873E-002,5.512198805809021E-002,-7.837994098663330E-001,-6.223261356353760E-001,
8.155000000000000E+008,-3.149029985070229E-002,5.045735090970993E-002,-7.903949022293091E-001,-5.988210439682007E-001,-3.149029985070229E-002,5.045735090970993E-002,-7.903949022293091E-001,-5.988210439682007E-001,
8.238666666666666E+008,-3.642288595438004E-002,4.791652411222458E-002,-8.061819672584534E-001,-5.820820331573486E-001,-3.642288595438004E-002,4.791652411222458E-002,-8.061819672584534E-001,-5.820820331573486E-001,
8.322333333333334E+008,-4.189475253224373E-002,4.997944831848145E-002,-8.148455619812012E-001,-5.521742105484009E-001,-4.189475253224373E-002,4.997944831848145E-002,-8.148455619812012E-001,-5.521742105484009E-001,
8.406000000000000E+008,-4.523283988237381E-002,5.398376286029816E-002,-8.435741066932678E-001,-5.253627896308899E-001,-4.523283988237381E-002,5.398376286029816E-002,-8.435741066932678E-001,-5.253627896308899E-001,
8.489666666666668E+008,-4.647590965032578E-002,6.408033519983292E-002,-8.471009135246277E-001,-5.152965784072876E-001,-4.647590965032578E-002,6.408033519983292E-002,-8.471009135246277E-001,-5.152965784072876E-001,
8.573333333333334E+008,-4.492404684424400E-002,7.382736355066299E-002,-8.586447834968567E-001,-4.685341119766235E-001,-4.492404684424400E-002,7.382736355066299E-002,-8.586447834968567E-001,-4.685341119766235E-001,
8.657000000000000E+008,-3.934096544981003E-002,8.016901463270187E-002,-8.723635077476502E-001,-4.560607969760895E-001,-3.934096544981003E-002,8.016901463270187E-002,-8.723635077476502E-001,-4.560607969760895E-001,
8.740666666666668E+008,-3.033259697258472E-002,8.388914912939072E-002,-8.807545900344849E-001,-4.450686872005463E-001,-3.033259697258472E-002,8.388914912939072E-002,-8.807545900344849E-001,-4.450686872005463E-001,
8.824333333333334E+008,-2.067069336771965E-002,8.506614714860916E-002,-8.871220946311951E-001,-4.209076166152954E-001,-2.067069336771965E-002,8.506614714860916E-002,-8.871220946311951E-001,-4.209076166152954E-001,
8.908000000000000E+008,-1.279381476342678E-002,8.177420496940613E-002,-9.047662019729614E-001,-4.053346216678619E-001,-1.279381476342678E-002,8.177420496940613E-002,-9.047662019729614E-001,-4.053346216678619E-001,
8.991666666666668E+008,-6.525353062897921E-003,7.529990375041962E-002,-9.030748605728149E-001,-3.719808161258698E-001,-6.525353062897921E-003,7.529990375041962E-002,-9.030748605728149E-001,-3.719808161258698E-001,
9.075333333333334E+008,-8.402739651501179E-003,7.043826580047607E-002,-9.269236326217651E-001,-3.561874032020569E-001,-8.402739651501179E-003,7.043826580047607E-002,-9.269236326217651E-001,-3.561874032020569E-001,
9.159000000000000E+008,-1.198160648345947E-002,6.505277007818222E-002,-9.304540753364563E-001,-3.287143707275391E-001,-1.198160648345947E-002,6.505277007818222E-002,-9.304540753364563E-001,-3.287143707275391E-001,
9.242666666666668E+008,-1.684614643454552E-002,6.524101644754410E-002,-9.375432729721069E-001,-3.129628896713257E-001,-1.684614643454552E-002,6.524101644754410E-002,-9.375432729721069E-001,-3.129628896713257E-001,
9.326333333333334E+008,-2.280233427882195E-002,6.720007956027985E-002,-9.510359764099121E-001,-2.821881175041199E-001,-2.280233427882195E-002,6.720007956027985E-002,-9.510359764099121E-001,-2.821881175041199E-001,
9.410000000000000E+008,-2.487079612910748E-002,7.355801016092300E-002,-9.556171298027039E-001,-2.570646405220032E-001,-2.487079612910748E-002,7.355801016092300E-002,-9.556171298027039E-001,-2.570646405220032E-001,
9.493666666666668E+008,-2.450414933264256E-002,8.221399784088135E-002,-9.582571387290955E-001,-2.277406901121140E-001,-2.450414933264256E-002,8.221399784088135E-002,-9.582571387290955E-001,-2.277406901121140E-001,
9.577333333333334E+008,-1.931035891175270E-002,8.854535222053528E-002,-9.651558399200440E-001,-1.920302957296372E-001,-1.931035891175270E-002,8.854535222053528E-002,-9.651558399200440E-001,-1.920302957296372E-001,
9.661000000000000E+008,-1.005771011114121E-002,9.693995863199234E-002,-9.669742584228516E-001,-1.708565503358841E-001,-1.005771011114121E-002,9.693995863199234E-002,-9.669742584228516E-001,-1.708565503358841E-001,
