% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.176923796534538E-002,4.840312898159027E-002,-5.117342472076416E-001,-8.472886085510254E-001,-5.176923796534538E-002,4.840312898159027E-002,-5.117342472076416E-001,-8.472886085510254E-001,
6.983666666666666E+008,-4.377308487892151E-002,4.757353290915489E-002,-5.331127643585205E-001,-8.223041296005249E-001,-4.377308487892151E-002,4.757353290915489E-002,-5.331127643585205E-001,-8.223041296005249E-001,
7.067333333333334E+008,-3.833934664726257E-002,4.407095164060593E-002,-5.254068970680237E-001,-8.065227866172791E-001,-3.833934664726257E-002,4.407095164060593E-002,-5.254068970680237E-001,-8.065227866172791E-001,
7.151000000000000E+008,-3.564567863941193E-002,3.796342015266419E-002,-5.673744082450867E-001,-7.937256693840027E-001,-3.564567863941193E-002,3.796342015266419E-002,-5.673744082450867E-001,-7.937256693840027E-001,
7.234666666666666E+008,-4.011617600917816E-002,3.294759988784790E-002,-5.834438204765320E-001,-7.737196087837219E-001,-4.011617600917816E-002,3.294759988784790E-002,-5.834438204765320E-001,-7.737196087837219E-001,
7.318333333333334E+008,-4.691134020686150E-002,3.007990121841431E-002,-6.116754412651062E-001,-7.777630686759949E-001,-4.691134020686150E-002,3.007990121841431E-002,-6.116754412651062E-001,-7.777630686759949E-001,
7.402000000000000E+008,-5.476306378841400E-002,3.361493349075317E-002,-6.408247947692871E-001,-7.527230381965637E-001,-5.476306378841400E-002,3.361493349075317E-002,-6.408247947692871E-001,-7.527230381965637E-001,
7.485666666666666E+008,-5.965419113636017E-002,3.965736925601959E-002,-6.484329104423523E-001,-7.370206713676453E-001,-5.965419113636017E-002,3.965736925601959E-002,-6.484329104423523E-001,-7.370206713676453E-001,
7.569333333333334E+008,-6.132552027702332E-002,4.932685196399689E-002,-6.673752665519714E-001,-7.278673648834229E-001,-6.132552027702332E-002,4.932685196399689E-002,-6.673752665519714E-001,-7.278673648834229E-001,
7.653000000000000E+008,-5.553483217954636E-002,5.725408345460892E-002,-6.935740709304810E-001,-7.048474550247192E-001,-5.553483217954636E-002,5.725408345460892E-002,-6.935740709304810E-001,-7.048474550247192E-001,
7.736666666666666E+008,-5.013087764382362E-002,6.638640165328980E-002,-7.099850773811340E-001,-6.784391999244690E-001,-5.013087764382362E-002,6.638640165328980E-002,-7.099850773811340E-001,-6.784391999244690E-001,
7.820333333333334E+008,-3.990419954061508E-002,6.774634867906570E-002,-7.251972556114197E-001,-6.785081624984741E-001,-3.990419954061508E-002,6.774634867906570E-002,-7.251972556114197E-001,-6.785081624984741E-001,
7.904000000000000E+008,-3.205990046262741E-002,6.495332717895508E-002,-7.460255622863770E-001,-6.593214273452759E-001,-3.205990046262741E-002,6.495332717895508E-002,-7.460255622863770E-001,-6.593214273452759E-001,
7.987666666666666E+008,-2.586010657250881E-002,6.147968396544457E-002,-7.565398812294006E-001,-6.300009489059448E-001,-2.586010657250881E-002,6.147968396544457E-002,-7.565398812294006E-001,-6.300009489059448E-001,
8.071333333333334E+008,-2.377349883317947E-002,5.619996413588524E-002,-7.798373103141785E-001,-6.200760602951050E-001,-2.377349883317947E-002,5.619996413588524E-002,-7.798373103141785E-001,-6.200760602951050E-001,
8.155000000000000E+008,-2.784367091953754E-002,5.198860168457031E-002,-7.868660092353821E-001,-5.961069464683533E-001,-2.784367091953754E-002,5.198860168457031E-002,-7.868660092353821E-001,-5.961069464683533E-001,
8.238666666666666E+008,-3.306070342659950E-002,4.950501024723053E-002,-8.022701144218445E-001,-5.798516869544983E-001,-3.306070342659950E-002,4.950501024723053E-002,-8.022701144218445E-001,-5.798516869544983E-001,
