% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.324148759245873E-002,4.737560823559761E-002,-5.134835243225098E-001,-8.476201295852661E-001,-5.324148759245873E-002,4.737560823559761E-002,-5.134835243225098E-001,-8.476201295852661E-001,
6.983666666666666E+008,-4.551261290907860E-002,4.650554060935974E-002,-5.331128835678101E-001,-8.231135606765747E-001,-4.551261290907860E-002,4.650554060935974E-002,-5.331128835678101E-001,-8.231135606765747E-001,
7.067333333333334E+008,-3.992214798927307E-002,4.283923283219338E-002,-5.254142284393311E-001,-8.064166903495789E-001,-3.992214798927307E-002,4.283923283219338E-002,-5.254142284393311E-001,-8.064166903495789E-001,
7.151000000000000E+008,-3.696125745773315E-002,3.699155524373055E-002,-5.674043297767639E-001,-7.944536805152893E-001,-3.696125745773315E-002,3.699155524373055E-002,-5.674043297767639E-001,-7.944536805152893E-001,
7.234666666666666E+008,-4.113522171974182E-002,3.203718736767769E-002,-5.841144919395447E-001,-7.734847664833069E-001,-4.113522171974182E-002,3.203718736767769E-002,-5.841144919395447E-001,-7.734847664833069E-001,
7.318333333333334E+008,-4.751303046941757E-002,2.922399900853634E-002,-6.115341782569885E-001,-7.782870531082153E-001,-4.751303046941757E-002,2.922399900853634E-002,-6.115341782569885E-001,-7.782870531082153E-001,
7.402000000000000E+008,-5.527467653155327E-002,3.299282118678093E-002,-6.406551003456116E-001,-7.531940937042236E-001,-5.527467653155327E-002,3.299282118678093E-002,-6.406551003456116E-001,-7.531940937042236E-001,
7.485666666666666E+008,-6.004242226481438E-002,3.933390229940414E-002,-6.484282612800598E-001,-7.366186976432800E-001,-6.004242226481438E-002,3.933390229940414E-002,-6.484282612800598E-001,-7.366186976432800E-001,
7.569333333333334E+008,-6.199970468878746E-002,4.906802624464035E-002,-6.677436232566834E-001,-7.270457148551941E-001,-6.199970468878746E-002,4.906802624464035E-002,-6.677436232566834E-001,-7.270457148551941E-001,
7.653000000000000E+008,-5.648627504706383E-002,5.719322338700295E-002,-6.933153867721558E-001,-7.044717669487000E-001,-5.648627504706383E-002,5.719322338700295E-002,-6.933153867721558E-001,-7.044717669487000E-001,
7.736666666666666E+008,-5.142718553543091E-002,6.650602817535400E-002,-7.098182439804077E-001,-6.776687502861023E-001,-5.142718553543091E-002,6.650602817535400E-002,-7.098182439804077E-001,-6.776687502861023E-001,
7.820333333333334E+008,-4.153307154774666E-002,6.803129613399506E-002,-7.252888679504395E-001,-6.788063049316406E-001,-4.153307154774666E-002,6.803129613399506E-002,-7.252888679504395E-001,-6.788063049316406E-001,
7.904000000000000E+008,-3.393245115876198E-002,6.509749591350555E-002,-7.460914254188538E-001,-6.583540439605713E-001,-3.393245115876198E-002,6.509749591350555E-002,-7.460914254188538E-001,-6.583540439605713E-001,
7.987666666666666E+008,-2.780798822641373E-002,6.155843660235405E-002,-7.567092776298523E-001,-6.292295455932617E-001,-2.780798822641373E-002,6.155843660235405E-002,-7.567092776298523E-001,-6.292295455932617E-001,
8.071333333333334E+008,-2.567132934927940E-002,5.608509480953217E-002,-7.799307107925415E-001,-6.192774176597595E-001,-2.567132934927940E-002,5.608509480953217E-002,-7.799307107925415E-001,-6.192774176597595E-001,
8.155000000000000E+008,-2.952480129897595E-002,5.169101804494858E-002,-7.870683670043945E-001,-5.955818891525269E-001,-2.952480129897595E-002,5.169101804494858E-002,-7.870683670043945E-001,-5.955818891525269E-001,
8.238666666666666E+008,-3.441463038325310E-002,4.925266280770302E-002,-8.027666807174683E-001,-5.791736841201782E-001,-3.441463038325310E-002,4.925266280770302E-002,-8.027666807174683E-001,-5.791736841201782E-001,
8.322333333333334E+008,-3.990262374281883E-002,5.133620277047157E-002,-8.114320039749146E-001,-5.492358207702637E-001,-3.990262374281883E-002,5.133620277047157E-002,-8.114320039749146E-001,-5.492358207702637E-001,
8.406000000000000E+008,-4.332826286554337E-002,5.529455468058586E-002,-8.394365906715393E-001,-5.225538015365601E-001,-4.332826286554337E-002,5.529455468058586E-002,-8.394365906715393E-001,-5.225538015365601E-001,
8.489666666666668E+008,-4.430033639073372E-002,6.534864753484726E-002,-8.430934548377991E-001,-5.125442743301392E-001,-4.430033639073372E-002,6.534864753484726E-002,-8.430934548377991E-001,-5.125442743301392E-001,
8.573333333333334E+008,-4.274267330765724E-002,7.476696372032166E-002,-8.546782135963440E-001,-4.662473499774933E-001,-4.274267330765724E-002,7.476696372032166E-002,-8.546782135963440E-001,-4.662473499774933E-001,
8.657000000000000E+008,-3.714568167924881E-002,8.085047453641892E-002,-8.683611750602722E-001,-4.538858532905579E-001,-3.714568167924881E-002,8.085047453641892E-002,-8.683611750602722E-001,-4.538858532905579E-001,
8.740666666666668E+008,-2.810691297054291E-002,8.432992547750473E-002,-8.770070672035217E-001,-4.427461922168732E-001,-2.810691297054291E-002,8.432992547750473E-002,-8.770070672035217E-001,-4.427461922168732E-001,
8.824333333333334E+008,-1.847059652209282E-002,8.541510999202728E-002,-8.828626275062561E-001,-4.187395870685577E-001,-1.847059652209282E-002,8.541510999202728E-002,-8.828626275062561E-001,-4.187395870685577E-001,
8.908000000000000E+008,-1.041052397340536E-002,8.202058076858521E-002,-9.003936648368835E-001,-4.034156203269959E-001,-1.041052397340536E-002,8.202058076858521E-002,-9.003936648368835E-001,-4.034156203269959E-001,
8.991666666666668E+008,-4.119715187698603E-003,7.571768015623093E-002,-8.990809321403503E-001,-3.699702322483063E-001,-4.119715187698603E-003,7.571768015623093E-002,-8.990809321403503E-001,-3.699702322483063E-001,
9.075333333333334E+008,-5.843736696988344E-003,7.092879712581635E-002,-9.224031567573547E-001,-3.542991280555725E-001,-5.843736696988344E-003,7.092879712581635E-002,-9.224031567573547E-001,-3.542991280555725E-001,
9.159000000000000E+008,-9.340856224298477E-003,6.575768440961838E-002,-9.260389804840088E-001,-3.270161449909210E-001,-9.340856224298477E-003,6.575768440961838E-002,-9.260389804840088E-001,-3.270161449909210E-001,
9.242666666666668E+008,-1.409104838967323E-002,6.599984318017960E-002,-9.328031539916992E-001,-3.112829327583313E-001,-1.409104838967323E-002,6.599984318017960E-002,-9.328031539916992E-001,-3.112829327583313E-001,
9.326333333333334E+008,-1.994948647916317E-002,6.801703572273254E-002,-9.463468790054321E-001,-2.809416055679321E-001,-1.994948647916317E-002,6.801703572273254E-002,-9.463468790054321E-001,-2.809416055679321E-001,
9.410000000000000E+008,-2.199129201471806E-002,7.423702627420425E-002,-9.505604505538940E-001,-2.558626532554627E-001,-2.199129201471806E-002,7.423702627420425E-002,-9.505604505538940E-001,-2.558626532554627E-001,
9.493666666666668E+008,-2.162974141538143E-002,8.264739811420441E-002,-9.532632231712341E-001,-2.268092185258865E-001,-2.162974141538143E-002,8.264739811420441E-002,-9.532632231712341E-001,-2.268092185258865E-001,
9.577333333333334E+008,-1.648472435772419E-002,8.877795934677124E-002,-9.600942730903626E-001,-1.911981850862503E-001,-1.648472435772419E-002,8.877795934677124E-002,-9.600942730903626E-001,-1.911981850862503E-001,
9.661000000000000E+008,-7.248777896165848E-003,9.681279957294464E-002,-9.623464345932007E-001,-1.698394417762756E-001,-7.248777896165848E-003,9.681279957294464E-002,-9.623464345932007E-001,-1.698394417762756E-001,
9.744666666666668E+008,9.370693587698042E-004,9.998098015785217E-002,-9.712415337562561E-001,-1.581269502639771E-001,9.370693587698042E-004,9.998098015785217E-002,-9.712415337562561E-001,-1.581269502639771E-001,
9.828333333333334E+008,1.377879921346903E-002,9.754717350006104E-002,-9.746827483177185E-001,-1.248374059796333E-001,1.377879921346903E-002,9.754717350006104E-002,-9.746827483177185E-001,-1.248374059796333E-001,
9.912000000000000E+008,2.323240414261818E-002,9.280655533075333E-002,-9.698513150215149E-001,-1.168099418282509E-001,2.323240414261818E-002,9.280655533075333E-002,-9.698513150215149E-001,-1.168099418282509E-001,
