% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-3.987939655780792E-002,3.390115499496460E-002,-5.010473132133484E-001,-8.596246838569641E-001,-3.987939655780792E-002,3.390115499496460E-002,-5.010473132133484E-001,-8.596246838569641E-001,
6.983666666666666E+008,-3.215667232871056E-002,3.255337849259377E-002,-5.210350751876831E-001,-8.345899581909180E-001,-3.215667232871056E-002,3.255337849259377E-002,-5.210350751876831E-001,-8.345899581909180E-001,
7.067333333333334E+008,-2.666914649307728E-002,2.890050224959850E-002,-5.139099359512329E-001,-8.200001120567322E-001,-2.666914649307728E-002,2.890050224959850E-002,-5.139099359512329E-001,-8.200001120567322E-001,
7.151000000000000E+008,-2.399221621453762E-002,2.268002368509769E-002,-5.567161440849304E-001,-8.077893257141113E-001,-2.399221621453762E-002,2.268002368509769E-002,-5.567161440849304E-001,-8.077893257141113E-001,
7.234666666666666E+008,-2.824312821030617E-002,1.716356538236141E-002,-5.725001692771912E-001,-7.876457571983337E-001,-2.824312821030617E-002,1.716356538236141E-002,-5.725001692771912E-001,-7.876457571983337E-001,
7.318333333333334E+008,-3.505894914269447E-002,1.371075771749020E-002,-6.013045907020569E-001,-7.933969497680664E-001,-3.505894914269447E-002,1.371075771749020E-002,-6.013045907020569E-001,-7.933969497680664E-001,
7.402000000000000E+008,-4.341327771544457E-002,1.674741134047508E-002,-6.303178071975708E-001,-7.681325674057007E-001,-4.341327771544457E-002,1.674741134047508E-002,-6.303178071975708E-001,-7.681325674057007E-001,
7.485666666666666E+008,-4.874260723590851E-002,2.267456799745560E-002,-6.388167142868042E-001,-7.515911459922791E-001,-4.874260723590851E-002,2.267456799745560E-002,-6.388167142868042E-001,-7.515911459922791E-001,
7.569333333333334E+008,-5.096110329031944E-002,3.168896585702896E-002,-6.580500006675720E-001,-7.436027526855469E-001,-5.096110329031944E-002,3.168896585702896E-002,-6.580500006675720E-001,-7.436027526855469E-001,
7.653000000000000E+008,-4.623752832412720E-002,3.949356079101563E-002,-6.834976673126221E-001,-7.219222784042358E-001,-4.623752832412720E-002,3.949356079101563E-002,-6.834976673126221E-001,-7.219222784042358E-001,
7.736666666666666E+008,-4.117351025342941E-002,4.807230830192566E-002,-7.014838457107544E-001,-6.945745348930359E-001,-4.117351025342941E-002,4.807230830192566E-002,-7.014838457107544E-001,-6.945745348930359E-001,
7.820333333333334E+008,-3.144134208559990E-002,4.945372045040131E-002,-7.165533900260925E-001,-6.953961849212647E-001,-3.144134208559990E-002,4.945372045040131E-002,-7.165533900260925E-001,-6.953961849212647E-001,
7.904000000000000E+008,-2.375023998320103E-002,4.634257778525353E-002,-7.370663881301880E-001,-6.765522956848145E-001,-2.375023998320103E-002,4.634257778525353E-002,-7.370663881301880E-001,-6.765522956848145E-001,
