% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.091929644346237E-002,3.394564241170883E-002,-5.011185407638550E-001,-8.620976209640503E-001,-4.091929644346237E-002,3.394564241170883E-002,-5.011185407638550E-001,-8.620976209640503E-001,
6.983666666666666E+008,-3.315793350338936E-002,3.292980790138245E-002,-5.217102766036987E-001,-8.371394276618958E-001,-3.315793350338936E-002,3.292980790138245E-002,-5.217102766036987E-001,-8.371394276618958E-001,
7.067333333333334E+008,-2.750081010162830E-002,2.905279397964478E-002,-5.136271119117737E-001,-8.205459713935852E-001,-2.750081010162830E-002,2.905279397964478E-002,-5.136271119117737E-001,-8.205459713935852E-001,
7.151000000000000E+008,-2.485262043774128E-002,2.265243232250214E-002,-5.557448267936707E-001,-8.094359636306763E-001,-2.485262043774128E-002,2.265243232250214E-002,-5.557448267936707E-001,-8.094359636306763E-001,
7.234666666666666E+008,-2.903591468930244E-002,1.680258661508560E-002,-5.725840926170349E-001,-7.886789441108704E-001,-2.903591468930244E-002,1.680258661508560E-002,-5.725840926170349E-001,-7.886789441108704E-001,
7.318333333333334E+008,-3.591031953692436E-002,1.290745660662651E-002,-5.999497175216675E-001,-7.947269678115845E-001,-3.591031953692436E-002,1.290745660662651E-002,-5.999497175216675E-001,-7.947269678115845E-001,
7.402000000000000E+008,-4.432960227131844E-002,1.541861146688461E-002,-6.294573545455933E-001,-7.701667547225952E-001,-4.432960227131844E-002,1.541861146688461E-002,-6.294573545455933E-001,-7.701667547225952E-001,
7.485666666666666E+008,-4.989991709589958E-002,2.094495482742786E-002,-6.383387446403503E-001,-7.538111209869385E-001,-4.989991709589958E-002,2.094495482742786E-002,-6.383387446403503E-001,-7.538111209869385E-001,
7.569333333333334E+008,-5.247677117586136E-002,2.995050325989723E-002,-6.581965088844299E-001,-7.446759939193726E-001,-5.247677117586136E-002,2.995050325989723E-002,-6.581965088844299E-001,-7.446759939193726E-001,
7.653000000000000E+008,-4.779516533017159E-002,3.795976936817169E-002,-6.836501955986023E-001,-7.221634984016419E-001,-4.779516533017159E-002,3.795976936817169E-002,-6.836501955986023E-001,-7.221634984016419E-001,
7.736666666666666E+008,-4.271432384848595E-002,4.708126187324524E-002,-7.009167671203613E-001,-6.956333518028259E-001,-4.271432384848595E-002,4.708126187324524E-002,-7.009167671203613E-001,-6.956333518028259E-001,
7.820333333333334E+008,-3.287485986948013E-002,4.875564202666283E-002,-7.162362933158875E-001,-6.973855495452881E-001,-3.287485986948013E-002,4.875564202666283E-002,-7.162362933158875E-001,-6.973855495452881E-001,
7.904000000000000E+008,-2.509350143373013E-002,4.587306082248688E-002,-7.370356917381287E-001,-6.771631240844727E-001,-2.509350143373013E-002,4.587306082248688E-002,-7.370356917381287E-001,-6.771631240844727E-001,
7.987666666666666E+008,-1.898493431508541E-002,4.214808717370033E-002,-7.482439875602722E-001,-6.480508446693420E-001,-1.898493431508541E-002,4.214808717370033E-002,-7.482439875602722E-001,-6.480508446693420E-001,
8.071333333333334E+008,-1.708955876529217E-002,3.631983697414398E-002,-7.719678878784180E-001,-6.386559605598450E-001,-1.708955876529217E-002,3.631983697414398E-002,-7.719678878784180E-001,-6.386559605598450E-001,
8.155000000000000E+008,-2.126024477183819E-002,3.113188780844212E-002,-7.790624499320984E-001,-6.154794692993164E-001,-2.126024477183819E-002,3.113188780844212E-002,-7.790624499320984E-001,-6.154794692993164E-001,
8.238666666666666E+008,-2.698723226785660E-002,2.781277708709240E-002,-7.952448725700378E-001,-5.993486642837524E-001,-2.698723226785660E-002,2.781277708709240E-002,-7.952448725700378E-001,-5.993486642837524E-001,
8.322333333333334E+008,-3.361907228827477E-002,2.918315865099430E-002,-8.040028810501099E-001,-5.693736672401428E-001,-3.361907228827477E-002,2.918315865099430E-002,-8.040028810501099E-001,-5.693736672401428E-001,
8.406000000000000E+008,-3.838115558028221E-002,3.240223228931427E-002,-8.330389261245728E-001,-5.441101193428040E-001,-3.838115558028221E-002,3.240223228931427E-002,-8.330389261245728E-001,-5.441101193428040E-001,
8.489666666666668E+008,-4.054552316665649E-002,4.219081625342369E-002,-8.367850780487061E-001,-5.344040393829346E-001,-4.054552316665649E-002,4.219081625342369E-002,-8.367850780487061E-001,-5.344040393829346E-001,
8.573333333333334E+008,-3.972472250461578E-002,5.090627074241638E-002,-8.495096564292908E-001,-4.879246354103088E-001,-3.972472250461578E-002,5.090627074241638E-002,-8.495096564292908E-001,-4.879246354103088E-001,
8.657000000000000E+008,-3.457175567746162E-002,5.659678950905800E-002,-8.638312220573425E-001,-4.762251973152161E-001,-3.457175567746162E-002,5.659678950905800E-002,-8.638312220573425E-001,-4.762251973152161E-001,
8.740666666666668E+008,-2.581817097961903E-002,6.035087630152702E-002,-8.727424144744873E-001,-4.648633599281311E-001,-2.581817097961903E-002,6.035087630152702E-002,-8.727424144744873E-001,-4.648633599281311E-001,
8.824333333333334E+008,-1.638334244489670E-002,6.124076247215271E-002,-8.790351152420044E-001,-4.406808912754059E-001,-1.638334244489670E-002,6.124076247215271E-002,-8.790351152420044E-001,-4.406808912754059E-001,
8.908000000000000E+008,-8.544704876840115E-003,5.764830112457275E-002,-8.964623212814331E-001,-4.258071184158325E-001,-8.544704876840115E-003,5.764830112457275E-002,-8.964623212814331E-001,-4.258071184158325E-001,
8.991666666666668E+008,-2.407690277323127E-003,5.134456232190132E-002,-8.955067396163940E-001,-3.924522697925568E-001,-2.407690277323127E-003,5.134456232190132E-002,-8.955067396163940E-001,-3.924522697925568E-001,
9.075333333333334E+008,-4.659073427319527E-003,4.632290080189705E-002,-9.191371798515320E-001,-3.774407505989075E-001,-4.659073427319527E-003,4.632290080189705E-002,-9.191371798515320E-001,-3.774407505989075E-001,
9.159000000000000E+008,-8.527354337275028E-003,4.064815863966942E-002,-9.238842725753784E-001,-3.505445122718811E-001,-8.527354337275028E-003,4.064815863966942E-002,-9.238842725753784E-001,-3.505445122718811E-001,
9.242666666666668E+008,-1.454517245292664E-002,4.085452482104302E-002,-9.308867454528809E-001,-3.352339863777161E-001,-1.454517245292664E-002,4.085452482104302E-002,-9.308867454528809E-001,-3.352339863777161E-001,
9.326333333333334E+008,-2.172183059155941E-002,4.223232716321945E-002,-9.454734921455383E-001,-3.054636120796204E-001,-2.172183059155941E-002,4.223232716321945E-002,-9.454734921455383E-001,-3.054636120796204E-001,
9.410000000000000E+008,-2.512785606086254E-002,4.818071424961090E-002,-9.504894018173218E-001,-2.804765701293945E-001,-2.512785606086254E-002,4.818071424961090E-002,-9.504894018173218E-001,-2.804765701293945E-001,
9.493666666666668E+008,-2.588339522480965E-002,5.621352419257164E-002,-9.538643956184387E-001,-2.512114942073822E-001,-2.588339522480965E-002,5.621352419257164E-002,-9.538643956184387E-001,-2.512114942073822E-001,
9.577333333333334E+008,-2.175330184400082E-002,6.225989758968353E-002,-9.619941711425781E-001,-2.159643769264221E-001,-2.175330184400082E-002,6.225989758968353E-002,-9.619941711425781E-001,-2.159643769264221E-001,
9.661000000000000E+008,-1.348542608320713E-002,6.988620758056641E-002,-9.649560451507568E-001,-1.947399377822876E-001,-1.348542608320713E-002,6.988620758056641E-002,-9.649560451507568E-001,-1.947399377822876E-001,
9.744666666666668E+008,-5.598612129688263E-003,7.310429960489273E-002,-9.738386273384094E-001,-1.821934878826141E-001,-5.598612129688263E-003,7.310429960489273E-002,-9.738386273384094E-001,-1.821934878826141E-001,
9.828333333333334E+008,6.667877081781626E-003,7.078968733549118E-002,-9.777598977088928E-001,-1.488867700099945E-001,6.667877081781626E-003,7.078968733549118E-002,-9.777598977088928E-001,-1.488867700099945E-001,
9.912000000000000E+008,1.582040823996067E-002,6.619123369455338E-002,-9.732809066772461E-001,-1.410022825002670E-001,1.582040823996067E-002,6.619123369455338E-002,-9.732809066772461E-001,-1.410022825002670E-001,
9.995666666666668E+008,1.900626160204411E-002,5.730645358562470E-002,-1.001881003379822E+000,-1.048568412661552E-001,1.900626160204411E-002,5.730645358562470E-002,-1.001881003379822E+000,-1.048568412661552E-001,
1.007933333333333E+009,1.849291287362576E-002,4.919629544019699E-002,-9.842700958251953E-001,-8.943648636341095E-002,1.849291287362576E-002,4.919629544019699E-002,-9.842700958251953E-001,-8.943648636341095E-002,
1.016300000000000E+009,1.571913063526154E-002,4.245014488697052E-002,-9.872987866401672E-001,-6.129761412739754E-002,1.571913063526154E-002,4.245014488697052E-002,-9.872987866401672E-001,-6.129761412739754E-002,
1.024666666666667E+009,7.772021461278200E-003,4.202260076999664E-002,-9.889338016510010E-001,-2.617285214364529E-002,7.772021461278200E-003,4.202260076999664E-002,-9.889338016510010E-001,-2.617285214364529E-002,
1.033033333333333E+009,3.942193579860032E-004,4.509486630558968E-002,-9.973245263099670E-001,-2.766323275864124E-002,3.942193579860032E-004,4.509486630558968E-002,-9.973245263099670E-001,-2.766323275864124E-002,
1.041400000000000E+009,-6.345503963530064E-003,5.052940919995308E-002,-9.794945120811462E-001,2.862480655312538E-002,-6.345503963530064E-003,5.052940919995308E-002,-9.794945120811462E-001,2.862480655312538E-002,
1.049766666666667E+009,-5.024442914873362E-003,5.935701355338097E-002,-9.878164529800415E-001,4.867983609437943E-002,-5.024442914873362E-003,5.935701355338097E-002,-9.878164529800415E-001,4.867983609437943E-002,
1.058133333333333E+009,1.453106291592121E-003,6.616927683353424E-002,-9.720579385757446E-001,7.714422047138214E-002,1.453106291592121E-003,6.616927683353424E-002,-9.720579385757446E-001,7.714422047138214E-002,
1.066500000000000E+009,1.029448397457600E-002,6.970345228910446E-002,-9.721109867095947E-001,8.666634559631348E-002,1.029448397457600E-002,6.970345228910446E-002,-9.721109867095947E-001,8.666634559631348E-002,
1.074866666666667E+009,2.468910999596119E-002,7.056573778390884E-002,-9.656109213829041E-001,1.423810422420502E-001,2.468910999596119E-002,7.056573778390884E-002,-9.656109213829041E-001,1.423810422420502E-001,
1.083233333333334E+009,3.472782298922539E-002,6.171981245279312E-002,-9.738318920135498E-001,1.485094130039215E-001,3.472782298922539E-002,6.171981245279312E-002,-9.738318920135498E-001,1.485094130039215E-001,
1.091600000000000E+009,4.050365835428238E-002,5.131764709949493E-002,-9.661258459091187E-001,1.693566143512726E-001,4.050365835428238E-002,5.131764709949493E-002,-9.661258459091187E-001,1.693566143512726E-001,
1.099966666666667E+009,3.956619650125504E-002,4.067998379468918E-002,-9.756934642791748E-001,1.844478696584702E-001,3.956619650125504E-002,4.067998379468918E-002,-9.756934642791748E-001,1.844478696584702E-001,
1.108333333333334E+009,3.388949111104012E-002,2.810328081250191E-002,-9.667783975601196E-001,2.023506164550781E-001,3.388949111104012E-002,2.810328081250191E-002,-9.667783975601196E-001,2.023506164550781E-001,
1.116700000000000E+009,2.015012502670288E-002,2.732518315315247E-002,-9.663799405097961E-001,2.517955303192139E-001,2.015012502670288E-002,2.732518315315247E-002,-9.663799405097961E-001,2.517955303192139E-001,
1.125066666666667E+009,9.235535748302937E-003,3.085927478969097E-002,-9.518168568611145E-001,2.729134857654572E-001,9.235535748302937E-003,3.085927478969097E-002,-9.518168568611145E-001,2.729134857654572E-001,
1.133433333333334E+009,1.383565831929445E-003,4.206846654415131E-002,-9.550112485885620E-001,2.915278673171997E-001,1.383565831929445E-003,4.206846654415131E-002,-9.550112485885620E-001,2.915278673171997E-001,
1.141800000000000E+009,-6.679702346445993E-005,5.770758166909218E-002,-9.161101579666138E-001,3.150084018707275E-001,-6.679702346445993E-005,5.770758166909218E-002,-9.161101579666138E-001,3.150084018707275E-001,
1.150166666666667E+009,7.833763025701046E-003,6.982462108135223E-002,-9.239458441734314E-001,3.365415036678314E-001,7.833763025701046E-003,6.982462108135223E-002,-9.239458441734314E-001,3.365415036678314E-001,
1.158533333333334E+009,2.520881593227387E-002,7.925599813461304E-002,-9.171296358108521E-001,3.603235185146332E-001,2.520881593227387E-002,7.925599813461304E-002,-9.171296358108521E-001,3.603235185146332E-001,
1.166900000000000E+009,4.065521061420441E-002,7.687917351722717E-002,-8.994284868240356E-001,3.898283541202545E-001,4.065521061420441E-002,7.687917351722717E-002,-8.994284868240356E-001,3.898283541202545E-001,
1.175266666666667E+009,5.762964487075806E-002,6.804681569337845E-002,-8.862106204032898E-001,4.112583696842194E-001,5.762964487075806E-002,6.804681569337845E-002,-8.862106204032898E-001,4.112583696842194E-001,
1.183633333333334E+009,6.778292357921600E-002,5.305799096822739E-002,-8.868218660354614E-001,4.433967173099518E-001,6.778292357921600E-002,5.305799096822739E-002,-8.868218660354614E-001,4.433967173099518E-001,
1.192000000000000E+009,6.957107782363892E-002,3.400363400578499E-002,-8.794212937355042E-001,4.525750279426575E-001,6.957107782363892E-002,3.400363400578499E-002,-8.794212937355042E-001,4.525750279426575E-001,
1.200366666666667E+009,6.122418120503426E-002,1.771732419729233E-002,-8.602877855300903E-001,4.752861857414246E-001,6.122418120503426E-002,1.771732419729233E-002,-8.602877855300903E-001,4.752861857414246E-001,
1.208733333333334E+009,4.559065774083138E-002,9.499951265752316E-003,-8.463937640190125E-001,4.969323277473450E-001,4.559065774083138E-002,9.499951265752316E-003,-8.463937640190125E-001,4.969323277473450E-001,
1.217100000000000E+009,3.128005564212799E-002,9.509135968983173E-003,-8.396675586700440E-001,5.147389173507690E-001,3.128005564212799E-002,9.509135968983173E-003,-8.396675586700440E-001,5.147389173507690E-001,
1.225466666666667E+009,1.656831987202168E-002,2.346577681601048E-002,-8.168950676918030E-001,5.366057753562927E-001,1.656831987202168E-002,2.346577681601048E-002,-8.168950676918030E-001,5.366057753562927E-001,
1.233833333333334E+009,1.236183010041714E-002,3.806914389133453E-002,-8.082690238952637E-001,5.596613883972168E-001,1.236183010041714E-002,3.806914389133453E-002,-8.082690238952637E-001,5.596613883972168E-001,
