% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.298324882984161E-002,3.878224641084671E-002,-5.043323040008545E-001,-8.590204119682312E-001,-4.298324882984161E-002,3.878224641084671E-002,-5.043323040008545E-001,-8.590204119682312E-001,
6.983666666666666E+008,-3.505245223641396E-002,3.765989840030670E-002,-5.249751210212708E-001,-8.333270549774170E-001,-3.505245223641396E-002,3.765989840030670E-002,-5.249751210212708E-001,-8.333270549774170E-001,
7.067333333333334E+008,-2.965549379587174E-002,3.374700248241425E-002,-5.163356065750122E-001,-8.170361518859863E-001,-2.965549379587174E-002,3.374700248241425E-002,-5.163356065750122E-001,-8.170361518859863E-001,
7.151000000000000E+008,-2.701390907168388E-002,2.782058902084827E-002,-5.593341588973999E-001,-8.060881495475769E-001,-2.701390907168388E-002,2.782058902084827E-002,-5.593341588973999E-001,-8.060881495475769E-001,
7.234666666666666E+008,-3.126996010541916E-002,2.244368940591812E-002,-5.738876461982727E-001,-7.848837971687317E-001,-3.126996010541916E-002,2.244368940591812E-002,-5.738876461982727E-001,-7.848837971687317E-001,
7.318333333333334E+008,-3.815862163901329E-002,1.901067048311234E-002,-6.042694449424744E-001,-7.910779714584351E-001,-3.815862163901329E-002,1.901067048311234E-002,-6.042694449424744E-001,-7.910779714584351E-001,
7.402000000000000E+008,-4.626961052417755E-002,2.196245454251766E-002,-6.335183978080750E-001,-7.664562463760376E-001,-4.626961052417755E-002,2.196245454251766E-002,-6.335183978080750E-001,-7.664562463760376E-001,
7.485666666666666E+008,-5.136405676603317E-002,2.782005257904530E-002,-6.408074498176575E-001,-7.491319775581360E-001,-5.136405676603317E-002,2.782005257904530E-002,-6.408074498176575E-001,-7.491319775581360E-001,
7.569333333333334E+008,-5.348382890224457E-002,3.696453943848610E-002,-6.602983474731445E-001,-7.410476207733154E-001,-5.348382890224457E-002,3.696453943848610E-002,-6.602983474731445E-001,-7.410476207733154E-001,
7.653000000000000E+008,-4.847522079944611E-002,4.480793699622154E-002,-6.876031756401062E-001,-7.187045812606812E-001,-4.847522079944611E-002,4.480793699622154E-002,-6.876031756401062E-001,-7.187045812606812E-001,
7.736666666666666E+008,-4.307771101593971E-002,5.395286902785301E-002,-7.034417986869812E-001,-6.922144293785095E-001,-4.307771101593971E-002,5.395286902785301E-002,-7.034417986869812E-001,-6.922144293785095E-001,
7.820333333333334E+008,-3.309344872832298E-002,5.559026077389717E-002,-7.192682027816773E-001,-6.925222277641296E-001,-3.309344872832298E-002,5.559026077389717E-002,-7.192682027816773E-001,-6.925222277641296E-001,
7.904000000000000E+008,-2.538712322711945E-002,5.263411626219750E-002,-7.400717735290527E-001,-6.731154918670654E-001,-2.538712322711945E-002,5.263411626219750E-002,-7.400717735290527E-001,-6.731154918670654E-001,
7.987666666666666E+008,-1.928220503032208E-002,4.905012622475624E-002,-7.516248226165772E-001,-6.441931724548340E-001,-1.928220503032208E-002,4.905012622475624E-002,-7.516248226165772E-001,-6.441931724548340E-001,
8.071333333333334E+008,-1.746582798659802E-002,4.358180239796639E-002,-7.727710008621216E-001,-6.344417333602905E-001,-1.746582798659802E-002,4.358180239796639E-002,-7.727710008621216E-001,-6.344417333602905E-001,
8.155000000000000E+008,-2.114415355026722E-002,3.876565396785736E-002,-7.817837595939636E-001,-6.113235950469971E-001,-2.114415355026722E-002,3.876565396785736E-002,-7.817837595939636E-001,-6.113235950469971E-001,
8.238666666666666E+008,-2.652277052402496E-002,3.585439547896385E-002,-7.980486154556274E-001,-5.953893661499023E-001,-2.652277052402496E-002,3.585439547896385E-002,-7.980486154556274E-001,-5.953893661499023E-001,
8.322333333333334E+008,-3.258356824517250E-002,3.739922493696213E-002,-8.076866269111633E-001,-5.651743412017822E-001,-3.258356824517250E-002,3.739922493696213E-002,-8.076866269111633E-001,-5.651743412017822E-001,
8.406000000000000E+008,-3.673861548304558E-002,4.063555970788002E-002,-8.352491855621338E-001,-5.395562052726746E-001,-3.673861548304558E-002,4.063555970788002E-002,-8.352491855621338E-001,-5.395562052726746E-001,
8.489666666666668E+008,-3.870473429560661E-002,5.039288848638535E-002,-8.396250009536743E-001,-5.302058458328247E-001,-3.870473429560661E-002,5.039288848638535E-002,-8.396250009536743E-001,-5.302058458328247E-001,
8.573333333333334E+008,-3.755661845207214E-002,5.926426500082016E-002,-8.523640632629395E-001,-4.830208718776703E-001,-3.755661845207214E-002,5.926426500082016E-002,-8.523640632629395E-001,-4.830208718776703E-001,
8.657000000000000E+008,-3.227565437555313E-002,6.498855352401733E-002,-8.668646812438965E-001,-4.706885516643524E-001,-3.227565437555313E-002,6.498855352401733E-002,-8.668646812438965E-001,-4.706885516643524E-001,
8.740666666666668E+008,-2.335813827812672E-002,6.860485672950745E-002,-8.754950761795044E-001,-4.589801728725433E-001,-2.335813827812672E-002,6.860485672950745E-002,-8.754950761795044E-001,-4.589801728725433E-001,
8.824333333333334E+008,-1.381544582545757E-002,6.965757161378861E-002,-8.815184831619263E-001,-4.358529150485992E-001,-1.381544582545757E-002,6.965757161378861E-002,-8.815184831619263E-001,-4.358529150485992E-001,
8.908000000000000E+008,-5.702311173081398E-003,6.635136902332306E-002,-8.986049890518189E-001,-4.217343926429749E-001,-5.702311173081398E-003,6.635136902332306E-002,-8.986049890518189E-001,-4.217343926429749E-001,
