% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.533843696117401E-002,3.654763102531433E-002,-5.044605731964111E-001,-8.579391837120056E-001,-4.533843696117401E-002,3.654763102531433E-002,-5.044605731964111E-001,-8.579391837120056E-001,
6.983666666666666E+008,-3.780406713485718E-002,3.541469946503639E-002,-5.248781442642212E-001,-8.331918716430664E-001,-3.780406713485718E-002,3.541469946503639E-002,-5.248781442642212E-001,-8.331918716430664E-001,
7.067333333333334E+008,-3.255356848239899E-002,3.156587481498718E-002,-5.170385241508484E-001,-8.171477913856506E-001,-3.255356848239899E-002,3.156587481498718E-002,-5.170385241508484E-001,-8.171477913856506E-001,
7.151000000000000E+008,-3.014505468308926E-002,2.530493214726448E-002,-5.596435070037842E-001,-8.058250546455383E-001,-3.014505468308926E-002,2.530493214726448E-002,-5.596435070037842E-001,-8.058250546455383E-001,
7.234666666666666E+008,-3.458288684487343E-002,1.963271386921406E-002,-5.760017633438110E-001,-7.855482101440430E-001,-3.458288684487343E-002,1.963271386921406E-002,-5.760017633438110E-001,-7.855482101440430E-001,
7.318333333333334E+008,-4.148021340370178E-002,1.611467450857163E-002,-6.034477353096008E-001,-7.909079790115356E-001,-4.148021340370178E-002,1.611467450857163E-002,-6.034477353096008E-001,-7.909079790115356E-001,
7.402000000000000E+008,-4.972957074642181E-002,1.908807456493378E-002,-6.331948637962341E-001,-7.659795284271240E-001,-4.972957074642181E-002,1.908807456493378E-002,-6.331948637962341E-001,-7.659795284271240E-001,
7.485666666666666E+008,-5.492199584841728E-002,2.485997602343559E-002,-6.414714455604553E-001,-7.496761679649353E-001,-5.492199584841728E-002,2.485997602343559E-002,-6.414714455604553E-001,-7.496761679649353E-001,
7.569333333333334E+008,-5.712751299142838E-002,3.415964171290398E-002,-6.614430546760559E-001,-7.406377792358398E-001,-5.712751299142838E-002,3.415964171290398E-002,-6.614430546760559E-001,-7.406377792358398E-001,
7.653000000000000E+008,-5.199361592531204E-002,4.221504181623459E-002,-6.868018507957459E-001,-7.180944085121155E-001,-5.199361592531204E-002,4.221504181623459E-002,-6.868018507957459E-001,-7.180944085121155E-001,
7.736666666666666E+008,-4.685837402939796E-002,5.133822187781334E-002,-7.039347290992737E-001,-6.915512681007385E-001,-4.685837402939796E-002,5.133822187781334E-002,-7.039347290992737E-001,-6.915512681007385E-001,
7.820333333333334E+008,-3.698254376649857E-002,5.299045890569687E-002,-7.192331552505493E-001,-6.929365992546082E-001,-3.698254376649857E-002,5.299045890569687E-002,-7.192331552505493E-001,-6.929365992546082E-001,
7.904000000000000E+008,-2.942232228815556E-002,5.006660148501396E-002,-7.396587729454041E-001,-6.725288629531860E-001,-2.942232228815556E-002,5.006660148501396E-002,-7.396587729454041E-001,-6.725288629531860E-001,
7.987666666666666E+008,-2.355719543993473E-002,4.653925821185112E-002,-7.514217495918274E-001,-6.436482667922974E-001,-2.355719543993473E-002,4.653925821185112E-002,-7.514217495918274E-001,-6.436482667922974E-001,
8.071333333333334E+008,-2.193647995591164E-002,4.096939042210579E-002,-7.751216292381287E-001,-6.345471143722534E-001,-2.193647995591164E-002,4.096939042210579E-002,-7.751216292381287E-001,-6.345471143722534E-001,
8.155000000000000E+008,-2.627154625952244E-002,3.607880696654320E-002,-7.820644974708557E-001,-6.110092401504517E-001,-2.627154625952244E-002,3.607880696654320E-002,-7.820644974708557E-001,-6.110092401504517E-001,
8.238666666666666E+008,-3.191081807017326E-002,3.308213129639626E-002,-7.979978919029236E-001,-5.943714380264282E-001,-3.191081807017326E-002,3.308213129639626E-002,-7.979978919029236E-001,-5.943714380264282E-001,
8.322333333333334E+008,-3.824894130229950E-002,3.462704271078110E-002,-8.070433139801025E-001,-5.644301176071167E-001,-3.824894130229950E-002,3.462704271078110E-002,-8.070433139801025E-001,-5.644301176071167E-001,
8.406000000000000E+008,-4.266786575317383E-002,3.797930851578713E-002,-8.357695341110230E-001,-5.393952131271362E-001,-4.266786575317383E-002,3.797930851578713E-002,-8.357695341110230E-001,-5.393952131271362E-001,
8.489666666666668E+008,-4.437711834907532E-002,4.784389212727547E-002,-8.397758007049561E-001,-5.291891098022461E-001,-4.437711834907532E-002,4.784389212727547E-002,-8.397758007049561E-001,-5.291891098022461E-001,
8.573333333333334E+008,-4.326814413070679E-002,5.671812221407890E-002,-8.526742458343506E-001,-4.828066229820252E-001,-4.326814413070679E-002,5.671812221407890E-002,-8.526742458343506E-001,-4.828066229820252E-001,
8.657000000000000E+008,-3.790844231843948E-002,6.249452382326126E-002,-8.669946789741516E-001,-4.708759784698486E-001,-3.790844231843948E-002,6.249452382326126E-002,-8.669946789741516E-001,-4.708759784698486E-001,
8.740666666666668E+008,-2.904231660068035E-002,6.621308624744415E-002,-8.752595186233521E-001,-4.591349363327026E-001,-2.904231660068035E-002,6.621308624744415E-002,-8.752595186233521E-001,-4.591349363327026E-001,
8.824333333333334E+008,-1.962798088788986E-002,6.732393056154251E-002,-8.817531466484070E-001,-4.353758394718170E-001,-1.962798088788986E-002,6.732393056154251E-002,-8.817531466484070E-001,-4.353758394718170E-001,
