% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.123919457197189E-002,3.455499932169914E-002,-5.024043917655945E-001,-8.593185544013977E-001,-4.123919457197189E-002,3.455499932169914E-002,-5.024043917655945E-001,-8.593185544013977E-001,
6.983666666666666E+008,-3.383620083332062E-002,3.291243687272072E-002,-5.219091773033142E-001,-8.343600630760193E-001,-3.383620083332062E-002,3.291243687272072E-002,-5.219091773033142E-001,-8.343600630760193E-001,
7.067333333333334E+008,-2.829826623201370E-002,2.845171466469765E-002,-5.147281885147095E-001,-8.176965713500977E-001,-2.829826623201370E-002,2.845171466469765E-002,-5.147281885147095E-001,-8.176965713500977E-001,
7.151000000000000E+008,-2.559668198227882E-002,2.167537249624729E-002,-5.567878484725952E-001,-8.069638609886169E-001,-2.559668198227882E-002,2.167537249624729E-002,-5.567878484725952E-001,-8.069638609886169E-001,
7.234666666666666E+008,-2.935529872775078E-002,1.575844734907150E-002,-5.733736157417297E-001,-7.858296632766724E-001,-2.935529872775078E-002,1.575844734907150E-002,-5.733736157417297E-001,-7.858296632766724E-001,
7.318333333333334E+008,-3.571006283164024E-002,1.213935483247042E-002,-6.009233593940735E-001,-7.915944457054138E-001,-3.571006283164024E-002,1.213935483247042E-002,-6.009233593940735E-001,-7.915944457054138E-001,
7.402000000000000E+008,-4.345647245645523E-002,1.518099196255207E-002,-6.302224397659302E-001,-7.675895094871521E-001,-4.345647245645523E-002,1.518099196255207E-002,-6.302224397659302E-001,-7.675895094871521E-001,
7.485666666666666E+008,-4.840975999832153E-002,2.139893919229507E-002,-6.389457583427429E-001,-7.510953545570374E-001,-4.840975999832153E-002,2.139893919229507E-002,-6.389457583427429E-001,-7.510953545570374E-001,
7.569333333333334E+008,-5.077997595071793E-002,3.095327876508236E-002,-6.592859029769898E-001,-7.421195507049561E-001,-5.077997595071793E-002,3.095327876508236E-002,-6.592859029769898E-001,-7.421195507049561E-001,
7.653000000000000E+008,-4.619583860039711E-002,3.939822688698769E-002,-6.839631795883179E-001,-7.194355726242065E-001,-4.619583860039711E-002,3.939822688698769E-002,-6.839631795883179E-001,-7.194355726242065E-001,
7.736666666666666E+008,-4.156997799873352E-002,4.875173792243004E-002,-7.013244628906250E-001,-6.930567622184753E-001,-4.156997799873352E-002,4.875173792243004E-002,-7.013244628906250E-001,-6.930567622184753E-001,
7.820333333333334E+008,-3.242993727326393E-002,5.033461749553680E-002,-7.164754867553711E-001,-6.949848532676697E-001,-3.242993727326393E-002,5.033461749553680E-002,-7.164754867553711E-001,-6.949848532676697E-001,
7.904000000000000E+008,-2.538399770855904E-002,4.732460528612137E-002,-7.374390363693237E-001,-6.750690340995789E-001,-2.538399770855904E-002,4.732460528612137E-002,-7.374390363693237E-001,-6.750690340995789E-001,
7.987666666666666E+008,-1.968361437320709E-002,4.325105994939804E-002,-7.489424347877502E-001,-6.450438499450684E-001,-1.968361437320709E-002,4.325105994939804E-002,-7.489424347877502E-001,-6.450438499450684E-001,
8.071333333333334E+008,-1.802279613912106E-002,3.708611428737640E-002,-7.727161645889282E-001,-6.366056203842163E-001,-1.802279613912106E-002,3.708611428737640E-002,-7.727161645889282E-001,-6.366056203842163E-001,
8.155000000000000E+008,-2.200314030051231E-002,3.156553581357002E-002,-7.793513536453247E-001,-6.130229830741882E-001,-2.200314030051231E-002,3.156553581357002E-002,-7.793513536453247E-001,-6.130229830741882E-001,
8.238666666666666E+008,-2.719435282051563E-002,2.811689116060734E-002,-7.960278391838074E-001,-5.968107581138611E-001,-2.719435282051563E-002,2.811689116060734E-002,-7.960278391838074E-001,-5.968107581138611E-001,
8.322333333333334E+008,-3.293820470571518E-002,2.955774031579495E-002,-8.045464754104614E-001,-5.671327114105225E-001,-3.293820470571518E-002,2.955774031579495E-002,-8.045464754104614E-001,-5.671327114105225E-001,
8.406000000000000E+008,-3.666007518768311E-002,3.308485448360443E-002,-8.332794904708862E-001,-5.413511991500855E-001,-3.666007518768311E-002,3.308485448360443E-002,-8.332794904708862E-001,-5.413511991500855E-001,
8.489666666666668E+008,-3.779094666242600E-002,4.292462393641472E-002,-8.374709486961365E-001,-5.316726565361023E-001,-3.779094666242600E-002,4.292462393641472E-002,-8.374709486961365E-001,-5.316726565361023E-001,
8.573333333333334E+008,-3.715073317289352E-002,5.220698565244675E-002,-8.502364754676819E-001,-4.852807223796845E-001,-3.715073317289352E-002,5.220698565244675E-002,-8.502364754676819E-001,-4.852807223796845E-001,
8.657000000000000E+008,-3.200519457459450E-002,5.862886831164360E-002,-8.642514348030090E-001,-4.737844765186310E-001,-3.200519457459450E-002,5.862886831164360E-002,-8.642514348030090E-001,-4.737844765186310E-001,
8.740666666666668E+008,-2.357194945216179E-002,6.288800388574600E-002,-8.736506104469299E-001,-4.625098705291748E-001,-2.357194945216179E-002,6.288800388574600E-002,-8.736506104469299E-001,-4.625098705291748E-001,
8.824333333333334E+008,-1.469668652862310E-002,6.407331675291061E-002,-8.797526955604553E-001,-4.384889900684357E-001,-1.469668652862310E-002,6.407331675291061E-002,-8.797526955604553E-001,-4.384889900684357E-001,
8.908000000000000E+008,-7.426753640174866E-003,6.051557883620262E-002,-8.971031904220581E-001,-4.229389131069183E-001,-7.426753640174866E-003,6.051557883620262E-002,-8.971031904220581E-001,-4.229389131069183E-001,
8.991666666666668E+008,-1.764408429153264E-003,5.403280630707741E-002,-8.956025838851929E-001,-3.895017802715302E-001,-1.764408429153264E-003,5.403280630707741E-002,-8.956025838851929E-001,-3.895017802715302E-001,
9.075333333333334E+008,-4.086200147867203E-003,4.866841062903404E-002,-9.199147224426270E-001,-3.745049536228180E-001,-4.086200147867203E-003,4.866841062903404E-002,-9.199147224426270E-001,-3.745049536228180E-001,
9.159000000000000E+008,-7.851819507777691E-003,4.247561842203140E-002,-9.238566756248474E-001,-3.475389480590820E-001,-7.851819507777691E-003,4.247561842203140E-002,-9.238566756248474E-001,-3.475389480590820E-001,
9.242666666666668E+008,-1.328186132013798E-002,4.211253300309181E-002,-9.309318661689758E-001,-3.323180973529816E-001,-1.328186132013798E-002,4.211253300309181E-002,-9.309318661689758E-001,-3.323180973529816E-001,
9.326333333333334E+008,-1.973105221986771E-002,4.313465952873230E-002,-9.452022910118103E-001,-3.024664819240570E-001,-1.973105221986771E-002,4.313465952873230E-002,-9.452022910118103E-001,-3.024664819240570E-001,
9.410000000000000E+008,-2.236247994005680E-002,4.910583421587944E-002,-9.502311944961548E-001,-2.770432233810425E-001,-2.236247994005680E-002,4.910583421587944E-002,-9.502311944961548E-001,-2.770432233810425E-001,
9.493666666666668E+008,-2.248652651906014E-002,5.749035254120827E-002,-9.541662931442261E-001,-2.484266161918640E-001,-2.248652651906014E-002,5.749035254120827E-002,-9.541662931442261E-001,-2.484266161918640E-001,
9.577333333333334E+008,-1.794438250362873E-002,6.414022296667099E-002,-9.617394804954529E-001,-2.129570841789246E-001,-1.794438250362873E-002,6.414022296667099E-002,-9.617394804954529E-001,-2.129570841789246E-001,
9.661000000000000E+008,-9.390064515173435E-003,7.260264456272125E-002,-9.651120305061340E-001,-1.917334198951721E-001,-9.390064515173435E-003,7.260264456272125E-002,-9.651120305061340E-001,-1.917334198951721E-001,
9.744666666666668E+008,-1.549384207464755E-003,7.655399292707443E-002,-9.735615253448486E-001,-1.796429455280304E-001,-1.549384207464755E-003,7.655399292707443E-002,-9.735615253448486E-001,-1.796429455280304E-001,
9.828333333333334E+008,1.060757134109736E-002,7.471712678670883E-002,-9.777185320854187E-001,-1.466051936149597E-001,1.060757134109736E-002,7.471712678670883E-002,-9.777185320854187E-001,-1.466051936149597E-001,
9.912000000000000E+008,1.958237960934639E-002,7.015422731637955E-002,-9.729223251342773E-001,-1.382498890161514E-001,1.958237960934639E-002,7.015422731637955E-002,-9.729223251342773E-001,-1.382498890161514E-001,
9.995666666666668E+008,2.243394777178764E-002,6.108273938298225E-002,-1.001737713813782E+000,-1.024073511362076E-001,2.243394777178764E-002,6.108273938298225E-002,-1.001737713813782E+000,-1.024073511362076E-001,
1.007933333333333E+009,2.182965539395809E-002,5.216868221759796E-002,-9.837979078292847E-001,-8.729192614555359E-002,2.182965539395809E-002,5.216868221759796E-002,-9.837979078292847E-001,-8.729192614555359E-002,
1.016300000000000E+009,1.909312978386879E-002,4.455592483282089E-002,-9.873012900352478E-001,-5.926902592182159E-002,1.909312978386879E-002,4.455592483282089E-002,-9.873012900352478E-001,-5.926902592182159E-002,
1.024666666666667E+009,1.137096807360649E-002,4.325180873274803E-002,-9.889499545097351E-001,-2.389194443821907E-002,1.137096807360649E-002,4.325180873274803E-002,-9.889499545097351E-001,-2.389194443821907E-002,
1.033033333333333E+009,4.463469143956900E-003,4.573519900441170E-002,-9.977395534515381E-001,-2.579504810273647E-002,4.463469143956900E-003,4.573519900441170E-002,-9.977395534515381E-001,-2.579504810273647E-002,
1.041400000000000E+009,-1.586362835951150E-003,5.104915052652359E-002,-9.797155261039734E-001,3.045407682657242E-002,-1.586362835951150E-003,5.104915052652359E-002,-9.797155261039734E-001,3.045407682657242E-002,
1.049766666666667E+009,4.502599185798317E-004,6.010091304779053E-002,-9.881380200386047E-001,5.133775621652603E-002,4.502599185798317E-004,6.010091304779053E-002,-9.881380200386047E-001,5.133775621652603E-002,
1.058133333333333E+009,7.564678322523832E-003,6.755477190017700E-002,-9.725054502487183E-001,8.000927418470383E-002,7.564678322523832E-003,6.755477190017700E-002,-9.725054502487183E-001,8.000927418470383E-002,
1.066500000000000E+009,1.702774502336979E-002,7.194912433624268E-002,-9.726330041885376E-001,8.948719501495361E-002,1.702774502336979E-002,7.194912433624268E-002,-9.726330041885376E-001,8.948719501495361E-002,
1.074866666666667E+009,3.184135630726814E-002,7.353307306766510E-002,-9.658435583114624E-001,1.451582461595535E-001,3.184135630726814E-002,7.353307306766510E-002,-9.658435583114624E-001,1.451582461595535E-001,
1.083233333333334E+009,4.207325726747513E-002,6.513594090938568E-002,-9.734967350959778E-001,1.516359746456146E-001,4.207325726747513E-002,6.513594090938568E-002,-9.734967350959778E-001,1.516359746456146E-001,
1.091600000000000E+009,4.786109179258347E-002,5.471952632069588E-002,-9.663484692573547E-001,1.724797636270523E-001,4.786109179258347E-002,5.471952632069588E-002,-9.663484692573547E-001,1.724797636270523E-001,
1.099966666666667E+009,4.645439609885216E-002,4.361526295542717E-002,-9.757659435272217E-001,1.875706017017365E-001,4.645439609885216E-002,4.361526295542717E-002,-9.757659435272217E-001,1.875706017017365E-001,
1.108333333333334E+009,4.036521166563034E-002,3.002608194947243E-002,-9.667209982872009E-001,2.056576758623123E-001,4.036521166563034E-002,3.002608194947243E-002,-9.667209982872009E-001,2.056576758623123E-001,
1.116700000000000E+009,2.604861743748188E-002,2.839915268123150E-002,-9.662918448448181E-001,2.549107968807221E-001,2.604861743748188E-002,2.839915268123150E-002,-9.662918448448181E-001,2.549107968807221E-001,
1.125066666666667E+009,1.487542316317558E-002,3.103894181549549E-002,-9.517877101898193E-001,2.762060463428497E-001,1.487542316317558E-002,3.103894181549549E-002,-9.517877101898193E-001,2.762060463428497E-001,
1.133433333333334E+009,7.102722302079201E-003,4.164236038923264E-002,-9.549555182456970E-001,2.946808338165283E-001,7.102722302079201E-003,4.164236038923264E-002,-9.549555182456970E-001,2.946808338165283E-001,
1.141800000000000E+009,6.310903932899237E-003,5.717624723911285E-002,-9.154437184333801E-001,3.186034262180328E-001,6.310903932899237E-003,5.717624723911285E-002,-9.154437184333801E-001,3.186034262180328E-001,
1.150166666666667E+009,1.525075826793909E-002,6.930580735206604E-002,-9.227452278137207E-001,3.396417498588562E-001,1.525075826793909E-002,6.930580735206604E-002,-9.227452278137207E-001,3.396417498588562E-001,
1.158533333333334E+009,3.365882113575935E-002,7.887882739305496E-002,-9.163549542427063E-001,3.631244897842407E-001,3.365882113575935E-002,7.887882739305496E-002,-9.163549542427063E-001,3.631244897842407E-001,
1.166900000000000E+009,4.986208677291870E-002,7.674664258956909E-002,-8.986382484436035E-001,3.929011225700378E-001,4.986208677291870E-002,7.674664258956909E-002,-8.986382484436035E-001,3.929011225700378E-001,
1.175266666666667E+009,6.734552234411240E-002,6.834018230438232E-002,-8.850764632225037E-001,4.147373437881470E-001,6.734552234411240E-002,6.834018230438232E-002,-8.850764632225037E-001,4.147373437881470E-001,
1.183633333333334E+009,7.766930013895035E-002,5.344200879335403E-002,-8.854429125785828E-001,4.467257261276245E-001,7.766930013895035E-002,5.344200879335403E-002,-8.854429125785828E-001,4.467257261276245E-001,
1.192000000000000E+009,7.916242629289627E-002,3.443407639861107E-002,-8.780730366706848E-001,4.556932151317596E-001,7.916242629289627E-002,3.443407639861107E-002,-8.780730366706848E-001,4.556932151317596E-001,
1.200366666666667E+009,7.013056427240372E-002,1.782645098865032E-002,-8.590852022171021E-001,4.785355627536774E-001,7.013056427240372E-002,1.782645098865032E-002,-8.590852022171021E-001,4.785355627536774E-001,
1.208733333333334E+009,5.360076576471329E-002,9.092634543776512E-003,-8.456132411956787E-001,4.998888969421387E-001,5.360076576471329E-002,9.092634543776512E-003,-8.456132411956787E-001,4.998888969421387E-001,
1.217100000000000E+009,3.861906006932259E-002,8.409594185650349E-003,-8.385248780250549E-001,5.184943675994873E-001,3.861906006932259E-002,8.409594185650349E-003,-8.385248780250549E-001,5.184943675994873E-001,
1.225466666666667E+009,2.367921918630600E-002,2.186508849263191E-002,-8.156588077545166E-001,5.398895144462585E-001,2.367921918630600E-002,2.186508849263191E-002,-8.156588077545166E-001,5.398895144462585E-001,
1.233833333333334E+009,1.978126540780067E-002,3.597611561417580E-002,-8.065785765647888E-001,5.635150671005249E-001,1.978126540780067E-002,3.597611561417580E-002,-8.065785765647888E-001,5.635150671005249E-001,
1.242200000000000E+009,2.693328075110912E-002,5.291032791137695E-002,-7.944614291191101E-001,6.017150878906250E-001,2.693328075110912E-002,5.291032791137695E-002,-7.944614291191101E-001,6.017150878906250E-001,
1.250566666666667E+009,4.457693919539452E-002,6.224449351429939E-002,-7.752779126167297E-001,6.051965951919556E-001,4.457693919539452E-002,6.224449351429939E-002,-7.752779126167297E-001,6.051965951919556E-001,
1.258933333333334E+009,6.401023268699646E-002,6.086737662553787E-002,-7.636578679084778E-001,6.226063370704651E-001,6.401023268699646E-002,6.086737662553787E-002,-7.636578679084778E-001,6.226063370704651E-001,
1.267300000000000E+009,8.179631829261780E-002,5.189688503742218E-002,-7.394528985023499E-001,6.408278942108154E-001,8.179631829261780E-002,5.189688503742218E-002,-7.394528985023499E-001,6.408278942108154E-001,
