% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.151117801666260E-002,3.605430200695992E-002,-5.009155273437500E-001,-8.609384298324585E-001,-4.151117801666260E-002,3.605430200695992E-002,-5.009155273437500E-001,-8.609384298324585E-001,
6.983666666666666E+008,-3.370689973235130E-002,3.506422042846680E-002,-5.212802290916443E-001,-8.358675837516785E-001,-3.370689973235130E-002,3.506422042846680E-002,-5.212802290916443E-001,-8.358675837516785E-001,
7.067333333333334E+008,-2.788660675287247E-002,3.126085922122002E-002,-5.133501291275024E-001,-8.194316029548645E-001,-2.788660675287247E-002,3.126085922122002E-002,-5.133501291275024E-001,-8.194316029548645E-001,
7.151000000000000E+008,-2.495300024747849E-002,2.494083531200886E-002,-5.555598735809326E-001,-8.083995580673218E-001,-2.495300024747849E-002,2.494083531200886E-002,-5.555598735809326E-001,-8.083995580673218E-001,
7.234666666666666E+008,-2.889573015272617E-002,1.925591379404068E-002,-5.722378492355347E-001,-7.876213788986206E-001,-2.889573015272617E-002,1.925591379404068E-002,-5.722378492355347E-001,-7.876213788986206E-001,
7.318333333333334E+008,-3.551822900772095E-002,1.550131477415562E-002,-5.996399521827698E-001,-7.936188578605652E-001,-3.551822900772095E-002,1.550131477415562E-002,-5.996399521827698E-001,-7.936188578605652E-001,
7.402000000000000E+008,-4.367028921842575E-002,1.817290671169758E-002,-6.293262243270874E-001,-7.692347764968872E-001,-4.367028921842575E-002,1.817290671169758E-002,-6.293262243270874E-001,-7.692347764968872E-001,
7.485666666666666E+008,-4.916494339704514E-002,2.376656606793404E-002,-6.379562616348267E-001,-7.529595494270325E-001,-4.916494339704514E-002,2.376656606793404E-002,-6.379562616348267E-001,-7.529595494270325E-001,
7.569333333333334E+008,-5.173071101307869E-002,3.281739354133606E-002,-6.579481363296509E-001,-7.440662384033203E-001,-5.173071101307869E-002,3.281739354133606E-002,-6.579481363296509E-001,-7.440662384033203E-001,
7.653000000000000E+008,-4.716225340962410E-002,4.080148041248322E-002,-6.834527254104614E-001,-7.211235165596008E-001,-4.716225340962410E-002,4.080148041248322E-002,-6.834527254104614E-001,-7.211235165596008E-001,
7.736666666666666E+008,-4.225771874189377E-002,4.993819817900658E-002,-7.002307772636414E-001,-6.949607133865356E-001,-4.225771874189377E-002,4.993819817900658E-002,-7.002307772636414E-001,-6.949607133865356E-001,
7.820333333333334E+008,-3.259581699967384E-002,5.156248807907105E-002,-7.156061530113220E-001,-6.964457631111145E-001,-3.259581699967384E-002,5.156248807907105E-002,-7.156061530113220E-001,-6.964457631111145E-001,
