% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-3.757547587156296E-002,3.286987543106079E-002,-4.971285760402679E-001,-8.625329732894898E-001,-3.757547587156296E-002,3.286987543106079E-002,-4.971285760402679E-001,-8.625329732894898E-001,
6.983666666666666E+008,-2.990166097879410E-002,3.166773915290833E-002,-5.175266265869141E-001,-8.377377390861511E-001,-2.990166097879410E-002,3.166773915290833E-002,-5.175266265869141E-001,-8.377377390861511E-001,
7.067333333333334E+008,-2.390443906188011E-002,2.761358767747879E-002,-5.097551941871643E-001,-8.213313221931458E-001,-2.390443906188011E-002,2.761358767747879E-002,-5.097551941871643E-001,-8.213313221931458E-001,
7.151000000000000E+008,-2.073521353304386E-002,2.097765542566776E-002,-5.520069599151611E-001,-8.106416463851929E-001,-2.073521353304386E-002,2.097765542566776E-002,-5.520069599151611E-001,-8.106416463851929E-001,
7.234666666666666E+008,-2.416219934821129E-002,1.496978849172592E-002,-5.687822699546814E-001,-7.898247241973877E-001,-2.416219934821129E-002,1.496978849172592E-002,-5.687822699546814E-001,-7.898247241973877E-001,
7.318333333333334E+008,-3.037008829414845E-002,1.091555319726467E-002,-5.957378745079041E-001,-7.962514758110046E-001,-3.037008829414845E-002,1.091555319726467E-002,-5.957378745079041E-001,-7.962514758110046E-001,
7.402000000000000E+008,-3.827749937772751E-002,1.338948123157024E-002,-6.255729198455811E-001,-7.718751430511475E-001,-3.827749937772751E-002,1.338948123157024E-002,-6.255729198455811E-001,-7.718751430511475E-001,
7.485666666666666E+008,-4.376926645636559E-002,1.900202408432961E-002,-6.342348456382752E-001,-7.556090354919434E-001,-4.376926645636559E-002,1.900202408432961E-002,-6.342348456382752E-001,-7.556090354919434E-001,
7.569333333333334E+008,-4.650355875492096E-002,2.815326489508152E-002,-6.541055440902710E-001,-7.468994855880737E-001,-4.650355875492096E-002,2.815326489508152E-002,-6.541055440902710E-001,-7.468994855880737E-001,
7.653000000000000E+008,-4.247147962450981E-002,3.633463010191917E-002,-6.792694926261902E-001,-7.243384122848511E-001,-4.247147962450981E-002,3.633463010191917E-002,-6.792694926261902E-001,-7.243384122848511E-001,
