% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-3.915782272815704E-002,3.133155032992363E-002,-4.982657134532929E-001,-8.632064461708069E-001,-3.915782272815704E-002,3.133155032992363E-002,-4.982657134532929E-001,-8.632064461708069E-001,
6.983666666666666E+008,-3.164941444993019E-002,2.995206229388714E-002,-5.181434154510498E-001,-8.383845090866089E-001,-3.164941444993019E-002,2.995206229388714E-002,-5.181434154510498E-001,-8.383845090866089E-001,
7.067333333333334E+008,-2.591278217732906E-002,2.544959262013435E-002,-5.109171271324158E-001,-8.211154937744141E-001,-2.591278217732906E-002,2.544959262013435E-002,-5.109171271324158E-001,-8.211154937744141E-001,
7.151000000000000E+008,-2.322228252887726E-002,1.876722462475300E-002,-5.527177453041077E-001,-8.104899525642395E-001,-2.322228252887726E-002,1.876722462475300E-002,-5.527177453041077E-001,-8.104899525642395E-001,
7.234666666666666E+008,-2.715145051479340E-002,1.266678515821695E-002,-5.695895552635193E-001,-7.906194925308228E-001,-2.715145051479340E-002,1.266678515821695E-002,-5.695895552635193E-001,-7.906194925308228E-001,
7.318333333333334E+008,-3.381053730845451E-002,8.650207892060280E-003,-5.973834395408630E-001,-7.971919178962708E-001,-3.381053730845451E-002,8.650207892060280E-003,-5.973834395408630E-001,-7.971919178962708E-001,
7.402000000000000E+008,-4.174015671014786E-002,1.131049636751413E-002,-6.276115179061890E-001,-7.724537253379822E-001,-4.174015671014786E-002,1.131049636751413E-002,-6.276115179061890E-001,-7.724537253379822E-001,
7.485666666666666E+008,-4.718590527772903E-002,1.718614436686039E-002,-6.355057954788208E-001,-7.561903595924377E-001,-4.718590527772903E-002,1.718614436686039E-002,-6.355057954788208E-001,-7.561903595924377E-001,
7.569333333333334E+008,-4.969641193747520E-002,2.631359174847603E-002,-6.543522477149963E-001,-7.476543188095093E-001,-4.969641193747520E-002,2.631359174847603E-002,-6.543522477149963E-001,-7.476543188095093E-001,
7.653000000000000E+008,-4.554596915841103E-002,3.457942605018616E-002,-6.821298599243164E-001,-7.244805693626404E-001,-4.554596915841103E-002,3.457942605018616E-002,-6.821298599243164E-001,-7.244805693626404E-001,
7.736666666666666E+008,-4.096283018589020E-002,4.382811486721039E-002,-6.983655691146851E-001,-6.972626447677612E-001,-4.096283018589020E-002,4.382811486721039E-002,-6.983655691146851E-001,-6.972626447677612E-001,
7.820333333333334E+008,-3.179270401597023E-002,4.552481696009636E-002,-7.132671475410461E-001,-7.001584768295288E-001,-3.179270401597023E-002,4.552481696009636E-002,-7.132671475410461E-001,-7.001584768295288E-001,
7.904000000000000E+008,-2.444746717810631E-002,4.257867485284805E-002,-7.336042523384094E-001,-6.799246668815613E-001,-2.444746717810631E-002,4.257867485284805E-002,-7.336042523384094E-001,-6.799246668815613E-001,
7.987666666666666E+008,-1.872525364160538E-002,3.867423161864281E-002,-7.464132905006409E-001,-6.504794359207153E-001,-1.872525364160538E-002,3.867423161864281E-002,-7.464132905006409E-001,-6.504794359207153E-001,
8.071333333333334E+008,-1.691496931016445E-002,3.246662393212318E-002,-7.699779868125916E-001,-6.416279077529907E-001,-1.691496931016445E-002,3.246662393212318E-002,-7.699779868125916E-001,-6.416279077529907E-001,
8.155000000000000E+008,-2.088746987283230E-002,2.685205638408661E-002,-7.772729396820068E-001,-6.188194751739502E-001,-2.088746987283230E-002,2.685205638408661E-002,-7.772729396820068E-001,-6.188194751739502E-001,
8.238666666666666E+008,-2.629284374415875E-002,2.307299710810185E-002,-7.934721708297730E-001,-6.025599837303162E-001,-2.629284374415875E-002,2.307299710810185E-002,-7.934721708297730E-001,-6.025599837303162E-001,
8.322333333333334E+008,-3.253316879272461E-002,2.420712448656559E-002,-8.035308122634888E-001,-5.728135108947754E-001,-3.253316879272461E-002,2.420712448656559E-002,-8.035308122634888E-001,-5.728135108947754E-001,
8.406000000000000E+008,-3.678085654973984E-002,2.732234261929989E-002,-8.303163051605225E-001,-5.468168854713440E-001,-3.678085654973984E-002,2.732234261929989E-002,-8.303163051605225E-001,-5.468168854713440E-001,
