% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.267233237624168E-002,3.637696802616119E-002,-5.028486251831055E-001,-8.587966561317444E-001,-4.267233237624168E-002,3.637696802616119E-002,-5.028486251831055E-001,-8.587966561317444E-001,
6.983666666666666E+008,-3.503271937370300E-002,3.496903926134110E-002,-5.237287282943726E-001,-8.338330388069153E-001,-3.503271937370300E-002,3.496903926134110E-002,-5.237287282943726E-001,-8.338330388069153E-001,
7.067333333333334E+008,-2.983810380101204E-002,3.105279989540577E-002,-5.158362984657288E-001,-8.172128796577454E-001,-2.983810380101204E-002,3.105279989540577E-002,-5.158362984657288E-001,-8.172128796577454E-001,
7.151000000000000E+008,-2.760452218353748E-002,2.476440928876400E-002,-5.576627850532532E-001,-8.066357374191284E-001,-2.760452218353748E-002,2.476440928876400E-002,-5.576627850532532E-001,-8.066357374191284E-001,
7.234666666666666E+008,-3.229106962680817E-002,1.932885870337486E-002,-5.751052498817444E-001,-7.858812808990479E-001,-3.229106962680817E-002,1.932885870337486E-002,-5.751052498817444E-001,-7.858812808990479E-001,
7.318333333333334E+008,-3.922699391841888E-002,1.599137857556343E-002,-6.016645431518555E-001,-7.913320660591126E-001,-3.922699391841888E-002,1.599137857556343E-002,-6.016645431518555E-001,-7.913320660591126E-001,
7.402000000000000E+008,-4.752101749181747E-002,1.910768076777458E-002,-6.320340037345886E-001,-7.667006850242615E-001,-4.752101749181747E-002,1.910768076777458E-002,-6.320340037345886E-001,-7.667006850242615E-001,
7.485666666666666E+008,-5.261931195855141E-002,2.500906027853489E-002,-6.401050686836243E-001,-7.502819895744324E-001,-5.261931195855141E-002,2.500906027853489E-002,-6.401050686836243E-001,-7.502819895744324E-001,
7.569333333333334E+008,-5.462942272424698E-002,3.421332687139511E-002,-6.599968671798706E-001,-7.407941818237305E-001,-5.462942272424698E-002,3.421332687139511E-002,-6.599968671798706E-001,-7.407941818237305E-001,
7.653000000000000E+008,-4.936134815216065E-002,4.199492186307907E-002,-6.856304407119751E-001,-7.191046476364136E-001,-4.936134815216065E-002,4.199492186307907E-002,-6.856304407119751E-001,-7.191046476364136E-001,
7.736666666666666E+008,-4.398735240101814E-002,5.082330480217934E-002,-7.021958827972412E-001,-6.920850872993469E-001,-4.398735240101814E-002,5.082330480217934E-002,-7.021958827972412E-001,-6.920850872993469E-001,
7.820333333333334E+008,-3.404553234577179E-002,5.210433900356293E-002,-7.180914282798767E-001,-6.937177777290344E-001,-3.404553234577179E-002,5.210433900356293E-002,-7.180914282798767E-001,-6.937177777290344E-001,
