% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.248980060219765E-002,3.794828057289124E-002,-5.026133060455322E-001,-8.588970899581909E-001,-4.248980060219765E-002,3.794828057289124E-002,-5.026133060455322E-001,-8.588970899581909E-001,
6.983666666666666E+008,-3.478438407182694E-002,3.683870658278465E-002,-5.231213569641113E-001,-8.341908454895020E-001,-3.478438407182694E-002,3.683870658278465E-002,-5.231213569641113E-001,-8.341908454895020E-001,
7.067333333333334E+008,-2.940155565738678E-002,3.290583938360214E-002,-5.151373744010925E-001,-8.176534771919251E-001,-2.940155565738678E-002,3.290583938360214E-002,-5.151373744010925E-001,-8.176534771919251E-001,
7.151000000000000E+008,-2.691521123051643E-002,2.655354328453541E-002,-5.579230785369873E-001,-8.066569566726685E-001,-2.691521123051643E-002,2.655354328453541E-002,-5.579230785369873E-001,-8.066569566726685E-001,
7.234666666666666E+008,-3.127870336174965E-002,2.094137854874134E-002,-5.741320848464966E-001,-7.858868837356567E-001,-3.127870336174965E-002,2.094137854874134E-002,-5.741320848464966E-001,-7.858868837356567E-001,
7.318333333333334E+008,-3.808785229921341E-002,1.737795211374760E-002,-6.023746728897095E-001,-7.912532091140747E-001,-3.808785229921341E-002,1.737795211374760E-002,-6.023746728897095E-001,-7.912532091140747E-001,
7.402000000000000E+008,-4.626233130693436E-002,2.026815153658390E-002,-6.313357353210449E-001,-7.673197388648987E-001,-4.626233130693436E-002,2.026815153658390E-002,-6.313357353210449E-001,-7.673197388648987E-001,
7.485666666666666E+008,-5.139944702386856E-002,2.613149583339691E-002,-6.394594311714172E-001,-7.506618499755859E-001,-5.139944702386856E-002,2.613149583339691E-002,-6.394594311714172E-001,-7.506618499755859E-001,
7.569333333333334E+008,-5.352329090237618E-002,3.542269021272659E-002,-6.598598957061768E-001,-7.416679263114929E-001,-5.352329090237618E-002,3.542269021272659E-002,-6.598598957061768E-001,-7.416679263114929E-001,
7.653000000000000E+008,-4.828710481524468E-002,4.343091696500778E-002,-6.854079365730286E-001,-7.196829319000244E-001,-4.828710481524468E-002,4.343091696500778E-002,-6.854079365730286E-001,-7.196829319000244E-001,
7.736666666666666E+008,-4.297963529825211E-002,5.265419185161591E-002,-7.022478580474854E-001,-6.927811503410339E-001,-4.297963529825211E-002,5.265419185161591E-002,-7.022478580474854E-001,-6.927811503410339E-001,
7.820333333333334E+008,-3.302748501300812E-002,5.427501350641251E-002,-7.171611785888672E-001,-6.941062211990356E-001,-3.302748501300812E-002,5.427501350641251E-002,-7.171611785888672E-001,-6.941062211990356E-001,
7.904000000000000E+008,-2.539786696434021E-002,5.141452327370644E-002,-7.382741570472717E-001,-6.742637753486633E-001,-2.539786696434021E-002,5.141452327370644E-002,-7.382741570472717E-001,-6.742637753486633E-001,
7.987666666666666E+008,-1.939359679818153E-002,4.787137359380722E-002,-7.499491572380066E-001,-6.448923349380493E-001,-1.939359679818153E-002,4.787137359380722E-002,-7.499491572380066E-001,-6.448923349380493E-001,
8.071333333333334E+008,-1.766467653214932E-002,4.219907149672508E-002,-7.733538150787354E-001,-6.357769966125488E-001,-1.766467653214932E-002,4.219907149672508E-002,-7.733538150787354E-001,-6.357769966125488E-001,
8.155000000000000E+008,-2.182618714869022E-002,3.725438937544823E-002,-7.800881862640381E-001,-6.125396490097046E-001,-2.182618714869022E-002,3.725438937544823E-002,-7.800881862640381E-001,-6.125396490097046E-001,
8.238666666666666E+008,-2.732218243181706E-002,3.417301550507546E-002,-7.964582443237305E-001,-5.965070128440857E-001,-2.732218243181706E-002,3.417301550507546E-002,-7.964582443237305E-001,-5.965070128440857E-001,
8.322333333333334E+008,-3.360083699226379E-002,3.564520180225372E-002,-8.053463697433472E-001,-5.666742324829102E-001,-3.360083699226379E-002,3.564520180225372E-002,-8.053463697433472E-001,-5.666742324829102E-001,
8.406000000000000E+008,-3.779415041208267E-002,3.896392509341240E-002,-8.343535661697388E-001,-5.409170389175415E-001,-3.779415041208267E-002,3.896392509341240E-002,-8.343535661697388E-001,-5.409170389175415E-001,
8.489666666666668E+008,-3.943668678402901E-002,4.874345287680626E-002,-8.381638526916504E-001,-5.311498045921326E-001,-3.943668678402901E-002,4.874345287680626E-002,-8.381638526916504E-001,-5.311498045921326E-001,
8.573333333333334E+008,-3.804748877882958E-002,5.756849423050880E-002,-8.512001037597656E-001,-4.848057329654694E-001,-3.804748877882958E-002,5.756849423050880E-002,-8.512001037597656E-001,-4.848057329654694E-001,
8.657000000000000E+008,-3.254759684205055E-002,6.332092732191086E-002,-8.652046322822571E-001,-4.725306630134583E-001,-3.254759684205055E-002,6.332092732191086E-002,-8.652046322822571E-001,-4.725306630134583E-001,
8.740666666666668E+008,-2.365492284297943E-002,6.701055914163590E-002,-8.740018010139465E-001,-4.612474739551544E-001,-2.365492284297943E-002,6.701055914163590E-002,-8.740018010139465E-001,-4.612474739551544E-001,
8.824333333333334E+008,-1.409697253257036E-002,6.808771193027496E-002,-8.803320527076721E-001,-4.375440180301666E-001,-1.409697253257036E-002,6.808771193027496E-002,-8.803320527076721E-001,-4.375440180301666E-001,
8.908000000000000E+008,-6.165901198983192E-003,6.463130563497543E-002,-8.975211381912231E-001,-4.221234321594238E-001,-6.165901198983192E-003,6.463130563497543E-002,-8.975211381912231E-001,-4.221234321594238E-001,
8.991666666666668E+008,-6.785372079320950E-006,5.850005522370338E-002,-8.964775800704956E-001,-3.887043595314026E-001,-6.785372079320950E-006,5.850005522370338E-002,-8.964775800704956E-001,-3.887043595314026E-001,
9.075333333333334E+008,-2.166188089177012E-003,5.359737575054169E-002,-9.201024174690247E-001,-3.736489713191986E-001,-2.166188089177012E-003,5.359737575054169E-002,-9.201024174690247E-001,-3.736489713191986E-001,
9.159000000000000E+008,-5.905664060264826E-003,4.806840419769287E-002,-9.246171116828919E-001,-3.467812836170197E-001,-5.905664060264826E-003,4.806840419769287E-002,-9.246171116828919E-001,-3.467812836170197E-001,
9.242666666666668E+008,-1.160852890461683E-002,4.805467650294304E-002,-9.322484731674194E-001,-3.316281139850617E-001,-1.160852890461683E-002,4.805467650294304E-002,-9.322484731674194E-001,-3.316281139850617E-001,
9.326333333333334E+008,-1.824598014354706E-002,4.932343587279320E-002,-9.462552666664124E-001,-3.015441000461578E-001,-1.824598014354706E-002,4.932343587279320E-002,-9.462552666664124E-001,-3.015441000461578E-001,
9.410000000000000E+008,-2.117899432778359E-002,5.509861558675766E-002,-9.509827494621277E-001,-2.762373089790344E-001,-2.117899432778359E-002,5.509861558675766E-002,-9.509827494621277E-001,-2.762373089790344E-001,
9.493666666666668E+008,-2.157160639762878E-002,6.308040022850037E-002,-9.546992182731628E-001,-2.476928085088730E-001,-2.157160639762878E-002,6.308040022850037E-002,-9.546992182731628E-001,-2.476928085088730E-001,
9.577333333333334E+008,-1.695629954338074E-002,6.905344873666763E-002,-9.623056054115295E-001,-2.118304967880249E-001,-1.695629954338074E-002,6.905344873666763E-002,-9.623056054115295E-001,-2.118304967880249E-001,
9.661000000000000E+008,-8.266300894320011E-003,7.686706632375717E-002,-9.648330211639404E-001,-1.906948536634445E-001,-8.266300894320011E-003,7.686706632375717E-002,-9.648330211639404E-001,-1.906948536634445E-001,
9.744666666666668E+008,1.092290972337651E-006,8.024474233388901E-002,-9.745581746101379E-001,-1.789492368698120E-001,1.092290972337651E-006,8.024474233388901E-002,-9.745581746101379E-001,-1.789492368698120E-001,
9.828333333333334E+008,1.262870896607637E-002,7.802536338567734E-002,-9.780200719833374E-001,-1.454228311777115E-001,1.262870896607637E-002,7.802536338567734E-002,-9.780200719833374E-001,-1.454228311777115E-001,
9.912000000000000E+008,2.200470864772797E-002,7.354741543531418E-002,-9.734142422676086E-001,-1.372142583131790E-001,2.200470864772797E-002,7.354741543531418E-002,-9.734142422676086E-001,-1.372142583131790E-001,
9.995666666666668E+008,2.543307840824127E-002,6.479279696941376E-002,-1.001841545104981E+000,-1.012122184038162E-001,2.543307840824127E-002,6.479279696941376E-002,-1.001841545104981E+000,-1.012122184038162E-001,
1.007933333333333E+009,2.509727329015732E-002,5.638227239251137E-002,-9.842212796211243E-001,-8.661224693059921E-002,2.509727329015732E-002,5.638227239251137E-002,-9.842212796211243E-001,-8.661224693059921E-002,
1.016300000000000E+009,2.253210730850697E-002,4.925180226564407E-002,-9.875823855400085E-001,-5.812025442719460E-002,2.253210730850697E-002,4.925180226564407E-002,-9.875823855400085E-001,-5.812025442719460E-002,
1.024666666666667E+009,1.472785416990519E-002,4.846028611063957E-002,-9.892116785049439E-001,-2.293945848941803E-002,1.472785416990519E-002,4.846028611063957E-002,-9.892116785049439E-001,-2.293945848941803E-002,
1.033033333333333E+009,7.605952676385641E-003,5.122740566730499E-002,-9.977173805236816E-001,-2.440479956567287E-002,7.605952676385641E-003,5.122740566730499E-002,-9.977173805236816E-001,-2.440479956567287E-002,
1.041400000000000E+009,1.186047680675983E-003,5.646079406142235E-002,-9.801987409591675E-001,3.218033909797669E-002,1.186047680675983E-003,5.646079406142235E-002,-9.801987409591675E-001,3.218033909797669E-002,
1.049766666666667E+009,3.039739094674587E-003,6.509926170110703E-002,-9.884181022644043E-001,5.249951779842377E-002,3.039739094674587E-003,6.509926170110703E-002,-9.884181022644043E-001,5.249951779842377E-002,
1.058133333333333E+009,1.006663031876087E-002,7.179313153028488E-002,-9.725005030632019E-001,8.137819916009903E-002,1.006663031876087E-002,7.179313153028488E-002,-9.725005030632019E-001,8.137819916009903E-002,
1.066500000000000E+009,1.955457404255867E-002,7.537638396024704E-002,-9.726952910423279E-001,9.086576104164124E-002,1.955457404255867E-002,7.537638396024704E-002,-9.726952910423279E-001,9.086576104164124E-002,
1.074866666666667E+009,3.465989977121353E-002,7.620858401060104E-002,-9.657565355300903E-001,1.467982083559036E-001,3.465989977121353E-002,7.620858401060104E-002,-9.657565355300903E-001,1.467982083559036E-001,
1.083233333333334E+009,4.512809589505196E-002,6.727849692106247E-002,-9.736693501472473E-001,1.530344486236572E-001,4.512809589505196E-002,6.727849692106247E-002,-9.736693501472473E-001,1.530344486236572E-001,
1.091600000000000E+009,5.118411034345627E-002,5.669285729527473E-002,-9.662017226219177E-001,1.736516356468201E-001,5.118411034345627E-002,5.669285729527473E-002,-9.662017226219177E-001,1.736516356468201E-001,
1.099966666666667E+009,5.030705407261848E-002,4.583217203617096E-002,-9.755835533142090E-001,1.885013729333878E-001,5.030705407261848E-002,4.583217203617096E-002,-9.755835533142090E-001,1.885013729333878E-001,
1.108333333333334E+009,4.467854276299477E-002,3.272985666990280E-002,-9.668617248535156E-001,2.065770030021668E-001,4.467854276299477E-002,3.272985666990280E-002,-9.668617248535156E-001,2.065770030021668E-001,
1.116700000000000E+009,3.068997338414192E-002,3.173694759607315E-002,-9.666692614555359E-001,2.563122808933258E-001,3.068997338414192E-002,3.173694759607315E-002,-9.666692614555359E-001,2.563122808933258E-001,
1.125066666666667E+009,1.967417448759079E-002,3.508038818836212E-002,-9.515454173088074E-001,2.775211632251740E-001,1.967417448759079E-002,3.508038818836212E-002,-9.515454173088074E-001,2.775211632251740E-001,
1.133433333333334E+009,1.202922500669956E-002,4.594898596405983E-002,-9.543877243995667E-001,2.963684797286987E-001,1.202922500669956E-002,4.594898596405983E-002,-9.543877243995667E-001,2.963684797286987E-001,
1.141800000000000E+009,1.099182106554508E-002,6.137908995151520E-002,-9.156538844108582E-001,3.199453949928284E-001,1.099182106554508E-002,6.137908995151520E-002,-9.156538844108582E-001,3.199453949928284E-001,
1.150166666666667E+009,1.961645111441612E-002,7.313993573188782E-002,-9.225558042526245E-001,3.417511582374573E-001,1.961645111441612E-002,7.313993573188782E-002,-9.225558042526245E-001,3.417511582374573E-001,
1.158533333333334E+009,3.784915432333946E-002,8.213729411363602E-002,-9.159055352210999E-001,3.651046752929688E-001,3.784915432333946E-002,8.213729411363602E-002,-9.159055352210999E-001,3.651046752929688E-001,
1.166900000000000E+009,5.391644313931465E-002,7.925211638212204E-002,-8.978897333145142E-001,3.943671584129334E-001,5.391644313931465E-002,7.925211638212204E-002,-8.978897333145142E-001,3.943671584129334E-001,
1.175266666666667E+009,7.142222672700882E-002,7.007645070552826E-002,-8.845527768135071E-001,4.164484143257141E-001,7.142222672700882E-002,7.007645070552826E-002,-8.845527768135071E-001,4.164484143257141E-001,
1.183633333333334E+009,8.192478865385056E-002,5.470865592360497E-002,-8.849068880081177E-001,4.481549561023712E-001,8.192478865385056E-002,5.470865592360497E-002,-8.849068880081177E-001,4.481549561023712E-001,
1.192000000000000E+009,8.381841331720352E-002,3.535799682140350E-002,-8.776603341102600E-001,4.568865895271301E-001,8.381841331720352E-002,3.535799682140350E-002,-8.776603341102600E-001,4.568865895271301E-001,
